ID	Rec_min	Min_par	Maj1_par	Rec_maj1	Maj2_par	Rec_maj2	Type	Unknown_flag	Rec_len	Min_len	Maj1_len	Maj2_len	Min_evol	Maj1_evol	Maj2_evol
71	BT_Cry19Aa1	BT_Cry19Ca1	BT_Cry1Na1;BT_Cry1Nb1	BT_Cry19Aa1	BT_Cry1A-like;BT_Cry1Aa10;BT_Cry1Aa14;BT_Cry1Aa7;BT_Cry1Ab12;BT_Cry1Ab2;BT_Cry1Ab24;BT_Cry1Ab26;BT_Cry1Ad1;BT_Cry1Ag1;BT_Cry1Bb1;BT_Cry1Fb1;BT_Cry1Fb3;BT_Cry1Ga2;BT_Cry1Gb1;BT_Cry1Ia11;BT_Cry1Ia13;BT_Cry1Ia18;BT_Cry1Ia25;BT_Cry1Ia7;BT_Cry1Ib1;BT_Cry1Ib2;BT_Cry1Ib4;BT_Cry1Ib8;BT_Cry1Ic1;BT_Cry1Id1;BT_Cry1Ie3;BT_Cry1Ie4;BT_Cry1Ja1;BT_Cry1Ma1;BT_Cry1Na1;BT_Cry1Nb1;BT_Cry9Ga1;NOV_Cry1Aa12_99.5_AFX69046.1;NOV_Cry1Aa12_99.9_OUA40850.1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab12_99.3_ACU65107.1;NOV_Cry1Ab32_92.7_AAK14337.1;NOV_Cry1Ad2_87.7_AIW52617.1;NOV_Cry1Ae1_99.9_WP_063676659.1;NOV_Cry1Da1_84.8_ABK35074.1;NOV_Cry1Ga1_77.9_AX098669.1;NOV_Cry1Ia28_99.7_AIQ81197.1;NOV_Cry1Ie5_79.3_PQQ47595.1	BT_Cry19Aa1	domain2	no	1	2	345	355	8	345	355
73	BT_Cry13Aa1	NOV_Cry13Aa1_50.1_ANS46780.1	unknown	BT_Cry13Aa1	unknown	BT_Cry13Aa1	domain3	major	1	2	0	0	7	8	8
74	BT_Cry8Pa1	unknown	BT_Cry8Ea2;BT_Cry8Ja1	BT_Cry8Pa1	NOV_Cry8Ba1_88.6_AEP25412.1	BT_Cry8Pa1	domain3	minor	1	0	3	2	8	8	8
75	NOV_Cry32Ta1_48.0_AQX37180.1	BT_Cry32Qa1	BT_Cry32Va1;NOV_Cry32Va1_61.0_WP_134996253.1	NOV_Cry32Ta1_48.0_AQX37180.1	BT_Cry32Ha1;BT_Cry32Hb1;BT_Cry32Ka1;BT_Cry32Qa1;BT_Cry32Ta1;BT_Cry32Va1;NOV_Cry32Va1_61.0_WP_134996253.1	NOV_Cry32Ta1_48.0_AQX37180.1	domain1	no	1	2	4	355	10	8	355
78	NOV_Cry56Aa2_56.0_AGV55019.1	NOV_Cry56Aa4_56.4_PEU80288.1	NOV_Cry56Aa4_56.4_PEU80288.1	NOV_Cry56Aa2_56.0_AGV55019.1	BT_Cry56Aa1;NOV_Cry56Aa4_77.6_ARJ25668.1;NOV_Cry56Aa4_79.3_WP_103592286.1	NOV_Cry56Aa2_56.0_AGV55019.1	domain1	no	1	2	2	5	9	12	9
84	NOV_Cry8Aa1_47.1_EEM92570.1	BT_Cry8Ea2	NOV_Cry8Da1_43.7_ANC11094.1	NOV_Cry8Aa1_47.1_EEM92570.1	BT_Cry1Fa1;BT_Cry1Ig1;BT_Cry1Ka2;BT_Cry3Ba1;BT_Cry3Bb1;BT_Cry8Da1;BT_Cry8Ha1;BT_Cry8Hb1;NOV_Cry8Da1_43.7_ANC11094.1;NOV_Cry8Ha1_89.4_ABB29866.1;NOV_Cry8Ha1_89.8_ATY50148.1	NOV_Cry8Aa1_47.1_EEM92570.1	domain1	no	1	345	361	355	345	361	355
87	BT_Cry1Be1;BT_Cry1Bj1	BT_Cry1Ba1;BT_Cry1Bf1;NOV_Cry1Ba2_99.9_OTY85625.1	BT_Cry1Bb1;BT_Cry1Bd1	BT_Cry1Be1;BT_Cry1Bj1	BT_Cry1A-like;BT_Cry1Aa10;BT_Cry1Aa7;BT_Cry1Ab12;BT_Cry1Ab2;BT_Cry1Ab24;BT_Cry1Ab7;BT_Cry1Ad1;BT_Cry1Ag1;BT_Cry1Bb1;BT_Cry1Fb1;BT_Cry1Fb3;BT_Cry1Ga2;BT_Cry1Gb1;BT_Cry1Ia11;BT_Cry1Ia13;BT_Cry1Ia18;BT_Cry1Ia26;BT_Cry1Ia7;BT_Cry1Ib1;BT_Cry1Ib2;BT_Cry1Ib4;BT_Cry1Ib8;BT_Cry1Ic1;BT_Cry1Id1;BT_Cry1Ie3;BT_Cry1Ie4;BT_Cry1Ja1;BT_Cry1Ma1;BT_Cry1Na1;BT_Cry1Nb1;BT_Cry9Ga1;NOV_Cry1Aa12_99.5_AFX69046.1;NOV_Cry1Aa12_99.7_AEB21634.1;NOV_Cry1Aa12_99.9_OUA40850.1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab12_99.3_ACU65107.1;NOV_Cry1Ab12_99.5_ACU65108.1;NOV_Cry1Ab32_92.7_AAK14337.1;NOV_Cry1Ad2_87.7_AIW52617.1;NOV_Cry1Da1_84.8_ABK35074.1;NOV_Cry1Ga1_77.9_AX098669.1;NOV_Cry1Ia14_99.2_WP_079246652.1;NOV_Cry1Ie5_79.3_PQQ47595.1	BT_Cry1Be1;BT_Cry1Bj1	domain1	no	2	4	4	355	11	25	355
95	NOV_Cry2Ab4_93.2_AIT70915.1	BT_Cry2Al1	BT_Cry2Ab12;BT_Cry2Ab15;BT_Cry2Ab19;BT_Cry2Ab20;BT_Cry2Ag1;NOV_Cry2Ab18_96.6_AXE42969.1;NOV_Cry2Ab4_99.7_AUN50233.1	NOV_Cry2Ab4_93.2_AIT70915.1	BT_Cry2Ab13;BT_Cry2Ab14;BT_Cry2Ab15;BT_Cry2Ab26;BT_Cry2Ab30;BT_Cry2Ag1	NOV_Cry2Ab4_93.2_AIT70915.1	domain1	no	1	2	4	19	22	32	50
96	NOV_Cry19Ba1_74.0_AGV55021.1	BT_Cry19Ba1	BT_Cry19Aa1;BT_Cry19Ca1	NOV_Cry19Ba1_74.0_AGV55021.1	BT_Cry19Ca1	NOV_Cry19Ba1_74.0_AGV55021.1	domain1	no	1	2	8	2	10	16	10
98	BT_Cry3Ba1;BT_Cry3Bb1	BT_Cry8Da1	BT_Cry3Ca1	BT_Cry3Ba1;BT_Cry3Bb1	BT_Cry3Aa10;BT_Cry3Aa4;BT_Cry3Ca1;NOV_Cry3Aa12_81.9_AEZ53144.1	BT_Cry3Ba1;BT_Cry3Bb1	domain3	no	2	3	5	5	11	8	10
103	NOV_Cry40Da1_65.0_CAH33957.1	unknown	NOV_Cry40Da1_66.9_PEU78339.1	NOV_Cry40Da1_65.0_CAH33957.1	BT_Cry40Da1;NOV_Cry40Da1_77.3_ARJ25823.1;NOV_Cry40Da1_81.5_AIN76756.1	NOV_Cry40Da1_65.0_CAH33957.1	domain3	minor	1	0	2	4	12	10	10
104	NOV_Cry21Aa2_44.6_AZR80772.1	BT_Cry21Aa1;BT_Cry21Ba1	unknown	NOV_Cry21Aa2_44.6_AZR80772.1	unknown	NOV_Cry21Aa2_44.6_AZR80772.1	domain3	major	1	3	0	0	14	8	7
107	BT_Cry52Ca1	NOV_Cry52Ca1_62.9_AZJ24464.1	unknown	BT_Cry52Ca1	unknown	BT_Cry52Ca1	domain2	major	1	2	4	2	8	10	12
109	NOV_Cry69Ab1_58.0_PEU83535.1	BT_Cry69Aa1;BT_Cry69Ab1	NOV_Cry69Aa2_62.7_WP_103591151.1;NOV_Cry69Ab1_59.2_WP_103591619.1	NOV_Cry69Ab1_58.0_PEU83535.1	NOV_Cry69Aa2_62.7_WP_103591151.1	NOV_Cry69Ab1_58.0_PEU83535.1	domain3	no	1	3	3	3	9	7	7
112	NOV_Cry7Ea2_99.9_AFI42038.1	NOV_Cry8Ca1_41.2_AST51780.1;NOV_Cry8Ca1_42.6_ABY46520.1	NOV_Cry7Ca1_99.7_ABR67863.2	NOV_Cry7Ea2_99.9_AFI42038.1	NOV_Cry7Ca1_86.8_AGM39664.1;NOV_Cry7Ca1_99.7_ABR67863.2	NOV_Cry7Ea2_99.9_AFI42038.1	domain3	no	1	3	4	4	8	8	7
113	BT_Cry65Aa2	NOV_Cry65Aa2_55.6_PDY37670.1	unknown	BT_Cry65Aa2	unknown	BT_Cry65Aa2	domain3	major	1	2	0	0	8	7	7
119	BT_Cry14Ab1	NOV_Cry14Ab1_85.6_AXE15628.1	BT_Cry14Aa1	BT_Cry14Ab1	BT_Cry14Aa1	BT_Cry14Ab1	domain1	no	1	2	2	2	8	8	7
