Start,End,DonorLineage,RecipientStrain,log(BF),StrainName,Event_type
1856,1947,20,67,0.8,BT_Cry21Ga1,recent
1948,2008,27,67,8.6,BT_Cry21Ga1,recent
2009,2060,30,67,5,BT_Cry21Ga1,recent
2079,2115,7,67,11.1,BT_Cry21Ga1,recent
2116,2118,8,67,2.7,BT_Cry21Ga1,recent
2142,2289,16,67,6.8,BT_Cry21Ga1,recent
2290,2826,2,67,34.1,BT_Cry21Ga1,recent
2827,2982,1,67,7.4,BT_Cry21Ga1,recent
2996,3069,2,67,1.7,BT_Cry21Ga1,recent
3364,3464,15,67,3.5,BT_Cry21Ga1,recent
4418,4503,5,67,2.5,BT_Cry21Ga1,recent
4504,4672,29,67,2.3,BT_Cry21Ga1,recent
304,356,2,68,0,BT_Cry21Ha1,recent
2372,2630,29,68,13.7,BT_Cry21Ha1,recent
2985,3052,21,68,0.9,BT_Cry21Ha1,recent
3723,3738,30,68,11.7,BT_Cry21Ha1,recent
4443,4526,27,68,1.9,BT_Cry21Ha1,recent
4787,4873,25,68,2.1,BT_Cry21Ha1,recent
4874,4984,14,68,3.7,BT_Cry21Ha1,recent
4333,4430,20,69,0.9,BT_Cry24Ca1,recent
4008,4051,14,70,0.9,BT_Cry24Da1,recent
4052,4242,20,70,14.8,BT_Cry24Da1,recent
4271,4324,20,70,1.3,BT_Cry24Da1,recent
4730,4891,20,70,12,BT_Cry24Da1,recent
1,78,7,71,5.5,BT_Cry26Aa1,recent
2736,2763,28,71,0.2,BT_Cry26Aa1,recent
2871,2936,22,71,4.1,BT_Cry26Aa1,recent
2949,2983,1,71,0.9,BT_Cry26Aa1,recent
2984,3013,15,71,0.4,BT_Cry26Aa1,recent
3014,3054,6,71,1.5,BT_Cry26Aa1,recent
3055,3122,7,71,4.4,BT_Cry26Aa1,recent
3123,3198,18,71,5.2,BT_Cry26Aa1,recent
3358,3415,22,71,3.3,BT_Cry26Aa1,recent
3416,3461,16,71,2,BT_Cry26Aa1,recent
3462,3490,25,71,8.1,BT_Cry26Aa1,recent
3749,3825,25,71,5.4,BT_Cry26Aa1,recent
3868,3906,9,71,8.7,BT_Cry26Aa1,recent
3907,3951,14,71,0.1,BT_Cry26Aa1,recent
3952,3987,3,71,1,BT_Cry26Aa1,recent
3992,4054,8,71,3.8,BT_Cry26Aa1,recent
4055,4155,17,71,8.1,BT_Cry26Aa1,recent
4156,4270,13,71,9.7,BT_Cry26Aa1,recent
4557,4626,4,71,4.6,BT_Cry26Aa1,recent
4749,4810,26,71,3.7,BT_Cry26Aa1,recent
4811,4856,10,71,2,BT_Cry26Aa1,recent
4857,4984,15,71,11.2,BT_Cry26Aa1,recent
4985,5019,14,71,0.9,BT_Cry26Aa1,recent
5044,5077,17,71,0.8,BT_Cry26Aa1,recent
1,89,9,72,3.7,BT_Cry27Aa1,recent
1496,1543,28,72,10.9,BT_Cry27Aa1,recent
1793,1798,9,72,2.6,BT_Cry27Aa1,recent
1,75,18,73,2.7,BT_Cry28Aa2,recent
797,950,18,73,3.4,BT_Cry28Aa2,recent
1782,1796,16,73,0.7,BT_Cry28Aa2,recent
1797,1824,26,73,5.9,BT_Cry28Aa2,recent
1825,1844,28,73,7.5,BT_Cry28Aa2,recent
2426,2488,13,73,1.8,BT_Cry28Aa2,recent
2901,2998,9,73,4.6,BT_Cry28Aa2,recent
2999,3092,27,73,4.3,BT_Cry28Aa2,recent
3093,3170,26,73,3,BT_Cry28Aa2,recent
3293,3336,21,73,7.1,BT_Cry28Aa2,recent
3337,3406,30,73,2.3,BT_Cry28Aa2,recent
1,78,9,74,2.8,BT_Cry29Aa1,recent
807,821,9,74,17,BT_Cry29Aa1,recent
3526,3527,9,79,4.5,BT_Cry2Ac10,recent
3603,3640,27,79,5.9,BT_Cry2Ac10,recent
3603,3639,30,81,6.2,BT_Cry2Af1,recent
1835,1925,30,87,21.3,BT_Cry2Ba2,recent
2033,2061,30,87,29.8,BT_Cry2Ba2,recent
3065,3076,20,87,13.8,BT_Cry2Ba2,recent
3521,3542,30,87,9.6,BT_Cry2Ba2,recent
3598,3636,17,87,4.1,BT_Cry2Ba2,recent
2397,2408,4,88,0.6,BT_Cry30Aa1,recent
2331,2424,15,92,7.7,BT_Cry30Ea1,recent
4233,4242,29,97,24,BT_Cry31Ac1,recent
224,294,29,99,27.8,BT_Cry32Aa1,recent
509,1090,29,99,11.8,BT_Cry32Aa1,recent
1824,2040,29,99,0.5,BT_Cry32Aa1,recent
2313,2528,29,99,1.8,BT_Cry32Aa1,recent
2551,2872,29,99,2.8,BT_Cry32Aa1,recent
2873,2905,21,99,0.5,BT_Cry32Aa1,recent
4158,4270,15,99,1.5,BT_Cry32Aa1,recent
4271,4305,29,99,0,BT_Cry32Aa1,recent
4336,4690,29,99,7.3,BT_Cry32Aa1,recent
4754,4992,29,99,1.7,BT_Cry32Aa1,recent
1,253,29,100,35,BT_Cry32Ba1,recent
1121,1527,30,100,3.3,BT_Cry32Ba1,recent
1528,1580,29,100,11.9,BT_Cry32Ba1,recent
2063,2327,29,100,6.2,BT_Cry32Ba1,recent
2422,2447,22,100,0.1,BT_Cry32Ba1,recent
2468,2530,18,100,4.1,BT_Cry32Ba1,recent
2531,2903,3,100,40.7,BT_Cry32Ba1,recent
3036,3080,29,100,2.1,BT_Cry32Ba1,recent
3337,3419,30,100,6.5,BT_Cry32Ba1,recent
4389,4688,30,100,13.7,BT_Cry32Ba1,recent
4689,4731,18,100,0.9,BT_Cry32Ba1,recent
4753,4823,30,100,5.1,BT_Cry32Ba1,recent
4926,5016,20,100,0.5,BT_Cry32Ba1,recent
2654,2702,21,101,0.9,BT_Cry32Ca1,recent
3289,3371,27,101,0.6,BT_Cry32Ca1,recent
4710,4870,23,101,10.7,BT_Cry32Ca1,recent
2610,2654,27,102,0.6,BT_Cry32Cb1,recent
2655,2702,21,102,0.8,BT_Cry32Cb1,recent
3289,3341,27,102,5.7,BT_Cry32Cb1,recent
4606,4677,27,102,2.8,BT_Cry32Cb1,recent
4678,4700,13,102,4.1,BT_Cry32Cb1,recent
4797,4917,15,102,7,BT_Cry32Cb1,recent
87,211,29,103,25.2,BT_Cry32Da1,recent
212,402,8,103,35.9,BT_Cry32Da1,recent
403,588,29,103,1.1,BT_Cry32Da1,recent
589,778,8,103,21.9,BT_Cry32Da1,recent
779,1193,29,103,23.3,BT_Cry32Da1,recent
1911,1967,28,103,0,BT_Cry32Da1,recent
2071,2326,29,103,19.1,BT_Cry32Da1,recent
3639,3653,8,103,5.3,BT_Cry32Da1,recent
4817,4893,29,103,1,BT_Cry32Da1,recent
1856,1944,22,104,5.7,BT_Cry32Ea1,recent
1820,1827,22,105,5.2,BT_Cry32Ea2,recent
1828,1933,8,105,4.8,BT_Cry32Ea2,recent
85,251,29,106,34.5,BT_Cry32Fa1,recent
1795,1797,29,106,0,BT_Cry32Fa1,recent
1967,2097,29,106,2.6,BT_Cry32Fa1,recent
2403,2405,10,106,2.2,BT_Cry32Fa1,recent
2562,2569,2,106,5.5,BT_Cry32Fa1,recent
2640,2742,2,106,4,BT_Cry32Fa1,recent
3061,3149,30,106,5.1,BT_Cry32Fa1,recent
3799,3873,29,106,0.9,BT_Cry32Fa1,recent
4018,4242,29,106,18.4,BT_Cry32Fa1,recent
2637,2826,29,107,9.3,BT_Cry32Ga1,recent
4417,4570,28,107,13,BT_Cry32Ga1,recent
1831,1918,17,110,6.4,BT_Cry32Ia1,recent
2224,2327,29,110,14.5,BT_Cry32Ia1,recent
2474,2514,29,110,1.3,BT_Cry32Ia1,recent
2798,2902,26,110,8.2,BT_Cry32Ia1,recent
3975,4189,1,110,9,BT_Cry32Ia1,recent
4190,4244,29,110,2.8,BT_Cry32Ia1,recent
4435,4509,20,110,4.9,BT_Cry32Ia1,recent
4888,4996,29,110,6.1,BT_Cry32Ia1,recent
1831,1963,29,111,11.9,BT_Cry32Ja1,recent
1980,1981,29,111,3.1,BT_Cry32Ja1,recent
2208,2316,29,111,1.2,BT_Cry32Ja1,recent
3954,4089,8,111,3.9,BT_Cry32Ja1,recent
4090,4207,11,111,10.1,BT_Cry32Ja1,recent
4333,4647,30,111,5,BT_Cry32Ja1,recent
4648,4710,14,111,1.3,BT_Cry32Ja1,recent
4711,4797,1,111,6.5,BT_Cry32Ja1,recent
190,295,29,112,45,BT_Cry32Ka1,recent
1819,1843,17,112,0.6,BT_Cry32Ka1,recent
1867,1960,9,112,5,BT_Cry32Ka1,recent
2373,2429,29,112,13,BT_Cry32Ka1,recent
1,254,29,113,42.3,BT_Cry32La1,recent
1118,1154,30,113,10.2,BT_Cry32La1,recent
1183,1471,30,113,15.1,BT_Cry32La1,recent
2792,2896,9,113,7.8,BT_Cry32La1,recent
3340,3443,30,113,7.7,BT_Cry32La1,recent
4389,4693,30,113,9,BT_Cry32La1,recent
4694,4709,18,113,4.1,BT_Cry32La1,recent
4723,4770,18,113,1.9,BT_Cry32La1,recent
3752,3874,27,114,10.9,BT_Cry32Ma1,recent
4246,5015,29,114,45.5,BT_Cry32Ma1,recent
3812,3908,27,115,19.6,BT_Cry32Mb1,recent
4242,5017,29,115,43.2,BT_Cry32Mb1,recent
1831,1952,29,116,10.7,BT_Cry32Na1,recent
2029,2112,29,116,14.3,BT_Cry32Na1,recent
2113,2906,30,116,4.3,BT_Cry32Na1,recent
2957,3237,30,116,5.5,BT_Cry32Na1,recent
3345,3426,6,116,6.1,BT_Cry32Na1,recent
4058,4191,29,116,12.1,BT_Cry32Na1,recent
4461,4503,30,116,1.8,BT_Cry32Na1,recent
4136,4468,29,117,2.6,BT_Cry32Oa1,recent
745,766,25,118,5.7,BT_Cry32Pa1,recent
767,775,27,118,2.6,BT_Cry32Pa1,recent
777,789,27,118,2.5,BT_Cry32Pa1,recent
790,807,11,118,10.1,BT_Cry32Pa1,recent
808,858,27,118,24.6,BT_Cry32Pa1,recent
859,892,8,118,0,BT_Cry32Pa1,recent
893,993,10,118,6,BT_Cry32Pa1,recent
994,1025,17,118,2.4,BT_Cry32Pa1,recent
1231,1306,5,118,3.6,BT_Cry32Pa1,recent
2459,2604,28,118,1.3,BT_Cry32Pa1,recent
2605,2664,2,118,2.2,BT_Cry32Pa1,recent
2817,2916,6,118,5.9,BT_Cry32Pa1,recent
2917,3242,30,118,12.9,BT_Cry32Pa1,recent
3248,3321,8,118,0.4,BT_Cry32Pa1,recent
4376,4647,8,118,3,BT_Cry32Pa1,recent
1832,1864,15,119,0,BT_Cry32Qa1,recent
2223,2298,29,119,13.5,BT_Cry32Qa1,recent
2322,2322,29,119,1.6,BT_Cry32Qa1,recent
2323,2391,12,119,0.9,BT_Cry32Qa1,recent
2392,2414,1,119,5.2,BT_Cry32Qa1,recent
2643,2755,9,119,7.3,BT_Cry32Qa1,recent
4362,4367,11,119,2.2,BT_Cry32Qa1,recent
4368,4484,3,119,5.1,BT_Cry32Qa1,recent
4716,4863,25,119,1.6,BT_Cry32Qa1,recent
4864,4892,26,119,3.1,BT_Cry32Qa1,recent
1830,1871,8,120,1.8,BT_Cry32Ra1,recent
2236,2259,29,120,2,BT_Cry32Ra1,recent
2374,2428,8,120,5.6,BT_Cry32Ra1,recent
2638,2958,30,120,35.6,BT_Cry32Ra1,recent
3991,4223,29,120,18.7,BT_Cry32Ra1,recent
4336,4366,29,120,0.3,BT_Cry32Ra1,recent
4367,4635,30,120,22.8,BT_Cry32Ra1,recent
4936,4996,13,120,4,BT_Cry32Ra1,recent
1,53,9,121,1.7,BT_Cry32Sa1,recent
1266,1414,21,121,10.9,BT_Cry32Sa1,recent
2234,2304,27,121,15,BT_Cry32Sa1,recent
2586,2882,2,121,25.4,BT_Cry32Sa1,recent
2915,3060,7,121,10.6,BT_Cry32Sa1,recent
3066,3116,17,121,1.6,BT_Cry32Sa1,recent
3117,3278,11,121,0.6,BT_Cry32Sa1,recent
3308,3316,18,121,2.5,BT_Cry32Sa1,recent
3317,3323,3,121,3.8,BT_Cry32Sa1,recent
3352,3424,3,121,3.6,BT_Cry32Sa1,recent
3468,3485,3,121,9.9,BT_Cry32Sa1,recent
4071,4127,14,121,2.1,BT_Cry32Sa1,recent
1402,1461,28,122,2.5,BT_Cry32Ta1,recent
1462,1481,13,122,2.9,BT_Cry32Ta1,recent
3345,3396,6,122,1.7,BT_Cry32Ta1,recent
1,560,29,123,47.4,BT_Cry32Ua1,recent
561,775,8,123,30.7,BT_Cry32Ua1,recent
776,1195,29,123,29.8,BT_Cry32Ua1,recent
2070,2326,29,123,20.6,BT_Cry32Ua1,recent
3525,3655,29,123,4.1,BT_Cry32Ua1,recent
221,303,29,124,57.6,BT_Cry32Va1,recent
489,1044,29,124,33.4,BT_Cry32Va1,recent
2516,2848,15,126,17,BT_Cry39Aa1,recent
2997,3071,18,126,3.5,BT_Cry39Aa1,recent
3458,3467,16,126,0.5,BT_Cry39Aa1,recent
3468,3473,15,126,0.4,BT_Cry39Aa1,recent
4781,4883,14,126,6.1,BT_Cry39Aa1,recent
4152,4156,29,130,4.1,BT_Cry3Ca1,recent
778,795,30,131,26.2,BT_Cry40Aa1,recent
3820,3832,29,131,22.1,BT_Cry40Aa1,recent
3709,5028,29,132,13.2,BT_Cry40Ba1,recent
3994,4038,29,133,4.2,BT_Cry40Ca1,recent
806,825,9,135,16.1,BT_Cry66Aa1,recent
1283,1397,28,135,7.3,BT_Cry66Aa1,recent
1538,1552,28,135,7.5,BT_Cry66Aa1,recent
1553,1667,27,135,11.4,BT_Cry66Aa1,recent
2072,2074,27,135,5.5,BT_Cry66Aa1,recent
2075,2107,4,135,8.1,BT_Cry66Aa1,recent
2109,2175,18,135,2.8,BT_Cry66Aa1,recent
2176,2264,15,135,2.5,BT_Cry66Aa1,recent
2373,2454,30,135,4.2,BT_Cry66Aa1,recent
2455,2526,21,135,3.3,BT_Cry66Aa1,recent
2624,2675,2,135,1.5,BT_Cry66Aa1,recent
2676,2709,4,135,0,BT_Cry66Aa1,recent
3066,3113,27,135,1.2,BT_Cry66Aa1,recent
3167,3205,9,135,0.4,BT_Cry66Aa1,recent
4030,4150,2,135,7.9,BT_Cry66Aa1,recent
4387,4394,15,135,5.5,BT_Cry66Aa1,recent
4396,4410,9,135,3.4,BT_Cry66Aa1,recent
4411,4476,7,135,2.8,BT_Cry66Aa1,recent
4492,4585,4,135,5.3,BT_Cry66Aa1,recent
4586,4872,27,135,2.2,BT_Cry66Aa1,recent
4873,4985,28,135,7.1,BT_Cry66Aa1,recent
765,919,8,136,21.2,BT_Cry41Ba2,recent
920,1005,28,136,4.7,BT_Cry41Ba2,recent
1006,1026,23,136,6,BT_Cry41Ba2,recent
1571,1721,27,136,0.7,BT_Cry41Ba2,recent
2248,2252,6,136,2.9,BT_Cry41Ba2,recent
2253,2257,16,136,5.8,BT_Cry41Ba2,recent
2258,2306,27,136,3.2,BT_Cry41Ba2,recent
2307,2421,30,136,7.5,BT_Cry41Ba2,recent
2422,2612,27,136,2.3,BT_Cry41Ba2,recent
2613,2783,2,136,12.9,BT_Cry41Ba2,recent
2784,2929,21,136,10.5,BT_Cry41Ba2,recent
2930,3248,11,136,9.9,BT_Cry41Ba2,recent
2663,2722,18,137,2.2,BT_Cry43Aa1,recent
2723,2769,1,137,1,BT_Cry43Aa1,recent
2770,2952,3,137,13.6,BT_Cry43Aa1,recent
1,142,6,138,9.5,BT_Cry43Ba1,recent
1,52,8,142,1.6,BT_Cry44Aa1,recent
95,168,13,142,3.6,BT_Cry44Aa1,recent
169,221,28,142,1.7,BT_Cry44Aa1,recent
1866,1910,27,142,1,BT_Cry44Aa1,recent
2634,2695,30,142,2.5,BT_Cry44Aa1,recent
2696,2772,21,142,3.9,BT_Cry44Aa1,recent
2773,2903,13,142,9,BT_Cry44Aa1,recent
2904,2989,27,142,4.7,BT_Cry44Aa1,recent
3434,3480,2,142,3.7,BT_Cry44Aa1,recent
3537,3547,13,142,3.4,BT_Cry44Aa1,recent
4848,5046,20,142,15.7,BT_Cry44Aa1,recent
1,331,25,143,5.9,BT_Cry47Aa1,recent
1771,1819,26,143,2.4,BT_Cry47Aa1,recent
1902,1947,25,143,0.2,BT_Cry47Aa1,recent
1993,2085,25,143,0.4,BT_Cry47Aa1,recent
2646,2986,25,143,23.1,BT_Cry47Aa1,recent
3304,3327,26,143,12.5,BT_Cry47Aa1,recent
3429,3485,24,143,8.6,BT_Cry47Aa1,recent
4100,4253,25,143,8.4,BT_Cry47Aa1,recent
4293,4299,27,143,2.1,BT_Cry47Aa1,recent
4306,4354,15,143,1.3,BT_Cry47Aa1,recent
4379,4409,10,143,7.1,BT_Cry47Aa1,recent
4410,4460,14,143,0.5,BT_Cry47Aa1,recent
4461,4565,25,143,4.5,BT_Cry47Aa1,recent
1,134,28,146,7.8,BT_Cry4Aa1,recent
136,178,18,146,0.3,BT_Cry4Aa1,recent
215,235,1,146,3.3,BT_Cry4Aa1,recent
236,237,14,146,0.7,BT_Cry4Aa1,recent
238,250,10,146,2.9,BT_Cry4Aa1,recent
725,822,18,146,18.1,BT_Cry4Aa1,recent
823,836,8,146,11.6,BT_Cry4Aa1,recent
837,849,7,146,2.9,BT_Cry4Aa1,recent
859,904,28,146,0.6,BT_Cry4Aa1,recent
905,989,1,146,3.6,BT_Cry4Aa1,recent
1020,1021,9,146,0.7,BT_Cry4Aa1,recent
1022,1026,1,146,6.2,BT_Cry4Aa1,recent
1160,1201,9,146,0.3,BT_Cry4Aa1,recent
1930,1968,15,146,0,BT_Cry4Aa1,recent
2353,2408,26,146,1.3,BT_Cry4Aa1,recent
2795,2838,15,146,0.4,BT_Cry4Aa1,recent
2839,2913,27,146,2.8,BT_Cry4Aa1,recent
3066,3115,18,146,0.9,BT_Cry4Aa1,recent
3116,3163,11,146,0.7,BT_Cry4Aa1,recent
4847,4912,18,146,2.1,BT_Cry4Aa1,recent
1,78,18,149,3.8,BT_Cry4Ca1,recent
274,297,11,149,4.9,BT_Cry4Ca1,recent
298,298,21,149,1.6,BT_Cry4Ca1,recent
924,968,13,149,0.9,BT_Cry4Ca1,recent
1353,1471,17,149,7.6,BT_Cry4Ca1,recent
1472,1506,19,149,0.1,BT_Cry4Ca1,recent
2621,2673,18,149,1.6,BT_Cry4Ca1,recent
2691,2909,15,149,17.1,BT_Cry4Ca1,recent
4719,4783,4,149,2.6,BT_Cry4Ca1,recent
4812,4881,27,149,3.1,BT_Cry4Ca1,recent
1,131,15,150,37.1,BT_Cry50Aa1,recent
196,1597,15,150,59.7,BT_Cry50Aa1,recent
1,230,29,151,53.2,BT_Cry50Ba1,recent
231,1595,15,151,64.4,BT_Cry50Ba1,recent
4240,4981,19,151,9.8,BT_Cry50Ba1,recent
3736,5077,20,152,6.2,BT_Cry52Aa1,recent
2215,2249,16,153,2,BT_Cry52Ba1,recent
3742,4435,20,153,8.2,BT_Cry52Ba1,recent
