ID,Domain,Rec_comps,Rec_tox,Min_comps,Min_tox,Min_jac,Maj_comps,Maj_tox,Maj_jac,Inter_par_jac
52,domain3,11,NOV_Cry9Ga1_57.2_PER39584.1(11),11; 51,NOV_Cry68Aa1_74.8_WP_103592020.1(51); BT_Cry68Aa1(11); NOV_Cry68Aa1_80.1_PER38368.1(11),0.5,128,NOV_Cry9Ga1_58.0_AJS57594.1(128),0,0
53,domain3,0,BT_Cry1Jd1(0),,,,108,BT_Cry1Jb1(108),0,
56,domain1,159,BT_Cry9Ca1(159),,,,22; 144,BT_Cry9Ec1(144); BT_Cry9Ed1(22),0,
60,domain3,23; 40,BT_Cry32Ha1(23); BT_Cry32Hb1(40),101,BT_Cry32Ka1(101),0,16,BT_Cry32Oa1(16),0,0
62,domain1,0,BT_Cry1Db1(0),0,BT_Cry1Dd1(0),1,0,BT_Cry1Da1(0),1,1
65,domain2,4; 132,BT_Cry30Db1(132); BT_Cry30Da1(4),,,,54,NOV_Cry30Ga2_64.5_ARJ25665.1(54),0,
71,domain2,34,BT_Cry19Aa1(34),9,BT_Cry4Da1(9),0,0,BT_Cry1Nb1(0); BT_Cry1Na1(0),0,0
73,domain3,66,BT_Cry13Aa1(66),66,NOV_Cry13Aa1_50.1_ANS46780.1(66),1,,,,
75,domain1,67,NOV_Cry32Ta1_48.0_AQX37180.1(67),74,BT_Cry32Qa1(74),0,87; 89,NOV_Cry32Va1_61.0_WP_134996253.1(89); BT_Cry32Va1(87),0,0
78,domain1,162,NOV_Cry56Aa2_56.0_AGV55019.1(162),11,NOV_Cry56Aa4_56.4_PER37538.1(11),0,,,,
84,domain1,0,NOV_Cry8Aa1_47.1_EEM92570.1(0),9,BT_Cry8Ea2(9),0,90,NOV_Cry8Da1_43.7_ANC11094.1(90),0,0
87,domain1,0; 149,BT_Cry1Be1(0); BT_Cry1Bj1(149),0; 146,BT_Cry1Bf1(146); BT_Cry1Ba1(0),0.333333333333333,0,BT_Cry1Bb1(0),0.5,0.5
96,domain1,162,NOV_Cry19Ba1_74.0_AGV55021.1(162),82,BT_Cry19Ba1(82),0,9,BT_Cry4Da1(9),0,0
98,domain3,60; 100,BT_Cry3Bb1(100); BT_Cry3Ba1(60),2,BT_Cry8Da1(2),0,143,BT_Cry3Ca1(143),0,0
104,domain3,3,NOV_Cry21Aa2_44.6_AZR80772.1(3),3; 152,BT_Cry21Ba1(152); BT_Cry21Aa1(3),0.5,,,,
107,domain2,4,BT_Cry52Ca1(4),57,NOV_Cry52Ca1_62.9_AZJ24464.1(57),0,,,,
109,domain3,11,NOV_Cry69Ab1_58.0_PER42111.1(11),4; 11,BT_Cry69Ab1(4); BT_Cry69Aa1(11),0.5,51,NOV_Cry69Aa2_62.7_WP_103591151.1(51),0,0
112,domain3,7,NOV_Cry7Ea2_99.9_AFI42038.1(7),56; 76,NOV_Cry8Ca1_42.6_ABY46520.1(76); NOV_Cry8Ca1_41.2_AST51780.1(56),0,138,BT_Cry7Ca1(138),0,0
113,domain3,61,BT_Cry65Aa2(61),27,NOV_Cry65Aa2_55.6_PDY37670.1(27),0,,,,
119,domain1,115,BT_Cry14Ab1(115),3,NOV_Cry14Ab1_85.6_AXE15628.1(3),0,3,BT_Cry14Aa1(3),0,1
