Cry,Tox_type
NOV_Cry53Ab1_40.0_CAH33955.1,unaffected
NOV_Cry21Ba1_28.9_PEZ39117.1,unaffected
BT_Cry12Aa1,unaffected
BT_Cry21Ca1,unaffected
NOV_Cry21Ca2_65.9_AZR80774.1,unaffected
NOV_Cry21Ca2_64.6_AZR80780.1,unaffected
BT_Cry13Aa1,recombinant
NOV_Cry13Aa1_50.1_ANS46780.1,parent
BT_Cry5Ba1,unaffected
BT_Cry5Ab1,unaffected
BT_Cry14Aa1,parent
BT_Cry14Ab1,recombinant
NOV_Cry14Ab1_85.6_AXE15628.1,parent
BT_Cry31Ac1,unaffected
BT_Cry21Fa1,unaffected
NOV_Cry73Aa1_88.4_AQM56942.1,unaffected
BT_Cry73Aa1,unaffected
BT_Cry32Pa1,parent
BT_Cry73Ba1,recombinant
BT_Cry1Bi1,unaffected
BT_Cry1Bj1,recombinant
NOV_Cry1Ac23_90.7_CAQ03747.1,parent
BT_Cry1Ai1,parent
BT_Cry1Ah2,parent
BT_Cry1Ac39,parent
BT_Cry1Bd1,parent
BT_Cry1Bh1,unaffected
NOV_Cry9Ga1_57.2_PER39584.1,recombinant
BT_Cry68Aa1,parent
NOV_Cry68Aa1_80.1_PER38368.1,parent
NOV_Cry68Aa1_74.8_WP_103592020.1,parent
BT_Cry24Ba1,unaffected
BT_Cry20Ba2,unaffected
BT_Cry20Aa1,unaffected
NOV_Cry20Ba2_80.0_AGV55017.1,unaffected
NOV_Cry25Aa1_97.8_OUB78400.1,unaffected
BT_Cry5Ea2,unaffected
NOV_Cry14Aa1_44.0_PGW42274.1,parent
NOV_Cry14Aa1_41.1_PGW46198.1,parent
NOV_Cry14Ab1_42.4_PGW46196.1,recombinant
BT_Cry31Aa6,unaffected
BT_Cry31Ab1,unaffected
BT_Cry31Ad1,unaffected
BT_Cry26Aa1,unaffected
BT_Cry7Bb1,recombinant
BT_Cry7Ab1,unaffected
BT_Cry7Ab5,unaffected
BT_Cry7Aa1,unaffected
BT_Cry7Ac1,parent
NOV_Cry7Ba1_84.3_AFI42043.1,both
BT_Cry7Kb1,unaffected
BT_Cry7Ka1,unaffected
BT_Cry7Ia1,unaffected
BT_Cry7Ba1,parent
BT_Cry7Da1,unaffected
BT_Cry32Sa1,unaffected
NOV_Cry32Ea2_45.2_WP_087949412.1,unaffected
BT_Cry32Ja1,unaffected
BT_Cry32Ra1,unaffected
BT_Cry41Ba2,unaffected
BT_Cry41Aa1,parent
NOV_Cry43Cb1_38.6_AGV55020.1,unaffected
NOV_Cry53Ab1_39.4_AFM37573.1,unaffected
NOV_Cry9Ga1_58.0_AJS57594.1,parent
NOV_Cry5Ba1_48.7_TEA80813.1,unaffected
BT_Cry5Da1,unaffected
BT_Cry21Da1,unaffected
BT_Cry5Ca1,unaffected
NOV_Cry8Db1_49.9_WP_103653049.1,unaffected
NOV_Cry8Db1_51.1_PNK22955.1,unaffected
BT_Cry8Db1,unaffected
NOV_Cry8Aa1_47.1_EEM92570.1,recombinant
NOV_Cry8Ab1_80.3_AFP44678.1,unaffected
BT_Cry8Pa1,recombinant
BT_Cry7Fb3,unaffected
BT_Cry61Aa1,unaffected
BT_Cry7Gd1,unaffected
BT_Cry7Gb1,unaffected
NOV_Cry7Gb1_94.1_AGM39662.1,unaffected
BT_Cry7Gc1,unaffected
BT_Cry7Ga2,unaffected
BT_Cry47Aa1,unaffected
NOV_Cry32Ua1_65.2_AQM56939.1,unaffected
BT_Cry32Ba1,unaffected
BT_Cry32La1,unaffected
BT_Cry32Ka1,parent
BT_Cry32Ha1,both
BT_Cry32Hb1,both
BT_Cry32Qa1,parent
BT_Cry32Ta1,parent
BT_Cry32Va1,parent
NOV_Cry32Va1_61.0_WP_134996253.1,parent
NOV_Cry41Ca1_50.4_AZJ24166.1,unaffected
BT_Cry32Ma1,parent
BT_Cry32Mb1,parent
BT_Cry32Aa1,unaffected
BT_Cry58Aa1,unaffected
BT_Cry21Ea1,unaffected
NOV_Cry21Ea1_53.3_OTW62068.1,unaffected
BT_Cry7Ca1,parent
BT_Cry7La1,unaffected
BT_Cry7Ja1,unaffected
BT_Cry7Fa1,unaffected
BT_Cry7Ha1,parent
NOV_Cry7Ca1_86.8_AGM39664.1,both
BT_Cry32Na1,unaffected
BT_Cry32Ea1,unaffected
BT_Cry32Ea2,unaffected
BT_Cry32Ga1,unaffected
NOV_Cry32Ea2_41.9_AQM56938.1,unaffected
NOV_Cry32Ma1_57.7_AXY11484.1,parent
BT_Cry41Ab1,recombinant
BT_Cry42Aa1,unaffected
NOV_Cry73Ba1_39.0_PEE63029.1,unaffected
NOV_Cry41Ca1_39.9_WP_001075423.1,unaffected
BT_Cry40Ba1,parent
BT_Cry24Ca1,recombinant
NOV_Cry24Aa1_98.3_WP_086403584.1,unaffected
NOV_Cry21Ea1_36.9_AGS78123.2,unaffected
NOV_Cry21Ea1_32.5_AGS78122.1,unaffected
NOV_Cry21Ea1_40.3_AOM14729.1,unaffected
NOV_Cry21Ea1_42.1_AEH76823.1,unaffected
BT_Cry8Ab1,parent
BT_Cry8Ac1,unaffected
BT_Cry8Qa1,parent
BT_Cry1Hc1,unaffected
BT_Cry1Dd1,parent
BT_Cry1Db1,both
BT_Cry1Da1,parent
BT_Cry1Ha1,unaffected
BT_Cry1Hb1,unaffected
NOV_Cry8Da1_43.7_ANC11094.1,parent
NOV_Cry8Ha1_89.4_ABB29866.1,parent
BT_Cry8Ha1,parent
BT_Cry8Hb1,parent
NOV_Cry8Ha1_89.8_ATY50148.1,parent
BT_Cry1Ig1,both
BT_Cry1Ka2,parent
BT_Cry1Fa1,both
BT_Cry3Bb1,both
BT_Cry3Ba1,both
BT_Cry8Da1,parent
BT_Cry67Aa2,unaffected
BT_Cry19Aa1,both
NOV_Cry3Aa12_81.9_AEZ53144.1,parent
BT_Cry3Aa10,parent
BT_Cry3Ca1,parent
NOV_Cry32Ta1_48.0_AQX37180.1,recombinant
BT_Cry9Aa1,parent
BT_Cry9Ca1,recombinant
BT_Cry9Dc1,unaffected
BT_Cry9Ba1,unaffected
BT_Cry9Eb1,unaffected
BT_Cry9Da1,unaffected
BT_Cry9Db1,unaffected
BT_Cry9Bb1,parent
BT_Cry9Ee1,recombinant
BT_Cry1Ba1,parent
BT_Cry1Jb1,parent
BT_Cry9Ea10,parent
BT_Cry9Ec1,parent
BT_Cry9Ed1,parent
BT_Cry1Nb1,parent
BT_Cry1Na1,parent
BT_Cry1Gc1,parent
BT_Cry1Ga2,parent
BT_Cry1Gb1,parent
BT_Cry1Ie4,parent
BT_Cry1Id1,parent
BT_Cry1Ia11,parent
BT_Cry1Ic1,parent
BT_Cry1Ia17,parent
BT_Cry1Ma1,parent
BT_Cry1Dc1,both
BT_Cry1Ad1,parent
BT_Cry1Aa10,parent
BT_Cry1Ag1,parent
BT_Cry1Ab2,parent
NOV_Cry1Ab12_91.4_AAK14338.1,parent
BT_Cry1Ab1,parent
NOV_Cry1Ab32_92.7_AAK14337.1,parent
BT_Cry1Aj1,parent
NOV_Cry1Ab20_69.9_AAK14339.1,parent
BT_Cry9Ga1,both
NOV_Cry1Ie5_79.3_PQQ47595.1,parent
BT_Cry1Bb1,parent
BT_Cry1Ja1,parent
BT_Cry1Fb1,parent
BT_Cry1Ca11,parent
BT_Cry1Ea10,parent
NOV_Cry1Ea10_93.2_AAX86871.1,parent
BT_Cry1La1,unaffected
BT_Cry9Fa1,unaffected
BT_Cry1Cb1,recombinant
BT_Cry1Bf1,parent
BT_Cry1Bg1,parent
BT_Cry1Be1,both
BT_Cry1Eb1,parent
BT_Cry8Ea2,parent
BT_Cry66Aa1,unaffected
BT_Cry32Fa1,unaffected
BT_Cry32Da1,unaffected
BT_Cry32Ua1,unaffected
BT_Cry32Ia1,unaffected
NOV_Cry32Hb1_41.4_AQX37181.1,unaffected
BT_Cry32Oa1,parent
BT_Cry8Kb1,unaffected
BT_Cry8Aa1,unaffected
NOV_Cry8Ab1_80.0_AMR06151.1,recombinant
BT_Cry8Ra1,parent
BT_Cry8Ad1,unaffected
NOV_Cry21Aa2_44.6_AZR80772.1,recombinant
BT_Cry21Aa1,parent
BT_Cry21Ba1,parent
NOV_Cry7Ea2_99.9_AFI42038.1,both
NOV_Cry8Ca1_42.6_ABY46520.1,parent
NOV_Cry8Ca1_41.2_AST51780.1,parent
NOV_Cry4Ba1_63.7_AJW76684.1,recombinant
BT_Cry50Ba1,both
BT_Cry30Db1,recombinant
BT_Cry30Da1,recombinant
NOV_Cry4Ba1_63.8_OUB35623.1,both
BT_Cry4Ba1,recombinant
BT_Cry4Ba3,recombinant
BT_Cry50Aa1,recombinant
BT_Cry30Ga1,parent
BT_Cry30Ca1,parent
BT_Cry30Fa1,parent
BT_Cry30Ea1,parent
BT_Cry30Aa1,parent
