ID,Rec,Unknown_flag,Type,Min_par,Num_min_par,Min_par_new,Num_min_par_new,Maj_par,Num_maj_par,Maj_par_new,Num_maj_par_new,Par_all_init,Par_new,parent_1,parent_2,parent_3,parent1_num,parent2_num,parent3_num
34,NOV_Cry14Ab1_42.4_PGW46196.1,no,domain1,NOV_Cry14Aa1_44.0_PGW42274.1,1,NOV_Cry14Aa1_44.0_PGW42274.1,1,NOV_Cry14Aa1_41.1_PGW46198.1,1,NOV_Cry14Aa1_41.1_PGW46198.1,1,2,2,NOV_Cry14Aa1_44.0_PGW42274.1,NOV_Cry14Aa1_41.1_PGW46198.1,NOV_Cry14Aa1_41.1_PGW46198.1,1,1,1
36,BT_Cry73Ba1,no,domain3,BT_Cry32Pa1,1,BT_Cry32Pa1,1,BT_Cry32Ma1;BT_Cry32Mb1,2,BT_Cry32Ma1;BT_Cry32Mb1,2,3,3,BT_Cry32Ma1;BT_Cry32Mb1,BT_Cry32Ma1;BT_Cry32Mb1,BT_Cry32Pa1,2,2,1
37,BT_Cry52Ca1,no,domain3,BT_Cry40Aa1,1,BT_Cry40Aa1,1,NOV_Cry52Ca1_62.9_AZJ24464.1,1,NOV_Cry52Ca1_62.9_AZJ24464.1,1,2,4,BT_Cry52Aa1;BT_Cry52Ba1;NOV_Cry52Ca1_62.9_AZJ24464.1,event_107(NOV_Cry52Ca1_62.9_AZJ24464.1),BT_Cry40Aa1,3,1,1
38,BT_Cry59Ba1,no,domain1,NOV_Cry40Da1_81.5_AIN76756.1;BT_Cry40Ca1;BT_Cry40Da1;NOV_Cry40Da1_65.0_CAH33957.1;NOV_Cry40Da1_77.3_ARJ25823.1,5,BT_Cry40Ca1;NOV_Cry40Da1_81.5_AIN76756.1;NOV_Cry40Da1_77.3_ARJ25823.1;NOV_Cry40Da1_65.0_CAH33957.1;BT_Cry40Da1;BT_Cry40Ba1;NOV_Cry40Da1_66.9_PER55269.1,7,BT_Cry59Aa1,1,BT_Cry59Aa1,1,6,8,BT_Cry40Ba1;BT_Cry40Ca1;BT_Cry40Da1;NOV_Cry40Da1_65.0_CAH33957.1;NOV_Cry40Da1_66.9_PER55269.1;NOV_Cry40Da1_77.3_ARJ25823.1;NOV_Cry40Da1_81.5_AIN76756.1,BT_Cry59Aa1,BT_Cry59Aa1,7,1,1
39,BT_Cry52Aa1,no,domain3,BT_Cry40Aa1,1,BT_Cry52Ca1;BT_Cry40Aa1,2,NOV_Cry52Ca1_62.9_AZJ24464.1,1,NOV_Cry52Ca1_62.9_AZJ24464.1,1,2,4,NOV_Cry52Ca1_62.9_AZJ24464.1,BT_Cry52Ca1;NOV_Cry52Ca1_62.9_AZJ24464.1,BT_Cry40Aa1;BT_Cry52Ca1,1,2,2
44,BT_Cry9Ee1,no,domain3,BT_Cry9Bb1,1,BT_Cry9Bb1,1,BT_Cry9Ec1;BT_Cry9Ed1,2,BT_Cry9Ed1;BT_Cry9Ec1,2,3,3,BT_Cry9Ec1;BT_Cry9Ed1,BT_Cry9Ec1;BT_Cry9Ed1,BT_Cry9Bb1,2,2,1
45,NOV_Cry40Da1_65.0_CAH33957.1,no,domain1,NOV_Cry40Da1_66.9_PER55269.1,1,NOV_Cry40Da1_66.9_PER55269.1,1,BT_Cry40Da1;NOV_Cry40Da1_81.5_AIN76756.1,2,unknown,0,3,5,NOV_Cry40Da1_66.9_PER55269.1,BT_Cry40Da1;NOV_Cry40Da1_77.3_ARJ25823.1;NOV_Cry40Da1_81.5_AIN76756.1,event_103(unknown),1,3,0
47,BT_Cry2Ai1,no,domain1,BT_Cry2Ac10,1,BT_Cry2Ac10,1,BT_Cry2Aa13,1,BT_Cry2Aa13,1,2,2,BT_Cry2Ac10,BT_Cry2Aa13,BT_Cry2Aa13,1,1,1
49,NOV_Cry8Ab1_80.0_AMR06151.1,no,domain3,BT_Cry8Ra1,1,BT_Cry8Ra1,1,BT_Cry8Ab1,1,BT_Cry8Ab1,1,2,2,BT_Cry8Ab1,BT_Cry8Ab1,BT_Cry8Ra1,1,1,1
51,BT_Cry8Fa2,no,domain3,BT_Cry8Ga1,1,BT_Cry8Ga1,1,BT_Cry8Qa1,1,BT_Cry8Qa1,1,2,2,BT_Cry8Qa1,BT_Cry8Qa1,BT_Cry8Ga1,1,1,1
52,NOV_Cry9Ga1_57.2_PER39584.1,no,domain3,NOV_Cry68Aa1_74.8_WP_103592020.1;BT_Cry68Aa1;NOV_Cry68Aa1_80.1_PER38368.1,3,NOV_Cry68Aa1_80.1_PER38368.1;BT_Cry68Aa1;NOV_Cry68Aa1_74.8_WP_103592020.1,3,NOV_Cry9Ga1_58.0_AJS57594.1,1,NOV_Cry9Ga1_58.0_AJS57594.1,1,4,4,NOV_Cry9Ga1_58.0_AJS57594.1,NOV_Cry9Ga1_58.0_AJS57594.1,BT_Cry68Aa1;NOV_Cry68Aa1_74.8_WP_103592020.1;NOV_Cry68Aa1_80.1_PER38368.1,1,1,3
53,BT_Cry1Jd1,minor,domain3,BT_Cry9Ca1;BT_Cry9Ea10;BT_Cry9Ec1;BT_Cry9Ed1;BT_Cry9Fa1,0,unknown,0,BT_Cry1Jb1,1,BT_Cry1Jb1,1,1,2,BT_Cry1Jb1,BT_Cry1Ja1;BT_Cry1Jb1,unknown,1,2,0
56,BT_Cry9Ca1,minor,domain1,BT_Cry9Ea10,0,unknown,0,BT_Cry9Ed1;BT_Cry9Ec1,2,BT_Cry9Ed1;BT_Cry9Ec1,2,2,4,unknown,BT_Cry9Ec1;BT_Cry9Ed1,BT_Cry1Jb1;BT_Cry9Ea10;BT_Cry9Ec1;BT_Cry9Ed1,0,2,4
60,BT_Cry32Ha1;BT_Cry32Hb1,no,domain3,BT_Cry32Ka1,1,BT_Cry32Ka1,1,BT_Cry32Oa1,1,BT_Cry32Oa1,1,2,2,BT_Cry32Oa1,BT_Cry32Oa1,BT_Cry32Ka1,1,1,1
62,BT_Cry1Db1,no,domain1,BT_Cry1Dd1,1,BT_Cry1Dd1,1,BT_Cry1Da1,1,BT_Cry1Da1,1,2,3,BT_Cry1Dd1,BT_Cry1Da1;BT_Cry1Dc1,BT_Cry1Da1,1,2,1
65,BT_Cry30Db1;BT_Cry30Da1,minor,domain2,BT_Cry30Ba1;BT_Cry30Ca1,0,unknown,0,NOV_Cry30Ga2_64.5_ARJ25665.1,1,NOV_Cry30Ga2_64.5_ARJ25665.1,1,1,1,NOV_Cry30Ga2_64.5_ARJ25665.1,unknown,NOV_Cry30Ga2_64.5_ARJ25665.1,1,0,1
71,BT_Cry19Aa1,no,domain2,BT_Cry4Da1,1,BT_Cry4Da1,1,BT_Cry1Na1;BT_Cry1Nb1,2,BT_Cry1Na1;BT_Cry1Nb1,2,3,27,BT_Cry1Na1;BT_Cry1Nb1,BT_Cry4Da1,NOV_Cry1Ab20_69.9_AAK14339.1;BT_Cry1Aa10;BT_Cry1Ab1;BT_Cry1Ab2;BT_Cry1Ad1;BT_Cry1Ag1;BT_Cry1Bb1;BT_Cry1Fb1;BT_Cry1Ga2;BT_Cry1Gb1;BT_Cry1Ia11;BT_Cry1Ia17;BT_Cry1Ic1;BT_Cry1Id1;BT_Cry1Ie4;BT_Cry1Ja1;BT_Cry1Ma1;BT_Cry1Na1;BT_Cry1Nb1;BT_Cry9Ga1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;BT_Cry1Aj1;BT_Cry1Dc1;BT_Cry1Gc1;NOV_Cry1Ie5_79.3_PQQ47595.1,2,1,26
73,BT_Cry13Aa1,major,domain3,NOV_Cry13Aa1_50.1_ANS46780.1,1,NOV_Cry13Aa1_50.1_ANS46780.1,1,NOV_Cry14Aa1_44.0_PGW42274.1,0,unknown,0,1,1,unknown,unknown,NOV_Cry13Aa1_50.1_ANS46780.1,0,0,1
74,BT_Cry8Pa1,minor,domain3,BT_Cry1Na1;BT_Cry1Nb1,0,unknown,0,BT_Cry8Ea2,1,unknown,0,1,3,BT_Cry8Ea2;BT_Cry8Ja1,event_22(NOV_Cry8Ba1_88.6_AEP25412.1),unknown,2,1,0
75,NOV_Cry32Ta1_48.0_AQX37180.1,no,domain1,BT_Cry32Qa1,1,BT_Cry32Qa1,1,BT_Cry32Va1;NOV_Cry32Va1_61.0_WP_134996253.1,2,BT_Cry32Va1;NOV_Cry32Va1_61.0_WP_134996253.1,2,3,8,BT_Cry32Qa1,BT_Cry32Va1;NOV_Cry32Va1_61.0_WP_134996253.1,BT_Cry32Ha1;BT_Cry32Hb1;BT_Cry32Ka1;BT_Cry32Qa1;BT_Cry32Ta1;BT_Cry32Va1;NOV_Cry32Va1_61.0_WP_134996253.1,1,2,7
78,NOV_Cry56Aa2_56.0_AGV55019.1,no,domain1,NOV_Cry56Aa4_56.4_PER37538.1,1,NOV_Cry56Aa4_56.4_PER37538.1,1,NOV_Cry56Aa4_77.6_ARJ25668.1;BT_Cry56Aa1;NOV_Cry56Aa4_79.3_WP_103592286.1,3,unknown,0,4,5,NOV_Cry56Aa4_56.4_PER37538.1,NOV_Cry56Aa4_56.4_PER37538.1,BT_Cry56Aa1;NOV_Cry56Aa4_77.6_ARJ25668.1;NOV_Cry56Aa4_79.3_WP_103592286.1,1,1,3
84,NOV_Cry8Aa1_47.1_EEM92570.1,no,domain1,BT_Cry8Ea2,1,BT_Cry8Ea2,1,NOV_Cry8Da1_43.7_ANC11094.1,1,NOV_Cry8Da1_43.7_ANC11094.1,1,2,12,BT_Cry8Ea2,NOV_Cry8Da1_43.7_ANC11094.1,BT_Cry1Fa1;BT_Cry1Ig1;BT_Cry1Ka2;BT_Cry3Ba1;BT_Cry3Bb1;BT_Cry8Da1;BT_Cry8Ha1;BT_Cry8Hb1;NOV_Cry8Da1_43.7_ANC11094.1;NOV_Cry8Ha1_89.4_ABB29866.1;NOV_Cry8Ha1_89.8_ATY50148.1,1,1,11
87,BT_Cry1Be1;BT_Cry1Bj1,no,domain1,BT_Cry1Bf1;BT_Cry1Ba1,2,BT_Cry1Bf1;BT_Cry1Ba1,2,BT_Cry1Bh1;BT_Cry1Bb1;BT_Cry1Bd1,3,BT_Cry1Bb1,1,5,29,BT_Cry1Ba1;BT_Cry1Bf1,BT_Cry1Bb1;BT_Cry1Bd1,NOV_Cry1Ab20_69.9_AAK14339.1;BT_Cry1Aa10;BT_Cry1Ab1;BT_Cry1Ab2;BT_Cry1Ad1;BT_Cry1Ag1;BT_Cry1Bb1;BT_Cry1Fb1;BT_Cry1Ga2;BT_Cry1Gb1;BT_Cry1Ia11;BT_Cry1Ia17;BT_Cry1Ic1;BT_Cry1Id1;BT_Cry1Ie4;BT_Cry1Ja1;BT_Cry1Ma1;BT_Cry1Na1;BT_Cry1Nb1;BT_Cry9Ga1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;BT_Cry1Aj1;BT_Cry1Dc1;BT_Cry1Gc1;NOV_Cry1Ie5_79.3_PQQ47595.1,2,2,26
95,BT_Cry2Am1,no,domain1,BT_Cry2Al1,1,BT_Cry2Al1,1,BT_Cry2Ag1;BT_Cry2Ab15,2,BT_Cry2Ag1;BT_Cry2Ab15,2,3,4,BT_Cry2Al1,BT_Cry2Ab10;BT_Cry2Ab15;BT_Cry2Ag1,BT_Cry2Ab15;BT_Cry2Ag1,1,3,2
96,NOV_Cry19Ba1_74.0_AGV55021.1,no,domain1,BT_Cry19Ba1,1,BT_Cry19Ba1,1,BT_Cry4Da1,1,BT_Cry4Da1,1,2,3,BT_Cry19Ba1,BT_Cry19Aa1;BT_Cry4Da1,BT_Cry4Da1,1,2,1
98,BT_Cry3Bb1;BT_Cry3Ba1,no,domain3,BT_Cry8Da1,1,BT_Cry8Da1,1,BT_Cry3Ca1,1,BT_Cry3Ca1,1,2,4,BT_Cry3Ca1,BT_Cry3Aa10;BT_Cry3Ca1;NOV_Cry3Aa12_81.9_AEZ53144.1,BT_Cry8Da1,1,3,1
103,NOV_Cry40Da1_65.0_CAH33957.1,minor,domain3,NOV_Cry40Da1_66.9_PER55269.1,0,unknown,0,BT_Cry40Da1;NOV_Cry40Da1_81.5_AIN76756.1,2,unknown,0,2,4,event_45(NOV_Cry40Da1_66.9_PER55269.1),event_45(BT_Cry40Da1;NOV_Cry40Da1_77.3_ARJ25823.1;NOV_Cry40Da1_81.5_AIN76756.1),unknown,1,3,0
104,NOV_Cry21Aa2_44.6_AZR80772.1,major,domain3,BT_Cry21Ba1;BT_Cry21Aa1,2,BT_Cry21Aa1;BT_Cry21Ba1,2,BT_Cry21Fa1,0,unknown,0,2,2,unknown,unknown,BT_Cry21Aa1;BT_Cry21Ba1,0,0,2
107,BT_Cry52Ca1,major,domain2,NOV_Cry52Ca1_62.9_AZJ24464.1,1,NOV_Cry52Ca1_62.9_AZJ24464.1,1,BT_Cry52Aa1;BT_Cry52Ba1,0,unknown,0,1,5,event_37(BT_Cry52Aa1;BT_Cry52Ba1;NOV_Cry52Ca1_62.9_AZJ24464.1),NOV_Cry52Ca1_62.9_AZJ24464.1,event_37(BT_Cry40Aa1),3,1,1
109,NOV_Cry69Ab1_58.0_PER42111.1,no,domain3,BT_Cry69Aa1;BT_Cry69Ab1,2,BT_Cry69Aa1;BT_Cry69Ab1,2,NOV_Cry69Aa2_62.7_WP_103591151.1,1,NOV_Cry69Aa2_62.7_WP_103591151.1,1,3,4,NOV_Cry69Aa2_62.7_WP_103591151.1;NOV_Cry69Ab1_59.2_WP_103591619.1,NOV_Cry69Aa2_62.7_WP_103591151.1,BT_Cry69Aa1;BT_Cry69Ab1,2,1,2
112,NOV_Cry7Ea2_99.9_AFI42038.1,no,domain3,NOV_Cry8Ca1_41.2_AST51780.1;NOV_Cry8Ca1_42.6_ABY46520.1,2,NOV_Cry8Ca1_41.2_AST51780.1;NOV_Cry8Ca1_42.6_ABY46520.1,2,BT_Cry7Ca1,1,BT_Cry7Ca1,1,3,4,BT_Cry7Ca1,NOV_Cry7Ca1_86.8_AGM39664.1;BT_Cry7Ca1,NOV_Cry8Ca1_41.2_AST51780.1;NOV_Cry8Ca1_42.6_ABY46520.1,1,2,2
113,BT_Cry65Aa2,major,domain3,NOV_Cry65Aa2_55.6_PDY37670.1,1,NOV_Cry65Aa2_55.6_PDY37670.1,1,NOV_Cry32Ua1_65.2_AQM56939.1,0,unknown,0,1,1,unknown,unknown,NOV_Cry65Aa2_55.6_PDY37670.1,0,0,1
119,BT_Cry14Ab1,no,domain1,NOV_Cry14Ab1_85.6_AXE15628.1,1,NOV_Cry14Ab1_85.6_AXE15628.1,1,BT_Cry14Aa1,1,BT_Cry14Aa1,1,2,2,NOV_Cry14Ab1_85.6_AXE15628.1,BT_Cry14Aa1,BT_Cry14Aa1,1,1,1
