Accession,Dataset,MGE_type,MGE_num_glob,Cry_num,Rec_num,Cry_mge,Rec_mge
GCA_002147415.1,cry,GIs,16,1,0,0,0
GCA_002147415.1,cry,IS,123,1,0,0,0
GCA_002146335.1,cry,GIs,19,1,0,0,0
GCA_002146335.1,cry,IS,131,1,0,0,0
GCA_002146825.1,cry,GIs,20,4,0,1,0
GCA_002146825.1,cry,IS,117,4,0,0,0
GCA_000878525.1,cry,GIs,22,4,0,1,0
GCA_000878525.1,cry,IS,148,4,0,0,0
GCA_002147605.1,rec,GIs,15,6,2,3,1
GCA_002147605.1,rec,IS,189,6,2,0,0
GCA_002146595.1,cry,GIs,18,4,0,2,0
GCA_002146595.1,cry,IS,171,4,0,0,0
GCA_000161635.1,cry,GIs,10,2,0,2,0
GCA_000161635.1,cry,IS,34,2,0,0,0
GCA_002555365.1,cry,GIs,6,3,0,0,0
GCA_002555365.1,cry,IS,65,3,0,0,0
GCA_002589045.1,cry,GIs,4,3,0,0,0
GCA_002589045.1,cry,IS,70,3,0,0,0
GCA_002146785.1,cry,GIs,15,2,0,0,0
GCA_002146785.1,cry,IS,135,2,0,0,0
GCA_002147435.1,cry,GIs,14,4,0,0,0
GCA_002147435.1,cry,IS,230,4,0,0,0
GCA_000468975.2,rec,GIs,11,4,1,1,1
GCA_000468975.2,rec,IS,55,4,1,0,0
GCA_002147085.1,rec,GIs,11,13,3,0,0
GCA_002147085.1,rec,IS,269,13,3,0,0
GCA_002025105.1,cry,GIs,14,3,0,3,0
GCA_002025105.1,cry,IS,52,3,0,2,0
GCA_002146345.1,cry,GIs,9,1,0,0,0
GCA_002146345.1,cry,IS,88,1,0,0,0
GCA_000193355.1,cry,GIs,16,5,0,4,0
GCA_000193355.1,cry,IS,80,5,0,0,0
GCA_000161695.1,cry,GIs,15,1,0,0,0
GCA_000161695.1,cry,IS,58,1,0,0,0
GCA_002148065.1,cry,GIs,12,1,0,0,0
GCA_002148065.1,cry,IS,75,1,0,0,0
GCA_002146615.1,rec,GIs,11,4,1,0,0
GCA_002146615.1,rec,IS,98,4,1,0,0
GCA_002147235.1,cry,GIs,11,4,0,3,0
GCA_002147235.1,cry,IS,158,4,0,0,0
GCA_002893605.1,rec,GIs,7,5,1,0,0
GCA_002893605.1,rec,IS,58,5,1,0,0
GCA_002552985.1,cry,GIs,9,1,0,1,0
GCA_002552985.1,cry,IS,49,1,0,0,0
GCA_002147555.1,rec,GIs,14,5,1,0,0
GCA_002147555.1,rec,IS,199,5,1,0,0
GCA_002572135.1,cry,GIs,5,3,0,0,0
GCA_002572135.1,cry,IS,71,3,0,0,0
GCA_002893525.1,cry,GIs,8,1,0,0,0
GCA_002893525.1,cry,IS,66,1,0,0,0
GCA_002243685.1,rec,GIs,17,1,1,1,1
GCA_002243685.1,rec,IS,90,1,1,0,0
GCA_002581075.1,cry,GIs,8,3,0,0,0
GCA_002581075.1,cry,IS,65,3,0,0,0
GCA_002552915.1,cry,GIs,5,1,0,0,0
GCA_002552915.1,cry,IS,27,1,0,0,0
GCA_002147245.1,cry,GIs,11,5,0,2,0
GCA_002147245.1,cry,IS,223,5,0,0,0
GCA_002551615.1,cry,GIs,10,3,0,0,0
GCA_002551615.1,cry,IS,73,3,0,0,0
GCA_002146945.1,cry,GIs,5,1,0,0,0
GCA_002146945.1,cry,IS,380,1,0,0,0
GCA_000161715.1,rec,GIs,14,9,3,5,1
GCA_000161715.1,rec,IS,53,9,3,0,0
GCA_003312445.1,rec,GIs,8,5,1,0,0
GCA_003312445.1,rec,IS,79,5,1,0,0
GCA_002146445.1,rec,GIs,13,4,1,1,1
GCA_002146445.1,rec,IS,53,4,1,0,0
GCA_002585935.1,cry,GIs,6,1,0,0,0
GCA_002585935.1,cry,IS,113,1,0,0,0
GCA_001721165.1,cry,GIs,23,1,0,0,0
GCA_001721165.1,cry,IS,230,1,0,0,0
GCA_001402735.1,rec,GIs,9,3,1,0,0
GCA_001402735.1,rec,IS,109,3,1,0,0
GCA_004330415.1,rec,GIs,7,7,2,3,1
GCA_004330415.1,rec,IS,65,7,2,0,0
GCA_002576765.1,cry,GIs,5,1,0,0,0
GCA_002576765.1,cry,IS,33,1,0,0,0
GCA_002146905.1,cry,GIs,14,3,0,0,0
GCA_002146905.1,cry,IS,65,3,0,0,0
GCA_001640965.1,cry,GIs,14,2,0,1,0
GCA_001640965.1,cry,IS,32,2,0,0,0
GCA_002147155.1,rec,GIs,16,5,1,0,0
GCA_002147155.1,rec,IS,170,5,1,0,0
GCA_000161535.1,cry,GIs,16,1,0,1,0
GCA_000161535.1,cry,IS,35,1,0,0,0
GCA_002146655.1,rec,GIs,13,2,1,2,1
GCA_002146655.1,rec,IS,40,2,1,0,0
GCA_002146395.1,cry,GIs,8,1,0,0,0
GCA_002146395.1,cry,IS,102,1,0,1,0
GCA_002586085.1,cry,GIs,13,5,0,0,0
GCA_002586085.1,cry,IS,94,5,0,1,0
GCA_002146845.1,cry,GIs,13,1,0,1,0
GCA_002146845.1,cry,IS,38,1,0,0,0
GCA_004194435.2,rec,GIs,16,4,1,3,1
GCA_004194435.2,rec,IS,63,4,1,0,0
GCA_002146505.1,rec,GIs,11,2,1,2,1
GCA_002146505.1,rec,IS,43,2,1,0,0
GCA_004167115.1,cry,GIs,10,3,0,0,0
GCA_004167115.1,cry,IS,82,3,0,0,0
GCA_001595725.1,rec,GIs,17,2,1,1,1
GCA_001595725.1,rec,IS,64,2,1,0,0
GCA_001880115.1,cry,GIs,15,4,0,1,0
GCA_001880115.1,cry,IS,58,4,0,0,0
GCA_002146325.1,cry,GIs,23,1,0,0,0
GCA_002146325.1,cry,IS,149,1,0,0,0
GCA_000833655.1,cry,GIs,28,2,0,1,0
GCA_000833655.1,cry,IS,219,2,0,0,0
GCA_002146545.1,rec,GIs,11,4,1,1,1
GCA_002146545.1,rec,IS,60,4,1,0,0
GCA_002584205.1,rec,GIs,7,3,3,0,0
GCA_002584205.1,rec,IS,67,3,3,1,1
GCA_002576585.1,cry,GIs,4,3,0,0,0
GCA_002576585.1,cry,IS,106,3,0,0,0
GCA_002561465.1,rec,GIs,5,2,1,0,0
GCA_002561465.1,rec,IS,46,2,1,0,0
GCA_002148015.1,rec,GIs,15,1,1,0,0
GCA_002148015.1,rec,IS,141,1,1,0,0
GCA_000161515.1,rec,GIs,15,2,2,1,1
GCA_000161515.1,rec,IS,49,2,2,0,0
GCA_004354265.1,rec,GIs,15,4,1,3,1
GCA_004354265.1,rec,IS,63,4,1,0,0
GCA_002147325.1,cry,GIs,14,7,0,4,0
GCA_002147325.1,cry,IS,120,7,0,0,0
GCA_002146755.1,rec,GIs,13,3,1,1,0
GCA_002146755.1,rec,IS,102,3,1,0,0
GCA_002574895.1,cry,GIs,4,1,0,0,0
GCA_002574895.1,cry,IS,92,1,0,0,0
GCA_002969075.1,rec,GIs,10,2,1,0,0
GCA_002969075.1,rec,IS,38,2,1,0,0
GCA_000161555.1,cry,GIs,18,4,0,3,0
GCA_000161555.1,cry,IS,80,4,0,0,0
GCA_003991175.1,rec,GIs,20,5,1,1,0
GCA_003991175.1,rec,IS,260,5,1,1,0
GCA_000161475.1,cry,GIs,10,4,0,4,0
GCA_000161475.1,cry,IS,40,4,0,0,0
GCA_002147255.1,cry,GIs,19,4,0,1,0
GCA_002147255.1,cry,IS,175,4,0,0,0
GCA_002558525.1,cry,GIs,7,7,0,0,0
GCA_002558525.1,cry,IS,84,7,0,1,0
GCA_002571265.1,cry,GIs,13,1,0,0,0
GCA_002571265.1,cry,IS,62,1,0,0,0
GCA_002552905.1,cry,GIs,9,1,0,1,0
GCA_002552905.1,cry,IS,42,1,0,0,0
GCA_000190515.1,cry,GIs,12,3,0,0,0
GCA_000190515.1,cry,IS,62,3,0,0,0
GCA_002147635.1,cry,GIs,12,4,0,2,0
GCA_002147635.1,cry,IS,150,4,0,0,0
GCA_002147725.1,rec,GIs,14,5,1,0,0
GCA_002147725.1,rec,IS,199,5,1,0,0
GCA_000530375.1,cry,GIs,14,2,0,1,0
GCA_000530375.1,cry,IS,184,2,0,0,0
GCA_002147315.1,rec,GIs,11,9,2,0,0
GCA_002147315.1,rec,IS,114,9,2,0,0
GCA_000969665.1,cry,GIs,6,2,0,0,0
GCA_000969665.1,cry,IS,58,2,0,0,0
GCA_002147495.1,cry,GIs,12,1,0,0,0
GCA_002147495.1,cry,IS,112,1,0,0,0
GCA_002574115.1,cry,GIs,12,5,0,4,0
GCA_002574115.1,cry,IS,46,5,0,0,0
GCA_002147565.1,cry,GIs,16,7,0,3,0
GCA_002147565.1,cry,IS,209,7,0,0,0
GCA_000803665.1,rec,GIs,24,7,1,2,1
GCA_000803665.1,rec,IS,124,7,1,0,0
GCA_002566555.1,cry,GIs,12,1,0,1,0
GCA_002566555.1,cry,IS,53,1,0,0,0
GCA_002147575.1,rec,GIs,15,6,1,4,1
GCA_002147575.1,rec,IS,187,6,1,0,0
GCA_000717535.1,rec,GIs,18,6,1,3,0
GCA_000717535.1,rec,IS,160,6,1,0,0
GCA_002565385.1,cry,GIs,11,1,0,1,0
GCA_002565385.1,cry,IS,29,1,0,0,0
GCA_000292705.1,rec,GIs,11,4,1,0,0
GCA_000292705.1,rec,IS,45,4,1,0,0
GCA_002147835.1,cry,GIs,7,2,0,0,0
GCA_002147835.1,cry,IS,42,2,0,0,0
GCA_003046465.1,cry,GIs,5,1,0,0,0
GCA_003046465.1,cry,IS,99,1,0,0,0
GCA_000497525.2,cry,GIs,22,1,0,0,0
GCA_000497525.2,cry,IS,219,1,0,0,0
GCA_001017635.1,cry,GIs,20,5,0,3,0
GCA_001017635.1,cry,IS,167,5,0,0,0
GCA_002147375.1,rec,GIs,13,13,3,1,0
GCA_002147375.1,rec,IS,293,13,3,0,0
GCA_002589015.1,cry,GIs,8,3,0,0,0
GCA_002589015.1,cry,IS,68,3,0,0,0
GCA_002146315.1,rec,GIs,13,13,4,0,0
GCA_002146315.1,rec,IS,272,13,4,0,0
GCA_002148045.1,cry,GIs,9,2,0,0,0
GCA_002148045.1,cry,IS,205,2,0,0,0
GCA_002146425.1,rec,GIs,15,5,1,1,1
GCA_002146425.1,rec,IS,110,5,1,0,0
GCA_002147105.1,rec,GIs,13,12,4,3,2
GCA_002147105.1,rec,IS,303,12,4,0,0
GCA_000338755.1,cry,GIs,13,1,0,0,0
GCA_000338755.1,cry,IS,121,1,0,0,0
GCA_002560695.1,cry,GIs,4,3,0,0,0
GCA_002560695.1,cry,IS,100,3,0,0,0
GCA_002578625.1,cry,GIs,11,1,0,1,0
GCA_002578625.1,cry,IS,42,1,0,0,0
GCA_003546665.1,rec,GIs,18,4,3,1,1
GCA_003546665.1,rec,IS,259,4,3,1,1
GCA_002146625.1,cry,GIs,15,4,0,0,0
GCA_002146625.1,cry,IS,86,4,0,0,0
GCA_002577025.1,cry,GIs,13,1,0,0,0
GCA_002577025.1,cry,IS,63,1,0,0,0
GCA_002564505.1,cry,GIs,8,7,0,0,0
GCA_002564505.1,cry,IS,86,7,0,1,0
GCA_004368515.1,cry,GIs,18,1,0,0,0
GCA_004368515.1,cry,IS,53,1,0,0,0
GCA_002146405.1,rec,GIs,19,6,1,2,1
GCA_002146405.1,rec,IS,74,6,1,0,0
GCA_002566325.1,cry,GIs,7,1,0,1,0
GCA_002566325.1,cry,IS,26,1,0,0,0
GCA_000161575.1,cry,GIs,14,1,0,0,0
GCA_000161575.1,cry,IS,36,1,0,0,0
GCA_002147185.1,rec,GIs,15,5,1,0,0
GCA_002147185.1,rec,IS,203,5,1,0,0
GCA_001685565.1,rec,GIs,23,3,2,0,0
GCA_001685565.1,rec,IS,308,3,2,0,0
GCA_002146605.1,rec,GIs,13,2,1,2,1
GCA_002146605.1,rec,IS,40,2,1,0,0
GCA_002146815.1,rec,GIs,11,2,1,2,1
GCA_002146815.1,rec,IS,44,2,1,0,0
GCA_002893585.1,cry,GIs,14,2,0,0,0
GCA_002893585.1,cry,IS,74,2,0,0,0
GCA_000835235.1,rec,GIs,19,6,1,3,0
GCA_000835235.1,rec,IS,178,6,1,0,0
GCA_002147645.1,rec,GIs,13,7,2,2,1
GCA_002147645.1,rec,IS,197,7,2,0,0
GCA_002146495.1,cry,GIs,16,1,0,0,0
GCA_002146495.1,cry,IS,134,1,0,0,0
GCA_002147165.1,rec,GIs,15,4,1,0,0
GCA_002147165.1,rec,IS,196,4,1,0,0
GCA_002558015.1,rec,GIs,10,7,6,0,0
GCA_002558015.1,rec,IS,85,7,6,1,1
GCA_000688795.1,cry,GIs,25,5,0,3,0
GCA_000688795.1,cry,IS,155,5,0,0,0
GCA_002147935.1,cry,GIs,12,1,0,0,0
GCA_002147935.1,cry,IS,159,1,0,0,0
GCA_002566935.1,cry,GIs,5,1,0,1,0
GCA_002566935.1,cry,IS,29,1,0,0,0
GCA_002147895.1,rec,GIs,7,2,1,0,0
GCA_002147895.1,rec,IS,281,2,1,1,1
GCA_002571105.1,cry,GIs,3,2,0,0,0
GCA_002571105.1,cry,IS,103,2,0,0,0
GCA_002893515.1,cry,GIs,12,4,0,0,0
GCA_002893515.1,cry,IS,79,4,0,0,0
GCA_000774075.2,rec,GIs,10,12,2,9,2
GCA_000774075.2,rec,IS,71,12,2,3,2
GCA_003626955.1,cry,GIs,15,4,0,2,0
GCA_003626955.1,cry,IS,63,4,0,0,0
GCA_000161595.1,cry,GIs,25,1,0,0,0
GCA_000161595.1,cry,IS,85,1,0,0,0
GCA_002147955.1,cry,GIs,15,4,0,0,0
GCA_002147955.1,cry,IS,86,4,0,0,0
GCA_002236945.1,rec,GIs,14,5,1,2,1
GCA_002236945.1,rec,IS,72,5,1,0,0
GCA_002119445.1,rec,GIs,16,2,1,1,0
GCA_002119445.1,rec,IS,86,2,1,0,0
GCA_003719805.1,cry,GIs,3,1,0,0,0
GCA_003719805.1,cry,IS,60,1,0,0,0
GCA_000710255.1,rec,GIs,13,5,1,1,0
GCA_000710255.1,rec,IS,158,5,1,0,0
GCA_001183785.1,cry,GIs,13,3,0,2,0
GCA_001183785.1,cry,IS,33,3,0,0,0
GCA_002146885.1,cry,GIs,12,3,0,0,0
GCA_002146885.1,cry,IS,125,3,0,0,0
GCA_004009875.1,cry,GIs,8,1,0,0,0
GCA_004009875.1,cry,IS,330,1,0,0,0
GCA_000341665.1,cry,GIs,18,6,0,3,0
GCA_000341665.1,cry,IS,106,6,0,0,0
GCA_002574265.1,cry,GIs,9,1,0,0,0
GCA_002574265.1,cry,IS,47,1,0,0,0
GCA_002147025.1,rec,GIs,15,2,1,2,1
GCA_002147025.1,rec,IS,45,2,1,0,0
GCA_000600315.1,rec,GIs,8,12,4,2,1
GCA_000600315.1,rec,IS,33,12,4,0,0
GCA_002570855.1,cry,GIs,8,1,0,0,0
GCA_002570855.1,cry,IS,42,1,0,0,0
GCA_002571305.1,cry,GIs,8,7,0,0,0
GCA_002571305.1,cry,IS,85,7,0,1,0
GCA_002173755.1,rec,GIs,12,2,1,0,0
GCA_002173755.1,rec,IS,38,2,1,0,0
