ID,Rec_domain,Current_domain,Tox_type,evol_type,omega_b,omega_f,Num_tox,Num_rec_pars,Num_recs_pars_all,best_site_model,Site_model_type,Sites_pos,Sites_cons,Sites_rel,best_branc_site,Brsites_pos,Brsites_cons,Orders_flag,Simpson_species
14,domain3,domain3,Rec,non-signif,0.285,0.375,19,1,5,m3,relaxation,0,0,1,mB,3,0,Different,0.75
14,domain3,domain3,Par,non-signif,0.259,0.547,19,4,5,m3,relaxation,0,0,1,mB,2,0,Different,0.75
14,domain3,domain1,Rec,non-signif,0.245,0.61,8,1,4,m3,relaxation,0,0,1,mB,1,68,Different,0.75
14,domain3,domain2,Rec,non-signif,0.154,0.496,12,1,4,m8,positive,2,0,0,mB,0,30,Different,0.75
14,domain3,domain2,Par,non-signif,0.15,0.295,12,3,4,m8,positive,2,0,0,mB,2,27,Different,0.75
17,domain3,domain3,Rec,purifying,0.177,0.104,11,1,3,m8,positive,1,4,0,mB,0,0,Same,0.428571428571429
17,domain3,domain3,Par,purifying,0.198,0.089,11,2,3,m8,positive,1,4,0,mB,0,65,Same,0.428571428571429
17,domain3,domain1,Rec,non-signif,0.201,1.624,41,1,2,m3,relaxation,0,0,1,mB,209,0,Same,0.428571428571429
17,domain3,domain1,Par,purifying,0.204,0.062,41,1,2,m3,relaxation,0,0,1,mB,0,0,Same,0.428571428571429
17,domain3,domain2,Rec,purifying,0.38,0.074,32,1,3,m8,positive,1,0,0,mB,211,0,Same,0.428571428571429
17,domain3,domain2,Par,purifying,0.4,0.171,32,2,3,m8,positive,1,0,0,mB,0,42,Same,0.428571428571429
19,domain3,domain3,Rec,purifying,0.193,0.24,44,1,3,m8,positive,0,10,0,mB,0,52,Same,0.333333333333333
19,domain3,domain3,Par,purifying,0.18,0.489,44,2,3,m8,positive,0,10,0,mB,8,49,Same,0.333333333333333
19,domain3,domain1,Rec,purifying,0.529,0,14,1,2,m8,positive,5,0,0,mB,234,0,Same,0.333333333333333
19,domain3,domain1,Par,purifying,0.531,0.038,14,1,2,m8,positive,5,0,0,mB,234,0,Same,0.333333333333333
19,domain3,domain2,Rec,purifying,0.243,0.06,8,1,2,m3,relaxation,0,0,1,mB,0,0,Same,0.333333333333333
19,domain3,domain2,Par,purifying,0.242,0.052,8,1,2,m3,relaxation,0,0,1,mB,0,0,Same,0.333333333333333
22,domain2,domain2,Rec,non-signif,0.429,0.487,8,1,2,m8,positive,2,0,0,mB,2,56,NA,NA
22,domain2,domain2,Par,non-signif,0.431,0.256,8,1,2,m8,positive,2,0,0,mB,1,56,NA,NA
22,domain2,domain1,Rec,non-signif,0.164,0.545,8,1,1,m3,relaxation,0,0,1,mB,0,0,NA,NA
22,domain2,domain3,Rec,purifying,0.322,0.004,8,1,1,m8,positive,6,0,0,mB,3,23,NA,NA
23,domain3,domain3,Rec,non-signif,0.442,0.64,25,1,3,m8,positive,9,1,0,mB,2,38,Different,0
23,domain3,domain3,Par,purifying,0.358,0.721,25,2,3,m8,positive,9,1,0,mB,16,25,Different,0
23,domain3,domain1,Rec,non-signif,0.404,1.154,10,1,2,m8,positive,1,0,0,mB,1,54,Different,0
23,domain3,domain1,Par,non-signif,0.393,3.281,10,1,2,m8,positive,1,0,0,mB,1,53,Different,0
23,domain3,domain2,Rec,non-signif,0.209,0.703,16,1,3,m8,positive,0,13,0,mB,42,28,Different,0
23,domain3,domain2,Par,purifying,0.225,0.275,16,2,3,m8,positive,0,13,0,mB,1,43,Different,0
24,domain3,domain3,Rec,purifying,0.179,0.078,11,1,2,m8,positive,1,4,0,mB,0,0,Different,0.666666666666667
24,domain3,domain3,Par,purifying,0.183,0.07,11,1,2,m8,positive,1,4,0,mB,0,1,Different,0.666666666666667
24,domain3,domain1,Rec,purifying,0.157,0.149,30,1,15,m3,relaxation,0,0,1,mB,0,48,Different,0.666666666666667
24,domain3,domain1,Par,purifying,0.176,0.141,30,14,15,m3,relaxation,0,0,1,mB,2,27,Different,0.666666666666667
24,domain3,domain2,Rec,purifying,0.199,0.176,9,1,6,m2,non-signif,0,86,0,mB,211,0,Different,0.666666666666667
27,domain3,domain3,Rec,purifying,0.323,0.13,8,1,2,m8,positive,1,0,0,mB,0,22,Different,1
27,domain3,domain3,Par,purifying,0.337,0.104,8,1,2,m8,positive,1,0,0,mB,1,24,Different,1
27,domain3,domain1,Rec,non-signif,0.168,0.615,12,1,2,m3,relaxation,0,0,1,mB,0,0,Different,1
27,domain3,domain1,Par,non-signif,0.168,4.718,12,1,2,m3,relaxation,0,0,1,mB,0,43,Different,1
27,domain3,domain2,Rec,non-signif,0.371,6.605,7,1,2,m8,positive,0,0,0,mB,0,0,Different,1
27,domain3,domain2,Par,non-signif,0.374,0.231,7,1,2,m8,positive,0,0,0,mB,0,0,Different,1
28,domain3,domain3,Rec,non-signif,0.225,4.447,7,1,2,m8,non-signif,0,0,0,mB,2,18,NA,NA
28,domain3,domain3,Par,positive,0.197,99,7,1,2,m8,non-signif,0,0,0,mB,10,12,NA,NA
28,domain3,domain1,Rec,non-signif,0.157,1.215,8,1,3,m3,relaxation,0,0,1,mB,0,51,NA,NA
28,domain3,domain1,Par,non-signif,0.153,99,8,2,3,m3,relaxation,0,0,1,mB,4,25,NA,NA
28,domain3,domain2,Rec,non-signif,0.402,0.595,7,1,4,m8,positive,3,0,0,mB,3,23,NA,NA
28,domain3,domain2,Par,purifying,0.693,0.333,7,3,4,m8,positive,3,0,0,mB,3,24,NA,NA
32,domain3,domain3,Rec,purifying,0.541,0.338,8,1,3,m8,positive,1,0,0,mB,0,15,NA,NA
32,domain3,domain3,Par,purifying,0.738,0.212,8,2,3,m8,positive,1,0,0,mB,0,7,NA,NA
32,domain3,domain1,Rec,positive,0.197,99,7,1,3,m8,positive,1,0,0,mB,11,24,NA,NA
32,domain3,domain1,Par,non-signif,0.202,0.838,7,2,3,m8,positive,1,0,0,mB,5,28,NA,NA
32,domain3,domain2,Rec,non-signif,0.403,0.621,7,1,3,m8,positive,3,0,0,mB,6,28,NA,NA
32,domain3,domain2,Par,non-signif,0.346,1.239,7,2,3,m8,positive,3,0,0,mB,2,5,NA,NA
34,domain1,domain1,Rec,purifying,0.287,0.046,8,1,2,m3,relaxation,0,0,1,mB,31,0,Different,1
34,domain1,domain1,Par,purifying,0.254,0.096,8,1,2,m3,relaxation,0,0,1,mB,0,0,Different,1
34,domain1,domain2,Rec,non-signif,0.206,1.399,8,1,2,m8,non-signif,0,0,0,mB,1,49,Different,1
34,domain1,domain2,Par,purifying,0.21,0.234,8,1,2,m8,non-signif,0,0,0,mB,2,53,Different,1
34,domain1,domain3,Rec,non-signif,0.271,0.408,10,1,2,m8,positive,2,12,0,mB,5,38,Different,1
34,domain1,domain3,Par,non-signif,0.266,0.486,10,1,2,m8,positive,2,12,0,mB,4,38,Different,1
36,domain3,domain3,Rec,purifying,0.31,0.186,8,1,2,m8,positive,0,0,0,mB,0,37,NA,NA
36,domain3,domain3,Par,purifying,0.298,0.271,8,1,2,m8,positive,0,0,0,mB,0,41,NA,NA
36,domain3,domain1,Rec,purifying,0.113,0.095,7,1,3,m3,relaxation,0,0,1,mB,0,0,NA,NA
36,domain3,domain1,Par,purifying,0.109,0.116,7,2,3,m3,relaxation,0,0,1,mB,231,0,NA,NA
36,domain3,domain2,Rec,purifying,0.257,0.156,10,1,3,m3,relaxation,0,0,1,mB,0,0,NA,NA
37,domain3,domain3,Rec,purifying,0.636,0.465,12,1,2,m8,positive,19,0,0,mB,0,0,Different,0
37,domain3,domain3,Par,non-signif,0.621,0.56,12,1,2,m8,positive,19,0,0,mB,0,69,Different,0
37,domain3,domain1,Rec,non-signif,0.381,0.904,10,1,4,m8,positive,1,0,0,mB,4,48,Different,0
37,domain3,domain1,Par,non-signif,0.309,1.389,10,3,4,m8,positive,1,0,0,mB,12,11,Different,0
37,domain3,domain2,Rec,non-signif,0.19,0.427,8,1,2,m8,non-signif,0,0,0,mB,0,23,Different,0
37,domain3,domain2,Par,purifying,0.199,0.222,8,1,2,m8,non-signif,0,0,0,mB,0,1,Different,0
38,domain1,domain1,Rec,non-signif,0.412,1.857,22,1,8,m8,positive,4,4,0,mB,1,10,Different,0
38,domain1,domain1,Par,non-signif,0.341,0.94,22,7,8,m8,positive,4,4,0,mB,19,35,Different,0
38,domain1,domain2,Rec,purifying,0.55,0.222,8,1,2,m8,positive,3,0,0,mB,0,0,Different,0
38,domain1,domain2,Par,purifying,0.535,0.19,8,1,2,m8,positive,3,0,0,mB,0,37,Different,0
38,domain1,domain3,Rec,non-signif,0.301,0.15,8,1,2,m3,relaxation,0,0,2,mB,0,0,Different,0
38,domain1,domain3,Par,purifying,0.309,0.199,8,1,2,m3,relaxation,0,0,2,mB,0,0,Different,0
39,domain3,domain3,Rec,non-signif,0.439,0.78,28,1,3,m8,positive,11,3,0,mB,2,28,NA,NA
39,domain3,domain1,Rec,non-signif,0.391,1.948,10,1,2,m8,positive,1,0,0,mB,3,0,NA,NA
39,domain3,domain1,Par,non-signif,0.393,3.281,10,1,2,m8,positive,1,0,0,mB,1,53,NA,NA
39,domain3,domain2,Rec,non-signif,0.238,1.252,16,1,3,m8,positive,1,12,0,mB,1,55,NA,NA
39,domain3,domain2,Par,purifying,0.244,0.278,16,2,3,m8,positive,1,12,0,mB,1,74,NA,NA
44,domain3,domain3,Rec,non-signif,0.383,0.463,15,1,2,m3,relaxation,0,0,1,mB,3,30,Same,0.666666666666667
44,domain3,domain3,Par,non-signif,0.382,0.556,15,1,2,m3,relaxation,0,0,1,mB,0,27,Same,0.666666666666667
44,domain3,domain1,Rec,purifying,0.179,0.181,11,1,3,m3,relaxation,0,0,1,mB,0,46,Same,0.666666666666667
44,domain3,domain1,Par,purifying,0.176,0.209,11,2,3,m3,relaxation,0,0,1,mB,1,49,Same,0.666666666666667
44,domain3,domain2,Rec,purifying,0.201,0.183,8,1,3,m8,positive,0,0,0,mB,1,24,Same,0.666666666666667
44,domain3,domain2,Par,purifying,0.205,0.176,8,2,3,m8,positive,0,0,0,mB,0,94,Same,0.666666666666667
45,domain1,domain1,Rec,positive,0.893,99,10,1,2,m8,positive,17,0,0,mB,0,47,NA,NA
45,domain1,domain1,Par,non-signif,0.932,0.303,10,1,2,m8,positive,17,0,0,mB,225,0,NA,NA
45,domain1,domain2,Rec,non-signif,1.161,0.467,10,1,4,m8,positive,35,0,0,mB,213,0,NA,NA
45,domain1,domain3,Rec,non-signif,0.639,0.48,12,1,1,m8,positive,19,0,0,mB,0,5,NA,NA
47,domain1,domain1,Rec,purifying,0.239,0,31,1,6,m8,positive,2,0,0,mB,157,0,NA,NA
47,domain1,domain1,Par,non-signif,0.223,99,31,5,6,m8,positive,2,0,0,mB,4,39,NA,NA
47,domain1,domain2,Rec,non-signif,0.339,0,32,1,6,m8,positive,0,0,0,mB,236,0,NA,NA
47,domain1,domain2,Par,purifying,0.343,0.184,32,5,6,m8,positive,0,0,0,mB,0,0,NA,NA
47,domain1,domain3,Rec,non-signif,0.174,0.397,31,1,5,m8,non-signif,0,15,0,mB,151,0,NA,NA
47,domain1,domain3,Par,non-signif,0.176,0.099,31,4,5,m8,non-signif,0,15,0,mB,151,0,NA,NA
49,domain3,domain3,Rec,purifying,0.219,0.097,9,1,2,m3,relaxation,0,0,1,mB,140,0,Same,0.5
49,domain3,domain3,Par,purifying,0.186,0.181,9,1,2,m3,relaxation,0,0,1,mB,0,18,Same,0.5
49,domain3,domain1,Rec,purifying,0.204,0.301,8,1,2,m8,non-signif,0,0,0,mB,0,63,Same,0.5
49,domain3,domain1,Par,purifying,0.215,0.048,8,1,2,m8,non-signif,0,0,0,mB,209,0,Same,0.5
49,domain3,domain2,Rec,non-signif,0.372,0.518,9,1,2,m8,positive,1,0,0,mB,0,0,Same,0.5
49,domain3,domain2,Par,non-signif,0.371,0.508,9,1,2,m8,positive,1,0,0,mB,0,0,Same,0.5
51,domain3,domain3,Rec,non-signif,0.309,1.004,7,1,2,m8,positive,3,0,0,mB,4,0,Different,1
51,domain3,domain3,Par,non-signif,0.317,0.729,7,1,2,m8,positive,3,0,0,mB,5,45,Different,1
51,domain3,domain1,Rec,non-signif,0.207,0.231,8,1,2,m3,relaxation,0,0,1,mB,201,0,Different,1
51,domain3,domain1,Par,non-signif,0.201,0.291,8,1,2,m3,relaxation,0,0,1,mB,0,0,Different,1
51,domain3,domain2,Rec,purifying,0.366,0.203,7,1,2,m8,positive,1,0,0,mB,0,0,Different,1
51,domain3,domain2,Par,purifying,0.367,0.281,7,1,2,m8,positive,1,0,0,mB,0,22,Different,1
52,domain3,domain3,Rec,purifying,0.313,0.415,10,1,4,m3,relaxation,0,0,1,mB,2,1,Different,0
52,domain3,domain1,Rec,purifying,0.574,0.189,14,1,2,m8,positive,5,0,0,mB,0,3,Different,0
52,domain3,domain1,Par,purifying,0.55,0.222,14,1,2,m8,positive,5,0,0,mB,1,70,Different,0
52,domain3,domain2,Rec,non-signif,0.209,0.419,8,1,2,m3,relaxation,0,0,1,mB,0,32,Different,0
52,domain3,domain2,Par,non-signif,0.198,0.861,8,1,2,m3,relaxation,0,0,1,mB,3,31,Different,0
53,domain3,domain3,Rec,purifying,0.285,0.103,9,1,1,m8,positive,1,0,0,mB,3,21,Same,0
53,domain3,domain1,Rec,non-signif,0.258,0.454,8,1,2,m3,relaxation,0,0,1,mB,0,71,Same,0
53,domain3,domain1,Par,non-signif,0.251,0.711,8,1,2,m3,relaxation,0,0,1,mB,0,71,Same,0
53,domain3,domain2,Rec,non-signif,0.377,1.55,29,1,3,m8,positive,1,0,0,mB,1,80,Same,0
53,domain3,domain2,Par,purifying,0.379,0.467,29,2,3,m8,positive,1,0,0,mB,0,66,Same,0
56,domain1,domain1,Rec,purifying,0.225,0.179,7,1,1,m3,relaxation,0,0,1,mB,0,2,Same,1
56,domain1,domain2,Rec,purifying,0.227,0.061,8,1,3,m8,positive,0,0,0,mB,207,0,Same,1
56,domain1,domain2,Par,purifying,0.205,0.176,8,2,3,m8,positive,0,0,0,mB,0,94,Same,1
56,domain1,domain3,Rec,purifying,0.334,0.394,31,1,6,m8,non-signif,0,0,0,mB,1,34,Same,1
60,domain3,domain3,Rec,non-signif,0.308,1.292,7,2,3,m8,positive,6,0,0,mB,2,41,NA,NA
60,domain3,domain3,Par,non-signif,0.428,0.529,7,1,3,m8,positive,6,0,0,mB,0,0,NA,NA
60,domain3,domain1,Rec,purifying,0.289,0.326,8,2,3,m8,positive,2,0,0,mB,1,80,NA,NA
60,domain3,domain1,Par,non-signif,0.266,0.639,8,1,3,m8,positive,2,0,0,mB,1,60,NA,NA
60,domain3,domain2,Rec,non-signif,0.538,0.762,7,2,3,m8,positive,7,0,0,mB,3,39,NA,NA
60,domain3,domain2,Par,non-signif,0.552,0.843,7,1,3,m8,positive,7,0,0,mB,0,45,NA,NA
62,domain1,domain1,Rec,purifying,0.171,0.2,31,1,2,m3,relaxation,0,0,1,mB,1,37,Same,0.666666666666667
62,domain1,domain1,Par,purifying,0.175,0.076,31,1,2,m3,relaxation,0,0,1,mB,0,28,Same,0.666666666666667
62,domain1,domain2,Rec,non-signif,0.159,0.193,12,1,5,m8,positive,2,0,0,mB,0,0,Same,0.666666666666667
62,domain1,domain2,Par,non-signif,0.159,0.244,12,4,5,m8,positive,2,0,0,mB,0,31,Same,0.666666666666667
62,domain1,domain3,Rec,non-signif,0.311,0.263,7,1,3,m8,positive,0,0,0,mB,0,0,Same,0.666666666666667
62,domain1,domain3,Par,purifying,0.325,0.262,7,2,3,m8,positive,0,0,0,mB,0,0,Same,0.666666666666667
65,domain2,domain2,Rec,non-signif,0.544,1.63,9,2,2,m8,positive,14,0,0,mB,4,70,NA,NA
65,domain2,domain1,Rec,purifying,0.623,0.435,9,2,3,m8,positive,4,0,0,mB,1,74,NA,NA
65,domain2,domain1,Par,non-signif,0.514,0.724,9,1,3,m8,positive,4,0,0,mB,2,79,NA,NA
71,domain2,domain2,Rec,purifying,0.241,0.048,8,1,2,m8,non-signif,0,0,0,mB,0,55,Different,0
71,domain2,domain2,Par,purifying,0.208,0.169,8,1,2,m8,non-signif,0,0,0,mB,0,57,Different,0
73,domain3,domain3,Rec,non-signif,0.216,0.302,7,1,2,m3,relaxation,0,0,1,mB,0,21,Same,0
73,domain3,domain3,Par,non-signif,0.204,0.508,7,1,2,m3,relaxation,0,0,1,mB,3,17,Same,0
73,domain3,domain1,Rec,purifying,0.227,0.32,8,1,1,m3,relaxation,0,0,1,mB,2,35,Same,0
73,domain3,domain2,Rec,purifying,0.203,0.366,8,1,1,m8,non-signif,0,0,0,mB,1,41,Same,0
74,domain3,domain3,Rec,purifying,0.327,0.004,8,1,1,m8,positive,6,0,0,mB,2,21,NA,NA
74,domain3,domain1,Rec,non-signif,0.164,0.545,8,1,3,m3,relaxation,0,0,1,mB,0,0,NA,NA
74,domain3,domain1,Par,purifying,0.197,0.147,8,2,3,m3,relaxation,0,0,1,mB,0,0,NA,NA
74,domain3,domain2,Rec,non-signif,0.429,0.487,8,1,2,m8,positive,2,0,0,mB,2,56,NA,NA
74,domain3,domain2,Par,non-signif,0.431,0.256,8,1,2,m8,positive,2,0,0,mB,1,56,NA,NA
75,domain1,domain1,Rec,purifying,0.223,0.07,10,1,2,m3,relaxation,0,0,1,mB,0,17,NA,NA
75,domain1,domain1,Par,purifying,0.202,0.118,10,1,2,m3,relaxation,0,0,1,mB,0,0,NA,NA
75,domain1,domain2,Rec,purifying,0.325,0.156,8,1,3,m8,positive,1,5,0,mB,1,31,NA,NA
75,domain1,domain2,Par,purifying,0.348,0.196,8,2,3,m8,positive,1,5,0,mB,0,31,NA,NA
78,domain1,domain1,Rec,non-signif,0.243,0.434,9,1,2,m8,positive,0,0,0,mB,2,36,NA,NA
78,domain1,domain1,Par,non-signif,0.237,0.81,9,1,2,m8,positive,0,0,0,mB,3,38,NA,NA
78,domain1,domain2,Rec,purifying,0.315,0.197,12,1,2,m8,positive,2,5,0,mB,1,33,NA,NA
78,domain1,domain2,Par,non-signif,0.27,0.581,12,1,2,m8,positive,2,5,0,mB,6,22,NA,NA
78,domain1,domain3,Rec,non-signif,0.601,0.638,9,1,4,m8,positive,23,0,0,mB,0,55,NA,NA
78,domain1,domain3,Par,non-signif,0.45,0.958,9,3,4,m8,positive,23,0,0,mB,0,53,NA,NA
87,domain1,domain1,Rec,purifying,0.227,0.182,11,2,5,m3,relaxation,0,0,1,mB,0,0,Different,0.888888888888889
87,domain1,domain2,Rec,purifying,0.274,0.092,25,2,4,m3,relaxation,0,0,1,mB,0,0,Different,0.888888888888889
87,domain1,domain2,Par,non-signif,0.254,0.355,25,2,4,m3,relaxation,0,0,1,mB,0,58,Different,0.888888888888889
95,domain1,domain1,Rec,purifying,0.28,0.078,22,1,2,m3,relaxation,0,0,1,mB,0,0,Different,1
95,domain1,domain1,Par,non-signif,0.261,0.725,22,1,2,m3,relaxation,0,0,1,mB,0,30,Different,1
95,domain1,domain2,Rec,purifying,0.336,0.272,32,1,8,m8,positive,0,0,0,mB,0,0,Different,1
95,domain1,domain3,Rec,purifying,0.262,0,50,1,7,m1,relaxation,0,0,95,mB,188,0,Different,1
96,domain1,domain1,Rec,purifying,0.441,0.08,10,1,2,m8,positive,1,0,0,mB,0,0,Same,0.5
96,domain1,domain1,Par,non-signif,0.416,0.281,10,1,2,m8,positive,1,0,0,mB,0,0,Same,0.5
96,domain1,domain2,Rec,purifying,0.239,0.062,16,1,3,m8,positive,0,22,0,mB,1,38,Same,0.5
96,domain1,domain3,Rec,purifying,0.325,0.085,10,1,2,m8,positive,3,0,0,mB,18,0,Same,0.5
96,domain1,domain3,Par,purifying,0.315,0.087,10,1,2,m8,positive,3,0,0,mB,157,0,Same,0.5
98,domain3,domain3,Rec,purifying,0.15,0.311,11,2,3,m8,positive,1,4,0,mB,8,0,Different,0.5
98,domain3,domain3,Par,purifying,0.184,0.077,11,1,3,m8,positive,1,4,0,mB,0,65,Different,0.5
98,domain3,domain1,Rec,purifying,0.275,0.119,8,2,3,m3,relaxation,0,0,1,mB,0,32,Different,0.5
98,domain3,domain1,Par,purifying,0.218,0.272,8,1,3,m3,relaxation,0,0,1,mB,0,40,Different,0.5
98,domain3,domain2,Rec,purifying,0.302,0.135,10,2,6,m8,positive,0,0,0,mB,0,50,Different,0.5
98,domain3,domain2,Par,purifying,0.275,0.231,10,4,6,m8,positive,0,0,0,mB,2,37,Different,0.5
103,domain3,domain3,Rec,non-signif,0.629,0.495,12,1,1,m8,positive,19,0,0,mB,0,5,NA,NA
103,domain3,domain1,Rec,positive,0.893,99,10,1,2,m8,positive,17,0,0,mB,0,47,NA,NA
103,domain3,domain1,Par,non-signif,0.932,0.303,10,1,2,m8,positive,17,0,0,mB,225,0,NA,NA
103,domain3,domain2,Rec,non-signif,1.145,0.471,10,1,4,m8,positive,34,0,0,mB,213,0,NA,NA
104,domain3,domain3,Rec,purifying,0.321,0.164,14,1,3,m8,positive,0,0,0,mB,2,21,Same,1
104,domain3,domain3,Par,purifying,0.41,0.148,14,2,3,m8,positive,0,0,0,mB,14,0,Same,1
104,domain3,domain1,Rec,purifying,0.153,0.161,8,1,1,m8,positive,0,18,0,mB,4,20,Same,1
104,domain3,domain2,Rec,purifying,0.177,0.008,7,1,1,m8,positive,0,8,0,mB,1,1,Same,1
107,domain2,domain2,Rec,non-signif,0.194,0.422,8,1,2,m8,non-signif,0,0,0,mB,0,28,Different,0
107,domain2,domain2,Par,purifying,0.203,0.221,8,1,2,m8,non-signif,0,0,0,mB,0,1,Different,0
107,domain2,domain1,Rec,non-signif,0.381,0.904,10,1,1,m8,positive,1,0,0,mB,4,48,Different,0
107,domain2,domain3,Rec,purifying,0.636,0.465,12,1,1,m8,positive,19,0,0,mB,0,0,Different,0
109,domain3,domain3,Rec,non-signif,0.337,0.316,9,1,3,m8,positive,3,0,0,mB,1,55,Different,0
109,domain3,domain3,Par,non-signif,0.199,0.566,9,2,3,m8,positive,3,0,0,mB,12,2,Different,0
109,domain3,domain1,Rec,non-signif,0.392,0.454,7,1,3,m8,positive,10,0,0,mB,0,2,Different,0
109,domain3,domain2,Rec,non-signif,0.399,0.733,7,1,2,m8,positive,0,0,0,mB,10,15,Different,0
109,domain3,domain2,Par,non-signif,0.437,0.603,7,1,2,m8,positive,0,0,0,mB,4,21,Different,0
112,domain3,domain3,Rec,non-signif,0.241,0.276,8,1,3,m3,relaxation,0,0,1,mB,3,22,NA,NA
112,domain3,domain3,Par,purifying,0.19,0.327,8,2,3,m3,relaxation,0,0,1,mB,5,16,NA,NA
112,domain3,domain1,Rec,non-signif,0.169,0.146,8,1,2,m3,relaxation,0,0,2,mB,204,0,NA,NA
112,domain3,domain1,Par,non-signif,0.161,99,8,1,2,m3,relaxation,0,0,2,mB,0,54,NA,NA
112,domain3,domain2,Rec,purifying,0.459,0.182,7,1,3,m8,positive,3,0,0,mB,0,0,NA,NA
112,domain3,domain2,Par,purifying,0.501,0.162,7,2,3,m8,positive,3,0,0,mB,2,25,NA,NA
