ID,Domain,Curr_domain,Rec,Par,Par_type,Num_mism,Aln_length,Mism_rate
27,domain3,domain3,BT_Cry41Ab1,NOV_Cry32Ma1_57.7_AXY11484.1,Minor,101,430,0.234883720930233
27,domain3,domain1,BT_Cry41Ab1,BT_Cry41Aa1,Major,0,702,0
27,domain3,domain2,BT_Cry41Ab1,BT_Cry41Aa1,Major,4,609,0.006568144499179
28,domain3,domain3,BT_Cry7Cb1,NOV_Cry7Cb1_60.4_OTY00887.1,Minor,99,434,0.228110599078341
28,domain3,domain1,BT_Cry7Cb1,BT_Cry7Ca1,Major,43,609,0.070607553366174
28,domain3,domain2,BT_Cry7Cb1,BT_Cry7Ca1,Major,174,665,0.261654135338346
28,domain3,domain1,BT_Cry7Cb1,NOV_Cry7Ca1_86.8_AGM39664.1,Major,41,609,0.067323481116585
28,domain3,domain2,BT_Cry7Cb1,NOV_Cry7Ca1_86.8_AGM39664.1,Major,175,665,0.263157894736842
29,domain3,domain3,BT_Cry50Ba1,BT_Cry30Ea1,Minor,90,475,0.189473684210526
29,domain3,domain3,BT_Cry50Ba1,BT_Cry30Ca1,Minor,73,475,0.153684210526316
29,domain3,domain3,BT_Cry50Ba1,BT_Cry30Aa1,Minor,92,476,0.19327731092437
29,domain3,domain3,BT_Cry50Ba1,BT_Cry30Ga1,Minor,63,474,0.132911392405063
29,domain3,domain3,BT_Cry50Ba1,BT_Cry30Fa1,Minor,61,474,0.128691983122363
29,domain3,domain3,BT_Cry4Ba1,BT_Cry30Ea1,Minor,133,471,0.282377919320594
29,domain3,domain3,BT_Cry4Ba1,BT_Cry30Ca1,Minor,139,475,0.292631578947368
29,domain3,domain3,BT_Cry4Ba1,BT_Cry30Aa1,Minor,139,473,0.293868921775898
29,domain3,domain3,BT_Cry4Ba1,BT_Cry30Ga1,Minor,132,475,0.277894736842105
29,domain3,domain3,BT_Cry4Ba1,BT_Cry30Fa1,Minor,135,474,0.284810126582278
29,domain3,domain3,BT_Cry4Ba3,BT_Cry30Ea1,Minor,140,476,0.294117647058823
29,domain3,domain3,BT_Cry4Ba3,BT_Cry30Ca1,Minor,145,479,0.302713987473904
29,domain3,domain3,BT_Cry4Ba3,BT_Cry30Aa1,Minor,147,478,0.307531380753138
29,domain3,domain3,BT_Cry4Ba3,BT_Cry30Ga1,Minor,138,480,0.2875
29,domain3,domain3,BT_Cry4Ba3,BT_Cry30Fa1,Minor,141,479,0.294363256784969
29,domain3,domain3,BT_Cry50Aa1,BT_Cry30Ea1,Minor,132,479,0.275574112734864
29,domain3,domain3,BT_Cry50Aa1,BT_Cry30Ca1,Minor,143,485,0.294845360824742
29,domain3,domain3,BT_Cry50Aa1,BT_Cry30Aa1,Minor,146,479,0.304801670146138
29,domain3,domain3,BT_Cry50Aa1,BT_Cry30Ga1,Minor,144,482,0.298755186721992
29,domain3,domain3,BT_Cry50Aa1,BT_Cry30Fa1,Minor,140,481,0.291060291060291
29,domain3,domain3,NOV_Cry4Ba1_63.8_OUB35623.1,BT_Cry30Ea1,Minor,160,481,0.332640332640333
29,domain3,domain3,NOV_Cry4Ba1_63.8_OUB35623.1,BT_Cry30Ca1,Minor,163,483,0.337474120082816
29,domain3,domain3,NOV_Cry4Ba1_63.8_OUB35623.1,BT_Cry30Aa1,Minor,161,481,0.334719334719335
29,domain3,domain3,NOV_Cry4Ba1_63.8_OUB35623.1,BT_Cry30Ga1,Minor,165,481,0.343035343035343
29,domain3,domain3,NOV_Cry4Ba1_63.8_OUB35623.1,BT_Cry30Fa1,Minor,167,483,0.345755693581781
29,domain3,domain1,BT_Cry50Ba1,BT_Cry19Aa1,Major,273,657,0.415525114155251
29,domain3,domain2,BT_Cry50Ba1,BT_Cry19Aa1,Major,293,635,0.461417322834646
29,domain3,domain1,BT_Cry4Ba1,BT_Cry19Aa1,Major,261,643,0.405909797822706
29,domain3,domain2,BT_Cry4Ba1,BT_Cry19Aa1,Major,288,631,0.456418383518225
29,domain3,domain1,BT_Cry4Ba3,BT_Cry19Aa1,Major,262,645,0.406201550387597
29,domain3,domain2,BT_Cry4Ba3,BT_Cry19Aa1,Major,290,634,0.457413249211356
29,domain3,domain1,BT_Cry50Aa1,BT_Cry19Aa1,Major,271,649,0.417565485362096
29,domain3,domain2,BT_Cry50Aa1,BT_Cry19Aa1,Major,287,621,0.462157809983897
29,domain3,domain1,NOV_Cry4Ba1_63.8_OUB35623.1,BT_Cry19Aa1,Major,264,654,0.403669724770642
29,domain3,domain2,NOV_Cry4Ba1_63.8_OUB35623.1,BT_Cry19Aa1,Major,293,628,0.46656050955414
32,domain3,domain3,BT_Cry7Bb1,NOV_Cry7Ba1_84.3_AFI42043.1,Minor,71,426,0.166666666666667
32,domain3,domain3,BT_Cry7Bb1,BT_Cry7Ac1,Minor,90,430,0.209302325581395
32,domain3,domain1,BT_Cry7Bb1,NOV_Cry7Ba1_84.3_AFI42043.1,Major,140,607,0.230642504118616
32,domain3,domain2,BT_Cry7Bb1,NOV_Cry7Ba1_84.3_AFI42043.1,Major,127,642,0.197819314641745
32,domain3,domain1,BT_Cry7Bb1,BT_Cry7Ba1,Major,134,607,0.220757825370675
32,domain3,domain2,BT_Cry7Bb1,BT_Cry7Ba1,Major,128,641,0.199687987519501
34,domain1,domain1,NOV_Cry14Ab1_42.4_PGW46196.1,NOV_Cry14Aa1_44.0_PGW42274.1,Minor,97,679,0.142857142857143
34,domain1,domain2,NOV_Cry14Ab1_42.4_PGW46196.1,NOV_Cry14Aa1_41.1_PGW46198.1,Major,39,669,0.058295964125561
34,domain1,domain3,NOV_Cry14Ab1_42.4_PGW46196.1,NOV_Cry14Aa1_41.1_PGW46198.1,Major,66,460,0.143478260869565
36,domain3,domain3,BT_Cry73Ba1,BT_Cry32Pa1,Minor,109,409,0.266503667481663
36,domain3,domain1,BT_Cry73Ba1,BT_Cry32Ma1,Major,56,684,0.08187134502924
36,domain3,domain2,BT_Cry73Ba1,BT_Cry32Ma1,Major,45,567,0.079365079365079
36,domain3,domain1,BT_Cry73Ba1,BT_Cry32Mb1,Major,57,684,0.083333333333333
36,domain3,domain2,BT_Cry73Ba1,BT_Cry32Mb1,Major,44,567,0.077601410934744
37,domain3,domain3,BT_Cry52Ca1,BT_Cry40Aa1,Minor,98,397,0.246851385390428
37,domain3,domain1,BT_Cry52Ca1,NOV_Cry52Ca1_62.9_AZJ24464.1,Major,140,598,0.234113712374582
37,domain3,domain2,BT_Cry52Ca1,NOV_Cry52Ca1_62.9_AZJ24464.1,Major,71,607,0.116968698517298
38,domain1,domain1,BT_Cry59Ba1,NOV_Cry40Da1_81.5_AIN76756.1,Minor,128,649,0.197226502311248
38,domain1,domain1,BT_Cry59Ba1,BT_Cry40Ba1,Minor,160,655,0.244274809160305
38,domain1,domain1,BT_Cry59Ba1,BT_Cry40Ca1,Minor,152,649,0.234206471494607
38,domain1,domain1,BT_Cry59Ba1,BT_Cry40Da1,Minor,127,651,0.195084485407066
38,domain1,domain1,BT_Cry59Ba1,NOV_Cry40Da1_65.0_CAH33957.1,Minor,158,650,0.243076923076923
38,domain1,domain1,BT_Cry59Ba1,NOV_Cry40Da1_77.3_ARJ25823.1,Minor,133,648,0.205246913580247
38,domain1,domain1,BT_Cry59Ba1,NOV_Cry40Da1_66.9_PER55269.1,Minor,158,650,0.243076923076923
38,domain1,domain2,BT_Cry59Ba1,BT_Cry59Aa1,Major,49,633,0.07740916271722
38,domain1,domain3,BT_Cry59Ba1,BT_Cry59Aa1,Major,32,384,0.083333333333333
39,domain3,domain3,BT_Cry52Aa1,BT_Cry52Ca1,Minor,117,407,0.287469287469287
39,domain3,domain3,BT_Cry52Aa1,BT_Cry40Aa1,Minor,101,396,0.255050505050505
39,domain3,domain1,BT_Cry52Aa1,NOV_Cry52Ca1_62.9_AZJ24464.1,Major,120,615,0.195121951219512
39,domain3,domain2,BT_Cry52Aa1,NOV_Cry52Ca1_62.9_AZJ24464.1,Major,215,643,0.334370139968896
44,domain3,domain3,BT_Cry9Ee1,BT_Cry9Bb1,Minor,63,423,0.148936170212766
44,domain3,domain1,BT_Cry9Ee1,BT_Cry9Ec1,Major,43,615,0.069918699186992
44,domain3,domain2,BT_Cry9Ee1,BT_Cry9Ec1,Major,151,622,0.242765273311897
44,domain3,domain1,BT_Cry9Ee1,BT_Cry9Ed1,Major,60,616,0.097402597402597
44,domain3,domain2,BT_Cry9Ee1,BT_Cry9Ed1,Major,141,619,0.227786752827141
47,domain1,domain1,BT_Cry2Ai1,BT_Cry2Ac10,Minor,7,579,0.012089810017271
47,domain1,domain2,BT_Cry2Ai1,BT_Cry2Aa13,Major,4,615,0.00650406504065
47,domain1,domain3,BT_Cry2Ai1,BT_Cry2Aa13,Major,3,423,0.00709219858156
49,domain3,domain3,NOV_Cry8Ab1_80.0_AMR06151.1,BT_Cry8Ra1,Minor,127,432,0.293981481481481
49,domain3,domain1,NOV_Cry8Ab1_80.0_AMR06151.1,BT_Cry8Ab1,Major,36,606,0.059405940594059
49,domain3,domain2,NOV_Cry8Ab1_80.0_AMR06151.1,BT_Cry8Ab1,Major,24,663,0.036199095022625
51,domain3,domain3,BT_Cry8Fa2,BT_Cry8Ga1,Minor,121,423,0.286052009456265
51,domain3,domain1,BT_Cry8Fa2,BT_Cry8Qa1,Major,82,588,0.139455782312925
51,domain3,domain2,BT_Cry8Fa2,BT_Cry8Qa1,Major,170,668,0.254491017964072
52,domain3,domain3,NOV_Cry9Ga1_57.2_PER39584.1,BT_Cry68Aa1,Minor,86,402,0.213930348258706
52,domain3,domain3,NOV_Cry9Ga1_57.2_PER39584.1,NOV_Cry68Aa1_74.8_WP_103592020.1,Minor,92,403,0.228287841191067
52,domain3,domain3,NOV_Cry9Ga1_57.2_PER39584.1,NOV_Cry68Aa1_80.1_PER38368.1,Minor,89,402,0.221393034825871
52,domain3,domain1,NOV_Cry9Ga1_57.2_PER39584.1,NOV_Cry9Ga1_58.0_AJS57594.1,Major,133,637,0.208791208791209
52,domain3,domain2,NOV_Cry9Ga1_57.2_PER39584.1,NOV_Cry9Ga1_58.0_AJS57594.1,Major,124,633,0.195892575039494
60,domain3,domain3,BT_Cry32Ha1,BT_Cry32Ka1,Minor,125,435,0.28735632183908
60,domain3,domain3,BT_Cry32Hb1,BT_Cry32Ka1,Minor,155,434,0.357142857142857
60,domain3,domain1,BT_Cry32Ha1,BT_Cry32Oa1,Major,126,644,0.195652173913043
60,domain3,domain2,BT_Cry32Ha1,BT_Cry32Oa1,Major,188,676,0.27810650887574
60,domain3,domain1,BT_Cry32Hb1,BT_Cry32Oa1,Major,126,644,0.195652173913043
60,domain3,domain2,BT_Cry32Hb1,BT_Cry32Oa1,Major,187,677,0.276218611521418
62,domain1,domain1,BT_Cry1Db1,BT_Cry1Dd1,Minor,39,603,0.064676616915423
62,domain1,domain2,BT_Cry1Db1,BT_Cry1Da1,Major,29,576,0.050347222222222
62,domain1,domain3,BT_Cry1Db1,BT_Cry1Da1,Major,7,396,0.017676767676768
71,domain2,domain2,BT_Cry19Aa1,BT_Cry4Da1,Minor,146,613,0.238172920065253
71,domain2,domain1,BT_Cry19Aa1,BT_Cry1Nb1,Major,275,657,0.418569254185693
71,domain2,domain3,BT_Cry19Aa1,BT_Cry1Nb1,Major,194,437,0.443935926773455
71,domain2,domain1,BT_Cry19Aa1,BT_Cry1Na1,Major,260,657,0.395738203957382
71,domain2,domain3,BT_Cry19Aa1,BT_Cry1Na1,Major,190,437,0.434782608695652
75,domain1,domain1,NOV_Cry32Ta1_48.0_AQX37180.1,BT_Cry32Qa1,Minor,156,676,0.230769230769231
75,domain1,domain2,NOV_Cry32Ta1_48.0_AQX37180.1,BT_Cry32Va1,Major,284,717,0.396094839609484
75,domain1,domain3,NOV_Cry32Ta1_48.0_AQX37180.1,BT_Cry32Va1,Major,182,449,0.405345211581292
75,domain1,domain2,NOV_Cry32Ta1_48.0_AQX37180.1,NOV_Cry32Va1_61.0_WP_134996253.1,Major,274,698,0.392550143266476
75,domain1,domain3,NOV_Cry32Ta1_48.0_AQX37180.1,NOV_Cry32Va1_61.0_WP_134996253.1,Major,183,456,0.401315789473684
84,domain1,domain1,NOV_Cry8Aa1_47.1_EEM92570.1,BT_Cry8Ea2,Minor,144,611,0.235679214402619
84,domain1,domain2,NOV_Cry8Aa1_47.1_EEM92570.1,NOV_Cry8Da1_43.7_ANC11094.1,Major,266,681,0.390602055800294
84,domain1,domain3,NOV_Cry8Aa1_47.1_EEM92570.1,NOV_Cry8Da1_43.7_ANC11094.1,Major,226,483,0.467908902691511
87,domain1,domain1,BT_Cry1Be1,BT_Cry1Bf1,Minor,30,603,0.049751243781095
87,domain1,domain1,BT_Cry1Be1,BT_Cry1Ba1,Minor,35,603,0.05804311774461
87,domain1,domain1,BT_Cry1Bj1,BT_Cry1Bf1,Minor,44,603,0.072968490878939
87,domain1,domain1,BT_Cry1Bj1,BT_Cry1Ba1,Minor,47,603,0.077943615257048
87,domain1,domain2,BT_Cry1Be1,BT_Cry1Bb1,Major,88,636,0.138364779874214
87,domain1,domain3,BT_Cry1Be1,BT_Cry1Bb1,Major,175,430,0.406976744186047
87,domain1,domain2,BT_Cry1Bj1,BT_Cry1Bb1,Major,90,636,0.141509433962264
87,domain1,domain3,BT_Cry1Bj1,BT_Cry1Bb1,Major,199,447,0.445190156599553
95,domain1,domain1,BT_Cry2Am1,BT_Cry2Al1,Minor,16,582,0.027491408934708
95,domain1,domain2,BT_Cry2Am1,BT_Cry2Ag1,Major,21,615,0.034146341463415
95,domain1,domain3,BT_Cry2Am1,BT_Cry2Ag1,Major,44,429,0.102564102564103
95,domain1,domain2,BT_Cry2Am1,BT_Cry2Ab15,Major,16,615,0.026016260162602
95,domain1,domain3,BT_Cry2Am1,BT_Cry2Ab15,Major,12,426,0.028169014084507
96,domain1,domain1,NOV_Cry19Ba1_74.0_AGV55021.1,BT_Cry19Ba1,Minor,37,594,0.062289562289562
96,domain1,domain2,NOV_Cry19Ba1_74.0_AGV55021.1,BT_Cry4Da1,Major,104,609,0.170771756978654
96,domain1,domain3,NOV_Cry19Ba1_74.0_AGV55021.1,BT_Cry4Da1,Major,119,408,0.291666666666667
98,domain3,domain3,BT_Cry3Bb1,BT_Cry8Da1,Minor,134,426,0.314553990610329
98,domain3,domain3,BT_Cry3Ba1,BT_Cry8Da1,Minor,137,425,0.322352941176471
98,domain3,domain1,BT_Cry3Bb1,BT_Cry3Ca1,Major,153,614,0.249185667752443
98,domain3,domain2,BT_Cry3Bb1,BT_Cry3Ca1,Major,176,632,0.278481012658228
98,domain3,domain1,BT_Cry3Ba1,BT_Cry3Ca1,Major,149,614,0.242671009771987
98,domain3,domain2,BT_Cry3Ba1,BT_Cry3Ca1,Major,176,631,0.27892234548336
109,domain3,domain3,NOV_Cry69Ab1_58.0_PER42111.1,BT_Cry69Ab1,Minor,142,446,0.318385650224215
109,domain3,domain3,NOV_Cry69Ab1_58.0_PER42111.1,BT_Cry69Aa1,Minor,135,445,0.303370786516854
109,domain3,domain1,NOV_Cry69Ab1_58.0_PER42111.1,NOV_Cry69Aa2_62.7_WP_103591151.1,Major,115,596,0.192953020134228
109,domain3,domain2,NOV_Cry69Ab1_58.0_PER42111.1,NOV_Cry69Aa2_62.7_WP_103591151.1,Major,192,638,0.300940438871473
112,domain3,domain3,NOV_Cry7Ea2_99.9_AFI42038.1,NOV_Cry8Ca1_42.6_ABY46520.1,Minor,198,453,0.437086092715232
112,domain3,domain3,NOV_Cry7Ea2_99.9_AFI42038.1,NOV_Cry8Ca1_41.2_AST51780.1,Minor,194,448,0.433035714285714
112,domain3,domain1,NOV_Cry7Ea2_99.9_AFI42038.1,BT_Cry7Ca1,Major,78,609,0.12807881773399
112,domain3,domain2,NOV_Cry7Ea2_99.9_AFI42038.1,BT_Cry7Ca1,Major,102,639,0.15962441314554
119,domain1,domain1,BT_Cry14Ab1,NOV_Cry14Ab1_85.6_AXE15628.1,Minor,28,672,0.041666666666667
119,domain1,domain2,BT_Cry14Ab1,BT_Cry14Aa1,Major,63,609,0.103448275862069
119,domain1,domain3,BT_Cry14Ab1,BT_Cry14Aa1,Major,32,432,0.074074074074074
