tox,prot_type,domain1_length,domain1_ident,domain2_length,domain2_ident,domain3_length,domain3_ident
NOV_Cry7Ba1_84.3_AFI42043.1,ref,597,52.4148018390387,636,49.8970463167269,423,51.7515216946999
BT_Cry1Af1,all,594,56.6465593358659,597,53.6201734272788,441,54.8718945925457
BT_Cry2Ah1,all,573,54.678948865372,612,51.2929786032346,423,53.7993138665262
NOV_Cry8Da1_43.7_ANC11094.1,ref,609,52.0045665397555,639,49.4183883069665,420,51.5088876219416
BT_Cry63Aa1,ref,591,50.0596176361211,699,48.3005835805611,381,49.1051392598148
NOV_Cry1Aa11_99.8_AER40296.1,all,603,57.4736586124211,591,51.3421595387749,444,55.1139617894281
NOV_Cry50Ba2_97.6_AFI42042.1,all,606,51.3966282642492,564,50.3906410876059,471,51.9427207331233
NOV_Cry30Fa1_98.8_AFU17333.1,all,633,50.487613009021,612,49.8506070991832,462,51.8270367497651
NOV_Cry1Ba1_98.9_ABQ23438.1,all,603,53.4127317844656,633,51.2000885043494,411,52.7670025101237
BT_Cry1Ac13,all,603,57.6942812010308,603,53.8129108842525,417,52.900571291541
BT_Cry2Ab25,all,579,55.1668002645799,615,51.5945557840924,423,53.8650615538769
NOV_Cry8Ja1_60.3_PEE68563.1,ref,603,55.0584992898112,627,50.481172584719,423,50.4732769380275
NOV_Cry21Ba1_28.9_PEZ39117.1,ref,573,49.8579977131275,504,47.5315100894849,408,49.5900096080694
BT_Cry4Cb1,all,606,51.4184677405461,579,49.4168827037606,399,51.350307237644
BT_Cry2Ac3,all,579,54.4213669323423,588,50.2448318579229,381,52.1967933444426
NOV_Cry61Aa3_99.9_AFI42035.1,all,621,51.8190150388445,633,49.3307323513837,444,50.2873520856794
BT_Cry1Bb1,ref,603,53.846945400037,636,51.6115880072728,405,53.7737337226874
BT_Cry21Da1,ref,729,48.7801711849525,669,48.206175070215,408,48.626720047838
BT_Cry1Ac4,all,603,57.6942812010308,606,53.8876282397112,417,52.7956499945301
NOV_Cry1Aa11_99.9_AIE37439.1,all,603,57.4718320017054,591,51.4654987582352,444,54.9610836955617
NOV_Cry8Db1_49.9_WP_103653049.1,ref,591,53.5142516648385,672,49.1521686636462,438,50.2553721170915
BT_Cry1La1,ref,579,53.0561131015055,588,49.5594047816451,411,51.526376795897
NOV_Cry4Ba1_98.9_ABR22237.1,all,612,52.1545258525512,558,49.9529791269887,468,51.766725009453
BT_Cry1Ia28,all,603,55.8365289635635,630,53.3216484412605,411,55.5471639301902
BT_Cry32Pa1,ref,693,49.523205004966,606,47.954806837313,399,50.6848604382016
BT_Cry2Aa6,all,579,54.3847955191656,612,50.7892554961074,423,53.5930063179712
NOV_Cry8Aa1_47.1_EEM92570.1,ref,609,54.435153557137,657,49.5547919834746,453,51.267611512687
NOV_Cry1Ab12_99.3_ACU65107.1,all,603,57.6862478449102,606,53.9593539692696,432,55.082971532072
BT_Cry2Ai1,ref,579,54.2684711022215,615,50.8776870585491,423,53.4441501130717
BT_Cry2Ab11,all,579,55.2432228034208,615,51.4836682434209,423,53.7675982585756
NOV_Cry20Ba2_80.0_AGV55017.1,ref,591,51.7273361565563,591,49.1644527552276,414,49.9549732690096
BT_Cry8Da1,ref,606,54.6541490910296,684,49.7244284401161,414,52.9021884570934
BT_Cry1Ha1,ref,588,52.975247590253,594,50.4074169544996,402,51.1236474315502
BT_Cry2Ab32,all,579,55.1222177223649,615,51.4378979665914,423,53.7077456993541
NOV_Cry2Aa1_99.8_CAD32378.1,all,579,54.4249551337119,615,50.8978677482468,423,53.5930063179712
BT_Cry8Ra1,ref,624,52.7797180923272,672,49.7930730027823,414,51.405328633928
BT_Cry30Ba1,ref,633,50.4342031286271,618,50.0855076702133,399,51.642741385286
NOV_Cry32Ea2_41.9_AQM56938.1,ref,618,51.2567938756019,699,48.2163756285126,444,49.8546124259654
NOV_Cry1Ae1_99.9_AND11141.1,all,603,56.4122614422464,597,53.1153206378103,441,55.0089263354949
NOV_Cry4Ba1_31.6_AUM94650.1,ref,630,51.2945703854257,654,48.9463114884343,405,50.9723528309897
NOV_Cry1Ia9_99.7_AHL84185.1,all,603,55.6602612377155,630,53.3216484412605,411,55.682797267621
BT_Cry2Ac8,all,579,54.3529475680767,588,50.2448318579229,420,53.1237471085452
BT_Cry8Ka1,ref,597,52.9990134158767,645,49.600524702148,411,51.2493440252807
BT_Cry9Ca1,ref,606,53.9136744875566,618,49.5254411440371,429,51.2723489868212
BT_Cry7Ab5,ref,597,54.5732993262139,603,50.9399246975911,432,51.8835277571622
NOV_Cry10Aa1_94.4_ABW89736.1,ref,618,51.0743516939322,576,49.6185216554153,423,50.7089741949309
BT_Cry4Cc1,all,606,51.278223087921,600,49.7773665805675,399,51.2146292101908
BT_Cry42Aa1,ref,669,50.3203426761206,570,48.4962450932995,423,50.5281652198895
NOV_Cry43Cb1_38.6_AGV55020.1,ref,594,52.1226620553951,609,49.6373643058407,402,50.8913537463708
NOV_Cry11Aa1_99.2_AXJ97555.1,ref,549,50.5720073614498,681,48.3492514639295,450,50.0365251135332
BT_Cry1Aa1,all,603,57.3813247419492,591,51.4654987582352,444,55.1139617894281
BT_Cry1Ia26,all,603,55.608077893596,630,53.3216484412605,411,55.4980270297507
BT_Cry1Ca3,all,603,54.1086583634124,588,50.2273038110442,441,51.8187176303376
BT_Cry1Ka2,ref,603,53.8147951231736,618,50.4752755948862,414,51.5203959182484
BT_Cry1Ac22,all,603,57.6331851280425,606,53.9810180790114,417,52.7956499945301
BT_Cry2Ae1,ref,579,54.2408334379112,612,51.2457027600158,423,53.2920511666265
NOV_Cry1Ea10_93.2_AAX86871.1,ref,606,56.5600801195585,588,50.2644077345936,402,52.1177396524859
BT_Cry1Ib4,all,603,55.4382664587143,630,52.4637286306596,411,55.8025180037826
BT_Cry2Ac4,all,579,54.3844184150895,588,50.2488148335266,420,53.1405192817321
BT_Cry32Oa1,ref,639,50.9571181698309,660,48.7813043267349,462,49.587733725284
BT_Cry32Na1,ref,636,50.9023286171336,675,47.6954015826779,420,50.655360233953
BT_Cry8La1,ref,624,52.011481356293,582,49.6411349298865,438,51.2834637190172
BT_Cry32Ia1,ref,648,51.373210372998,648,48.3110639867941,417,49.9922499215218
BT_Cry1Ia12,all,603,55.745994668963,630,53.3216484412605,411,55.677100373175
NOV_Cry21Ea1_40.3_AOM14729.1,ref,741,47.8334462272166,696,47.9494259241859,393,48.4038705846788
BT_Cry8Db1,ref,606,54.6541490910296,666,50.1850134883599,432,49.716083632081
NOV_Cry5Ba1_27.2_AZR80678.1,ref,672,49.4503366146687,657,48.0233408880474,285,46.6347248113751
NOV_Cry4Ba1_63.7_AJW76684.1,ref,618,51.4370340724545,555,50.0392370556442,462,52.1425258534774
BT_Cry18Aa1,ref,570,50.8293443626321,624,48.159066983961,420,49.0045582445143
BT_Cry32Mb1,ref,684,51.025207184204,567,48.7336913527412,408,50.603416160225
BT_Cry1Ia29,all,603,55.7761658745075,630,53.3216484412605,411,55.682797267621
NOV_Cry8Ea3_99.9_AFM73687.1,all,597,55.6188324191292,612,50.8654517370065,426,50.7590461024667
NOV_Cry2Aa1_99.2_AJA30268.1,all,579,54.3516193470662,615,50.8936574495326,423,53.5694647612767
BT_Cry32Ra1,ref,627,51.1282410682927,654,48.0273528145884,423,49.9824802873215
BT_Cry4Ca1,ref,606,51.2767482012165,600,49.7646530715504,399,51.2206072315764
BT_Cry65Aa2,ref,813,47.6827604287534,624,48.0374496454236,408,49.307642919526
BT_Cry1Ia25,all,603,55.7995487950537,630,53.3216484412605,411,55.5027419136877
NOV_Cry11Aa1_97.8_ABW89740.1,all,507,49.4583392787843,654,47.9919389155908,450,49.9158662573839
BT_Cry31Ac1,ref,681,50.2011372865942,648,49.0149201052265,279,46.9008191360334
BT_Cry9Ba1,ref,606,51.8061235200129,660,49.7153945215716,414,52.1002666470873
NOV_Cry73Ba1_39.2_PFK99360.1,all,678,50.1631843124972,549,48.4469808829799,405,50.6148512853568
BT_Cry7Ac1,ref,597,53.3045619853942,603,50.8392256985406,420,51.9527115613445
BT_Cry7Ga2,ref,597,53.1255612320431,657,49.3536410223931,432,51.2550707897941
BT_Cry2Aa5,all,579,54.3774131228292,615,50.7760839658465,423,53.5563379970477
BT_Cry4Ca2,all,606,51.3076300593482,600,49.7299058871703,399,51.4326364536358
BT_Cry29Aa1,ref,606,50.7409275187266,492,48.5103236391919,432,51.2665906963293
BT_Cry2Aa3,ref,579,54.262415468076,621,50.7761888522997,423,53.5489422415548
BT_Cry2Ac7,all,579,54.3362462481734,588,50.2448318579229,420,53.1237471085452
BT_Cry32Ja1,ref,639,50.754331566693,660,48.2868548376174,432,48.8739319626684
BT_Cry8Ta1,ref,606,53.2043296732784,678,49.4903252422588,432,50.2680705600524
BT_Cry9Ec1,ref,615,53.0499041668153,618,49.1471779563154,411,52.8059669610928
NOV_Cry1Ia14_99.2_AQY42680.1,all,603,55.4669264715043,630,53.2679352559534,411,55.4845489432529
NOV_Cry1Ab12_91.4_AAK14338.1,ref,603,54.4088941330752,597,52.705741053422,441,55.0782870771657
BT_Cry1Ab31,all,603,57.6972353510596,597,53.6244374822095,441,55.1460935719689
BT_Cry24Ba1,ref,552,50.9641032478365,645,49.2517325195762,414,50.8947546881426
BT_Cry14Ab1,ref,672,49.9723118553949,609,48.3501121784984,426,50.7811991562968
NOV_Cry73Ba1_39.0_PGU92045.1,all,678,50.0046798831017,327,41.8050462888443,405,50.6619122487408
NOV_Cry1Ca1_99.9_BAM67040.1,all,603,54.1483803056112,588,50.2565587651802,441,51.5735023761699
BT_Cry2Ab29,all,579,55.2746642029002,615,51.5945557840924,423,53.6563213664497
BT_Cry2Ab33,all,579,55.2416171858449,615,51.565568423181,423,53.7728283542672
BT_Cry30Db1,ref,633,51.2198922326029,621,49.2453369365257,447,51.927784735795
NOV_Cry10Aa1_97.0_ABW89733.1,ref,621,50.8345615779681,576,49.737094858876,420,50.3179897272707
BT_Cry1Ab26,all,603,57.6293674661132,597,53.5940081235565,441,54.9505172118354
BT_Cry9Ga1,ref,636,51.2401919448216,642,49.6630647064715,408,54.4425643312991
BT_Cry2Ah3,ref,579,54.973171245498,612,51.2929786032346,423,53.7993138665262
BT_Cry7Ab1,ref,597,54.5818516974513,603,50.8462663230268,420,51.6130960546037
BT_Cry9Da1,ref,612,52.8548996387202,660,49.3614377542972,414,51.7304573317148
NOV_Cry1Ia28_99.7_AIQ81197.1,all,603,55.7785149020761,630,53.3216484412605,411,55.3184355492465
BT_Cry53Ab1,ref,606,51.9623222048723,612,49.1295982554588,414,50.2311363611945
BT_Cry7Ia1,ref,612,52.4011895907056,558,49.1626331788981,420,51.2399099067332
NOV_Cry27Aa1_80.8_AGV55018.1,ref,603,51.5891609832724,600,48.7182305192735,474,50.8695965042341
BT_Cry8Aa1,ref,606,54.8113184343009,657,49.6878453870249,411,51.8719436362203
BT_Cry1Hc1,ref,591,52.8472651152248,621,49.7268926286512,399,50.9933538029538
NOV_Cry1Ac10_99.0_AKJ79185.1,all,603,57.6972353510596,606,53.979288297671,417,52.7956499945301
NOV_Cry8Ha1_89.4_ABB29866.1,ref,594,49.7948016415869,636,49.2805755395684,417,54.1589648798521
BT_Cry8Fa3,all,588,53.9967413161972,663,49.1744196224947,414,51.6250671907529
BT_Cry2Ah5,all,579,54.8846971811334,612,51.2929786032346,423,53.7993138665262
BT_Cry1Ca11,ref,603,54.1086583634124,588,50.2714598797095,441,51.8187176303376
BT_Cry1Ia3,all,603,55.7985137709005,630,53.3216484412605,411,55.682797267621
BT_Cry2Ab30,all,579,55.2746642029002,615,51.4832807208502,423,53.8650615538769
BT_Cry8Ja1,ref,597,55.6188324191292,612,50.8654517370065,438,50.4240618676229
BT_Cry41Aa1,ref,702,50.5886949271065,609,49.2459128614711,402,50.3289197637631
NOV_Cry69Aa2_62.7_WP_103591151.1,ref,594,51.8410659083958,630,48.9984933361441,423,48.8994161052562
NOV_Cry4Cb3_34.4_PEA86378.1,ref,630,50.5050599921313,645,49.3896064450201,423,50.4355886270064
NOV_Cry7Ea2_99.9_AFI42038.1,ref,609,53.4951266609694,639,49.6018901806212,426,50.1758311733089
BT_Cry56Aa3,all,600,50.6971156051477,519,49.0408675010003,432,50.1577473648495
BT_Cry43Aa1,ref,597,52.6922059973188,585,48.8400685829737,408,50.1571080259149
NOV_Cry52Ca1_62.9_AZJ24464.1,ref,582,50.8686463095069,606,49.6380385328249,420,50.9486706643764
NOV_Cry48Aa1_36.6_CAH33948.1,ref,666,50.8870843405086,633,48.973128637452,429,51.187145052185
NOV_Cry43Cb1_43.9_PEA91147.1,ref,594,53.8161739951786,633,48.8201864846614,414,50.2527914838892
BT_Cry1Gb1,ref,591,52.4301563182136,588,50.3668253303026,414,53.9974078138902
BT_Cry31Ad1,ref,684,50.3441773614392,585,48.8248937930937,408,49.3742438458348
BT_Cry1Ia32,all,603,55.6019342780562,630,53.2407124708274,411,55.6934982787907
NOV_Cry40Aa1_67.9_CQ868314.1,ref,672,50.2853875269718,582,49.2677737787173,462,49.7915233105752
BT_Cry32Ha1,ref,639,50.657530260379,651,48.6524585808963,414,50.4423360933016
BT_Cry8Na1,ref,603,53.0268948974195,639,49.4291022764736,426,50.9289531127631
BT_Cry8Hb1,ref,594,53.4104719116323,627,49.9636933738567,417,52.1257861993341
NOV_Cry2Ab16_99.8_AIE37434.1,all,579,55.1934118667748,615,51.5945557840924,423,53.8650615538769
BT_Cry1Aa10,ref,603,57.4785711232112,591,51.337071409706,444,55.1139617894281
NOV_Cry8Ca1_99.5_AGV52971.1,all,603,52.895158560169,615,49.7635780770507,438,50.3724788908752
NOV_Cry3Aa12_81.9_AEZ53144.1,ref,579,50.3717151252654,531,48.561892792187,405,52.2496933274699
NOV_Cry4Aa1_32.5_ADM64568.1,ref,624,52.5850868494767,591,49.0907147239831,456,50.43080926939
BT_Cry1Ib7,all,603,55.5688420004607,630,52.4663407581489,411,55.8025180037826
BT_Cry2Aa17,all,579,55.2746642029002,615,51.0949520895867,423,53.5930063179712
BT_Cry1Id1,ref,603,54.7424574497255,630,52.989834575175,414,55.3012358922713
NOV_Cry1Ie2_23.3_ATF15267.1,ref,588,50.0519709458248,540,47.6628968438513,435,49.3194715669615
BT_Cry8Ib3,all,579,54.1667732565299,660,49.3659898246554,417,50.6241386126956
NOV_Cry8Ab1_80.3_AFP44678.1,ref,603,53.609020791285,663,49.6904641751585,417,50.0404915050931
BT_Cry8Ca1,ref,603,53.0612148101141,615,49.7331258079245,438,50.4240618676229
BT_Cry1Ac35,all,603,57.6953672568944,603,53.8141453829817,417,52.7591820124651
NOV_Cry2Aa1_99.8_AYN72234.1,all,579,54.4249551337119,615,50.8978677482468,423,53.4699228734448
BT_Cry1Ia15,all,603,55.7323460941069,630,53.3216484412605,411,55.682797267621
BT_Cry32Ea1,ref,639,50.6353935446908,657,48.4646637738531,423,50.3530898492992
BT_Cry1Ad2,all,603,56.5330411586711,597,51.5688323752455,438,54.6735980026517
BT_Cry32Cb1,ref,705,50.1822821699827,564,47.9951150580894,417,50.7191271806967
BT_Cry1Ab30,all,603,57.6972353510596,597,53.5877324252879,441,55.0987581553451
NOV_Cry73Aa1_40.0_PQQ47537.1,ref,651,49.4252816535967,525,48.1011936191932,354,48.7811313019087
BT_Cry52Aa1,ref,615,50.5243237159279,639,48.9898017462154,384,50.0833941934436
NOV_Cry53Ab1_39.4_AFM37573.1,ref,597,52.3600505355926,609,49.6403440363408,399,50.5181446696918
NOV_Cry32Ma1_37.1_PFE13212.1,all,678,49.9778467533275,549,48.4593183297368,405,50.6491356555927
BT_Cry1Bd1,ref,603,53.846945400037,636,51.586675685412,414,52.5602825042489
BT_Cry2Ab12,ref,579,55.2446244647809,615,50.6023266517099,423,53.59459583994
BT_Cry16Aa1,ref,597,51.3427943737121,558,49.2589297641784,420,50.2352154779116
BT_Cry9Aa1,ref,636,51.2464325377336,642,49.5991309006783,411,51.2157847868728
BT_Cry2Al1,ref,579,54.1983579748676,615,49.9806868239515,423,53.4082497148267
BT_Cry1Ie5,all,603,54.4322845652441,630,52.7896710014933,411,55.0164630808925
NOV_Cry70Aa1_77.7_WP_098222608.1,ref,684,49.7306203749702,504,47.4020639520666,399,49.1259681386723
NOV_Cry8Kb1_73.3_APT36283.1,ref,600,52.6839625903718,645,49.612808612346,465,50.2618972755112
NOV_Cry4Aa1_98.5_ABR12214.1,all,648,50.8133452599619,618,49.3903190340553,423,51.060062709582
BT_Cry1Ab7,all,603,57.6553227072871,597,53.45251323817,441,55.0023074444651
BT_Cry28Aa2,ref,615,51.1850076666643,597,49.3080514703812,426,50.7925120768348
BT_Cry70Ba1,ref,651,50.467756185078,531,47.8119774944531,408,49.7454916130459
BT_Cry54Ab1,ref,684,50.6215804314552,582,49.5084358959587,417,51.3131524051683
NOV_Cry70Ba1_97.3_PER34669.1,all,651,50.4846115482449,531,47.8343764754278,408,49.8752791074103
NOV_Cry1Ie5_79.3_PQQ47595.1,ref,603,54.4947543409812,630,51.6411264929314,408,54.3147420348598
BT_Cry7Kb1,ref,597,51.4567956858831,591,49.6977397165542,414,51.2862061067767
BT_Cry8Ac1,ref,603,53.6810489169859,663,49.5605962862805,441,50.6314029205367
NOV_Cry11Aa1_99.5_ABW89737.1,all,546,50.6521793686131,681,48.3034873798325,450,49.9744328814889
NOV_Cry1Ac11_99.8_ACB05715.1,all,603,57.3782181440472,606,53.8202560346449,417,52.7956499945301
BT_Cry1Fa1,ref,603,53.4302014987738,591,49.630694972919,411,52.3120496237012
BT_Cry2Af1,ref,579,54.9381381407761,594,49.9126176456421,423,52.9950466198391
BT_Cry1Ia7,all,603,55.6574870125368,630,53.0774690672779,411,55.6884249767566
BT_Cry40Da1,ref,642,50.8037070007773,591,49.7581530027452,384,50.2805924091768
NOV_Cry8Ba1_88.6_AEP25412.1,ref,606,55.3324261382263,639,51.0945497473296,315,48.2082731229565
BT_Cry1Fa3,all,603,53.4302014987738,591,49.6543277402105,411,52.3042692515516
BT_Cry1Ac30,all,603,57.6962942590615,606,53.9814337660326,405,52.2451848670268
BT_Cry1Db1,ref,603,53.8358106299486,576,49.8866711981883,396,51.2262517650898
BT_Cry2Ab22,all,579,55.2746642029002,615,51.5769359455469,423,53.6799002989214
BT_Cry7Cb1,ref,609,53.430465066755,663,50.1618088638863,432,50.0223077322404
BT_Cry41Ab1,ref,702,50.5886949271065,609,49.2333661777243,426,50.9158415283603
BT_Cry4Da1,ref,591,51.9570010994986,609,49.1454914466635,402,50.5398976098909
BT_Cry43Ba1,ref,576,52.238077159243,594,49.2563741762135,432,49.5875773101192
BT_Cry30Fa1,ref,633,50.487613009021,612,49.808875519832,462,51.7201391457948
BT_Cry4Ba2,all,612,52.3433012445875,558,50.0982050858356,468,52.1824521494361
BT_Cry7Fa1,ref,630,52.1765906066734,621,49.7673807878174,411,50.3644651335614
BT_Cry18Ca1,ref,576,50.8405825284544,651,48.4595595254786,429,50.0700130407674
NOV_Cry2Ah4_96.0_ACQ99192.1,all,579,54.465982125609,612,51.2929786032346,423,53.7993138665262
BT_Cry31Ac2,all,681,50.2055256956854,648,49.0149201052265,279,46.9008191360334
NOV_Cry8Ca1_99.7_AGV52973.1,all,603,52.992367387176,615,49.79523598301,438,50.4240618676229
BT_Cry9Db1,ref,612,52.7847817558785,663,49.3174924884577,420,51.9862239734574
NOV_Cry8Pa2_99.7_AEZ02302.1,all,603,55.2594560360643,660,50.5492507783922,417,50.7677493796803
BT_Cry2Aa11,all,579,54.3022515932403,621,50.7761888522997,423,53.5489422415548
BT_Cry32Ka1,ref,675,50.8075846156337,657,48.0871035729928,426,50.5533242842128
BT_Cry2Aa13,ref,579,55.2746642029002,615,50.9764874107798,423,53.5930063179712
NOV_Cry2Ad1_99.8_ABB55273.1,all,576,54.9642912097556,615,50.6313922729278,423,53.6783933331747
BT_Cry2Ab8,all,579,55.2746642029002,615,51.5815315879709,423,53.8650615538769
NOV_Cry8Ea3_99.9_AEA51183.1,all,597,55.6188324191292,612,50.8129727704448,426,50.6997070496558
NOV_Cry8Ab1_80.0_AMR06151.1,ref,603,53.8924161202418,663,49.4823537239319,414,52.0875392771779
BT_Cry9Aa5,all,636,51.1023732752519,642,49.5991309006783,411,51.2157847868728
BT_Cry50Aa1,ref,609,50.811334663221,561,49.7061463102559,474,51.6675515424873
