ID,Rec,Min_par,Maj_par,parent_1,parent_2,parent_3,Min_par_new,Maj_par_new,Unknown_flag,Type,start,stop,d1_start,d1_stop,d2_start,d2_stop,d3_start,d3_stop,Pval,r_min_1,r_min_2,r_min_3,r_maj_1,r_maj_2,r_maj_3
38,BT_Cry59Ba1,NOV_Cry40Da1_81.5_AIN76756.1;BT_Cry40Ca1;BT_Cry40Da1;NOV_Cry40Da1_65.0_CAH33957.1;NOV_Cry40Da1_77.3_ARJ25823.1,BT_Cry59Aa1,BT_Cry40Ba1;BT_Cry40Ca1;BT_Cry40Da1;NOV_Cry40Da1_65.0_CAH33957.1;NOV_Cry40Da1_66.9_PER55269.1;NOV_Cry40Da1_77.3_ARJ25823.1;NOV_Cry40Da1_81.5_AIN76756.1,BT_Cry59Aa1,BT_Cry59Aa1,BT_Cry40Ca1;NOV_Cry40Da1_81.5_AIN76756.1;NOV_Cry40Da1_77.3_ARJ25823.1;NOV_Cry40Da1_65.0_CAH33957.1;BT_Cry40Da1;BT_Cry40Ba1;NOV_Cry40Da1_66.9_PEU78339.1,BT_Cry59Aa1,no,domain1,1,684,1,649,673,1306,1339,1723,2.13845294697327E-32,70.8467939285334,52.133436402509,51.5396027249803,53.9722572509458,85.9030837004405,85.5072463768116
39,BT_Cry52Aa1,BT_Cry40Aa1,NOV_Cry52Ca1_62.9_AZJ24464.1,NOV_Cry52Ca1_62.9_AZJ24464.1,BT_Cry52Ca1;NOV_Cry52Ca1_62.9_AZJ24464.1,BT_Cry40Aa1;BT_Cry52Ca1,BT_Cry52Ca1;BT_Cry40Aa1,NOV_Cry52Ca1_62.9_AZJ24464.1,no,domain3,1380,1705,1,616,658,1297,1321,1705,2.17926948594395E-32,49.6527777777778,49.4492044063647,65.0963597430407,74.4897959183674,61.6883116883117,51.6981132075472
44,BT_Cry9Ee1,BT_Cry9Bb1,BT_Cry9Ec1;BT_Cry9Ed1,BT_Cry9Ec1;BT_Cry9Ed1,BT_Cry9Ec1;BT_Cry9Ed1,BT_Cry9Bb1,BT_Cry9Bb1,BT_Cry9Ed1;BT_Cry9Ec1,no,domain3,1234,1705,1,616,643,1261,1285,1705,2.65031811680995E-29,65.5313351498638,53.6319612590799,77.3305084745763,85.6782511210762,67.3669734863765,57.2777406417112
45,NOV_Cry40Da1_65.0_CAH33957.1,NOV_Cry40Da1_66.9_PER55269.1,BT_Cry40Da1;NOV_Cry40Da1_81.5_AIN76756.1,NOV_Cry40Da1_66.9_PER55269.1,BT_Cry40Da1;NOV_Cry40Da1_77.3_ARJ25823.1;NOV_Cry40Da1_81.5_AIN76756.1,event_103(unknown),NOV_Cry40Da1_66.9_PEU78339.1,unknown,no,domain1,1,549,1,625,649,1237,1267,1669,4.49334253419359E-28,95.3051643192488,69.3409742120344,66.0377358490566,68.8251336898396,84.2126115605972,64.8421052631579
47,BT_Cry2Ai1,BT_Cry2Ac10,BT_Cry2Aa13,BT_Cry2Ac10,BT_Cry2Aa13,BT_Cry2Aa13,BT_Cry2Ac10,BT_Cry2Aa13,no,domain1,1,502,1,580,595,1210,1249,1672,1.92524661821035E-35,97.6109215017065,69.1983122362869,79.7441364605544,81.2206572769953,98.7075928917609,98.5915492957747
49,NOV_Cry8Ab1_80.0_AMR06151.1,BT_Cry8Ra1,BT_Cry8Ab1,BT_Cry8Ab1,BT_Cry8Ab1,BT_Cry8Ra1,BT_Cry8Ra1,BT_Cry8Ab1,no,domain3,1329,1729,1,604,628,1291,1315,1729,1.01016599863632E-29,65.8108108108108,57.0588235294118,63.3136094674556,89.4984326018809,93.2944606413994,55.3072625698324
51,BT_Cry8Fa2,BT_Cry8Ga1,BT_Cry8Qa1,BT_Cry8Qa1,BT_Cry8Qa1,BT_Cry8Ga1,BT_Cry8Ga1,BT_Cry8Qa1,no,domain3,1366,1716,1,589,613,1276,1306,1720,4.67220349521785E-24,56.7460317460318,50.8690614136732,64.4,78.5388127853881,67.2566371681416,54.9450549450549
52,NOV_Cry9Ga1_57.2_PER39584.1,NOV_Cry68Aa1_74.8_WP_103592020.1;BT_Cry68Aa1;NOV_Cry68Aa1_80.1_PER38368.1,NOV_Cry9Ga1_58.0_AJS57594.1,NOV_Cry9Ga1_58.0_AJS57594.1,NOV_Cry9Ga1_58.0_AJS57594.1,BT_Cry68Aa1;NOV_Cry68Aa1_74.8_WP_103592020.1;NOV_Cry68Aa1_80.1_PER38368.1,NOV_Cry68Aa1_80.1_PEU91245.1;BT_Cry68Aa1;NOV_Cry68Aa1_74.8_WP_103592020.1,NOV_Cry9Ga1_58.0_AJS57594.1,no,domain3,1382,1707,1,634,658,1288,1321,1708,1.08442857230131E-23,52.4753559693319,55.8240081653457,70.6799678935902,71.8367346938775,73.4439834024896,57.1146245059289
53,BT_Cry1Jd1,BT_Cry9Ca1;BT_Cry9Ea10;BT_Cry9Ec1;BT_Cry9Ed1;BT_Cry9Fa1,BT_Cry1Jb1,BT_Cry1Jb1,BT_Cry1Ja1;BT_Cry1Jb1,unknown,unknown,BT_Cry1Jb1,minor,domain3,1218,1639,1,604,628,1195,1219,1639,1.54859688549621E-23,53.1361983957167,48.9068802153387,51.0845997326449,91.7329093799682,74.8466257668712,48.932384341637
56,BT_Cry9Ca1,BT_Cry9Ea10,BT_Cry9Ed1;BT_Cry9Ec1,unknown,BT_Cry9Ec1;BT_Cry9Ed1,BT_Cry1Jb1;BT_Cry9Ea10;BT_Cry9Ec1;BT_Cry9Ed1,,BT_Cry9Ed1;BT_Cry9Ec1,minor,domain1,1,510,1,607,634,1252,1282,1711,1.06244605411994E-25,58.984375,61.4473684210526,57.8651685393258,58.8810041449935,74.4573272770738,61.8604852623752
60,BT_Cry32Ha1;BT_Cry32Hb1,BT_Cry32Ka1,BT_Cry32Oa1,BT_Cry32Oa1,BT_Cry32Oa1,BT_Cry32Ka1,BT_Cry32Ka1,BT_Cry32Oa1,no,domain3,1446,1756,1,640,664,1315,1342,1756,9.7051026392098E-21,52.9685681024447,54.5186599345207,63.3806720440384,73.1707317073171,66.581956797967,51.5643289446224
62,BT_Cry1Db1,BT_Cry1Dd1,BT_Cry1Da1,BT_Cry1Dd1,BT_Cry1Da1;BT_Cry1Dc1,BT_Cry1Da1,NOV_Cry1Da1_83.2_AIW52615.1,BT_Cry1Da1,no,domain1,130,729,1,604,628,1204,1234,1630,4.85817593416315E-20,88.4375,68.475073313783,72.0779220779221,74.025974025974,91.6805324459235,96.5260545905707
65,BT_Cry30Db1;BT_Cry30Da1,BT_Cry30Ba1;BT_Cry30Ca1,NOV_Cry30Ga2_64.5_ARJ25665.1,NOV_Cry30Ga2_64.5_ARJ25665.1,unknown,NOV_Cry30Ga2_64.5_ARJ25665.1,unknown,NOV_Cry30Ga2_64.5_ARJ25665.1,minor,domain2,771,1339,1,634,658,1279,1309,1756,1.73165492833619E-19,62.3103601466236,68.5271337878412,64.7716077928205,86.041522040958,73.1677325592752,52.9622980251346
71,BT_Cry19Aa1,BT_Cry4Da1,BT_Cry1Na1;BT_Cry1Nb1,BT_Cry1Na1;BT_Cry1Nb1,BT_Cry4Da1,NOV_Cry1Ab20_69.9_AAK14339.1;BT_Cry1Aa10;BT_Cry1Ab1;BT_Cry1Ab2;BT_Cry1Ad1;BT_Cry1Ag1;BT_Cry1Bb1;BT_Cry1Fb1;BT_Cry1Ga2;BT_Cry1Gb1;BT_Cry1Ia11;BT_Cry1Ia18;BT_Cry1Ic1;BT_Cry1Id1;BT_Cry1Ie4;BT_Cry1Ja1;BT_Cry1Ma1;BT_Cry1Na1;BT_Cry1Nb1;BT_Cry9Ga1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;BT_Cry1Aj1;BT_Cry1Dc1;BT_Cry1Gc1;NOV_Cry1Ie5_79.3_PQQ47595.1,BT_Cry19Ca1,BT_Cry1Na1;BT_Cry1Nb1,no,domain2,617,1246,1,610,634,1240,1270,1678,5.75515890763164E-27,56.8627450980392,66.4383561643836,50.5576208178439,55.2030651340996,48.4261841003414,51.8188063636427
73,BT_Cry13Aa1,NOV_Cry13Aa1_50.1_ANS46780.1,NOV_Cry14Aa1_44.0_PGW42274.1,unknown,unknown,NOV_Cry13Aa1_50.1_ANS46780.1,NOV_Cry13Aa1_50.1_ANS46780.1,unknown,major,domain3,1398,1774,1,652,670,1330,1336,1774,7.44314259461249E-20,55.8030480656506,57.243816254417,74.6,55.9859154929578,52.9142857142857,52.3809523809524
74,BT_Cry8Pa1,BT_Cry1Na1;BT_Cry1Nb1,BT_Cry8Ea2,BT_Cry8Ea2;BT_Cry8Ja1,event_22(NOV_Cry8Ba1_88.6_AEP25412.1),unknown,unknown,unknown,minor,domain3,1343,1714,1,604,628,1291,1297,1714,4.19933015018201E-16,55.8292770095792,49.2865545363029,51.3837638376384,82.370820668693,54.3583535108959,51.6187050359712
75,NOV_Cry32Ta1_48.0_AQX37180.1,BT_Cry32Qa1,BT_Cry32Va1;NOV_Cry32Va1_61.0_WP_134996253.1,BT_Cry32Qa1,BT_Cry32Va1;NOV_Cry32Va1_61.0_WP_134996253.1,BT_Cry32Ha1;BT_Cry32Hb1;BT_Cry32Ka1;BT_Cry32Qa1;BT_Cry32Ta1;BT_Cry32Va1;NOV_Cry32Va1_61.0_WP_134996253.1,BT_Cry32Qa1,BT_Cry32Va1;NOV_Cry32Va1_61.0_WP_134996253.1,no,domain1,1,536,1,676,700,1369,1399,1807,1.71716958751672E-17,68.9393939393939,50.1726121979287,57.2533849129594,54.5901609847043,56.1856957346919,54.6120974186151
78,NOV_Cry56Aa2_56.0_AGV55019.1,NOV_Cry56Aa4_56.4_PER37538.1,NOV_Cry56Aa4_77.6_ARJ25668.1;BT_Cry56Aa1;NOV_Cry56Aa4_79.3_WP_103592286.1,NOV_Cry56Aa4_56.4_PER37538.1,NOV_Cry56Aa4_56.4_PER37538.1,BT_Cry56Aa1;NOV_Cry56Aa4_77.6_ARJ25668.1;NOV_Cry56Aa4_79.3_WP_103592286.1,NOV_Cry56Aa4_56.4_PEU80288.1,unknown,no,domain1,1,679,1,613,652,1168,1189,1612,1.85080822158837E-22,77.3913043478261,67.9032258064516,62.2857142857143,56.001088077286,74.1611915953487,63.4975707484055
84,NOV_Cry8Aa1_47.1_EEM92570.1,BT_Cry8Ea2,NOV_Cry8Da1_43.7_ANC11094.1,BT_Cry8Ea2,NOV_Cry8Da1_43.7_ANC11094.1,BT_Cry1Fa1;BT_Cry1Ig1;BT_Cry1Ka2;BT_Cry3Ba1;BT_Cry3Bb1;BT_Cry8Da1;BT_Cry8Ha1;BT_Cry8Hb1;NOV_Cry8Da1_43.7_ANC11094.1;NOV_Cry8Ha1_89.4_ABB29866.1;NOV_Cry8Ha1_89.8_ATY50148.1,BT_Cry8Ea2,NOV_Cry8Da1_43.7_ANC11094.1,no,domain1,19,525,1,610,634,1291,1321,1774,4.82298218417331E-18,68.4357541899441,52.3409363745498,50,56.1538461538462,56.144578313253,52.0905923344948
87,BT_Cry1Be1;BT_Cry1Bj1,BT_Cry1Bf1;BT_Cry1Ba1,BT_Cry1Bh1;BT_Cry1Bb1;BT_Cry1Bd1,BT_Cry1Ba1;BT_Cry1Bf1,BT_Cry1Bb1;BT_Cry1Bd1,NOV_Cry1Ab20_69.9_AAK14339.1;BT_Cry1Aa10;BT_Cry1Ab1;BT_Cry1Ab2;BT_Cry1Ad1;BT_Cry1Ag1;BT_Cry1Bb1;BT_Cry1Fb1;BT_Cry1Ga2;BT_Cry1Gb1;BT_Cry1Ia11;BT_Cry1Ia18;BT_Cry1Ic1;BT_Cry1Id1;BT_Cry1Ie4;BT_Cry1Ja1;BT_Cry1Ma1;BT_Cry1Na1;BT_Cry1Nb1;BT_Cry9Ga1;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ab32_92.7_AAK14337.1;BT_Cry1Aj1;BT_Cry1Dc1;BT_Cry1Gc1;NOV_Cry1Ie5_79.3_PQQ47595.1,BT_Cry1Bf1;BT_Cry1Ba1,BT_Cry1Bb1,no,domain1,1,460,1,604,628,1258,1282,1693,4.82568316314803E-19,89.0442606867143,66.9578140699032,64.5162680317978,72.7446752628241,79.7605579632498,61.6644214491821
95,BT_Cry2Am1,BT_Cry2Al1,BT_Cry2Ag1;BT_Cry2Ab15,BT_Cry2Al1,BT_Cry2Ab12;BT_Cry2Ab15;BT_Cry2Ag1,BT_Cry2Ab15;BT_Cry2Ag1,BT_Cry2Al1,BT_Cry2Ag1;BT_Cry2Ab15,no,domain1,1,476,1,583,598,1213,1252,1675,8.20465356504882E-11,96.1148648648649,74.9644381223329,89.261744966443,84.8317134515489,94.469441319835,92.5299439347604
96,NOV_Cry19Ba1_74.0_AGV55021.1,BT_Cry19Ba1,BT_Cry4Da1,BT_Cry19Ba1,BT_Cry19Aa1;BT_Cry4Da1,BT_Cry4Da1,BT_Cry19Ba1,BT_Cry19Ca1,no,domain1,1,673,1,592,631,1240,1258,1666,2.88473967901253E-13,89.297124600639,68.4647302904564,55.5125725338491,68.3760683760684,75,62.3246492985972
98,BT_Cry3Bb1;BT_Cry3Ba1,BT_Cry8Da1,BT_Cry3Ca1,BT_Cry3Ca1,BT_Cry3Aa10;BT_Cry3Ca1;NOV_Cry3Aa12_81.9_AEZ53144.1,BT_Cry8Da1,BT_Cry8Da1,BT_Cry3Ca1,no,domain3,1326,1686,1,613,637,1255,1285,1699,9.07191544108343E-10,54.8633810877135,50.1738095079721,60.9343125254998,65.9157009429861,64.1398208307696,51.9342169524637
103,NOV_Cry40Da1_65.0_CAH33957.1,NOV_Cry40Da1_66.9_PER55269.1,BT_Cry40Da1;NOV_Cry40Da1_81.5_AIN76756.1,event_45(NOV_Cry40Da1_66.9_PER55269.1),event_45(BT_Cry40Da1;NOV_Cry40Da1_77.3_ARJ25823.1;NOV_Cry40Da1_81.5_AIN76756.1),unknown,unknown,unknown,minor,domain3,1280,1669,1,625,649,1237,1267,1669,1.66752770926974E-15,95.3051643192488,69.3409742120344,66.0377358490566,68.8251336898396,84.2126115605972,64.8421052631579
104,NOV_Cry21Aa2_44.6_AZR80772.1,BT_Cry21Ba1;BT_Cry21Aa1,BT_Cry21Fa1,unknown,unknown,BT_Cry21Aa1;BT_Cry21Ba1,BT_Cry21Aa1;BT_Cry21Ba1,unknown,major,domain3,1361,1672,1,628,640,1228,1234,1672,5.32723912299261E-15,52.1636286629854,50.6471169905518,57.7279314472938,51.3793103448276,50.571791613723,48.7562189054726
107,BT_Cry52Ca1,NOV_Cry52Ca1_62.9_AZJ24464.1,BT_Cry52Aa1;BT_Cry52Ba1,event_37(BT_Cry52Aa1;BT_Cry52Ba1;NOV_Cry52Ca1_62.9_AZJ24464.1),NOV_Cry52Ca1_62.9_AZJ24464.1,event_37(BT_Cry40Aa1),NOV_Cry52Ca1_62.9_AZJ24464.1,unknown,major,domain2,447,1214,1,592,631,1237,1267,1663,4.86848650518389E-18,69.753979739508,82.2556390977444,51.9553072625698,64.5701709734407,61.9146519277068,64.1564663223822
109,NOV_Cry69Ab1_58.0_PER42111.1,BT_Cry69Aa1;BT_Cry69Ab1,NOV_Cry69Aa2_62.7_WP_103591151.1,NOV_Cry69Aa2_62.7_WP_103591151.1;NOV_Cry69Ab1_59.2_WP_103591619.1,NOV_Cry69Aa2_62.7_WP_103591151.1,BT_Cry69Aa1;BT_Cry69Ab1,BT_Cry69Aa1;BT_Cry69Ab1,NOV_Cry69Aa2_62.7_WP_103591151.1,no,domain3,1231,1690,1,589,613,1237,1270,1690,9.07191544108343E-10,62.6320701325667,52.1818213874327,61.6486862135151,73.3137829912023,62.8571428571429,53.8321167883212
112,NOV_Cry7Ea2_99.9_AFI42038.1,NOV_Cry8Ca1_41.2_AST51780.1;NOV_Cry8Ca1_42.6_ABY46520.1,BT_Cry7Ca1,BT_Cry7Ca1,NOV_Cry7Ca1_86.8_AGM39664.1;BT_Cry7Ca1,NOV_Cry8Ca1_41.2_AST51780.1;NOV_Cry8Ca1_42.6_ABY46520.1,NOV_Cry8Ca1_41.2_AST51780.1;NOV_Cry8Ca1_42.6_ABY46520.1,NOV_Cry7Ca1_99.7_ABR67863.2,no,domain3,1285,1660,1,610,634,1273,1294,1720,2.02293818574207E-11,59.6330275229358,50.8971599214325,53.506264801454,78.8546255506608,75.8620689655172,53.0499075785582
