Strain,Cry,Num
IBL 200,NOV_Cry8Aa1_46.1_OTZ58098.1,11
IBL 200,BT_Cry1Id1,11
IBL 200,BT_Cry2Ad1,11
IBL 200,BT_Cry1Ab18,11
IBL 200,BT_Cry1Ja2,11
IBL 200,NOV_Cry1Bb1_99.9_EEM92927.1,11
IBL 200,NOV_Cry1Nb1_99.0_AMR88570.1,11
IBL 200,NOV_Cry8Aa1_47.1_EEM92570.1,11
NB18,NOV_Cry1Aa11_99.8_AER40296.1,1
BT HMM-AND7B,BT_Cry1Ib10,1
BT HMM,BT_Cry1Ib10,2
BT HMM,NOV_Cry8Ba1_88.6_AEP25412.1,2
BT HMM-BRT2A,BT_Cry1Ib10,1
FH21,BT_Cry1Id3,4
FH21,BT_Cry1Ja3,4
FH21,BT_Cry1Da4,4
FH21,BT_Cry1Bb3,4
BTy41,BT_Cry52Aa1,6
BTy41,BT_Cry30Da1,6
BTy41,BT_Cry4Ca1,6
BTy41,BT_Cry53Aa1,6
BTy41,BT_Cry40Ca1,6
BTy41,NOV_Cry50Ba2_97.6_AFI42042.1,6
SC-7,BT_Cry1Ia31,1
SC-13,BT_Cry1Ia31,1
Bt-ICA/UNMSM10RA,BT_Cry1Ac1,1
2B,BT_Cry1Ia1,2
2B,BT_Cry1Ac1,2
QZL121,BT_Cry1Ac1,1
HD73,NOV_Cry1Ac10_99.0_CAA70925.1,2
HD73,BT_Cry1Ac1,2
27,BT_Cry1Ac1,4
27,BT_Cry1Ga1,4
27,NOV_Cry1Ib7_99.9_EXY05450.1,4
27,BT_Cry2Ab1,4
40000000,BT_Cry1Ac1,1
DSIR732,BT_Cry1Ac1,1
GC-91,BT_Cry1Da1,6
GC-91,BT_Cry1Ac1,6
GC-91,BT_Cry1Ca15,6
GC-91,BT_Cry2Ab1,6
GC-91,BT_Cry9Ea1,6
GC-91,BT_Cry1Ia10,6
1905,BT_Cry1Ac1,4
1905,BT_Cry1Ab1,4
1905,BT_Cry2Ab1,4
1905,BT_Cry1Ia10,4
YBT-1520,BT_Cry1Aa12,6
YBT-1520,BT_Cry1Ac4,6
YBT-1520,BT_Cry2Aa1,6
YBT-1520,BT_Cry1Ac1,6
YBT-1520,BT_Cry2Ab1,6
YBT-1520,BT_Cry1Ia10,6
T03a001,BT_Cry1Ac1,1
BGSC 4X1,BT_Cry1Ac1,4
BGSC 4X1,BT_Cry2Ab1,4
BGSC 4X1,BT_Cry1Aa12,4
BGSC 4X1,BT_Cry1Ia10,4
T07019,BT_Cry1Aa12,7
T07019,BT_Cry1Ac1,7
T07019,BT_Cry1Ca15,7
T07019,NOV_Cry1Da1_99.6_OUA22582.1,7
T07019,BT_Cry2Ab1,7
T07019,BT_Cry9Ea1,7
T07019,BT_Cry1Ia10,7
SY27.1,BT_Cry1Aa12,5
SY27.1,BT_Cry2Aa1,5
SY27.1,BT_Cry1Ac1,5
SY27.1,BT_Cry2Ab1,5
SY27.1,BT_Cry1Ia10,5
40000000,BT_Cry1Ac1,1
AFS099341,NOV_Cry8Ja1_60.3_PEE68563.1,1
Bt9,BT_Cry11Aa5,1
DS415,BT_Cry2Ab29,1
kenyae,BT_Cry1Ea1,1
HS18-1,BT_Cry56Aa3,19
HS18-1,BT_Cry30Ga1,19
HS18-1,NOV_Cry70Aa1_99.9_AKR12921.1,19
HS18-1,NOV_Cry69Ab1_99.0_AKR13097.1,19
HS18-1,NOV_Cry69Ab1_99.9_WP_080990951.1,19
HS18-1,BT_Cry72Aa1,19
HS18-1,BT_Cry30Ea4,19
HS18-1,NOV_Cry4Cb3_99.9_WP_080990953.1,19
HS18-1,BT_Cry71Aa1,19
HS18-1,NOV_Cry50Ba2_99.9_AKR13106.1,19
HS18-1,NOV_Cry54Ba2_99.8_WP_080990974.1,19
HS18-1,NOV_Cry72Aa1_97.0_AKR12911.1,19
HS18-1,BT_Cry4Cb1,19
HS18-1,BT_Cry69Ab1,19
HS18-1,NOV_Cry30Ga2_97.1_AKR12899.1,19
HS18-1,NOV_Cry71Aa1_99.8_AFM73704.1,19
HS18-1,BT_Cry56Aa4,19
HS18-1,BT_Cry70Aa1,19
HS18-1,BT_Cry54Ba2,19
A-19-31,BT_Cry1Aa6,3
A-19-31,NOV_Cry1Ac11_99.8_ACB05715.1,3
A-19-31,NOV_Cry1Ab12_99.5_ACB05714.1,3
S2160-1,BT_Cry30Ga2,10
S2160-1,NOV_Cry70Aa1_99.9_AKR12921.1,10
S2160-1,NOV_Cry69Ab1_99.9_WP_080990951.1,10
S2160-1,BT_Cry30Ea4,10
S2160-1,BT_Cry54Ba1,10
S2160-1,BT_Cry69Ab1,10
S2160-1,BT_Cry30Ea1,10
S2160-1,BT_Cry54Ba2,10
S2160-1,BT_Cry4Cb3,10
S2160-1,BT_Cry50Ba1,10
FU-2-7,BT_Cry1Aa5,1
G25-42,BT_Cry12Aa1,1
XL6,BT_Cry7Ea2,7
XL6,NOV_Cry7Gd1_98.0_ALL11724.1,7
XL6,NOV_Cry67Aa1_99.0_ALL11835.1,7
XL6,NOV_Cry7Cb1_96.0_ALL11871.1,7
XL6,BT_Cry61Aa3,7
XL6,BT_Cry7Fa2,7
XL6,NOV_Cry7Ba1_84.3_AFI42043.1,7
BGSC 4AT1,NOV_Cry9Eb3_95.6_OTW81421.1,4
BGSC 4AT1,BT_Cry1Ie2,4
BGSC 4AT1,NOV_Cry9Da4_99.7_OTW84346.1,4
BGSC 4AT1,BT_Cry1Na1,4
BGSC 4AR1,NOV_Cry9Eb3_95.6_OTW81421.1,4
BGSC 4AR1,BT_Cry1Ie2,4
BGSC 4AR1,NOV_Cry9Da4_99.7_OTW84346.1,4
BGSC 4AR1,BT_Cry1Na1,4
PS46L,BT_Cry1Bh1,1
QZL144-1,BT_Cry8Ea4,1
G25-3,NOV_Cry26Aa1_95.5_OTX75968.1,2
G25-3,NOV_Cry28Aa2_99.7_ADY24870.1,2
BGSC 4B2,NOV_Cry26Aa1_95.5_OTX75968.1,2
BGSC 4B2,NOV_Cry28Aa2_99.7_ADY24870.1,2
4B1,NOV_Cry26Aa1_95.5_OTX75968.1,2
4B1,NOV_Cry28Aa2_99.7_ADY24870.1,2
IBL00971,NOV_Cry26Aa1_95.5_OTX75968.1,2
IBL00971,NOV_Cry28Aa2_99.7_ADY24870.1,2
BGSC 4BR1,NOV_Cry28Aa2_99.7_ADY24870.1,2
BGSC 4BR1,BT_Cry3Aa1,2
YBT-020,NOV_Cry26Aa1_95.4_ABB51652.1,4
YBT-020,NOV_Cry28Aa2_99.6_ABB51653.1,4
YBT-020,NOV_Cry28Aa2_99.7_ADY24870.1,4
YBT-020,NOV_Cry28Aa2_99.6_ADY25012.1,4
HD12,NOV_Cry1Da3_99.9_AMR88578.1,15
HD12,NOV_Cry1Hb1_98.0_AMR88562.1,15
HD12,BT_Cry1Nb1,15
HD12,BT_Cry1Id1,15
HD12,BT_Cry1Ib11,15
HD12,NOV_Cry1Ib11_99.9_KIP24195.1,15
HD12,BT_Cry2Ad1,15
HD12,BT_Cry1Ab18,15
HD12,BT_Cry1Ja2,15
HD12,BT_Cry1Hb1,15
HD12,NOV_Cry1Fb4_99.8_AMR88428.1,15
HD12,NOV_Cry1Nb1_99.0_AMR88570.1,15
HD12,NOV_Cry1Ka2_99.8_OTZ32741.1,15
HD12,BT_Cry1Bb1,15
HD12,BT_Cry1Da3,15
WBT-2,BT_Cry1Hb2,14
WBT-2,NOV_Cry1Hb1_98.0_AMR88562.1,14
WBT-2,NOV_Cry1Da3_99.9_PNK40029.1,14
WBT-2,NOV_Cry1Ka1_98.4_KIP24267.1,14
WBT-2,NOV_Cry1Fb3_99.9_PNK40066.1,14
WBT-2,BT_Cry1Id1,14
WBT-2,BT_Cry1Ib11,14
WBT-2,NOV_Cry1Ib11_99.9_KIP24195.1,14
WBT-2,BT_Cry1Bb2,14
WBT-2,BT_Cry1Ab18,14
WBT-2,BT_Cry1Ja2,14
WBT-2,NOV_Cry1Nb1_99.0_AMR88570.1,14
WBT-2,BT_Cry1Ka2,14
WBT-2,BT_Cry1Bb1,14
btsu4,BT_Cry8Ha1,3
btsu4,BT_Cry8Ia1,3
btsu4,NOV_Cry8Ha1_89.4_ABB29866.1,3
BGSC 4J4,BT_Cry1Aa12,5
BGSC 4J4,BT_Cry1Ia30,5
BGSC 4J4,BT_Cry2Ab1,5
BGSC 4J4,BT_Cry9Ea1,5
BGSC 4J4,BT_Cry1Ia10,5
G03,BT_Cry1Da1,5
G03,BT_Cry1Ca15,5
G03,BT_Cry2Ab1,5
G03,BT_Cry9Ea1,5
G03,BT_Cry1Ia10,5
CVUAS2492,BT_Cry1Da1,5
CVUAS2492,BT_Cry1Ca15,5
CVUAS2492,BT_Cry2Ab1,5
CVUAS2492,BT_Cry9Ea1,5
CVUAS2492,BT_Cry1Ia10,5
CH_65,BT_Cry1Da1,5
CH_65,BT_Cry1Ca15,5
CH_65,BT_Cry2Ab1,5
CH_65,BT_Cry9Ea1,5
CH_65,BT_Cry1Ia10,5
14-2,BT_Cry9Ea1,3
14-2,BT_Cry2Ab1,3
14-2,BT_Cry1Ia10,3
Leapi01,BT_Cry1Da1,4
Leapi01,BT_Cry9Ea1,4
Leapi01,BT_Cry2Ab1,4
Leapi01,BT_Cry1Ia10,4
AGES_2_27_S,BT_Cry1Da1,5
AGES_2_27_S,BT_Cry1Ca15,5
AGES_2_27_S,BT_Cry2Ab1,5
AGES_2_27_S,BT_Cry9Ea1,5
AGES_2_27_S,BT_Cry1Ia10,5
25-6,BT_Cry9Ea1,3
25-6,BT_Cry2Ab1,3
25-6,BT_Cry1Ia10,3
2122,BT_Cry1Ab1,4
2122,BT_Cry1Da1,4
2122,BT_Cry9Ea1,4
2122,BT_Cry2Ab1,4
AGES_6_27_S,BT_Cry1Aa12,6
AGES_6_27_S,BT_Cry1Da1,6
AGES_6_27_S,BT_Cry1Ca15,6
AGES_6_27_S,BT_Cry2Ab1,6
AGES_6_27_S,BT_Cry9Ea1,6
AGES_6_27_S,BT_Cry1Ia10,6
CH_748,BT_Cry1Da1,5
CH_748,BT_Cry1Ca15,5
CH_748,BT_Cry2Ab1,5
CH_748,BT_Cry9Ea1,5
CH_748,BT_Cry1Ia10,5
P01_3,BT_Cry1Da1,5
P01_3,BT_Cry1Ca15,5
P01_3,BT_Cry2Ab1,5
P01_3,BT_Cry9Ea1,5
P01_3,BT_Cry1Ia10,5
Bt-GS57,BT_Cry1Da1,5
Bt-GS57,BT_Cry1Ca15,5
Bt-GS57,BT_Cry2Ab1,5
Bt-GS57,BT_Cry9Ea1,5
Bt-GS57,BT_Cry1Ia10,5
CH_733,BT_Cry1Da1,5
CH_733,BT_Cry1Ca15,5
CH_733,BT_Cry2Ab1,5
CH_733,BT_Cry9Ea1,5
CH_733,BT_Cry1Ia10,5
Staal1-1,BT_Cry1Da1,5
Staal1-1,BT_Cry1Ca15,5
Staal1-1,BT_Cry2Ab1,5
Staal1-1,BT_Cry9Ea1,5
Staal1-1,BT_Cry1Ia10,5
B401,BT_Cry1Ab1,6
B401,BT_Cry1Da1,6
B401,BT_Cry1Ca15,6
B401,BT_Cry2Ab1,6
B401,BT_Cry9Ea1,6
B401,BT_Cry1Ia10,6
CH_72,BT_Cry1Aa12,6
CH_72,BT_Cry1Da1,6
CH_72,BT_Cry1Ca15,6
CH_72,BT_Cry2Ab1,6
CH_72,BT_Cry9Ea1,6
CH_72,BT_Cry1Ia10,6
T07153,BT_Cry1Aa12,6
T07153,BT_Cry1Da1,6
T07153,BT_Cry1Ca15,6
T07153,BT_Cry2Ab1,6
T07153,BT_Cry9Ea1,6
T07153,BT_Cry1Ia10,6
26-1,BT_Cry9Ea1,3
26-1,BT_Cry2Ab1,3
26-1,BT_Cry1Ia10,3
LTS-7,BT_Cry9Ea1,2
LTS-7,BT_Cry2Ab1,2
BR37,BT_Cry1Da1,5
BR37,BT_Cry1Ca15,5
BR37,BT_Cry1Ia7,5
BR37,BT_Cry1Fa1,5
BR37,BT_Cry9Ea1,5
6/27/S,BT_Cry1Aa12,6
6/27/S,BT_Cry1Da1,6
6/27/S,BT_Cry1Ca15,6
6/27/S,BT_Cry2Ab1,6
6/27/S,BT_Cry9Ea1,6
6/27/S,BT_Cry1Ia10,6
CVUAS9659,BT_Cry1Da1,5
CVUAS9659,BT_Cry1Ca15,5
CVUAS9659,BT_Cry2Ab1,5
CVUAS9659,BT_Cry9Ea1,5
CVUAS9659,BT_Cry1Ia10,5
20-1,BT_Cry9Ea1,3
20-1,BT_Cry2Ab1,3
20-1,BT_Cry1Ia10,3
ABTS-1857,BT_Cry1Ab1,7
ABTS-1857,BT_Cry1Aa12,7
ABTS-1857,BT_Cry1Da1,7
ABTS-1857,BT_Cry1Ca15,7
ABTS-1857,BT_Cry2Ab1,7
ABTS-1857,BT_Cry9Ea1,7
ABTS-1857,BT_Cry1Ia10,7
CH_696,BT_Cry1Da1,5
CH_696,BT_Cry1Ca15,5
CH_696,BT_Cry2Ab1,5
CH_696,BT_Cry9Ea1,5
CH_696,BT_Cry1Ia10,5
777001-1,BT_Cry1Da1,5
777001-1,BT_Cry1Ca15,5
777001-1,BT_Cry2Ab1,5
777001-1,BT_Cry9Ea1,5
777001-1,BT_Cry1Ia10,5
M100,BT_Cry9Ea1,3
M100,BT_Cry2Ab1,3
M100,BT_Cry1Ia10,3
Hu4-2,BT_Cry1Fa1,6
Hu4-2,BT_Cry1Da1,6
Hu4-2,BT_Cry1Ia7,6
Hu4-2,NOV_Cry1Ca8_97.8_ETE96169.1,6
Hu4-2,NOV_Cry1Aa12_95.9_ETF00019.1,6
Hu4-2,BT_Cry9Ea1,6
T07183,NOV_Cry1Aa12_99.9_OUA16321.1,6
T07183,BT_Cry1Da1,6
T07183,BT_Cry1Ca15,6
T07183,BT_Cry2Ab1,6
T07183,BT_Cry9Ea1,6
T07183,BT_Cry1Ia10,6
21-1,BT_Cry9Ea1,3
21-1,BT_Cry2Ab1,3
21-1,BT_Cry1Ia10,3
CH_746,BT_Cry1Da1,5
CH_746,BT_Cry1Ca15,5
CH_746,BT_Cry2Ab1,5
CH_746,BT_Cry9Ea1,5
CH_746,BT_Cry1Ia10,5
CH_692,BT_Cry1Da1,5
CH_692,BT_Cry1Ca15,5
CH_692,BT_Cry2Ab1,5
CH_692,BT_Cry9Ea1,5
CH_692,BT_Cry1Ia10,5
I13,NOV_Cry1Aa12_99.9_OUA16321.1,6
I13,BT_Cry1Da1,6
I13,BT_Cry1Ca15,6
I13,BT_Cry2Ab1,6
I13,BT_Cry9Ea1,6
I13,BT_Cry1Ia10,6
kn11,BT_Cry1Da1,5
kn11,BT_Cry1Ca15,5
kn11,BT_Cry2Ab1,5
kn11,BT_Cry9Ea1,5
kn11,BT_Cry1Ia10,5
CVUAS9660,BT_Cry1Da1,5
CVUAS9660,BT_Cry1Ca15,5
CVUAS9660,BT_Cry2Ab1,5
CVUAS9660,BT_Cry9Ea1,5
CVUAS9660,BT_Cry1Ia10,5
30-1,BT_Cry9Ea1,3
30-1,BT_Cry2Ab1,3
30-1,BT_Cry1Ia10,3
27-3,BT_Cry1Da1,5
27-3,BT_Cry1Ca15,5
27-3,BT_Cry2Ab1,5
27-3,BT_Cry9Ea1,5
27-3,BT_Cry1Ia10,5
B4158,BT_Cry9Ea1,2
B4158,BT_Cry1Ia10,2
MS12,BT_Cry1Ab1,7
MS12,BT_Cry1Da1,7
MS12,BT_Cry1Aa1,7
MS12,BT_Cry1Ca15,7
MS12,BT_Cry2Ab1,7
MS12,BT_Cry9Ea1,7
MS12,BT_Cry1Ia10,7
P01_1,BT_Cry1Da1,5
P01_1,BT_Cry1Ca15,5
P01_1,BT_Cry2Ab1,5
P01_1,BT_Cry9Ea1,5
P01_1,BT_Cry1Ia10,5
B-Hm-16,BT_Cry1Ab1,2
B-Hm-16,BT_Cry9Ea1,2
HD133,BT_Cry1Ab1,7
HD133,BT_Cry1Da1,7
HD133,BT_Cry1Ca15,7
HD133,NOV_Cry1Ab12_99.9_OTZ08639.1,7
HD133,BT_Cry2Ab1,7
HD133,BT_Cry9Ea1,7
HD133,BT_Cry1Ia10,7
1126_1,BT_Cry1Da1,5
1126_1,BT_Cry1Ca15,5
1126_1,BT_Cry2Ab1,5
1126_1,BT_Cry9Ea1,5
1126_1,BT_Cry1Ia10,5
PT18,BT_Cry1Da1,5
PT18,BT_Cry1Ca15,5
PT18,BT_Cry2Ab1,5
PT18,BT_Cry9Ea1,5
PT18,BT_Cry1Ia10,5
777001F-1,BT_Cry1Da1,5
777001F-1,BT_Cry1Ca15,5
777001F-1,BT_Cry2Ab1,5
777001F-1,BT_Cry9Ea1,5
777001F-1,BT_Cry1Ia10,5
007983-6,BT_Cry1Da1,5
007983-6,BT_Cry1Ca15,5
007983-6,BT_Cry2Ab1,5
007983-6,BT_Cry9Ea1,5
007983-6,BT_Cry1Ia10,5
T07005,BT_Cry1Aa12,6
T07005,BT_Cry1Da1,6
T07005,BT_Cry1Ca15,6
T07005,BT_Cry2Ab1,6
T07005,BT_Cry9Ea1,6
T07005,BT_Cry1Ia10,6
RIVM BC 934,BT_Cry1Aa12,6
RIVM BC 934,BT_Cry1Da1,6
RIVM BC 934,BT_Cry1Ca15,6
RIVM BC 934,BT_Cry2Ab1,6
RIVM BC 934,BT_Cry9Ea1,6
RIVM BC 934,BT_Cry1Ia10,6
CH_709,BT_Cry1Da1,5
CH_709,BT_Cry1Ca15,5
CH_709,BT_Cry2Ab1,5
CH_709,BT_Cry9Ea1,5
CH_709,BT_Cry1Ia10,5
007986-5,BT_Cry1Aa12,6
007986-5,BT_Cry1Da1,6
007986-5,BT_Cry1Ca15,6
007986-5,BT_Cry2Ab1,6
007986-5,BT_Cry9Ea1,6
007986-5,BT_Cry1Ia10,6
SSK-10,BT_Cry9Ea1,1
777002-3,BT_Cry1Da1,5
777002-3,BT_Cry1Ca15,5
777002-3,BT_Cry2Ab1,5
777002-3,BT_Cry9Ea1,5
777002-3,BT_Cry1Ia10,5
007989-3,BT_Cry1Aa12,6
007989-3,BT_Cry1Da1,6
007989-3,BT_Cry1Ca15,6
007989-3,BT_Cry2Ab1,6
007989-3,BT_Cry9Ea1,6
007989-3,BT_Cry1Ia10,6
T07148,BT_Cry1Ab1,7
T07148,NOV_Cry1Aa12_99.9_OUA35577.1,7
T07148,BT_Cry1Da1,7
T07148,BT_Cry1Ca15,7
T07148,BT_Cry2Ab1,7
T07148,BT_Cry9Ea1,7
T07148,BT_Cry1Ia10,7
30-4,BT_Cry9Ea1,3
30-4,BT_Cry2Ab1,3
30-4,BT_Cry1Ia10,3
T07128,BT_Cry1Aa12,4
T07128,BT_Cry9Ea1,4
T07128,BT_Cry2Ab1,4
T07128,BT_Cry1Ia10,4
wu2G-12,BT_Cry1Ia24,1
BtMC28,BT_Cry70Ba1,8
BtMC28,BT_Cry69Aa1,8
BtMC28,BT_Cry54Aa1,8
BtMC28,BT_Cry30Fa1,8
BtMC28,BT_Cry53Ab1,8
BtMC28,BT_Cry54Ab1,8
BtMC28,BT_Cry69Aa2,8
BtMC28,BT_Cry68Aa1,8
C2Ab148,NOV_Cry2Ab18_98.2_AXE42970.1,1
BRI-258,NOV_Cry2Ab18_96.8_AXE42968.1,3
BRI-258,NOV_Cry2Ab18_96.6_AXE42969.1,3
BRI-258,NOV_Cry2Ab18_98.2_AXE42970.1,3
BtS2491Ab,BT_Cry1Ab22,1
AFS082247,NOV_Cry73Ba1_39.2_PFK99360.1,1
LBIT 1189,BT_Cry1Ma1,1
GR007,BT_Cry1Bb1,10
GR007,NOV_Cry1Da3_99.9_AMR88578.1,10
GR007,NOV_Cry1Hb1_98.0_AMR88562.1,10
GR007,NOV_Cry1Ka1_98.4_KIP24267.1,10
GR007,BT_Cry1Id1,10
GR007,BT_Cry2Ad1,10
GR007,BT_Cry1Ab18,10
GR007,BT_Cry1Ja2,10
GR007,NOV_Cry1Fb4_99.8_AMR88428.1,10
GR007,NOV_Cry1Nb1_99.0_AMR88570.1,10
G25-97,NOV_Cry1Da3_99.9_AMR88578.1,11
G25-97,NOV_Cry1Hb1_98.0_AMR88562.1,11
G25-97,BT_Cry1Nb1,11
G25-97,BT_Cry1Id1,11
G25-97,NOV_Cry1Ib11_99.9_KIP24195.1,11
G25-97,BT_Cry2Ad1,11
G25-97,BT_Cry1Ab18,11
G25-97,BT_Cry1Ja2,11
G25-97,NOV_Cry1Fb4_99.8_AMR88428.1,11
G25-97,NOV_Cry1Ka2_99.8_OTZ32741.1,11
G25-97,BT_Cry1Bb1,11
G25-93,NOV_Cry1Da3_99.9_AMR88578.1,11
G25-93,NOV_Cry1Hb1_98.0_AMR88562.1,11
G25-93,NOV_Cry1Ka1_98.4_KIP24267.1,11
G25-93,BT_Cry1Nb1,11
G25-93,BT_Cry1Id1,11
G25-93,NOV_Cry1Ib11_99.9_KIP24195.1,11
G25-93,BT_Cry2Ad1,11
G25-93,BT_Cry1Ab18,11
G25-93,BT_Cry1Ja2,11
G25-93,NOV_Cry1Fb4_99.8_AMR88428.1,11
G25-93,BT_Cry1Ka2,11
BGSC 4O1,NOV_Cry1Hb1_98.0_AMR88562.1,7
BGSC 4O1,NOV_Cry1Ib11_99.9_KIP24195.1,7
BGSC 4O1,BT_Cry2Ad1,7
BGSC 4O1,BT_Cry1Ab18,7
BGSC 4O1,NOV_Cry1Fb4_99.8_AMR88428.1,7
BGSC 4O1,NOV_Cry1Ka2_99.8_OTZ32741.1,7
BGSC 4O1,BT_Cry1Bb1,7
L-7601,NOV_Cry1Ia14_99.2_AQY42680.1,3
L-7601,NOV_Cry1Bd2_99.8_AQY42687.1,3
L-7601,BT_Cry1Ab34,3
S101,BT_Cry1Ia6,1
BGSC 4BC1,BT_Cry7Ia1,2
BGSC 4BC1,BT_Cry7Ba1,2
SCG04-02,BT_Cry7Ia1,3
SCG04-02,NOV_Cry7Ia1_99.9_ARV91400.1,3
SCG04-02,BT_Cry7Ba1,3
BGSC 4BG1,BT_Cry7Ia1,2
BGSC 4BG1,BT_Cry7Ba1,2
BGSC 4BB1,BT_Cry7Ia1,2
BGSC 4BB1,BT_Cry7Ba1,2
BGSC 4AL1,BT_Cry7Ia1,2
BGSC 4AL1,BT_Cry7Ba1,2
ARP112,BT_Cry7Ia1,1
BGSC 4BT1,BT_Cry7Ia1,2
BGSC 4BT1,BT_Cry7Ba1,2
AFS005140,NOV_Cry70Ba1_97.3_PER34669.1,8
AFS005140,NOV_Cry40Da1_66.9_PER55269.1,8
AFS005140,NOV_Cry70Aa1_77.7_WP_098222608.1,8
AFS005140,NOV_Cry68Aa1_80.1_PER38368.1,8
AFS005140,NOV_Cry71Aa1_65.9_PER41598.1,8
AFS005140,NOV_Cry69Ab1_58.0_PER42111.1,8
AFS005140,NOV_Cry9Ga1_57.2_PER39584.1,8
AFS005140,NOV_Cry56Aa4_56.4_PER37538.1,8
AFS013213,NOV_Cry70Ba1_97.3_PER34669.1,8
AFS013213,NOV_Cry40Da1_66.9_PER55269.1,8
AFS013213,NOV_Cry70Aa1_77.7_WP_098222608.1,8
AFS013213,NOV_Cry68Aa1_80.1_PER38368.1,8
AFS013213,NOV_Cry71Aa1_65.9_PER41598.1,8
AFS013213,NOV_Cry69Ab1_58.0_PER42111.1,8
AFS013213,NOV_Cry9Ga1_57.2_PER39584.1,8
AFS013213,NOV_Cry56Aa4_56.4_PER37538.1,8
AFS088016,NOV_Cry70Ba1_97.3_PER34669.1,8
AFS088016,NOV_Cry40Da1_66.9_PER55269.1,8
AFS088016,NOV_Cry70Aa1_77.7_WP_098222608.1,8
AFS088016,NOV_Cry68Aa1_80.1_PER38368.1,8
AFS088016,NOV_Cry71Aa1_65.9_PER41598.1,8
AFS088016,NOV_Cry69Ab1_58.0_PER42111.1,8
AFS088016,NOV_Cry9Ga1_57.2_PER39584.1,8
AFS088016,NOV_Cry56Aa4_56.4_PER37538.1,8
Bt185,BT_Cry8Ea1,5
Bt185,NOV_Cry8Ea3_99.9_ABB29863.1,5
Bt185,BT_Cry8Ha1,5
Bt185,NOV_Cry8Fa1_99.9_ABB29864.1,5
Bt185,NOV_Cry8Ab1_80.0_AMR06151.1,5
78-2,NOV_Cry8Ab1_80.0_AMR06151.1,4
78-2,BT_Cry8Fa1,4
78-2,BT_Cry8Ea1,4
78-2,NOV_Cry8Ca1_99.8_AYF84850.1,4
QZL38,NOV_Cry8Ab1_80.0_AMR06151.1,4
QZL38,BT_Cry8Fa1,4
QZL38,BT_Cry8Ea1,4
QZL38,NOV_Cry8Ca1_99.8_AYF84850.1,4
3-1-a,NOV_Cry8Ab1_80.0_AMR06151.1,1
LSZ9408,BT_Cry2Ab30,2
LSZ9408,BT_Cry1Ac38,2
xl6-1,NOV_Cry61Aa3_99.9_AFI42035.1,1
ARP242,BT_Cry32Mb1,1
MC28,NOV_Cry68Aa1_99.9_AFU17323.1,9
MC28,BT_Cry69Aa1,9
MC28,NOV_Cry70Ba1_98.6_AFU17024.1,9
MC28,NOV_Cry4Cc1_99.4_AFU17015.1,9
