Strain/Toxin,Host_sp,Host_order,Ref,Type,Rank
BT_Cry1Ac22,Plutella xylostella,Lepidoptera,CN101532023A,Toxin,4
BT_Cry1Ac24,Tecia solanivora,Lepidoptera,Villanueva et al. 2009,Toxin,4
BT_Cry1Ac2,Helicoverpa zea,Lepidoptera,10.1128/aem.57.2.349-358.1991,Toxin,4
BT_Cry1Ac2,Heliothis virescens,Lepidoptera,10.1128/aem.57.2.349-358.1991,Toxin,4
BT_Cry1Ac2,Lymantria dispar,Lepidoptera,10.1128/aem.57.2.349-358.1991,Toxin,4
BT_Cry1Ac2,Ostrinia nubilalis,Lepidoptera,10.1128/aem.57.2.349-358.1991,Toxin,4
BT_Cry1Ac2,Plutella xylostella,Lepidoptera,10.1128/aem.57.2.349-358.1991,Toxin,4
BT_Cry1Ac2,Trichoplusia ni,Lepidoptera,10.1128/aem.57.2.349-358.1991,Toxin,4
BT_Cry1Ac39,Manduca sexta,Lepidoptera,doi.org/10.1093/femsle/fnw188,Toxin,4
BT_Cry1Ac39,Trichoplusia ni,Lepidoptera,doi.org/10.1093/femsle/fnw188,Toxin,4
BT_Cry1Ac4,Helicoverpa armigera,Lepidoptera,10.1016/j.jip.2005.04.003,Toxin,4
BT_Cry1Ac,Acyrthosiphon pisum,Hemiptera,10.1016/j.jip.2011.02.001,Toxin,3
BT_Cry1Ac,Agrotis ipsilon,Lepidoptera,10.1002/ps.1798,Toxin,3
BT_Cry1Ac,Anticarsia gemmatalis,Lepidoptera,10.1155/2013/940284,Toxin,3
BT_Cry1Ac,Anticarsia gemmatalis,Lepidoptera,10.1590/S0100-204X2014000200001,Toxin,3
BT_Cry1Ac,Cacyreus marshalli,Lepidoptera,10.1128/AEM.68.8.4090-4094.2002,Toxin,3
BT_Cry1Ac,Chilo partellus,Lepidoptera,10.1111/j.1472-765X.2010.02856.x,Toxin,3
BT_Cry1Ac,Chilo suppressalis,Lepidoptera,10.1016/j.jip.2010.05.002,Toxin,3
BT_Cry1Ac,Chilo suppressalis,Lepidoptera,10.1016/j.jip.2016.03.010,Toxin,3
BT_Cry1Ac,Choristoneura fumiferana,Lepidoptera,10.1128/aem.57.6.1650-1655.1991,Toxin,3
BT_Cry1Ac,Choristoneura occidentalis,Lepidoptera,10.1128/aem.57.6.1650-1655.1991,Toxin,3
BT_Cry1Ac,Choristoneura pinus,Lepidoptera,10.1128/aem.57.6.1650-1655.1991,Toxin,3
BT_Cry1Ac,Choristoneura rosaceana,Lepidoptera,10.1128/aem.57.6.1650-1655.1991,Toxin,3
BT_Cry1Ac,Chrysodeixis includens,Lepidoptera,10.1128/aem.00326-17,Toxin,3
BT_Cry1Ac,Chrysodeixis includens,Lepidoptera,10.1590/S0100-204X2014000200001,Toxin,3
BT_Cry1Ac,Conogethes punctiferalis,Lepidoptera,10.1016/j.jip.2020.107507 ,Toxin,3
BT_Cry1Ac,Conopomorpha cramerella,Lepidoptera,10.1002/ps.927,Toxin,3
BT_Cry1Ac,Cydia pomonella,Lepidoptera,10.1016/j.jip.2006.01.004,Toxin,3
BT_Cry1Ac,Diatraea flavipennella,Lepidoptera,10.7717/peerj.2866,Toxin,3
BT_Cry1Ac,Diatraea saccharalis,Lepidoptera,10.1016/j.jip.2008.10.003,Toxin,3
BT_Cry1Ac,Earias insulana,Lepidoptera,10.1016/j.biocontrol.2008.07.003,Toxin,3
BT_Cry1Ac,Earias insulana,Lepidoptera,10.1128/AEM.02861-05,Toxin,3
BT_Cry1Ac,Earias vitella,Lepidoptera,Pakistan Journal of Zoology Vol. 43, Iss. 3, pages 575-580 (2011)
BT_Cry1Ac,Elasmopalpus lignosellus,Lepidoptera,10.7717/peerj.2866,Toxin,3
BT_Cry1Ac,Ephestia kuehniella,Lepidoptera,10.1016/j.biocontrol.2005.06.009,Toxin,3
BT_Cry1Ac,Epinotia aporema,Lepidoptera,10.1016/j.jip.2006.09.002,Toxin,3
BT_Cry1Ac,Epiphyas postvittana,Lepidoptera,10.1006/jipa.1997.4680,Toxin,3
BT_Cry1Ac,Grapholita molesta,Lepidoptera,10.1016/j.jip.2016.09.006,Toxin,3
BT_Cry1Ac,Helicoverpa armigera,Lepidoptera,10.1007/s00253-009-1910-2,Toxin,3
BT_Cry1Ac,Helicoverpa armigera,Lepidoptera,10.1007/s00284-008-9112-1,Toxin,3
BT_Cry1Ac,Helicoverpa armigera,Lepidoptera,10.1007/s11248-017-0048-8,Toxin,3
BT_Cry1Ac,Helicoverpa armigera,Lepidoptera,10.1016/j.biocontrol.2008.07.003,Toxin,3
BT_Cry1Ac,Helicoverpa armigera,Lepidoptera,10.1016/j.jip.2014.06.005,Toxin,3
BT_Cry1Ac,Helicoverpa armigera,Lepidoptera,10.1016/s0022-2011(02)00035-6,Toxin,3
BT_Cry1Ac,Helicoverpa armigera,Lepidoptera,10.1038/srep07714,Toxin,3
BT_Cry1Ac,Helicoverpa punctigera,Lepidoptera,10.1016/s0022-2011(02)00035-6,Toxin,3
BT_Cry1Ac,Helicoverpa zea,Lepidoptera,10.1002/ps.1798,Toxin,3
BT_Cry1Ac,Helicoverpa zea,Lepidoptera,10.1093/jee/101.2.546,Toxin,3
BT_Cry1Ac,Helicoverpa zea,Lepidoptera,10.1093/jee/86.4.989,Toxin,3
BT_Cry1Ac,Heliothis virescens,Lepidoptera,10.1093/jee/101.2.546,Toxin,3
BT_Cry1Ac,Heliothis virescens,Lepidoptera,10.1093/jee/86.4.989,Toxin,3
BT_Cry1Ac,Heliothis virescens,Lepidoptera,10.1371/journal.pone.0107196,Toxin,3
BT_Cry1Ac,Leucoptera coffeella,Lepidoptera,10.1007/pl00006763,Toxin,3
BT_Cry1Ac,Lymantria dispar,Lepidoptera,10.1128/aem.57.6.1650-1655.1991,Toxin,3
BT_Cry1Ac,Lymantria dispar,Lepidoptera,10.1128/AEM.62.2.583-586.1996,Toxin,3
BT_Cry1Ac,Malacosoma disstria,Lepidoptera,10.1128/aem.57.6.1650-1655.1991,Toxin,3
BT_Cry1Ac,Mythimna separata,Lepidoptera,10.3390/toxins10110454,Toxin,3
BT_Cry1Ac,Mythimna separata,Lepidoptera,doi.org/10.3390/toxins10110454,Toxin,3
BT_Cry1Ac,Nilaparvata lugens,Hemiptera,10.1080/09583157.2018.1455170,Toxin,3
BT_Cry1Ac,Orgyia leucostigma,Lepidoptera,10.1128/aem.57.6.1650-1655.1991,Toxin,3
BT_Cry1Ac,Ostrinia furnacalis,Lepidoptera,10.1371/journal.pone.0168442,Toxin,3
BT_Cry1Ac,Ostrinia nubilalis,Lepidoptera,10.1128/aem.59.6.1828-1837.1993,Toxin,3
BT_Cry1Ac,Ostrinia nubilalis,Lepidoptera,10.1371/journal.pone.0068164,Toxin,3
BT_Cry1Ac,Pectinophora gossypiella,Lepidoptera,10.1006/pest.2000.2491,Toxin,3
BT_Cry1Ac,Pectinophora gossypiella,Lepidoptera,10.1093/jee/101.2.546,Toxin,3
BT_Cry1Ac,Pectinophora gossypiella,Lepidoptera,10.1128/AEM.67.1.462-463.2001,Toxin,3
BT_Cry1Ac,Pectinophora gossypiella,Lepidoptera,10.1371/journal.pone.0080496,Toxin,3
BT_Cry1Ac,Perileucoptera coffeella,Lepidoptera,10.1007/pl00006763,Toxin,3
BT_Cry1Ac,Plutella xylostella,Lepidoptera,10.1007/s002849900438,Toxin,3
BT_Cry1Ac,Sesamia inferens,Lepidoptera,10.1016/j.jip.2010.05.002,Toxin,3
BT_Cry1Ac,Spodoptera exigua,Lepidoptera,10.1007/s00253-009-1910-2,Toxin,3
BT_Cry1Ac,Spodoptera frugiperda,Lepidoptera,10.1007/s12010-019-02952-z,Toxin,3
BT_Cry1Ac,Spodoptera frugiperda,Lepidoptera,10.1093/jee/tox311,Toxin,3
BT_Cry1Ac,Spodoptera frugiperda,Lepidoptera,10.1371/journal.pone.0119544,Toxin,3
BT_Cry1Ac,Spodoptera frugiperda,Lepidoptera,10.3390/insects11120831,Toxin,3
BT_Cry1Ac,Trichoplusia ni,Lepidoptera,10.1128/aem.56.8.2480-2483.1990,Toxin,3
BT_Cry1Ac,Argyrotaenia citrana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Busseola fusca,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Choristoneura pinus pinus,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Cnaphalocrocis medinalis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Ctenopsuestis obliquana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Danaus plexippus,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Eldana saccharina,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Glossina morsitans,Diptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Manduca sexta,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Marasmia patnalis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Maruca vitrata,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Pandemis pyrusana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Phthorimaea operculella,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Pieris brassicae,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Planotortrix octo,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Platynota stultana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Rachiplusia nu,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Scirpophaga incertulas,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Sesamia calamistis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Spilosoma virginica,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Spodoptera litura,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Tecia solanivora,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ac,Thaumetopoea pityocampa,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ad1,Choristoneura occidentalis,Lepidoptera,US5188960A,Toxin,4
BT_Cry1Ad1,Plutella xylostella,Lepidoptera,US5188960A,Toxin,4
BT_Cry1Ad1,Spodoptera exigua,Lepidoptera,US5188960A,Toxin,4
BT_Cry1Af1,Plutella xylostella,Lepidoptera,10.1007/s002840010329,Toxin,4
BT_Cry1Ah1,Chilo suppressalis,Lepidoptera,10.1111/j.1574-6968.2007.01053.x,Toxin,4
BT_Cry1Ah1,Helicoverpa armigera,Lepidoptera,10.1111/j.1574-6968.2007.01053.x,Toxin,4
BT_Cry1Ah1,Helicoverpa armigera,Lepidoptera,10.1128/AEM.02864-16,Toxin,4
BT_Cry1Ah1,Ostrinia furnacalis,Lepidoptera,10.1111/j.1574-6968.2007.01053.x,Toxin,4
BT_Cry1Ah1,Plutella xylostella,Lepidoptera,10.1007/s10529-010-0452-0,Toxin,4
BT_Cry1Ah1,Plutella xylostella,Lepidoptera,10.1111/j.1574-6968.2007.01053.x,Toxin,4
BT_Cry1Ah2,Plutella xylostella,Lepidoptera,Feng et al.,2009,Toxin
BT_Cry1Ah,Conogethes punctiferalis,Lepidoptera,10.1016/j.jip.2020.107507 ,Toxin,3
BT_Cry1Ah,Mythimna separata,Lepidoptera,10.3390/toxins10110454,Toxin,3
BT_Cry1Ah,Mythimna separata,Lepidoptera,doi.org/10.3390/toxins10110454,Toxin,3
BT_Cry1Ah,Chilo suppressalis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ah,Helicoverpa armigera,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ah,Ostrinia furnacalis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ah,Plutella xylostella,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ai1,Bombyx mori,Lepidoptera,10.1128/AEM.01983-13,Toxin,4
BT_Cry1Ai1,Chilo suppressalis,Lepidoptera,10.1128/AEM.01983-13,Toxin,4
BT_Cry1Ai1,Hyphantria cunea,Lepidoptera,10.1128/AEM.01983-13,Toxin,4
BT_Cry1Ai1,Ostrinia furnacalis,Lepidoptera,10.1128/AEM.01983-13,Toxin,4
BT_Cry1Ai1,Plutella xylostella,Lepidoptera,10.1128/AEM.01983-13,Toxin,4
BT_Cry1Aj1,Helicoverpa armigera,Lepidoptera,CN112279902A,Toxin,4
BT_Cry1Aj1,Ostrinia nubilalis,Lepidoptera,CN112279902A,Toxin,4
BT_Cry1Aj1,Plutella xylostella,Lepidoptera,CN112279902A,Toxin,4
BT_Cry1Ba1,Acanthoscelides obtectus ,Coleoptera,10.1016/j.jip.2019.107295,Toxin,4
BT_Cry1Ba1,Choristoneura fumiferana,Lepidoptera,10.1128/AEM.63.10.4132-4134.1997,Toxin,4
BT_Cry1Ba1,Chrysomela scripta,Coleoptera,10.1006/jipa.2000.4962,Toxin,4
BT_Cry1Ba1,Manduca sexta,Lepidoptera,10.1006/jipa.2000.4962,Toxin,4
BT_Cry1Ba1,Musca domestica,Diptera,10.1006/jipa.2000.4962,Toxin,4
BT_Cry1Ba1,Plutella xylostella,Lepidoptera,10.1128/aem.62.1.80-86.1996,Toxin,4
BT_Cry1Ba1,Xylotrechus arvicola,Coleoptera,10.3390/ insects13010027,Toxin,4
BT_Cry1Ba3,Plutella xylostella,Lepidoptera,10.1016/S1671-2927(11)60167-3,Toxin,4
BT_Cry1Ba6,Anthonomus grandis,Coleoptera,10.1016/j.ibmb.2010.01.005,Toxin,4
BT_Cry1Ba,Anticarsia gemmatalis,Lepidoptera,10.1155/2013/940284,Toxin,3
BT_Cry1Ba,Cacyreus marshalli,Lepidoptera,10.1128/AEM.68.8.4090-4094.2002,Toxin,3
BT_Cry1Ba,Chilo suppressalis,Lepidoptera,10.1016/j.jip.2010.05.002,Toxin,3
BT_Cry1Ba,Choristoneura fumiferana,Lepidoptera,10.1006/jipa.1993.1116,Toxin,3
BT_Cry1Ba,Conopomorpha cramerella,Lepidoptera,10.1002/ps.927,Toxin,3
BT_Cry1Ba,Cydia pomonella,Lepidoptera,10.1016/j.jip.2006.01.004,Toxin,3
BT_Cry1Ba,Diaphorina citri,Hemiptera,10.3390/toxins11030173,Toxin,3
BT_Cry1Ba,Earias insulana,Lepidoptera,10.1128/AEM.72.1.437-442.2006,Toxin,3
BT_Cry1Ba,Epinotia aporema,Lepidoptera,10.1016/j.jip.2006.09.002,Toxin,3
BT_Cry1Ba,Epiphyas postvittana,Lepidoptera,10.1006/jipa.1997.4680,Toxin,3
BT_Cry1Ba,Epiphyas postvittana,Lepidoptera,10.1093/jee/97.6.1805,Toxin,3
BT_Cry1Ba,Hypothenemus hampei,Coleoptera,10.1016/j.jip.2009.05.011,Toxin,3
BT_Cry1Ba,Leptinotarsa decemlineata,Coleoptera,10.1128/AEM.02861-05,Toxin,3
BT_Cry1Ba,Leptinotarsa decemlineata,Coleoptera,10.1128/AEM.67.11.5328-5330.2001,Toxin,3
BT_Cry1Ba,Lucilia cuprina,Diptera,10.1093/jee/97.6.1797,Toxin,3
BT_Cry1Ba,Lucilia cuprina,Diptera,10.1093/jee/97.6.1805,Toxin,3
BT_Cry1Ba,Lucilia sericata,Diptera,10.1080/00480169.1996.35970,Toxin,3
BT_Cry1Ba,Malacosoma disstria,Lepidoptera,10.1006/jipa.1993.1116,Toxin,3
BT_Cry1Ba,Ostrinia nubilalis,Lepidoptera,10.1128/aem.59.6.1828-1837.1993,Toxin,3
BT_Cry1Ba,Perileucoptera coffeella,Lepidoptera,10.1007/pl00006763,Toxin,3
BT_Cry1Ba,Sesamia inferens,Lepidoptera,10.1016/j.jip.2010.05.002,Toxin,3
BT_Cry1Ba,Spodoptera frugiperda,Lepidoptera,10.1128/AEM.01454-06,Toxin,3
BT_Cry1Ba,Wiseana cervinata,Lepidoptera,10.1006/jipa.1997.4680,Toxin,3
BT_Cry1Ba,Wiseana copularis,Lepidoptera,10.1006/jipa.1997.4680,Toxin,3
BT_Cry1Ba,Wiseana jocosa,Lepidoptera,10.1006/jipa.1997.4680,Toxin,3
BT_Cry1Ba,Chrysodeixis includens,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ba,Chrysomela scripta,Coleoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ba,Diatraea grandiosella,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ba,Diatraea saccharalis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ba,Musca domestica,Diptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ba,Phthorimaea operculella,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ba,Pieris brassicae,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ba,Pieris rapae,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ba,Plutella xylostella,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ba,Thaumetopoea pityocampa,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Bb1,Manduca sexta,Lepidoptera,10.3389/fmicb.2021.758314,Toxin,4
BT_Cry1Bb1,Spodoptera frugiperda,Lepidoptera,10.3389/fmicb.2021.758314,Toxin,4
BT_Cry1Bb2,Plutella xylostella,Lepidoptera,10.1128/AEM.01983-13,Toxin,4
BT_Cry1Bc1,Chrysomya albiceps,Diptera,10.1006/jipa.1997.4720,Toxin,4
BT_Cry1Bc1,Lucilia cuprina,Diptera,10.1006/jipa.1997.4720,Toxin,4
BT_Cry1Bc1,Musca domestica,Diptera,10.1006/jipa.1997.4720,Toxin,4
BT_Cry1Bd1,Plutella xylostella,Lepidoptera,10.1007/s002849910046,Toxin,4
BT_Cry1Be,Helicoverpa zea,Lepidoptera,10.1007/s12539-013-0160-2,Toxin,3
BT_Cry1Be,Heliothis virescens,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Be,Ostrinia nubilalis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Be,Plutella xylostella,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Be,Spodoptera exigua,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Be,Spodoptera frugiperda,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Be,Trichoplusia ni,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Bf1,Heliothis virescens,Lepidoptera,WO2001047952A2,Toxin,4
BT_Cry1Bf1,Ostrinia nubilalis,Lepidoptera,WO2001047952A2,Toxin,4
BT_Cry1Bf1,Sesamia nonagrioides,Lepidoptera,WO2001047952A2,Toxin,4
BT_Cry1Bf2,Ostrinia furnacalis,Lepidoptera,US6593293B1,Toxin,4
BT_Cry1Bf2,Plutella xylostella,Lepidoptera,US6593293B1,Toxin,4
BT_Cry1Bf2,Trichoplusia ni,Lepidoptera,US6593293B1,Toxin,4
BT_Cry1Bh1,Diabrotica virgifera virgifera,Coleoptera,10.1128/AEM.01979-13,Toxin,4
BT_Cry1Bh1,Helicoverpa zea,Lepidoptera,10.1128/AEM.01979-13,Toxin,4
BT_Cry1Bh1,Heliothis virescens,Lepidoptera,10.1128/AEM.01979-13,Toxin,4
BT_Cry1Bh1,Ostrinia nubilalis,Lepidoptera,10.1128/AEM.01979-13,Toxin,4
BT_Cry1Bh1,Plutella xylostella,Lepidoptera,10.1128/AEM.01979-13,Toxin,4
BT_Cry1Bi1,Anticarsia gemmatalis,Lepidoptera,US8686124B2,Toxin,4
BT_Cry1Bi1,Diatraea grandiosella,Lepidoptera,US8686124B2,Toxin,4
BT_Cry1Bi1,Heliothis virescens,Lepidoptera,US8686124B2,Toxin,4
BT_Cry1Bj1,Anticarsia gemmatalis,Lepidoptera,US10287329B2,Toxin,4
BT_Cry1Bj1,Chrysodeixis includens,Lepidoptera,US10287329B2,Toxin,4
BT_Cry1Bj1,Ostrinia nubilalis,Lepidoptera,US10287329B2,Toxin,4
BT_Cry1Ca16,Aedes aegypti,Diptera,10.1093/jme/tjaa116,Toxin,4
BT_Cry1Ca1,Aedes aegypti,Diptera,10.1128/aem.62.2.680-684.1996,Toxin,4
BT_Cry1Ca1,Anopheles gambiae,Diptera,10.1128/aem.62.2.680-684.1996,Toxin,4
BT_Cry1Ca1,Culex quinquefasciatus,Diptera,10.1128/aem.62.2.680-684.1996,Toxin,4
BT_Cry1Ca1,Spodoptera littoralis,Lepidoptera,10.1128/aem.62.2.680-684.1996,Toxin,4
BT_Cry1Ca2,Bombyx mori,Lepidoptera,10.1128/AEM.63.10.4132-4134.1997,Toxin,4
BT_Cry1Ca2,Choristoneura fumiferana,Lepidoptera,10.1128/AEM.63.10.4132-4134.1997,Toxin,4
BT_Cry1Ca2,Lymantria dispar,Lepidoptera,10.1128/AEM.63.10.4132-4134.1997,Toxin,4
BT_Cry1Ca2,Mamestra brassicae,Lepidoptera,10.1128/aem.62.1.80-86.1996,Toxin,4
BT_Cry1Ca2,Spodoptera exigua,Lepidoptera,10.1128/aem.62.1.80-86.1996,Toxin,4
BT_Cry1Ca2,Spodoptera littoralis,Lepidoptera,10.1128/aem.62.1.80-86.1996,Toxin,4
BT_Cry1Ca,Anticarsia gemmatalis,Lepidoptera,10.1128/aem.00326-17,Toxin,3
BT_Cry1Ca,Anticarsia gemmatalis,Lepidoptera,10.1590/S0100-204X2014000200001,Toxin,3
BT_Cry1Ca,Bombyx mori,Lepidoptera,10.1016/j.jip.2016.03.010,Toxin,3
BT_Cry1Ca,Cacyreus marshalli,Lepidoptera,10.1128/AEM.68.8.4090-4094.2002,Toxin,3
BT_Cry1Ca,Chilo suppressalis,Lepidoptera,10.1016/j.jip.2010.05.002,Toxin,3
BT_Cry1Ca,Chilo suppressalis,Lepidoptera,10.1016/j.jip.2016.03.010,Toxin,3
BT_Cry1Ca,Choristoneura fumiferana,Lepidoptera,10.1006/jipa.1993.1116,Toxin,3
BT_Cry1Ca,Chrysodeixis includens,Lepidoptera,10.1128/aem.00326-17,Toxin,3
BT_Cry1Ca,Chrysodeixis includens,Lepidoptera,10.1590/S0100-204X2014000200001,Toxin,3
BT_Cry1Ca,Conopomorpha cramerella,Lepidoptera,10.1002/ps.927,Toxin,3
BT_Cry1Ca,Cydia pomonella,Lepidoptera,10.1002/ps.6157,Toxin,3
BT_Cry1Ca,Diatraea flavipennella,Lepidoptera,10.7717/peerj.2866,Toxin,3
BT_Cry1Ca,Diatraea saccharalis,Lepidoptera,10.1371/journal.pone.0107196,Toxin,3
BT_Cry1Ca,Elasmopalpus lignosellus,Lepidoptera,10.7717/peerj.2866,Toxin,3
BT_Cry1Ca,Epinotia aporema,Lepidoptera,10.1016/j.jip.2006.09.002,Toxin,3
BT_Cry1Ca,Grapholita molesta,Lepidoptera,10.1016/j.jip.2016.09.006,Toxin,3
BT_Cry1Ca,Helicoverpa armigera,Lepidoptera,10.1016/j.jip.2014.06.005,Toxin,3
BT_Cry1Ca,Heliothis virescens,Lepidoptera,10.1371/journal.pone.0107196,Toxin,3
BT_Cry1Ca,Lambdina fiscellaria,Lepidoptera,10.1006/jipa.1993.1116,Toxin,3
BT_Cry1Ca,Lymantria dispar,Lepidoptera,10.1006/jipa.1993.1116,Toxin,3
BT_Cry1Ca,Malacosoma disstria,Lepidoptera,10.1006/jipa.1993.1116,Toxin,3
BT_Cry1Ca,Orgyia leucostigma,Lepidoptera,10.1006/jipa.1993.1116,Toxin,3
BT_Cry1Ca,Sesamia inferens,Lepidoptera,10.1016/j.jip.2010.05.002,Toxin,3
BT_Cry1Ca,Spodoptera exigua,Lepidoptera,10.1002/ps.1798,Toxin,3
BT_Cry1Ca,Spodoptera exigua,Lepidoptera,10.1002/ps.6157,Toxin,3
BT_Cry1Ca,Spodoptera exigua,Lepidoptera,10.1016/j.jip.2007.11.001,Toxin,3
BT_Cry1Ca,Spodoptera frugiperda,Lepidoptera,10.1007/s12010-019-02952-z,Toxin,3
BT_Cry1Ca,Spodoptera frugiperda,Lepidoptera,10.1128/AEM.01454-06,Toxin,3
BT_Cry1Ca,Spodoptera frugiperda,Lepidoptera,10.1128/AEM.02871-15,Toxin,3
BT_Cry1Ca,Spodoptera frugiperda,Lepidoptera,10.1371/journal.pone.0107196,Toxin,3
BT_Cry1Ca,Spodoptera frugiperda,Lepidoptera,10.5539/jas.v6n7p128,Toxin,3
BT_Cry1Ca,Aedes aegypti,Diptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ca,Anopheles gambiae,Diptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ca,Argyrotaenia citrana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ca,Busseola fusca,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ca,Choristoneura occidentalis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ca,Choristoneura rosaceana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ca,Culex quinquefasciatus,Diptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ca,Eldana saccharina,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ca,Mamestra configurata,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ca,Maruca vitrata,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ca,Pandemis pyrusana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ca,Pieris brassicae,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ca,Platynota stultana,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ca,Plodia interpunctella,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ca,Plutella xylostella,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ca,Scirpophaga incertulas,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ca,Sesamia calamistis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ca,Spodoptera exempta,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ca,Spodoptera littoralis,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Ca,Trichoplusia ni,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Cb1,Myzus persicae,Hemiptera,10.1016/j.jip.2022.107731,Toxin,4
BT_Cry1Cb,Conopomorpha cramerella,Lepidoptera,10.1002/ps.927,Toxin,3
BT_Cry1Cb,Spodoptera exigua,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Cb,Trichoplusia ni,Lepidoptera,10.1016/j.jip.2009.02.009,Toxin,3
BT_Cry1Da1,Bombyx mori,Lepidoptera,10.1128/AEM.63.10.4132-4134.1997,Toxin,4
