tox,ident,species,prot_type
NOV_Cry3Aa12_81.9_AEZ53144.1,81.9,Bacillus thuringiensis,ref
NOV_Cry4Aa1_32.5_ADM64568.1,32.5,Bacillus thuringiensis,ref
BT_Cry1Id1,100,Bacillus thuringiensis,ref
NOV_Cry1Ie2_23.3_ATF15267.1,23.3,Brevibacillus brevis,ref
NOV_Cry8Ab1_80.3_AFP44678.1,80.3,Bacillus thuringiensis,ref
BT_Cry8Ca1,100,Bacillus thuringiensis,ref
BT_Cry32Ea1,100,Bacillus thuringiensis,ref
BT_Cry32Cb1,100,Bacillus thuringiensis,ref
NOV_Cry73Aa1_40.0_PQQ47537.1,40,Bacillus thuringiensis,ref
BT_Cry52Aa1,100,Bacillus thuringiensis,ref
NOV_Cry53Ab1_39.4_AFM37573.1,39.4,Bacillus thuringiensis,ref
BT_Cry1Bd1,100,Bacillus thuringiensis,ref
BT_Cry2Ab12,100,Bacillus thuringiensis,ref
BT_Cry16Aa1,100,Paraclostridium bifermentans,ref
BT_Cry9Aa1,100,Bacillus thuringiensis,ref
BT_Cry2Al1,100,Bacillus thuringiensis,ref
NOV_Cry70Aa1_77.7_WP_098222608.1,77.7,Bacillus thuringiensis,ref
NOV_Cry8Kb1_73.3_APT36283.1,73.3,Bacillus thuringiensis,ref
BT_Cry28Aa2,100,Bacillus thuringiensis,ref
BT_Cry70Ba1,100,Bacillus thuringiensis,ref
BT_Cry54Ab1,100,Bacillus thuringiensis,ref
NOV_Cry1Ie5_79.3_PQQ47595.1,79.3,Bacillus thuringiensis,ref
BT_Cry7Kb1,100,Bacillus thuringiensis,ref
BT_Cry8Ac1,100,Bacillus thuringiensis,ref
BT_Cry1Fa1,100,Bacillus thuringiensis,ref
BT_Cry2Af1,100,Bacillus thuringiensis,ref
BT_Cry40Da1,100,Bacillus thuringiensis,ref
NOV_Cry8Ba1_88.6_AEP25412.1,88.6,Bacillus thuringiensis,ref
BT_Cry1Db1,100,Bacillus thuringiensis,ref
BT_Cry7Cb1,100,Bacillus thuringiensis,ref
BT_Cry41Ab1,100,Bacillus thuringiensis,ref
BT_Cry4Da1,100,Bacillus thuringiensis,ref
BT_Cry43Ba1,100,Paenibacillus lentimorbus,ref
BT_Cry30Fa1,100,Bacillus thuringiensis,ref
BT_Cry7Fa1,100,Bacillus thuringiensis,ref
BT_Cry18Ca1,100,Paenibacillus popilliae,ref
BT_Cry9Db1,100,Bacillus thuringiensis,ref
BT_Cry32Ka1,100,Bacillus thuringiensis,ref
BT_Cry2Aa13,100,Bacillus thuringiensis,ref
NOV_Cry8Ab1_80.0_AMR06151.1,80,Bacillus thuringiensis,ref
BT_Cry50Aa1,100,Bacillus thuringiensis,ref
BT_Cry32Qa1,100,Bacillus thuringiensis,ref
BT_Cry7Gc1,100,Bacillus thuringiensis,ref
BT_Cry32Ca1,100,Bacillus thuringiensis,ref
BT_Cry7Ha1,100,Bacillus thuringiensis,ref
BT_Cry2Ac10,100,Bacillus thuringiensis,ref
BT_Cry54Aa1,100,Bacillus thuringiensis,ref
BT_Cry3Bb1,100,Bacillus thuringiensis,ref
BT_Cry9Eb1,100,Bacillus thuringiensis,ref
BT_Cry43Ca1,100,Bacillus thuringiensis,ref
BT_Cry32Ga1,100,Bacillus thuringiensis,ref
NOV_Cry48Aa1_36.9_CAH33950.1,36.9,Bacillus thuringiensis,ref
BT_Cry73Aa1,100,Bacillus thuringiensis,ref
BT_Cry17Aa1,100,Paraclostridium bifermentans,ref
BT_Cry32Ma1,100,Bacillus thuringiensis,ref
BT_Cry8Ea2,100,Bacillus thuringiensis,ref
BT_Cry19Aa1,100,Bacillus thuringiensis,ref
BT_Cry8Sa1,100,Bacillus thuringiensis,ref
NOV_Cry1Ac23_90.7_CAQ03747.1,90.7,Bacillus thuringiensis,ref
BT_Cry8Fa2,100,Bacillus thuringiensis,ref
BT_Cry9Fa1,100,Bacillus thuringiensis,ref
BT_Cry70Bb1,100,Bacillus mycoides,ref
BT_Cry26Aa1,100,Bacillus thuringiensis,ref
BT_Cry48Aa1,100,Lysinibacillus sphaericus,ref
BT_Cry9Ea10,100,Bacillus thuringiensis,ref
BT_Cry2Ba2,100,Bacillus thuringiensis,ref
BT_Cry62Aa1,100,Bacillus thuringiensis,ref
NOV_Cry4Ca2_51.6_AZJ24420.1,51.6,Bacillus wiedmannii bv. thuringiensis,ref
BT_Cry1Jd1,100,Bacillus thuringiensis,ref
BT_Cry5Ab1,100,Bacillus thuringiensis,ref
BT_Cry57Ab1,100,Bacillus thuringiensis,ref
NOV_Cry40Da1_81.5_AIN76756.1,81.5,Bacillus thuringiensis,ref
BT_Cry1Ma1,100,Bacillus thuringiensis,ref
BT_Cry8Ka3,100,Bacillus thuringiensis,ref
NOV_Cry30Ga2_64.5_ARJ25665.1,64.5,Bacillus mycoides,ref
BT_Cry1Bf1,100,Bacillus thuringiensis,ref
NOV_Cry40Da1_65.0_CAH33957.1,65,Bacillus thuringiensis,ref
BT_Cry1Ai1,100,Bacillus thuringiensis,ref
BT_Cry56Aa1,100,Bacillus thuringiensis,ref
NOV_Cry8Ca1_42.6_ABY46520.1,42.6,Bacillus mycoides,ref
BT_Cry1Dd1,100,Bacillus thuringiensis,ref
NOV_Cry41Ca1_50.4_AZJ24166.1,50.4,Bacillus wiedmannii bv. thuringiensis,ref
BT_Cry8Ib1,100,Bacillus thuringiensis,ref
BT_Cry3Ba1,100,Bacillus thuringiensis,ref
BT_Cry5Ba1,100,Bacillus thuringiensis,ref
NOV_Cry69Ab1_59.2_WP_103591619.1,59.2,Bacillus thuringiensis,ref
BT_Cry21Ba1,100,Bacillus thuringiensis,ref
BT_Cry9Ed1,100,Bacillus thuringiensis,ref
BT_Cry1Bg1,100,Bacillus thuringiensis,ref
BT_Cry1Ie4,100,Bacillus thuringiensis,ref
NOV_Cry8Ma2_96.0_WP_103622989.1,96,Bacillus thuringiensis,ref
BT_Cry71Aa1,100,Bacillus thuringiensis,ref
BT_Cry4Ba1,100,Bacillus thuringiensis,ref
NOV_Cry65Aa2_55.6_PDY37670.1,55.6,Bacillus thuringiensis,ref
BT_Cry7Fb3,100,Bacillus thuringiensis,ref
BT_Cry1Jb1,100,Bacillus thuringiensis,ref
BT_Cry30Aa1,100,Bacillus thuringiensis,ref
BT_Cry8Pa1,100,Bacillus thuringiensis,ref
BT_Cry2Am1,100,Bacillus thuringiensis,ref
BT_Cry21Ca1,100,Bacillus thuringiensis,ref
BT_Cry1Hb1,100,Bacillus thuringiensis,ref
BT_Cry69Aa1,100,Bacillus thuringiensis,ref
BT_Cry32La1,100,Bacillus thuringiensis,ref
BT_Cry57Aa1,100,Bacillus thuringiensis,ref
BT_Cry1Ig1,100,Bacillus thuringiensis,ref
BT_Cry1Ab2,100,Bacillus thuringiensis,ref
BT_Cry53Aa1,100,Bacillus thuringiensis,ref
NOV_Cry32Ma1_57.7_AXY11484.1,57.7,Bacillus thuringiensis,ref
NOV_Cry70Bb1_67.1_OUB77817.1,67.1,Bacillus thuringiensis,ref
BT_Cry41Ba2,100,Bacillus thuringiensis,ref
BT_Cry12Aa1,100,Bacillus thuringiensis,ref
BT_Cry19Ba1,100,Bacillus thuringiensis,ref
BT_Cry50Ba1,100,Bacillus thuringiensis,ref
BT_Cry7Bb1,100,Bacillus thuringiensis,ref
BT_Cry24Ca1,100,Bacillus thuringiensis,ref
NOV_Cry1Ab32_92.7_AAK14337.1,92.7,Bacillus thuringiensis,ref
BT_Cry1Ac39,100,Bacillus thuringiensis,ref
BT_Cry1Bh1,100,Bacillus thuringiensis,ref
BT_Cry5Ea2,100,Bacillus thuringiensis,ref
NOV_Cry5Ba1_48.7_TEA80813.1,48.7,Bacillus thuringiensis,ref
BT_Cry20Ba2,100,Bacillus thuringiensis,ref
NOV_Cry25Aa1_97.8_OUB78400.1,97.8,Bacillus thuringiensis,ref
NOV_Cry21Ea1_42.1_AEH76823.1,42.1,Bacillus thuringiensis,ref
NOV_Cry19Aa1_29.2_PEA88281.1,29.2,Bacillus thuringiensis,ref
NOV_Cry11Aa1_95.8_ABW89741.1,95.8,Bacillus thuringiensis,ref
BT_Cry21Fa1,100,Bacillus thuringiensis,ref
BT_Cry48Ab1,100,Lysinibacillus sphaericus,ref
BT_Cry7Aa1,100,Bacillus thuringiensis,ref
BT_Cry1Ad1,100,Bacillus thuringiensis,ref
NOV_Cry8Ca1_41.2_AST51780.1,41.2,Bacillus cereus,ref
NOV_Cry1Jc1_99.1_AAS93799.1,99.1,Bacillus thuringiensis,ref
BT_Cry1Ah2,100,Bacillus thuringiensis,ref
BT_Cry32Fa1,100,Bacillus thuringiensis,ref
BT_Cry30Ga1,100,Bacillus thuringiensis,ref
BT_Cry8Ga1,100,Bacillus thuringiensis,ref
BT_Cry24Da1,100,Bacillus thuringiensis,ref
NOV_Cry14Aa1_41.1_PGW46198.1,41.1,Bacillus thuringiensis,ref
BT_Cry40Ca1,100,Bacillus thuringiensis,ref
NOV_Cry32Ua1_65.2_AQM56939.1,65.2,Bacillus thuringiensis,ref
NOV_Cry56Aa2_56.0_AGV55019.1,56,Bacillus thuringiensis,ref
BT_Cry9Ee1,100,Bacillus thuringiensis,ref
BT_Cry7La1,100,Bacillus thuringiensis,ref
BT_Cry4Aa1,100,Bacillus thuringiensis,ref
NOV_Cry32Ea2_45.2_WP_087949412.1,45.2,Bacillus thuringiensis,ref
BT_Cry7Da1,100,Bacillus thuringiensis,ref
NOV_Cry21Aa2_44.6_AZR80772.1,44.6,Bacillus thuringiensis,ref
BT_Cry2Ab15,100,Bacillus thuringiensis,ref
BT_Cry7Ka1,100,Bacillus thuringiensis,ref
BT_Cry3Ca1,100,Bacillus thuringiensis,ref
BT_Cry1Dc1,100,Bacillus thuringiensis,ref
BT_Cry40Ba1,100,Bacillus thuringiensis,ref
BT_Cry2Ag1,100,Bacillus thuringiensis,ref
BT_Cry8Ab1,100,Bacillus thuringiensis,ref
NOV_Cry21Ca2_64.6_AZR80780.1,64.6,Bacillus thuringiensis,ref
BT_Cry32Va1,100,Bacillus thuringiensis,ref
BT_Cry8Ba1,100,Bacillus thuringiensis,ref
NOV_Cry40Da1_77.3_ARJ25823.1,77.3,Bacillus mycoides,ref
BT_Cry30Ca1,100,Bacillus thuringiensis,ref
NOV_Cry8Db1_51.1_PNK22955.1,51.1,Bacillus thuringiensis,ref
BT_Cry32Ta1,100,Bacillus thuringiensis,ref
NOV_Cry53Aa1_40.7_WP_103591149.1,40.7,Bacillus thuringiensis,ref
BT_Cry1Aj1,100,Bacillus thuringiensis,ref
BT_Cry18Ba1,100,Paenibacillus popilliae,ref
BT_Cry59Aa1,100,Bacillus thuringiensis,ref
BT_Cry1Fb1,100,Bacillus thuringiensis,ref
NOV_Cry53Ab1_40.0_CAH33955.1,40,Bacillus thuringiensis,ref
BT_Cry32Hb1,100,Bacillus thuringiensis,ref
BT_Cry5Ca1,100,Bacillus thuringiensis,ref
BT_Cry1Ba1,100,Bacillus thuringiensis,ref
BT_Cry8Bb1,100,Bacillus thuringiensis,ref
BT_Cry21Aa1,100,Bacillus thuringiensis,ref
BT_Cry21Ha1,100,Bacillus thuringiensis,ref
BT_Cry32Aa1,100,Bacillus thuringiensis,ref
NOV_Cry4Ba1_63.8_OUB35623.1,63.8,Bacillus thuringiensis,ref
BT_Cry47Aa1,100,Bacillus thuringiensis,ref
BT_Cry68Aa1,100,Bacillus thuringiensis,ref
NOV_Cry1Ab20_69.9_AAK14339.1,69.9,Bacillus thuringiensis,ref
BT_Cry8Ia3,100,Bacillus thuringiensis,ref
BT_Cry54Ba1,100,Bacillus thuringiensis,ref
BT_Cry43Cb1,100,Bacillus thuringiensis,ref
BT_Cry9Bb1,100,Bacillus thuringiensis,ref
NOV_Cry53Ab1_40.9_APA45008.1,40.9,Bacillus thuringiensis,ref
BT_Cry32Ba1,100,Bacillus thuringiensis,ref
NOV_Cry56Aa4_77.6_ARJ25668.1,77.6,Bacillus mycoides,ref
BT_Cry66Aa1,100,Bacillus thuringiensis,ref
NOV_Cry13Aa1_50.1_ANS46780.1,50.1,Bacillus thuringiensis,ref
BT_Cry20Aa1,100,Bacillus thuringiensis,ref
BT_Cry52Ba1,100,Bacillus thuringiensis,ref
BT_Cry1Da1,100,Bacillus thuringiensis,ref
NOV_Cry14Ab1_85.6_AXE15628.1,85.6,Bacillus thuringiensis,ref
BT_Cry1Nb1,100,Bacillus thuringiensis,ref
BT_Cry7Ba1,100,Bacillus thuringiensis,ref
BT_Cry1Na1,100,Bacillus thuringiensis,ref
BT_Cry9Dc1,100,Bacillus thuringiensis,ref
BT_Cry73Ba1,100,Bacillus thuringiensis,ref
BT_Cry61Aa1,100,Bacillus thuringiensis,ref
BT_Cry7Gd1,100,Bacillus thuringiensis,ref
BT_Cry30Ea1,100,Bacillus thuringiensis,ref
NOV_Cry21Ca2_65.9_AZR80774.1,65.9,Bacillus thuringiensis,ref
BT_Cry1Be1,100,Bacillus thuringiensis,ref
NOV_Cry56Aa4_79.3_WP_103592286.1,79.3,Bacillus thuringiensis,ref
BT_Cry67Aa2,100,Bacillus thuringiensis,ref
NOV_Cry21Ea1_32.5_AGS78122.1,32.5,Bacillus thuringiensis,ref
NOV_Cry32Va1_61.0_WP_134996253.1,61,Bacillus thuringiensis,ref
BT_Cry7Gb1,100,Bacillus thuringiensis,ref
BT_Cry3Aa10,100,Bacillus thuringiensis,ref
BT_Cry13Aa1,100,Bacillus thuringiensis,ref
NOV_Cry19Ba1_74.0_AGV55021.1,74,Bacillus thuringiensis,ref
BT_Cry21Ga1,100,Bacillus thuringiensis,ref
BT_Cry1Ia18,100,Bacillus thuringiensis,ref
BT_Cry44Aa1,100,Bacillus thuringiensis,ref
BT_Cry1Bi1,100,Bacillus thuringiensis,ref
NOV_Cry41Ca1_39.9_WP_001075423.1,39.9,Bacillus thuringiensis,ref
BT_Cry32Ea2,100,Bacillus thuringiensis,ref
BT_Cry2Ad5,100,Bacillus thuringiensis,ref
NOV_Cry10Aa1_97.2_ABW89735.1,97.2,Bacillus thuringiensis,ref
NOV_Cry24Aa1_98.3_WP_086403584.1,98.3,Bacillus thuringiensis,ref
BT_Cry1Ea10,100,Bacillus thuringiensis,ref
BT_Cry59Ba1,100,Bacillus thuringiensis,ref
BT_Cry1Ja1,100,Bacillus thuringiensis,ref
BT_Cry69Ab1,100,Bacillus thuringiensis,ref
NOV_Cry2Ba1_29.9_AEX63666.1,29.9,Bacillus thuringiensis,ref
BT_Cry1Ia11,100,Bacillus thuringiensis,ref
BT_Cry8Ad1,100,Bacillus thuringiensis,ref
BT_Cry1Ga2,100,Bacillus thuringiensis,ref
BT_Cry8Ha1,100,Bacillus thuringiensis,ref
NOV_Cry73Aa1_88.4_AQM56942.1,88.4,Bacillus thuringiensis,ref
BT_Cry31Ab1,100,Bacillus thuringiensis,ref
BT_Cry30Da1,100,Bacillus thuringiensis,ref
BT_Cry40Aa1,100,Bacillus thuringiensis,ref
BT_Cry11Bb1,100,Bacillus thuringiensis,ref
NOV_Cry1Ia24_22.2_CAP40039.1,22.2,Bacillus thuringiensis,ref
NOV_Cry68Aa1_74.8_WP_103592020.1,74.8,Bacillus thuringiensis,ref
NOV_Cry32Ta1_48.0_AQX37180.1,48,Bacillus thuringiensis,ref
BT_Cry32Sa1,100,Bacillus thuringiensis,ref
BT_Cry1Eb1,100,Bacillus thuringiensis,ref
BT_Cry11Ba1,100,Bacillus thuringiensis,ref
BT_Cry1Ab34,100,Bacillus thuringiensis,all
NOV_Cry1Bd2_99.8_AQY42687.1,99.8,Bacillus thuringiensis,all
NOV_Cry1Ab12_99.9_AEV45790.1,99.9,Bacillus thuringiensis,all
NOV_Cry53Ab1_40.8_CAH33954.1,40.8,Bacillus thuringiensis,all
BT_Cry30Ga2,100,Bacillus thuringiensis,all
BT_Cry1Bd2,100,Bacillus thuringiensis,all
NOV_Cry24Ca1_99.7_AZJ24443.1,99.7,Bacillus thuringiensis,all
BT_Cry32Eb1,100,Bacillus thuringiensis,all
NOV_Cry1Eb1_99.7_CAA01879.1,99.7,Bacillus thuringiensis,all
BT_Cry1Aa7,100,Bacillus thuringiensis,all
BT_Cry9Eb3,100,Bacillus thuringiensis,all
BT_Cry2Ab9,100,Bacillus thuringiensis,all
NOV_Cry70Aa1_99.9_AKR12921.1,99.9,Bacillus thuringiensis,all
BT_Cry1Ac27,100,Bacillus thuringiensis,all
NOV_Cry8Da1_99.6_CBL59394.1,99.6,Bacillus thuringiensis,all
BT_Cry21Aa3,100,Bacillus thuringiensis,all
NOV_Cry1Ab12_99.5_ACB05714.1,99.5,Bacillus thuringiensis,all
NOV_Cry7Cb1_96.0_ALL11871.1,96,Bacillus thuringiensis,all
NOV_Cry1Ka1_98.4_KIP24267.1,98.4,Bacillus thuringiensis,all
BT_Cry1Ib2,100,Bacillus thuringiensis,all
BT_Cry2Aa12,100,Bacillus thuringiensis,all
BT_Cry1Aa13,100,Bacillus thuringiensis,all
BT_Cry1Aa2,100,Bacillus thuringiensis,all
NOV_Cry1Ie4_24.0_BAH45672.1,24,Brevibacillus brevis,all
NOV_Cry28Aa2_99.6_ABB51653.1,99.6,Bacillus thuringiensis,all
NOV_Cry21Ea1_53.3_OTW62068.1,53.3,Bacillus thuringiensis,all
NOV_Cry1Ab35_99.9_WP_103595476.1,99.9,Bacillus thuringiensis,all
NOV_Cry7Ia1_99.9_ARV91400.1,99.9,Bacillus thuringiensis,all
BT_Cry7Ab4,100,Bacillus thuringiensis,all
BT_Cry1Ib1,100,Bacillus thuringiensis,all
BT_Cry1Ia13,100,Bacillus thuringiensis,all
BT_Cry1Ac36,100,Bacillus thuringiensis,all
BT_Cry1Ib10,100,Bacillus thuringiensis,all
NOV_Cry2Ad2_98.1_ADB88767.1,98.1,Bacillus thuringiensis,all
BT_Cry2Aa14,100,Bacillus thuringiensis,all
NOV_Cry8Da1_99.7_CBL59393.1,99.7,Bacillus thuringiensis,all
NOV_Cry11Aa1_98.9_ABW89739.1,98.9,Bacillus thuringiensis,all
BT_Cry9Ea4,100,Bacillus thuringiensis,all
NOV_Cry9Ba2_99.4_OTW73398.1,99.4,Bacillus thuringiensis,all
BT_Cry1Ac1,100,Bacillus thuringiensis,all
BT_Cry10Aa1,100,Bacillus thuringiensis,all
NOV_Cry21Aa2_95.4_WP_103655243.1,95.4,Bacillus thuringiensis,all
NOV_Cry1Ab12_98.5_AGI21848.1,98.5,Bacillus thuringiensis,all
NOV_Cry2Ad1_99.1_AYW33782.1,99.1,Bacillus thuringiensis,all
BT_Cry48Ab2,100,Lysinibacillus sphaericus,all
NOV_Cry9Aa1_99.5_OTZ47101.1,99.5,Bacillus thuringiensis,all
NOV_Cry1Gb2_99.8_OTW53896.1,99.8,Bacillus thuringiensis,all
BT_Cry1Ac11,100,Bacillus thuringiensis,all
BT_Cry31Aa1,100,Bacillus thuringiensis,all
NOV_Cry31Ac2_97.9_AIA19335.1,97.9,Bacillus thuringiensis,all
BT_Cry1Gb2,100,Bacillus thuringiensis,all
NOV_Cry1Ab12_99.5_ACU65108.1,99.5,Bacillus thuringiensis,all
BT_Cry2Ab14,100,Bacillus thuringiensis,all
NOV_Cry11Aa1_96.3_ABW89742.1,96.3,Bacillus thuringiensis,all
BT_Cry1Ac25,100,Bacillus thuringiensis,all
NOV_Cry68Aa1_99.9_AFU17323.1,99.9,Bacillus thuringiensis,all
