Rec,Min_par,Maj_par,Unknown_flag,Type,start,stop,d1_start,d1_stop,d2_start,d2_stop,d3_start,d3_stop,Pval,r_min_1,r_min_2,r_min_3,r_maj_1,r_maj_2,r_maj_3
BT_Cry8Ba1;NOV_Cry8Ba1_88.6_AEP25412.1,BT_Cry7Ka1;BT_Cry7Kb1,BT_Cry8Bb1,minor,domain3,1283,1691,1,607,631,1273,1297,1708,1.55197902675051E-21,53.1507755083565,52.2730666726985,50.5643093698437,89.2300491914371,72.1618045695108,49.8900865502044
BT_Cry32Ha1;BT_Cry32Hb1,BT_Cry32Ka1,BT_Cry32Oa1,no,domain3,1446,1756,1,640,664,1315,1342,1756,9.7051026392098E-21,52.9685681024447,54.5186599345207,63.3806720440384,73.1707317073171,66.581956797967,51.5643289446224
NOV_Cry1Ab20_69.9_AAK14339.1,NOV_Cry8Db1_49.9_WP_103653049.1;NOV_Cry8Db1_51.1_PNK22955.1,NOV_Cry1Ab32_92.7_AAK14337.1;BT_Cry1Aa10;BT_Cry1Ab1;BT_Cry1Ab2;BT_Cry1Ac39;BT_Cry1Ad1;BT_Cry1Ag1;BT_Cry1Ah2;NOV_Cry1Ab12_91.4_AAK14338.1;NOV_Cry1Ac23_90.7_CAQ03747.1;BT_Cry1Aj1,no,domain1_partial,1,490,1,367,715,1210,1216,1657,1.79359764568676E-20,44.2351987134057,45.8400725208139,50.9014115946967,57.6360100557703,65.1784297312024,83.1766147288844
BT_Cry1Db1,BT_Cry1Dd1,BT_Cry1Da1,no,domain1,130,729,1,604,628,1204,1234,1630,4.85817593416315E-20,88.4375,68.475073313783,72.0779220779221,74.025974025974,91.6805324459235,96.5260545905707
BT_Cry2Aa13,BT_Cry2Ab10;BT_Cry2Ab15,BT_Cry2Am1,major,domain1,1,571,1,580,595,1210,1249,1672,1.37071413076072E-18,99.8275862068966,75.7318589001758,86.8829621705728,86.3563402889246,80.0878477306003,88.8392857142857
BT_Cry9Da1;BT_Cry9Db1,BT_Cry9Ed1,BT_Cry9Ea10,major,domain3_partial,1470,1735,1,613,637,1297,1321,1735,1.93983327952425E-18,65.5882508282081,52.3218669040074,72.2949928024603,64.1478181811674,53.3513693062123,59.3510075011031
BT_Cry30Db1;BT_Cry30Da1,BT_Cry30Ba1;BT_Cry30Ca1,NOV_Cry30Ga2_64.5_ARJ25665.1,minor,domain2,771,1339,1,634,658,1279,1309,1756,1.73165492833619E-19,62.3103601466236,68.5271337878412,64.7716077928205,86.041522040958,73.1677325592752,52.9622980251346
NOV_Cry8Kb1_73.3_APT36283.1,BT_Cry8Ad1;BT_Cry8Ra1,BT_Cry8Ka3;BT_Cry8Ka1,no,domain3,1321,1747,1,601,625,1270,1282,1747,3.93999551679159E-18,54.0150995195608,51.1308806997963,53.0305979090516,86.3045173980872,80.1675977653631,51.6893350604491
BT_Cry7Ha1,BT_Cry7Kb1,BT_Cry7Ia1,no,domain2,460,1249,1,595,619,1210,1234,1669,3.43036360395575E-23,55.2803129074316,70.5627705627706,51.3368983957219,57.8534031413613,50.5897771952818,50.5281690140845
BT_Cry9Eb1,BT_Cry9Ed1;BT_Cry9Ec1,BT_Cry9Ea10,minor,domain1,1,522,1,616,643,1252,1282,1693,1.2489847466725E-17,71.5484508488819,59.8703174921145,69.1598090849243,71.7877094972067,92.7215189873418,57.4427480916031
BT_Cry41Ba2,NOV_Cry41Ca1_50.4_AZJ24166.1,BT_Cry32Pa1,no,domain2,819,1375,1,565,802,1384,1402,1807,1.13952840249503E-18,46.5573770491803,66.6666666666667,56.0693641618497,55.5693069306931,48.6858573216521,55.2123552123552
BT_Cry1Ca11,BT_Cry1Ea10;NOV_Cry1Ea10_93.2_AAX86871.1,BT_Cry1Da1;BT_Cry1Db1;BT_Cry1Dd1,major,domain3,1225,1695,1,604,637,1225,1255,1696,5.52330699495694E-18,58.5728697811579,53.9267015706806,77.1008403361345,60.800762316532,54.4510339594005,53.2961221710416
BT_Cry19Aa1,BT_Cry4Da1,BT_Cry1Na1;BT_Cry1Nb1,no,domain2,617,1246,1,610,634,1240,1270,1678,5.75515890763164E-27,56.8627450980392,66.4383561643836,50.5576208178439,55.2030651340996,48.4261841003414,51.8188063636427
BT_Cry7Gd1,BT_Cry8Ib1;BT_Cry8Ia3,BT_Cry7Ga2;BT_Cry7Gb1;BT_Cry7Gc1;NOV_Cry7Gb1_94.1_AGM39662.1,minor,domain1_partial,147,463,1,607,619,1276,1282,1714,1.42009008177139E-16,56.1264822134387,51.2073047274567,52.2847204411387,65.1409072029055,91.2093480038799,87.4345316808633
BT_Cry13Aa1,NOV_Cry13Aa1_50.1_ANS46780.1,NOV_Cry14Aa1_44.0_PGW42274.1,major,domain3,1398,1774,1,652,670,1330,1336,1774,7.44314259461249E-20,55.8030480656506,57.243816254417,74.6,55.9859154929578,52.9142857142857,52.3809523809524
BT_Cry8Pa1,BT_Cry1Na1;BT_Cry1Nb1,BT_Cry8Ea2,minor,domain3,1343,1714,1,604,628,1291,1297,1714,4.19933015018201E-16,55.8292770095792,49.2865545363029,51.3837638376384,82.370820668693,54.3583535108959,51.6187050359712
NOV_Cry32Ta1_48.0_AQX37180.1,BT_Cry32Qa1,BT_Cry32Va1;NOV_Cry32Va1_61.0_WP_134996253.1,no,domain1,1,536,1,676,700,1369,1399,1807,1.71716958751672E-17,68.9393939393939,50.1726121979287,57.2533849129594,54.5901609847043,56.1856957346919,54.6120974186151
NOV_Cry3Aa12_81.9_AEZ53144.1,BT_Cry3Ba1;BT_Cry3Bb1,BT_Cry3Aa10,minor,domain1,1,716,1,580,709,1240,1270,1675,4.29006690011281E-19,62.151198354001,60.0278551532034,54.9670261213267,79.0909090909091,80.8544303797468,99.017199017199
BT_Cry1Ic1;BT_Cry1Ia11;BT_Cry1Ia17;BT_Cry1Id1;BT_Cry1Ie4;BT_Cry1Ig1;NOV_Cry1Ie5_79.3_PQQ47595.1,BT_Cry8Db1;BT_Cry8Ad1;BT_Cry8Da1,BT_Cry1Bh1;BT_Cry1Ba1;BT_Cry1Bb1;BT_Cry1Bd1;BT_Cry1Bf1;BT_Cry1Bg1;BT_Cry1Bi1,no,domain1,61,641,1,598,622,1252,1282,1693,3.15506139642873E-15,63.4285505643467,51.2919684755655,55.0375363656347,62.0456960239136,67.8476360715689,57.7832842154807
NOV_Cry56Aa2_56.0_AGV55019.1,NOV_Cry56Aa4_56.4_PER37538.1,NOV_Cry56Aa4_77.6_ARJ25668.1;BT_Cry56Aa1;NOV_Cry56Aa4_79.3_WP_103592286.1,no,domain1,1,679,1,613,652,1168,1189,1612,1.85080822158837E-22,77.3913043478261,67.9032258064516,62.2857142857143,56.001088077286,74.1611915953487,63.4975707484055
NOV_Cry1Ea10_93.2_AAX86871.1;BT_Cry1Ea10,BT_Cry1Ha1;BT_Cry1Hb1;BT_Cry1Hc1,BT_Cry1Da1;BT_Cry1Db1,minor,domain3,1222,1651,1,607,631,1219,1249,1651,2.05867083257893E-18,58.2236194220456,54.3517292629176,53.1548988293212,65.5879303534297,54.4807980893201,54.8024746178567
BT_Cry8Ac1,BT_Cry8Qa1,BT_Cry8Ab1,no,domain3,1276,1762,1,604,628,1291,1321,1762,5.17583094669588E-15,60.5405405405405,51.027397260274,61.3678373382625,85.145482388974,87.5530410183876,56.5454545454545
BT_Cry24Da1;BT_Cry24Ca1,BT_Cry24Ba1,BT_Cry44Aa1,no,domain2,553,1336,1,634,658,1306,1333,1747,2.04555855712138E-32,54.9019607843137,72.9766660223783,52.7967662390362,53.3959299715697,48.7769048987674,57.9395236514713
BT_Cry1La1,BT_Cry1Da1;BT_Cry1Db1;BT_Cry1Dd1,BT_Cry1Ha1,minor,domain3_partial,1192,1398,1,580,604,1192,1216,1627,3.05337753596585E-17,56.7711211241855,52.7703633347169,52.6450889497972,63.6746143057504,66.9491525423729,51.9626168224299
BT_Cry62Aa1,NOV_Cry41Ca1_50.4_AZJ24166.1,BT_Cry32Pa1,no,domain1_partial,17,488,1,697,721,1318,1345,1759,5.55984879077082E-13,58.2169709989259,51.1194029850746,51.9480519480519,53.4806629834254,59.9734042553192,55.1526717557252
NOV_Cry8Aa1_47.1_EEM92570.1,BT_Cry8Ea2,NOV_Cry8Da1_43.7_ANC11094.1,no,domain1,19,525,1,610,634,1291,1321,1774,4.82298218417331E-18,68.4357541899441,52.3409363745498,50,56.1538461538462,56.144578313253,52.0905923344948
BT_Cry1Ha1;BT_Cry1Hc1,BT_Cry1Da1;BT_Cry1Db1,BT_Cry1Hb1,no,domain3_partial,1184,1435,1,589,613,1207,1237,1639,1.21316362933865E-12,57.8433789595194,54.0714872148587,74.4181715778329,88.7051290941451,83.1255253572429,64.983982949453
