Rec	Min_par	Maj_par	Unknown_flag	Type	start	stop	d1_start	d1_stop	d2_start	d2_stop	d3_start	d3_stop	Pval	rec_tree_cons:f|1|2|3	min_tree_cons	maj_tree_cons	rec_a	rec_1	rec_2	rec_3	min_a	min_1	min_2	min_3	maj_a	maj_1	maj_2	maj_3	r_min_a	r_min_1	r_min_2	r_min_3	r_min_1_pair	r_min_2_pair	r_min_3_pair	r_maj_a	r_maj_1	r_maj_2	r_maj_3	r_maj_1_pair	r_maj_2_pair	r_maj_3_pair	max_min_a	max_min_1	max_min_2	max_min_3	max_min_1_pair	max_min_2_pair	max_min_3_pair
NOV_Cry7Ca1_86.8_AGM39664.1	BT_Cry7Ha1	NOV_Cry7Ca1_99.7_ABR67863.2	no	domain3	1300	1643	1	610	634	1270	1300	1732	1.38880405186517e-79	100;100;100;100	100;100;100;100	100;100;100;100	100	100	100	100	100	100	100	100	100	100	100	100	62.7798940422703	56.2337662337662	51.8564356435644	80.2494802494803	56.23 (BT_Cry7Ha1|NOV_Cry7Ca1_86.8_AGM39664.1)	51.86 (BT_Cry7Ha1|NOV_Cry7Ca1_86.8_AGM39664.1)	80.25 (BT_Cry7Ha1|NOV_Cry7Ca1_86.8_AGM39664.1)	83.1773731622353	99.3453355155483	99.3730407523511	50.8137432188065	99.35 (NOV_Cry7Ca1_86.8_AGM39664.1|NOV_Cry7Ca1_99.7_ABR67863.2)	99.37 (NOV_Cry7Ca1_86.8_AGM39664.1|NOV_Cry7Ca1_99.7_ABR67863.2)	50.81 (NOV_Cry7Ca1_86.8_AGM39664.1|NOV_Cry7Ca1_99.7_ABR67863.2)	53.44421386763717	55.8290155440414	52.0446096654275	52.4590163934426	55.83 (BT_Cry7Ha1|NOV_Cry7Ca1_99.7_ABR67863.2)	52.04 (BT_Cry7Ha1|NOV_Cry7Ca1_99.7_ABR67863.2)	52.46 (BT_Cry7Ha1|NOV_Cry7Ca1_99.7_ABR67863.2)
BT_Cry1Bf1;BT_Cry1Be1;BT_Cry1Bg1	BT_Cry1Eb1	BT_Cry1Ba1	no	domain3	1284	1620	1	604	628	1261	1285	1696	2.41691845092023e-58	75.0;50.0;18.75;100.0	100;100;100;100	100;100;100;100	87.05640935795489	86.2777945350627	74.89143353880196	100.0	100	100	100	100	100	100	100	100	63.96408782518269	52.996561731943196	50.18602432425007	88.7096774193548	53.26 (BT_Cry1Be1|BT_Cry1Eb1)	50.74 (BT_Cry1Bg1|BT_Cry1Eb1)	88.71 (BT_Cry1Bf1|BT_Cry1Eb1)	75.16487236902108	89.79529660972418	81.7667362276762	53.9325842696629	96.74 (BT_Cry1Ba1|BT_Cry1Bf1)	88.96 (BT_Cry1Ba1|BT_Cry1Bf1)	53.93 (BT_Cry1Ba1|BT_Cry1Bf1)	52.7476333972155	52.8662420382166	50.5562422744129	54.820415879017	52.87 (BT_Cry1Ba1|BT_Cry1Eb1)	50.56 (BT_Cry1Ba1|BT_Cry1Eb1)	54.82 (BT_Cry1Ba1|BT_Cry1Eb1)
NOV_Cry30Ca1_66.6_BAD00052.1	BT_Cry50Ba1;NOV_Cry4Ba1_63.7_AJW76684.1	BT_Cry30Fa1;BT_Cry30Aa1;BT_Cry30Ca1;BT_Cry30Ea1	minor	domain3	1336	1705	1	634	658	1276	1306	1705	2.59715993854095e-56	100;100;100;100	50.0;50.0;50.0;25.0	50.0;50.0;50.0;25.0	100	100	100	100	74.33591238879913	51.4851485148515	78.7539936102236	92.7685950413223	76.05575703185393	75.44016946128201	71.84434997734719	80.88275165693257	52.81512710171333	51.6470946061231	52.924731182795696	53.8735555162212	52.02 (BT_Cry50Ba1|NOV_Cry30Ca1_66.6_BAD00052.1)	53.33 (NOV_Cry30Ca1_66.6_BAD00052.1|NOV_Cry4Ba1_63.7_AJW76684.1)	54.58 (NOV_Cry30Ca1_66.6_BAD00052.1|NOV_Cry4Ba1_63.7_AJW76684.1)	68.37781451645621	72.18901180542572	77.23790064074035	55.70653110320258	74.14 (BT_Cry30Fa1|NOV_Cry30Ca1_66.6_BAD00052.1)	87.39 (BT_Cry30Ca1|NOV_Cry30Ca1_66.6_BAD00052.1)	55.98 (BT_Cry30Fa1|NOV_Cry30Ca1_66.6_BAD00052.1)	60.98627684893132	51.50919252573844	52.86923076461089	78.58040725644464	52.03 (BT_Cry30Aa1|BT_Cry50Ba1)	54.13 (BT_Cry30Fa1|BT_Cry50Ba1)	84.06 (BT_Cry30Fa1|NOV_Cry4Ba1_63.7_AJW76684.1)
NOV_Cry4Ba1_63.7_AJW76684.1	BT_Cry50Ba1	NOV_Cry4Ba1_63.8_OUB35623.1	no	domain3	1285	1714	1	619	667	1222	1252	1714	2.07402718023579e-54	100;100;100;100	100;100;100;100	100;100;100;100	100	100	100	100	100	100	100	100	100	100	100	100	74.33591238879913	51.4851485148515	78.7539936102236	92.7685950413223	51.49 (BT_Cry50Ba1|NOV_Cry4Ba1_63.7_AJW76684.1)	78.75 (BT_Cry50Ba1|NOV_Cry4Ba1_63.7_AJW76684.1)	92.77 (BT_Cry50Ba1|NOV_Cry4Ba1_63.7_AJW76684.1)	82.05757984705356	90.1538461538462	91.2820512820513	64.7368421052632	90.15 (NOV_Cry4Ba1_63.7_AJW76684.1|NOV_Cry4Ba1_63.8_OUB35623.1)	91.28 (NOV_Cry4Ba1_63.7_AJW76684.1|NOV_Cry4Ba1_63.8_OUB35623.1)	64.74 (NOV_Cry4Ba1_63.7_AJW76684.1|NOV_Cry4Ba1_63.8_OUB35623.1)	64.2570335598864	52.2388059701493	78.4810126582278	62.0512820512821	52.24 (BT_Cry50Ba1|NOV_Cry4Ba1_63.8_OUB35623.1)	78.48 (BT_Cry50Ba1|NOV_Cry4Ba1_63.8_OUB35623.1)	62.05 (BT_Cry50Ba1|NOV_Cry4Ba1_63.8_OUB35623.1)
BT_Cry1Cb1	BT_Cry1Eb1	BT_Cry1Ca11	no	domain3	1224	1557	1	604	637	1225	1252	1660	2.52746788663148e-54	100;100;100;100	100;100;100;100	100;100;100;100	100	100	100	100	100	100	100	100	100	100	100	100	66.40070585059713	58.9403973509934	53.5340314136126	86.7276887871854	58.94 (BT_Cry1Cb1|BT_Cry1Eb1)	53.53 (BT_Cry1Cb1|BT_Cry1Eb1)	86.73 (BT_Cry1Cb1|BT_Cry1Eb1)	78.59801809564844	90.521327014218	90.9090909090909	54.3636363636364	90.52 (BT_Cry1Ca11|BT_Cry1Cb1)	90.91 (BT_Cry1Ca11|BT_Cry1Cb1)	54.36 (BT_Cry1Ca11|BT_Cry1Cb1)	55.05696653153316	58.311345646438	53.3333333333333	53.5262206148282	58.31 (BT_Cry1Ca11|BT_Cry1Eb1)	53.33 (BT_Cry1Ca11|BT_Cry1Eb1)	53.53 (BT_Cry1Ca11|BT_Cry1Eb1)
NOV_Cry30Ga2_64.5_ARJ25665.1	BT_Cry50Ba1;BT_Cry50Aa1	BT_Cry30Ga1;BT_Cry30Da1;BT_Cry30Db1	minor	domain3	1336	1708	1	631	655	1273	1303	1708	8.16876698354932e-62	100;100;100;100	33.33;25.0;50.0;50.0	33.33;25.0;50.0;50.0	100	100	100	100	66.65900683418316	65.7571623465211	66.6666666666667	67.5531914893617	79.62575185320061	85.49455361365854	75.14479844695674	78.23790349898657	52.19790474356057	51.2863394250256	53.620269240538505	51.687105565117605	51.84 (BT_Cry50Ba1|NOV_Cry30Ga2_64.5_ARJ25665.1)	54.72 (BT_Cry50Aa1|NOV_Cry30Ga2_64.5_ARJ25665.1)	52.08 (BT_Cry50Ba1|NOV_Cry30Ga2_64.5_ARJ25665.1)	70.78689582258434	84.342867607057	74.6194669661223	53.39835289457373	88.51 (BT_Cry30Db1|NOV_Cry30Ga2_64.5_ARJ25665.1)	77.52 (BT_Cry30Ga1|NOV_Cry30Ga2_64.5_ARJ25665.1)	54.27 (BT_Cry30Ga1|NOV_Cry30Ga2_64.5_ARJ25665.1)	57.97427550617874	51.83758842559863	52.74409768778493	69.34114040515267	52.59 (BT_Cry30Ga1|BT_Cry50Ba1)	53.76 (BT_Cry30Ga1|BT_Cry50Aa1)	81.52 (BT_Cry30Ga1|BT_Cry50Ba1)
BT_Cry9Eb1	BT_Cry9Da1	BT_Cry9Ea10	no	domain3	1312	1693	1	616	643	1252	1282	1693	1.71214889638686e-51	100;100;100;100	100;100;100;100	100;100;100;100	100	100	100	100	100	100	100	100	100	100	100	100	72.17265625361216	68.3127572016461	52.7075812274368	95.4976303317536	68.31 (BT_Cry9Da1|BT_Cry9Eb1)	52.71 (BT_Cry9Da1|BT_Cry9Eb1)	95.5 (BT_Cry9Da1|BT_Cry9Eb1)	73.98399219205054	71.7877094972067	92.7215189873418	57.4427480916031	71.79 (BT_Cry9Ea10|BT_Cry9Eb1)	92.72 (BT_Cry9Ea10|BT_Cry9Eb1)	57.44 (BT_Cry9Ea10|BT_Cry9Eb1)	58.50073088042477	64.4772117962467	52.7075812274368	58.3173996175908	64.48 (BT_Cry9Da1|BT_Cry9Ea10)	52.71 (BT_Cry9Da1|BT_Cry9Ea10)	58.32 (BT_Cry9Da1|BT_Cry9Ea10)
BT_Cry1Fa1	BT_Cry1Ig1	BT_Cry1Fb1	no	domain3	1231	1660	1	604	628	1219	1249	1660	2.09675279194536e-51	100;100;100;100	100;100;100;100	100;100;100;100	100	100	100	100	100	100	100	100	100	100	100	100	60.503532090865434	52.0807061790668	52.2443890274314	77.1855010660981	52.08 (BT_Cry1Fa1|BT_Cry1Ig1)	52.24 (BT_Cry1Fa1|BT_Cry1Ig1)	77.19 (BT_Cry1Fa1|BT_Cry1Ig1)	83.40420154529787	94.2028985507247	95.6953642384106	60.3143418467583	94.2 (BT_Cry1Fa1|BT_Cry1Fb1)	95.7 (BT_Cry1Fa1|BT_Cry1Fb1)	60.31 (BT_Cry1Fa1|BT_Cry1Fb1)	54.49318865798843	52.4652338811631	52.0547945205479	58.9595375722543	52.47 (BT_Cry1Fb1|BT_Cry1Ig1)	52.05 (BT_Cry1Fb1|BT_Cry1Ig1)	58.96 (BT_Cry1Fb1|BT_Cry1Ig1)
NOV_Cry40Aa1_67.9_CQ868314.1	BT_Cry52Ba1;BT_Cry52Aa1	BT_Cry40Aa1	minor	domain3	1355	1774	1	673	697	1279	1312	1774	1.46621184649191e-50	100;100;100;100	50.0;50.0;50.0;33.33	100;100;100;100	100	100	100	100	80.23585226197784	88.3076923076923	85.589519650655	66.8103448275862	100	100	100	100	49.18255587596197	49.56303882380715	49.8157245376135	48.16890426646525	49.83 (BT_Cry52Aa1|NOV_Cry40Aa1_67.9_CQ868314.1)	49.82 (BT_Cry52Aa1|NOV_Cry40Aa1_67.9_CQ868314.1)	48.95 (BT_Cry52Ba1|NOV_Cry40Aa1_67.9_CQ868314.1)	72.3484415267144	89.3408134642356	77.4390243902439	50.2654867256637	89.34 (BT_Cry40Aa1|NOV_Cry40Aa1_67.9_CQ868314.1)	77.44 (BT_Cry40Aa1|NOV_Cry40Aa1_67.9_CQ868314.1)	50.27 (BT_Cry40Aa1|NOV_Cry40Aa1_67.9_CQ868314.1)	56.16370646030877	49.478361046661504	49.3569551443588	69.655803189906	49.65 (BT_Cry40Aa1|BT_Cry52Aa1)	49.45 (BT_Cry40Aa1|BT_Cry52Aa1)	74.22 (BT_Cry40Aa1|BT_Cry52Ba1)
BT_Cry9Ga1	BT_Cry1Gb1	BT_Cry9Aa1	no	domain3	1336	1744	1	637	661	1303	1336	1744	1.75834688357883e-50	100;100;100;100	100;100;100;100	100;100;100;100	100	100	100	100	100	100	100	100	100	100	100	100	56.246606744284264	49.2700729927007	49.6350364963504	69.8347107438017	49.27 (BT_Cry1Gb1|BT_Cry9Ga1)	49.64 (BT_Cry1Gb1|BT_Cry9Ga1)	69.83 (BT_Cry1Gb1|BT_Cry9Ga1)	80.02343539924176	97.8227060653188	87.719298245614	54.5283018867925	97.82 (BT_Cry9Aa1|BT_Cry9Ga1)	87.72 (BT_Cry9Aa1|BT_Cry9Ga1)	54.53 (BT_Cry9Aa1|BT_Cry9Ga1)	51.31542332133554	49.4518879415347	50.0	54.4943820224719	49.45 (BT_Cry1Gb1|BT_Cry9Aa1)	50.0 (BT_Cry1Gb1|BT_Cry9Aa1)	54.49 (BT_Cry1Gb1|BT_Cry9Aa1)
NOV_Cry1Da1_84.8_ABK35074.1	BT_Cry1Ha1;BT_Cry1Hb1;NOV_Cry1Ha1_85.7_AIW52616.1	BT_Cry1Da1;BT_Cry1Db1	no	domain1_partial	1	351	1	601	625	1201	1228	1639	3.36370979928136e-50	100;100;100;100	25.0;25.0;50.0;10.0	25.0;25.0;50.0;10.0	100	100	100	100	80.05472058220312	89.4987192340222	84.58368357149527	66.08175894109189	87.41085368748939	74.025974025974	91.6805324459235	96.5260545905707	62.14880573362613	75.58561431220531	53.87035352003507	56.99044936863803	79.46 (BT_Cry1Ha1|NOV_Cry1Da1_84.8_ABK35074.1)	54.76 (BT_Cry1Ha1|NOV_Cry1Da1_84.8_ABK35074.1)	58.82 (NOV_Cry1Da1_84.8_ABK35074.1|NOV_Cry1Ha1_85.7_AIW52616.1)	71.88671528774697	66.00209364293875	90.95583388266314	58.702218337638996	69.44 (BT_Cry1Da1|NOV_Cry1Da1_84.8_ABK35074.1)	94.59 (BT_Cry1Da1|NOV_Cry1Da1_84.8_ABK35074.1)	58.86 (BT_Cry1Db1|NOV_Cry1Da1_84.8_ABK35074.1)	61.40417686469102	57.43144022757182	54.27221359261473	72.5088767738865	58.36 (BT_Cry1Db1|NOV_Cry1Ha1_85.7_AIW52616.1)	55.79 (BT_Cry1Db1|BT_Cry1Ha1)	79.73 (BT_Cry1Da1|BT_Cry1Ha1)
