Cry	Sector	Color	two_rank	one_rank
NOV_Cry1Ac23_90.7_CAQ03747.1	49	#2980b9	Cry1A	Cry1
BT_Cry1Ah2	50	#2980b9	Cry1A	Cry1
BT_Cry1Ac39	51	#2980b9	Cry1A	Cry1
BT_Cry1Aa10	52	#2980b9	Cry1A	Cry1
BT_Cry1Ag1	53	#2980b9	Cry1A	Cry1
NOV_Cry1Ea10_93.2_AAX86871.1	54	#2980b9	Cry1E	Cry1
BT_Cry1Eb1	55	#2980b9	Cry1E	Cry1
BT_Cry1Ea10	56	#2980b9	Cry1E	Cry1
BT_Cry1Hb1	57	grey	Cry1H	Cry1
NOV_Cry1Ha1_85.7_AIW52616.1	58	grey	Cry1H	Cry1
BT_Cry1Ha1	59	grey	Cry1H	Cry1
BT_Cry1La1	60	grey	Cry1L	Cry1
BT_Cry1Gb1	61	#2980b9	Cry1G	Cry1
BT_Cry1Ga2	62	#2980b9	Cry1G	Cry1
NOV_Cry1Ga1_77.9_AX098669.1	63	#2980b9	Cry1G	Cry1
BT_Cry1Fb1	64	#2980b9	Cry1F	Cry1
BT_Cry1Fa1	65	#bdbd00	Cry1F	Cry1
BT_Cry1Jb1	66	#2980b9	Cry1J	Cry1
NOV_Cry1Jc1_99.1_AAS93799.1	67	grey	Cry1J	Cry1
BT_Cry1Jd1	68	#a60b0b	Cry1J	Cry1
BT_Cry1Ja1	69	#2980b9	Cry1J	Cry1
BT_Cry1Bd1	70	#2980b9	Cry1B	Cry1
BT_Cry1Bh1	71	grey	Cry1B	Cry1
BT_Cry1Bj1	72	#a60b0b	Cry1B	Cry1
BT_Cry1Bi1	73	grey	Cry1B	Cry1
BT_Cry1Bg1	74	#2980b9	Cry1B	Cry1
BT_Cry1Ba1	75	#2980b9	Cry1B	Cry1
BT_Cry1Bf1	76	#2980b9	Cry1B	Cry1
BT_Cry1Be1	77	#bdbd00	Cry1B	Cry1
BT_Cry1Bb1	78	#2980b9	Cry1B	Cry1
BT_Cry1Ka2	79	#2980b9	Cry1K	Cry1
BT_Cry1Id1	80	#2980b9	Cry1I	Cry1
BT_Cry1Ig1	81	#bdbd00	Cry1I	Cry1
BT_Cry1Ia11	82	#2980b9	Cry1I	Cry1
BT_Cry1Ie4	83	#2980b9	Cry1I	Cry1
NOV_Cry1Ie5_79.3_PQQ47595.1	84	#2980b9	Cry1I	Cry1
BT_Cry1Ic1	85	#2980b9	Cry1I	Cry1
BT_Cry1Ia18	86	#2980b9	Cry1I	Cry1
BT_Cry1Ma1	87	#2980b9	Cry1M	Cry1
BT_Cry8Hb1	88	#2980b9	Cry8H	Cry8
NOV_Cry8Ha1_89.8_ATY50148.1	89	#2980b9	Cry8H	Cry8
NOV_Cry8Ha1_89.4_ABB29866.1	90	#2980b9	Cry8H	Cry8
BT_Cry8Ha1	91	#2980b9	Cry8H	Cry8
NOV_Cry8Ba1_88.6_AEP25412.1	92	#2980b9	Cry8B	Cry8
BT_Cry8Ba1	93	grey	Cry8B	Cry8
BT_Cry8Bc1	94	grey	Cry8B	Cry8
BT_Cry8Pa1	95	#a60b0b	Cry8P	Cry8
BT_Cry8Ea2	96	#2980b9	Cry8E	Cry8
BT_Cry8Ja1	97	#bdbd00	Cry8J	Cry8
NOV_Cry8Ja1_60.3_PEE68563.1	98	grey	Cry8J	Cry8
BT_Cry47Aa1	99	grey	Cry47A	Cry47
BT_Cry8Qa1	100	#2980b9	Cry8Q	Cry8
BT_Cry8Fa2	101	#a60b0b	Cry8F	Cry8
NOV_Cry8Db1_49.9_WP_103653049.1	102	grey	Cry8D	Cry8
NOV_Cry8Db1_51.1_PNK22955.1	103	grey	Cry8D	Cry8
BT_Cry7La1	104	grey	Cry7L	Cry7
NOV_Cry7Cb1_60.4_OTY00887.1	105	#2980b9	Cry7C	Cry7
NOV_Cry53Aa1_40.7_WP_103591149.1	106	grey	Cry53A	Cry53
NOV_Cry53Ab1_40.9_APA45008.1	107	grey	Cry53A	Cry53
NOV_Cry53Ab1_40.0_CAH33955.1	108	grey	Cry53A	Cry53
NOV_Cry40Da1_81.5_AIN76756.1	109	#2980b9	Cry40D	Cry40
NOV_Cry40Da1_77.3_ARJ25823.1	110	#2980b9	Cry40D	Cry40
BT_Cry40Da1	111	#2980b9	Cry40D	Cry40
NOV_Cry40Da1_66.9_PEU78339.1	112	#2980b9	Cry40D	Cry40
NOV_Cry40Da1_65.0_CAH33957.1	113	#bdbd00	Cry40D	Cry40
BT_Cry72Aa1	114	#2980b9	Cry72A	Cry72
NOV_Cry40Aa1_67.9_CQ868314.1	115	grey	Cry40A	Cry40
BT_Cry40Aa1	116	#2980b9	Cry40A	Cry40
BT_Cry40Ba1	117	#2980b9	Cry40B	Cry40
BT_Cry40Ca1	118	#2980b9	Cry40C	Cry40
BT_Cry59Aa1	119	#2980b9	Cry59A	Cry59
BT_Cry59Ba1	120	#a60b0b	Cry59B	Cry59
NOV_Cry25Aa1_97.8_OUB78400.1	121	grey	Cry25A	Cry25
NOV_Cry9Ga1_57.2_PEU81077.1	122	#a60b0b	Cry9G	Cry9
NOV_Cry9Ga1_58.0_AJS57594.1	123	#2980b9	Cry9G	Cry9
BT_Cry9Ga1	124	#bdbd00	Cry9G	Cry9
BT_Cry9Aa1	125	#2980b9	Cry9A	Cry9
BT_Cry68Aa1	126	#2980b9	Cry68A	Cry68
NOV_Cry68Aa1_80.1_PEU91245.1	127	#2980b9	Cry68A	Cry68
NOV_Cry68Aa1_74.8_WP_103592020.1	128	#2980b9	Cry68A	Cry68
NOV_Cry68Aa1_46.2_ARJ25655.1	129	grey	Cry68A	Cry68
NOV_Cry24Aa1_60.8_BAD32657.1	130	grey	Cry24A	Cry24
NOV_Cry24Aa1_98.3_WP_086403584.1	131	grey	Cry24A	Cry24
BT_Cry24Ca1	132	#a60b0b	Cry24C	Cry24
BT_Cry24Da1	133	#2980b9	Cry24D	Cry24
BT_Cry20Aa1	134	grey	Cry20A	Cry20
BT_Cry20Ba2	135	grey	Cry20B	Cry20
NOV_Cry20Ba2_80.0_AGV55017.1	136	grey	Cry20B	Cry20
NOV_Cry69Aa2_62.7_WP_103591151.1	137	#2980b9	Cry69A	Cry69
NOV_Cry69Ab1_59.2_WP_103591619.1	138	#2980b9	Cry69A	Cry69
NOV_Cry69Ab1_58.0_PEU83535.1	139	#a60b0b	Cry69A	Cry69
BT_Cry69Aa1	140	#2980b9	Cry69A	Cry69
BT_Cry69Ab1	141	#2980b9	Cry69A	Cry69
NOV_Cry53Ab1_39.4_AFM37573.1	142	grey	Cry53A	Cry53
NOV_Cry43Cb1_38.6_AGV55020.1	143	grey	Cry43C	Cry43
BT_Cry65Aa2	144	#a60b0b	Cry65A	Cry65
NOV_Cry65Aa2_55.6_PDY37670.1	145	#2980b9	Cry65A	Cry65
BT_Cry2Ak1	146	grey	Cry2A	Cry2
NOV_Cry2Ah2_92.7_AX098631.1	147	grey	Cry2A	Cry2
BT_Cry2Ah3	148	grey	Cry2A	Cry2
NOV_Cry2Ab4_93.2_AIT70915.1	149	#a60b0b	Cry2A	Cry2
BT_Cry2Ab15	150	#2980b9	Cry2A	Cry2
BT_Cry2Ab12	151	#2980b9	Cry2A	Cry2
BT_Cry2Ag1	152	#2980b9	Cry2A	Cry2
BT_Cry2Ad5	153	grey	Cry2A	Cry2
BT_Cry2Aa13	154	#2980b9	Cry2A	Cry2
BT_Cry2Ai1	155	#a60b0b	Cry2A	Cry2
BT_Cry2Aa3	156	grey	Cry2A	Cry2
BT_Cry2Al1	157	#2980b9	Cry2A	Cry2
BT_Cry2Af1	158	grey	Cry2A	Cry2
BT_Cry2Ac10	159	#2980b9	Cry2A	Cry2
NOV_Cry2Ak1_76.8_AX513524.1	160	grey	Cry2A	Cry2
BT_Cry2Ba2	161	grey	Cry2B	Cry2
BT_Cry18Aa1	162	grey	Cry18A	Cry18
BT_Cry18Ba1	163	grey	Cry18B	Cry18
BT_Cry18Ca1	164	grey	Cry18C	Cry18
NOV_Cry2Ba1_29.9_AEX63666.1	165	grey	Cry2B	Cry2
NOV_Cry11Aa1_99.2_AXJ97555.1	166	grey	Cry11A	Cry11
NOV_Cry11Aa1_95.8_ABW89741.1	167	grey	Cry11A	Cry11
BT_Cry11Bb1	168	grey	Cry11B	Cry11
BT_Cry11Ba1	169	grey	Cry11B	Cry11
BT_Cry63Aa1	170	grey	Cry63A	Cry63
NOV_Cry73Aa1_40.0_PQQ47537.1	171	grey	Cry73A	Cry73
NOV_Cry21Ba1_28.9_PEZ39117.1	172	grey	Cry21B	Cry21
BT_Cry13Aa1	173	#a60b0b	Cry13A	Cry13
NOV_Cry13Aa1_50.1_ANS46780.1	174	#2980b9	Cry13A	Cry13
BT_Cry14Ab1	175	#a60b0b	Cry14A	Cry14
NOV_Cry14Ab1_85.6_AXE15628.1	176	#2980b9	Cry14A	Cry14
BT_Cry14Aa1	177	#2980b9	Cry14A	Cry14
NOV_Cry14Aa1_44.0_PGW42274.1	178	#2980b9	Cry14A	Cry14
NOV_Cry14Ab1_42.4_PGW46196.1	179	#a60b0b	Cry14A	Cry14
NOV_Cry14Aa1_41.1_PGW46198.1	180	#2980b9	Cry14A	Cry14
BT_Cry21Aa1	181	#2980b9	Cry21A	Cry21
BT_Cry21Ba1	182	#2980b9	Cry21B	Cry21
BT_Cry5Ba1	183	grey	Cry5B	Cry5
NOV_Cry21Ca2_64.6_AZR80780.1	184	grey	Cry21C	Cry21
NOV_Cry21Ca2_65.9_AZR80774.1	185	grey	Cry21C	Cry21
BT_Cry21Ca1	186	grey	Cry21C	Cry21
NOV_Cry5Ba1_48.7_TEA80813.1	187	grey	Cry5B	Cry5
BT_Cry21Ha1	188	grey	Cry21H	Cry21
NOV_Cry21Ca1_38.9_AEH76823.1	189	grey	Cry21C	Cry21
NOV_Cry21Ca2_37.1_AOM14729.1	190	grey	Cry21C	Cry21
NOV_Cry21Fa1_47.3_OTY57628.1	191	grey	Cry21F	Cry21
NOV_Cry21Fa1_31.0_OTW70091.1	192	grey	Cry21F	Cry21
NOV_Cry58Aa1_29.0_AGS78123.2	193	grey	Cry58A	Cry58
NOV_Cry58Aa1_27.6_AGS78122.1	194	grey	Cry58A	Cry58
BT_Cry58Aa1	195	grey	Cry58A	Cry58
BT_Cry21Da1	196	grey	Cry21D	Cry21
BT_Cry5Ca1	197	grey	Cry5C	Cry5
BT_Cry21Fa1	198	grey	Cry21F	Cry21
NOV_Cry5Ba1_27.2_AZR80678.1	199	grey	Cry5B	Cry5
NOV_Cry21Aa2_44.6_AZR80772.1	200	#a60b0b	Cry21A	Cry21
BT_Cry21Ga1	201	grey	Cry21G	Cry21
BT_Cry5Ea2	202	grey	Cry5E	Cry5
BT_Cry5Ab1	203	grey	Cry5A	Cry5
BT_Cry5Da1	204	grey	Cry5D	Cry5
BT_Cry12Aa1	205	grey	Cry12A	Cry12
NOV_Cry1Ie2_23.3_ATF15267.1	206	grey	Cry1I	Cry1
NOV_Cry1Ia24_22.2_CAP40039.1	207	grey	Cry1I	Cry1
BT_Cry70Aa1	208	grey	Cry70A	Cry70
NOV_Cry70Aa1_77.7_WP_098222608.1	209	grey	Cry70A	Cry70
BT_Cry70Bb1	210	grey	Cry70B	Cry70
BT_Cry70Ba1	211	grey	Cry70B	Cry70
NOV_Cry70Bb1_67.1_OUB77817.1	212	grey	Cry70B	Cry70
BT_Cry31Ac1	213	grey	Cry31A	Cry31
BT_Cry31Ad1	214	grey	Cry31A	Cry31
BT_Cry31Ab1	215	grey	Cry31A	Cry31
BT_Cry31Aa6	216	grey	Cry31A	Cry31
BT_Cry67Aa2	217	grey	Cry67A	Cry67
BT_Cry32Qa1	218	#2980b9	Cry32Q	Cry32
BT_Cry32Ja1	219	grey	Cry32J	Cry32
BT_Cry32Ra1	220	grey	Cry32R	Cry32
BT_Cry32Ta1	221	#2980b9	Cry32T	Cry32
NOV_Cry32Ta1_48.0_AQX37180.1	222	#a60b0b	Cry32T	Cry32
BT_Cry32Ka1	223	#2980b9	Cry32K	Cry32
BT_Cry32La1	224	grey	Cry32L	Cry32
BT_Cry32Ba1	225	grey	Cry32B	Cry32
BT_Cry32Fa1	226	grey	Cry32F	Cry32
BT_Cry32Ga1	227	grey	Cry32G	Cry32
BT_Cry32Hb1	228	#bdbd00	Cry32H	Cry32
BT_Cry32Ha1	229	#bdbd00	Cry32H	Cry32
BT_Cry32Oa1	230	#2980b9	Cry32O	Cry32
BT_Cry32Ea2	231	grey	Cry32E	Cry32
BT_Cry32Ea1	232	grey	Cry32E	Cry32
NOV_Cry32Ea2_45.2_WP_087949412.1	233	grey	Cry32E	Cry32
BT_Cry32Ia1	234	grey	Cry32I	Cry32
BT_Cry32Na1	235	grey	Cry32N	Cry32
NOV_Cry32Hb1_41.4_AQX37181.1	236	grey	Cry32H	Cry32
BT_Cry32Va1	237	#2980b9	Cry32V	Cry32
NOV_Cry32Va1_61.0_WP_134996253.1	238	#2980b9	Cry32V	Cry32
BT_Cry32Aa1	239	grey	Cry32A	Cry32
NOV_Cry32Ea2_41.9_AQM56938.1	240	grey	Cry32E	Cry32
BT_Cry32Ua1	241	grey	Cry32U	Cry32
BT_Cry32Da1	242	grey	Cry32D	Cry32
NOV_Cry32Wa1_39.0_PEE63029.1	243	grey	Cry32W	Cry32
BT_Cry32Mb1	244	#2980b9	Cry32M	Cry32
BT_Cry32Ma1	245	#2980b9	Cry32M	Cry32
BT_Cry32Wa1	246	#a60b0b	Cry32W	Cry32
NOV_Cry73Aa1_88.4_AQM56942.1	247	grey	Cry73A	Cry73
BT_Cry73Aa1	248	grey	Cry73A	Cry73
BT_Cry32Sa1	249	grey	Cry32S	Cry32
NOV_Cry41Ca1_39.9_WP_001075423.1	250	grey	Cry41C	Cry41
BT_Cry41Ba1	251	grey	Cry41B	Cry41
NOV_Cry32Ua1_65.2_AQM56939.1	252	grey	Cry32U	Cry32
NOV_Cry41Ca1_50.4_AZJ24166.1	253	grey	Cry41C	Cry41
BT_Cry41Ba2	254	grey	Cry41B	Cry41
NOV_Cry41Ba2_47.9_BAD35157.1	255	#2980b9	Cry41B	Cry41
NOV_Cry41Ba2_43.6_BAD35163.1	256	#a60b0b	Cry41B	Cry41
NOV_Cry32Ma1_57.7_AXY11484.1	257	#2980b9	Cry32M	Cry32
NOV_Cry41Ba2_42.3_BAD35166.1	258	grey	Cry41B	Cry41
BT_Cry62Aa1	259	grey	Cry62A	Cry62
BT_Cry32Pa1	260	#2980b9	Cry32P	Cry32
BT_Cry32Ca1	261	grey	Cry32C	Cry32
BT_Cry32Cb1	262	grey	Cry32C	Cry32
BT_Cry44Aa1	263	grey	Cry44A	Cry44
NOV_Cry8Ma2_96.0_WP_103622989.1	264	grey	Cry8M	Cry8
NOV_Cry8Ma3_96.0_ATY50149.1	265	grey	Cry8M	Cry8
BT_Cry8La1	266	grey	Cry8L	Cry8
BT_Cry19Ca1	267	#2980b9	Cry19C	Cry19
BT_Cry19Ba1	268	#2980b9	Cry19B	Cry19
NOV_Cry19Ba1_74.0_AGV55021.1	269	#a60b0b	Cry19B	Cry19
BT_Cry52Aa1	270	#bdbd00	Cry52A	Cry52
BT_Cry52Ba1	271	#bdbd00	Cry52B	Cry52
BT_Cry52Ca1	272	#bdbd00	Cry52C	Cry52
NOV_Cry52Ca1_62.9_AZJ24464.1	273	#2980b9	Cry52C	Cry52
BT_Cry19Aa1	274	#bdbd00	Cry19A	Cry19
BT_Cry39Aa1	275	grey	Cry39A	Cry39
NOV_Cry4Ca2_51.6_AZJ24420.1	276	grey	Cry4C	Cry4
NOV_Cry4Aa1_32.5_ADM64568.1	277	grey	Cry4A	Cry4
NOV_Cry7Gb1_28.6_WP_103574454.1	278	grey	Cry7G	Cry7
BT_Cry28Aa2	279	grey	Cry28A	Cry28
NOV_Cry48Aa1_36.6_CAH33948.1	280	grey	Cry48A	Cry48
NOV_Cry48Aa1_36.9_CAH33950.1	281	grey	Cry48A	Cry48
BT_Cry48Aa1	282	grey	Cry48A	Cry48
BT_Cry48Ab1	283	grey	Cry48A	Cry48
BT_Cry4Ca1	284	grey	Cry4C	Cry4
BT_Cry4Aa1	285	grey	Cry4A	Cry4
NOV_Cry4Ca2_48.4_AZJ24771.1	286	grey	Cry4C	Cry4
NOV_Cry4Cb3_34.4_PEA86378.1	287	grey	Cry4C	Cry4
NOV_Cry10Aa1_97.0_ABW89733.1	288	grey	Cry10A	Cry10
NOV_Cry10Aa1_94.4_ABW89736.1	289	grey	Cry10A	Cry10
NOV_Cry10Aa1_97.2_ABW89735.1	290	grey	Cry10A	Cry10
BT_Cry54Aa1	291	grey	Cry54A	Cry54
NOV_Cry54Aa1_88.1_AFU17344.1	292	grey	Cry54A	Cry54
BT_Cry54Ba1	293	grey	Cry54B	Cry54
NOV_Cry4Ba1_63.8_OUB35623.1	294	#bdbd00	Cry4B	Cry4
NOV_Cry4Ba1_63.7_AJW76684.1	295	#a60b0b	Cry4B	Cry4
BT_Cry4Ba1	296	#a60b0b	Cry4B	Cry4
BT_Cry4Ba3	297	#a60b0b	Cry4B	Cry4
BT_Cry50Ba1	298	#bdbd00	Cry50B	Cry50
BT_Cry50Aa1	299	#a60b0b	Cry50A	Cry50
BT_Cry30Ea1	300	#2980b9	Cry30E	Cry30
BT_Cry30Aa1	301	#2980b9	Cry30A	Cry30
BT_Cry30Fa1	302	#2980b9	Cry30F	Cry30
NOV_Cry30Ca1_66.6_BAD00052.1	303	grey	Cry30C	Cry30
BT_Cry30Ca1	304	#2980b9	Cry30C	Cry30
BT_Cry30Ga1	305	#2980b9	Cry30G	Cry30
BT_Cry30Db1	306	#a60b0b	Cry30D	Cry30
BT_Cry30Da1	307	#a60b0b	Cry30D	Cry30
NOV_Cry30Ga2_64.5_ARJ25665.1	308	#2980b9	Cry30G	Cry30
BT_Cry57Ab1	309	grey	Cry57A	Cry57
NOV_Cry57Ab1_90.3_ACN87261.1	310	grey	Cry57A	Cry57
NOV_Cry4Ba1_31.6_AUM94650.1	311	grey	Cry4B	Cry4
BT_Cry17Aa1	312	grey	Cry17A	Cry17
BT_Cry16Aa1	313	grey	Cry16A	Cry16
NOV_Cry27Aa1_80.8_AGV55018.1	314	grey	Cry27A	Cry27
BT_Cry27Aa1	315	grey	Cry27A	Cry27
NOV_Cry19Aa1_29.2_PEA88281.1	316	grey	Cry19A	Cry19
NOV_Cry56Aa2_56.0_AGV55019.1	317	#a60b0b	Cry56A	Cry56
NOV_Cry56Aa4_56.4_PEU80288.1	318	#2980b9	Cry56A	Cry56
BT_Cry56Aa1	319	#2980b9	Cry56A	Cry56
NOV_Cry56Aa4_77.6_ARJ25668.1	320	#2980b9	Cry56A	Cry56
NOV_Cry56Aa4_79.3_WP_103592286.1	321	#2980b9	Cry56A	Cry56
BT_Cry29Aa1	322	grey	Cry29A	Cry29
NOV_Cry29Aa1_96.4_OUC03129.1	323	grey	Cry29A	Cry29
BT_Cry53Ab1	324	grey	Cry53A	Cry53
BT_Cry53Aa1	325	grey	Cry53A	Cry53
BT_Cry43Ba1	326	grey	Cry43B	Cry43
BT_Cry43Cb1	327	grey	Cry43C	Cry43
BT_Cry43Cc1	328	grey	Cry43C	Cry43
BT_Cry43Ca1	329	grey	Cry43C	Cry43
BT_Cry43Aa1	330	grey	Cry43A	Cry43
NOV_Cry71Aa1_65.9_PEU78325.1	331	#2980b9	Cry71A	Cry71
BT_Cry71Aa1	332	#a60b0b	Cry71A	Cry71
NOV_Cry43Cb1_43.9_PEA91147.1	333	grey	Cry43C	Cry43
BT_Cry7Ga2	334	grey	Cry7G	Cry7
NOV_Cry7Gb1_94.1_AGM39662.1	335	grey	Cry7G	Cry7
BT_Cry7Gc1	336	grey	Cry7G	Cry7
BT_Cry7Gb1	337	grey	Cry7G	Cry7
BT_Cry7Gd1	338	grey	Cry7G	Cry7
BT_Cry61Aa1	339	grey	Cry61A	Cry61
BT_Cry8Kb1	340	grey	Cry8K	Cry8
BT_Cry8Ka1	341	grey	Cry8K	Cry8
BT_Cry8Ka3	342	grey	Cry8K	Cry8
NOV_Cry8Kb1_73.3_APT36283.1	343	grey	Cry8K	Cry8
BT_Cry8Ga1	344	#2980b9	Cry8G	Cry8
BT_Cry8Ib1	345	grey	Cry8I	Cry8
BT_Cry8Ia3	346	grey	Cry8I	Cry8
BT_Cry7Fa1	347	grey	Cry7F	Cry7
NOV_Cry7Fb2_99.7_AHB36886.1	348	grey	Cry7F	Cry7
BT_Cry7Bb1	349	#a60b0b	Cry7B	Cry7
BT_Cry7Ba1	350	#2980b9	Cry7B	Cry7
NOV_Cry7Ba1_84.3_AFI42043.1	351	#bdbd00	Cry7B	Cry7
BT_Cry7Cb1	352	#a60b0b	Cry7C	Cry7
NOV_Cry7Ca1_86.8_AGM39664.1	353	#bdbd00	Cry7C	Cry7
NOV_Cry7Ca1_99.7_ABR67863.2	354	#2980b9	Cry7C	Cry7
NOV_Cry7Ea2_99.9_AFI42038.1	355	#bdbd00	Cry7E	Cry7
NOV_Cry8Ca1_42.6_ABY46520.1	356	#2980b9	Cry8C	Cry8
NOV_Cry8Ca1_41.2_AST51780.1	357	#2980b9	Cry8C	Cry8
BT_Cry7Ja1	358	grey	Cry7J	Cry7
BT_Cry8Ca1	359	#2980b9	Cry8C	Cry8
BT_Cry8Na1	360	grey	Cry8N	Cry8
BT_Cry8Sa1	361	grey	Cry8S	Cry8
NOV_Cry3Aa12_81.9_AEZ53144.1	362	#2980b9	Cry3A	Cry3
BT_Cry3Aa10	363	#2980b9	Cry3A	Cry3
BT_Cry3Ca1	364	#2980b9	Cry3C	Cry3
BT_Cry3Ba1	365	#bdbd00	Cry3B	Cry3
BT_Cry3Bb1	366	#bdbd00	Cry3B	Cry3
BT_Cry26Aa1	367	grey	Cry26A	Cry26
