Cry	Sector_from	Sector_to	Color
NOV_Cry4Ba1_63.8_OUB35623.1	301	294	#DC143C
NOV_Cry4Ba1_63.8_OUB35623.1	304	294	#DC143C
NOV_Cry4Ba1_63.8_OUB35623.1	300	294	#DC143C
NOV_Cry4Ba1_63.8_OUB35623.1	302	294	#DC143C
NOV_Cry4Ba1_63.8_OUB35623.1	305	294	#DC143C
NOV_Cry4Ba1_63.8_OUB35623.1	274	294	#556B2F
NOV_Cry4Ba1_63.7_AJW76684.1	298	295	#DC143C
NOV_Cry4Ba1_63.7_AJW76684.1	294	295	#556B2F
BT_Cry4Ba1	298	296	black
BT_Cry4Ba1	297	296	black
BT_Cry4Ba1	299	296	black
BT_Cry4Ba1	294	296	black
BT_Cry4Ba1	301	296	#DC143C
BT_Cry4Ba1	304	296	#DC143C
BT_Cry4Ba1	300	296	#DC143C
BT_Cry4Ba1	302	296	#DC143C
BT_Cry4Ba1	305	296	#DC143C
BT_Cry4Ba1	274	296	#556B2F
BT_Cry4Ba3	298	297	black
BT_Cry4Ba3	296	297	black
BT_Cry4Ba3	299	297	black
BT_Cry4Ba3	294	297	black
BT_Cry4Ba3	301	297	#DC143C
BT_Cry4Ba3	304	297	#DC143C
BT_Cry4Ba3	300	297	#DC143C
BT_Cry4Ba3	302	297	#DC143C
BT_Cry4Ba3	305	297	#DC143C
BT_Cry4Ba3	274	297	#556B2F
BT_Cry50Ba1	296	298	black
BT_Cry50Ba1	297	298	black
BT_Cry50Ba1	299	298	black
BT_Cry50Ba1	294	298	black
BT_Cry50Ba1	301	298	#DC143C
BT_Cry50Ba1	304	298	#DC143C
BT_Cry50Ba1	300	298	#DC143C
BT_Cry50Ba1	302	298	#DC143C
BT_Cry50Ba1	305	298	#DC143C
BT_Cry50Ba1	274	298	#556B2F
BT_Cry50Aa1	298	299	black
BT_Cry50Aa1	296	299	black
BT_Cry50Aa1	297	299	black
BT_Cry50Aa1	294	299	black
BT_Cry50Aa1	301	299	#DC143C
BT_Cry50Aa1	304	299	#DC143C
BT_Cry50Aa1	300	299	#DC143C
BT_Cry50Aa1	302	299	#DC143C
BT_Cry50Aa1	305	299	#DC143C
BT_Cry50Aa1	274	299	#556B2F
BT_Cry30Db1	307	306	black
BT_Cry30Db1	308	306	#5F9EA0
BT_Cry30Da1	306	307	black
BT_Cry30Da1	308	307	#5F9EA0
NOV_Cry56Aa2_56.0_AGV55019.1	319	317	#DC143C
NOV_Cry56Aa2_56.0_AGV55019.1	320	317	#DC143C
NOV_Cry56Aa2_56.0_AGV55019.1	321	317	#DC143C
NOV_Cry56Aa2_56.0_AGV55019.1	318	317	#556B2F
BT_Cry71Aa1	114	332	#DC143C
BT_Cry71Aa1	331	332	#556B2F
BT_Cry7Bb1	4	349	#DC143C
BT_Cry7Bb1	351	349	#DC143C
BT_Cry7Bb1	350	349	#556B2F
NOV_Cry7Ba1_84.3_AFI42043.1	4	351	#DC143C
NOV_Cry7Ba1_84.3_AFI42043.1	350	351	#556B2F
BT_Cry7Cb1	355	352	#CD853F
BT_Cry7Cb1	105	352	#DC143C
BT_Cry7Cb1	353	352	#556B2F
BT_Cry7Cb1	354	352	#556B2F
NOV_Cry7Ca1_86.8_AGM39664.1	2	353	#DC143C
NOV_Cry7Ca1_86.8_AGM39664.1	354	353	#556B2F
NOV_Cry7Ea2_99.9_AFI42038.1	353	355	#CD853F
NOV_Cry7Ea2_99.9_AFI42038.1	357	355	#DC143C
NOV_Cry7Ea2_99.9_AFI42038.1	356	355	#DC143C
NOV_Cry7Ea2_99.9_AFI42038.1	354	355	#556B2F
BT_Cry3Ba1	366	365	black
BT_Cry3Ba1	363	365	#CD853F
BT_Cry3Ba1	362	365	#CD853F
BT_Cry3Ba1	18	365	#DC143C
BT_Cry3Ba1	364	365	#556B2F
BT_Cry3Bb1	365	366	black
BT_Cry3Bb1	363	366	#CD853F
BT_Cry3Bb1	362	366	#CD853F
BT_Cry3Bb1	18	366	#DC143C
BT_Cry3Bb1	364	366	#556B2F
