"Cry"	"Sector"	"Color"	"two_rank"	"one_rank"	"Tox_type"
"74"	"BT_Cry2Ag1"	73	"#2980b9"	"Cry2A"	"Cry2"	"parent"
"75"	"BT_Cry2Ab15"	74	"#2980b9"	"Cry2A"	"Cry2"	"parent"
"76"	"NOV_Cry2Ab4_93.2_AIT70915.1"	75	"#a60b0b"	"Cry2A"	"Cry2"	"recombinant"
"77"	"BT_Cry2Ad5"	76	"grey"	"Cry2A"	"Cry2"	"unaffected"
"78"	"BT_Cry2Af1"	77	"grey"	"Cry2A"	"Cry2"	"unaffected"
"79"	"BT_Cry2Aa13"	78	"#2980b9"	"Cry2A"	"Cry2"	"parent"
"80"	"BT_Cry2Ai1"	79	"#a60b0b"	"Cry2A"	"Cry2"	"recombinant"
"81"	"BT_Cry2Al1"	80	"#2980b9"	"Cry2A"	"Cry2"	"parent"
"82"	"BT_Cry2Aa3"	81	"grey"	"Cry2A"	"Cry2"	"unaffected"
"83"	"BT_Cry2Ak1"	82	"grey"	"Cry2A"	"Cry2"	"unaffected"
"84"	"BT_Cry2Ah3"	83	"grey"	"Cry2A"	"Cry2"	"unaffected"
"85"	"NOV_Cry2Ah2_92.7_AX098631.1"	84	"grey"	"Cry2A"	"Cry2"	"unaffected"
"86"	"BT_Cry2Ba2"	85	"grey"	"Cry2B"	"Cry2"	"unaffected"
"87"	"NOV_Cry2Ak1_76.8_AX513524.1"	86	"grey"	"Cry2A"	"Cry2"	"unaffected"
"88"	"BT_Cry2Ac10"	87	"#2980b9"	"Cry2A"	"Cry2"	"parent"
"89"	"NOV_Cry68Aa1_46.2_ARJ25655.1"	88	"grey"	"Cry68A"	"Cry68"	"unaffected"
"90"	"NOV_Cry70Aa1_77.7_WP_098222608.1"	89	"grey"	"Cry70A"	"Cry70"	"unaffected"
"91"	"BT_Cry70Aa1"	90	"grey"	"Cry70A"	"Cry70"	"unaffected"
"92"	"BT_Cry70Ba1"	91	"grey"	"Cry70B"	"Cry70"	"unaffected"
"93"	"BT_Cry70Bb1"	92	"grey"	"Cry70B"	"Cry70"	"unaffected"
"94"	"NOV_Cry70Bb1_67.1_OUB77817.1"	93	"grey"	"Cry70B"	"Cry70"	"unaffected"
"95"	"NOV_Cry65Aa2_55.6_PDY37670.1"	94	"#2980b9"	"Cry65A"	"Cry65"	"parent"
"96"	"BT_Cry65Aa2"	95	"#a60b0b"	"Cry65A"	"Cry65"	"recombinant"
"97"	"NOV_Cry1Jc1_99.1_AAS93799.1"	96	"grey"	"Cry1J"	"Cry1"	"unaffected"
"98"	"BT_Cry1Jd1"	97	"#a60b0b"	"Cry1J"	"Cry1"	"recombinant"
"99"	"BT_Cry8Ka1"	98	"grey"	"Cry8K"	"Cry8"	"unaffected"
"100"	"BT_Cry8Ka3"	99	"grey"	"Cry8K"	"Cry8"	"unaffected"
"101"	"BT_Cry8Na1"	100	"grey"	"Cry8N"	"Cry8"	"unaffected"
"102"	"NOV_Cry8Ma2_96.0_WP_103622989.1"	101	"grey"	"Cry8M"	"Cry8"	"unaffected"
"103"	"NOV_Cry8Ma3_96.0_ATY50149.1"	102	"grey"	"Cry8M"	"Cry8"	"unaffected"
"104"	"BT_Cry8Bc1"	103	"grey"	"Cry8B"	"Cry8"	"unaffected"
"105"	"BT_Cry7Cb1"	104	"#a60b0b"	"Cry7C"	"Cry7"	"recombinant"
"106"	"NOV_Cry7Cb1_60.4_OTY00887.1"	105	"#2980b9"	"Cry7C"	"Cry7"	"parent"
"107"	"BT_Cry8Sa1"	106	"grey"	"Cry8S"	"Cry8"	"unaffected"
"108"	"BT_Cry8La1"	107	"grey"	"Cry8L"	"Cry8"	"unaffected"
"109"	"BT_Cry8Ia3"	108	"grey"	"Cry8I"	"Cry8"	"unaffected"
"110"	"BT_Cry8Ib1"	109	"grey"	"Cry8I"	"Cry8"	"unaffected"
"111"	"BT_Cry8Ta1"	110	"grey"	"Cry8T"	"Cry8"	"unaffected"
"112"	"NOV_Cry8Ja1_60.3_PEE68563.1"	111	"grey"	"Cry8J"	"Cry8"	"unaffected"
"113"	"BT_Cry8Ca1"	112	"#2980b9"	"Cry8C"	"Cry8"	"parent"
"114"	"BT_Cry8Ja1"	113	"#bdbd00"	"Cry8J"	"Cry8"	"both"
"115"	"NOV_Cry8Kb1_73.3_APT36283.1"	114	"grey"	"Cry8K"	"Cry8"	"unaffected"
"116"	"BT_Cry32Cb1"	115	"grey"	"Cry32C"	"Cry32"	"unaffected"
"117"	"BT_Cry32Ca1"	116	"grey"	"Cry32C"	"Cry32"	"unaffected"
"118"	"BT_Cry62Aa1"	117	"grey"	"Cry62A"	"Cry62"	"unaffected"
"119"	"BT_Cry21Ga1"	118	"grey"	"Cry21G"	"Cry21"	"unaffected"
"120"	"NOV_Cry1Ie2_23.3_ATF15267.1"	119	"grey"	"Cry1I"	"Cry1"	"unaffected"
"121"	"BT_Cry63Aa1"	120	"grey"	"Cry63A"	"Cry63"	"unaffected"
"122"	"NOV_Cry5Ba1_27.2_AZR80678.1"	121	"grey"	"Cry5B"	"Cry5"	"unaffected"
"123"	"BT_Cry21Ha1"	122	"grey"	"Cry21H"	"Cry21"	"unaffected"
"124"	"NOV_Cry1Ia24_22.2_CAP40039.1"	123	"grey"	"Cry1I"	"Cry1"	"unaffected"
"125"	"BT_Cry40Da1"	124	"#2980b9"	"Cry40D"	"Cry40"	"parent"
"126"	"NOV_Cry40Da1_66.9_PEU78339.1"	125	"#2980b9"	"Cry40D"	"Cry40"	"parent"
"127"	"NOV_Cry40Da1_81.5_AIN76756.1"	126	"#2980b9"	"Cry40D"	"Cry40"	"parent"
"128"	"NOV_Cry40Da1_77.3_ARJ25823.1"	127	"#2980b9"	"Cry40D"	"Cry40"	"parent"
"129"	"BT_Cry40Ca1"	128	"#2980b9"	"Cry40C"	"Cry40"	"parent"
"130"	"NOV_Cry40Da1_65.0_CAH33957.1"	129	"#bdbd00"	"Cry40D"	"Cry40"	"both"
"131"	"BT_Cry24Da1"	130	"#2980b9"	"Cry24D"	"Cry24"	"parent"
"132"	"BT_Cry44Aa1"	131	"grey"	"Cry44A"	"Cry44"	"unaffected"
"133"	"BT_Cry52Ba1"	132	"#bdbd00"	"Cry52B"	"Cry52"	"both"
"134"	"BT_Cry52Aa1"	133	"#bdbd00"	"Cry52A"	"Cry52"	"both"
"135"	"BT_Cry52Ca1"	134	"#bdbd00"	"Cry52C"	"Cry52"	"both"
"136"	"BT_Cry40Aa1"	135	"#2980b9"	"Cry40A"	"Cry40"	"parent"
"137"	"NOV_Cry53Aa1_40.7_WP_103591149.1"	136	"grey"	"Cry53A"	"Cry53"	"unaffected"
"138"	"NOV_Cry53Ab1_40.9_APA45008.1"	137	"grey"	"Cry53A"	"Cry53"	"unaffected"
"139"	"NOV_Cry53Ab1_40.0_CAH33955.1"	138	"grey"	"Cry53A"	"Cry53"	"unaffected"
"140"	"NOV_Cry21Ba1_28.9_PEZ39117.1"	139	"grey"	"Cry21B"	"Cry21"	"unaffected"
"141"	"BT_Cry12Aa1"	140	"grey"	"Cry12A"	"Cry12"	"unaffected"
"142"	"BT_Cry21Ca1"	141	"grey"	"Cry21C"	"Cry21"	"unaffected"
"143"	"NOV_Cry21Ca2_65.9_AZR80774.1"	142	"grey"	"Cry21C"	"Cry21"	"unaffected"
"144"	"NOV_Cry21Ca2_64.6_AZR80780.1"	143	"grey"	"Cry21C"	"Cry21"	"unaffected"
"145"	"BT_Cry13Aa1"	144	"#a60b0b"	"Cry13A"	"Cry13"	"recombinant"
"146"	"NOV_Cry13Aa1_50.1_ANS46780.1"	145	"#2980b9"	"Cry13A"	"Cry13"	"parent"
"147"	"BT_Cry5Ba1"	146	"grey"	"Cry5B"	"Cry5"	"unaffected"
"148"	"BT_Cry5Ab1"	147	"grey"	"Cry5A"	"Cry5"	"unaffected"
"149"	"BT_Cry14Aa1"	148	"#2980b9"	"Cry14A"	"Cry14"	"parent"
"150"	"BT_Cry14Ab1"	149	"#a60b0b"	"Cry14A"	"Cry14"	"recombinant"
"151"	"NOV_Cry14Ab1_85.6_AXE15628.1"	150	"#2980b9"	"Cry14A"	"Cry14"	"parent"
"152"	"BT_Cry31Ac1"	151	"grey"	"Cry31A"	"Cry31"	"unaffected"
"153"	"BT_Cry21Fa1"	152	"grey"	"Cry21F"	"Cry21"	"unaffected"
"154"	"NOV_Cry73Aa1_88.4_AQM56942.1"	153	"grey"	"Cry73A"	"Cry73"	"unaffected"
"155"	"BT_Cry73Aa1"	154	"grey"	"Cry73A"	"Cry73"	"unaffected"
"156"	"BT_Cry32Pa1"	155	"#2980b9"	"Cry32P"	"Cry32"	"parent"
"157"	"BT_Cry32Wa1"	156	"#a60b0b"	"Cry32W"	"Cry32"	"recombinant"
"158"	"BT_Cry1Bi1"	157	"grey"	"Cry1B"	"Cry1"	"unaffected"
"159"	"BT_Cry1Bj1"	158	"#a60b0b"	"Cry1B"	"Cry1"	"recombinant"
"160"	"NOV_Cry1Ac23_90.7_CAQ03747.1"	159	"#2980b9"	"Cry1A"	"Cry1"	"parent"
"161"	"BT_Cry1Ai1"	160	"#2980b9"	"Cry1A"	"Cry1"	"parent"
"162"	"BT_Cry1Ah2"	161	"#2980b9"	"Cry1A"	"Cry1"	"parent"
"163"	"BT_Cry1Ac39"	162	"#2980b9"	"Cry1A"	"Cry1"	"parent"
"164"	"BT_Cry1Bd1"	163	"#2980b9"	"Cry1B"	"Cry1"	"parent"
"165"	"BT_Cry1Bh1"	164	"grey"	"Cry1B"	"Cry1"	"unaffected"
"166"	"NOV_Cry9Ga1_57.2_PEU81077.1"	165	"#a60b0b"	"Cry9G"	"Cry9"	"recombinant"
"167"	"BT_Cry68Aa1"	166	"#2980b9"	"Cry68A"	"Cry68"	"parent"
"168"	"NOV_Cry68Aa1_80.1_PEU91245.1"	167	"#2980b9"	"Cry68A"	"Cry68"	"parent"
"169"	"NOV_Cry68Aa1_74.8_WP_103592020.1"	168	"#2980b9"	"Cry68A"	"Cry68"	"parent"
"170"	"NOV_Cry24Aa1_60.8_BAD32657.1"	169	"grey"	"Cry24A"	"Cry24"	"unaffected"
"171"	"BT_Cry20Ba2"	170	"grey"	"Cry20B"	"Cry20"	"unaffected"
"172"	"BT_Cry20Aa1"	171	"grey"	"Cry20A"	"Cry20"	"unaffected"
"173"	"NOV_Cry20Ba2_80.0_AGV55017.1"	172	"grey"	"Cry20B"	"Cry20"	"unaffected"
"174"	"NOV_Cry25Aa1_97.8_OUB78400.1"	173	"grey"	"Cry25A"	"Cry25"	"unaffected"
"175"	"BT_Cry5Ea2"	174	"grey"	"Cry5E"	"Cry5"	"unaffected"
"176"	"NOV_Cry14Aa1_44.0_PGW42274.1"	175	"#2980b9"	"Cry14A"	"Cry14"	"parent"
"177"	"NOV_Cry14Aa1_41.1_PGW46198.1"	176	"#2980b9"	"Cry14A"	"Cry14"	"parent"
"178"	"NOV_Cry14Ab1_42.4_PGW46196.1"	177	"#a60b0b"	"Cry14A"	"Cry14"	"recombinant"
"179"	"BT_Cry31Aa6"	178	"grey"	"Cry31A"	"Cry31"	"unaffected"
"180"	"BT_Cry31Ab1"	179	"grey"	"Cry31A"	"Cry31"	"unaffected"
"181"	"BT_Cry31Ad1"	180	"grey"	"Cry31A"	"Cry31"	"unaffected"
"182"	"BT_Cry26Aa1"	181	"grey"	"Cry26A"	"Cry26"	"unaffected"
"183"	"BT_Cry7Bb1"	182	"#a60b0b"	"Cry7B"	"Cry7"	"recombinant"
"184"	"BT_Cry7Ab1"	183	"grey"	"Cry7A"	"Cry7"	"unaffected"
"185"	"BT_Cry7Ab5"	184	"grey"	"Cry7A"	"Cry7"	"unaffected"
"186"	"BT_Cry7Aa1"	185	"grey"	"Cry7A"	"Cry7"	"unaffected"
"187"	"BT_Cry7Ac1"	186	"#2980b9"	"Cry7A"	"Cry7"	"parent"
"188"	"NOV_Cry7Ba1_84.3_AFI42043.1"	187	"#bdbd00"	"Cry7B"	"Cry7"	"both"
"189"	"BT_Cry7Kb1"	188	"grey"	"Cry7K"	"Cry7"	"unaffected"
"190"	"BT_Cry7Ka1"	189	"grey"	"Cry7K"	"Cry7"	"unaffected"
"191"	"BT_Cry7Ia1"	190	"grey"	"Cry7I"	"Cry7"	"unaffected"
"192"	"BT_Cry7Ba1"	191	"#2980b9"	"Cry7B"	"Cry7"	"parent"
"193"	"BT_Cry7Da1"	192	"grey"	"Cry7D"	"Cry7"	"unaffected"
"194"	"BT_Cry32Sa1"	193	"grey"	"Cry32S"	"Cry32"	"unaffected"
"195"	"NOV_Cry32Ea2_45.2_WP_087949412.1"	194	"grey"	"Cry32E"	"Cry32"	"unaffected"
"196"	"BT_Cry32Ja1"	195	"grey"	"Cry32J"	"Cry32"	"unaffected"
"197"	"BT_Cry32Ra1"	196	"grey"	"Cry32R"	"Cry32"	"unaffected"
"198"	"BT_Cry41Ba2"	197	"grey"	"Cry41B"	"Cry41"	"unaffected"
"199"	"NOV_Cry41Ba2_47.9_BAD35157.1"	198	"#2980b9"	"Cry41B"	"Cry41"	"parent"
"200"	"NOV_Cry43Cb1_38.6_AGV55020.1"	199	"grey"	"Cry43C"	"Cry43"	"unaffected"
"201"	"NOV_Cry53Ab1_39.4_AFM37573.1"	200	"grey"	"Cry53A"	"Cry53"	"unaffected"
"202"	"NOV_Cry9Ga1_58.0_AJS57594.1"	201	"#2980b9"	"Cry9G"	"Cry9"	"parent"
"203"	"NOV_Cry5Ba1_48.7_TEA80813.1"	202	"grey"	"Cry5B"	"Cry5"	"unaffected"
"204"	"BT_Cry5Da1"	203	"grey"	"Cry5D"	"Cry5"	"unaffected"
"205"	"BT_Cry21Da1"	204	"grey"	"Cry21D"	"Cry21"	"unaffected"
"206"	"BT_Cry5Ca1"	205	"grey"	"Cry5C"	"Cry5"	"unaffected"
"207"	"NOV_Cry8Db1_49.9_WP_103653049.1"	206	"grey"	"Cry8D"	"Cry8"	"unaffected"
"208"	"NOV_Cry8Db1_51.1_PNK22955.1"	207	"grey"	"Cry8D"	"Cry8"	"unaffected"
"209"	"BT_Cry8Db1"	208	"grey"	"Cry8D"	"Cry8"	"unaffected"
"210"	"NOV_Cry8Aa1_47.1_EEM92570.1"	209	"#a60b0b"	"Cry8A"	"Cry8"	"recombinant"
"211"	"NOV_Cry8Ab1_80.3_AFP44678.1"	210	"grey"	"Cry8A"	"Cry8"	"unaffected"
"212"	"BT_Cry8Pa1"	211	"#a60b0b"	"Cry8P"	"Cry8"	"recombinant"
"213"	"NOV_Cry7Fb2_99.7_AHB36886.1"	212	"grey"	"Cry7F"	"Cry7"	"unaffected"
"214"	"BT_Cry61Aa1"	213	"grey"	"Cry61A"	"Cry61"	"unaffected"
"215"	"BT_Cry7Gd1"	214	"grey"	"Cry7G"	"Cry7"	"unaffected"
"216"	"BT_Cry7Gb1"	215	"grey"	"Cry7G"	"Cry7"	"unaffected"
"217"	"NOV_Cry7Gb1_94.1_AGM39662.1"	216	"grey"	"Cry7G"	"Cry7"	"unaffected"
"218"	"BT_Cry7Gc1"	217	"grey"	"Cry7G"	"Cry7"	"unaffected"
"219"	"BT_Cry7Ga2"	218	"grey"	"Cry7G"	"Cry7"	"unaffected"
"220"	"BT_Cry47Aa1"	219	"grey"	"Cry47A"	"Cry47"	"unaffected"
"221"	"NOV_Cry32Ua1_65.2_AQM56939.1"	220	"grey"	"Cry32U"	"Cry32"	"unaffected"
"222"	"BT_Cry32Ba1"	221	"grey"	"Cry32B"	"Cry32"	"unaffected"
"223"	"BT_Cry32La1"	222	"grey"	"Cry32L"	"Cry32"	"unaffected"
"224"	"BT_Cry32Ka1"	223	"#2980b9"	"Cry32K"	"Cry32"	"parent"
"225"	"BT_Cry32Ha1"	224	"#bdbd00"	"Cry32H"	"Cry32"	"both"
"226"	"BT_Cry32Hb1"	225	"#bdbd00"	"Cry32H"	"Cry32"	"both"
"227"	"BT_Cry32Qa1"	226	"#2980b9"	"Cry32Q"	"Cry32"	"parent"
"228"	"BT_Cry32Ta1"	227	"#2980b9"	"Cry32T"	"Cry32"	"parent"
"229"	"BT_Cry32Va1"	228	"#2980b9"	"Cry32V"	"Cry32"	"parent"
"230"	"NOV_Cry32Va1_61.0_WP_134996253.1"	229	"#2980b9"	"Cry32V"	"Cry32"	"parent"
"231"	"NOV_Cry41Ca1_50.4_AZJ24166.1"	230	"grey"	"Cry41C"	"Cry41"	"unaffected"
"232"	"BT_Cry32Ma1"	231	"#2980b9"	"Cry32M"	"Cry32"	"parent"
"233"	"BT_Cry32Mb1"	232	"#2980b9"	"Cry32M"	"Cry32"	"parent"
"234"	"BT_Cry32Aa1"	233	"grey"	"Cry32A"	"Cry32"	"unaffected"
"235"	"BT_Cry58Aa1"	234	"grey"	"Cry58A"	"Cry58"	"unaffected"
"236"	"NOV_Cry21Fa1_47.3_OTY57628.1"	235	"grey"	"Cry21F"	"Cry21"	"unaffected"
"237"	"NOV_Cry21Fa1_31.0_OTW70091.1"	236	"grey"	"Cry21F"	"Cry21"	"unaffected"
"238"	"NOV_Cry7Ca1_99.7_ABR67863.2"	237	"#2980b9"	"Cry7C"	"Cry7"	"parent"
"239"	"BT_Cry7La1"	238	"grey"	"Cry7L"	"Cry7"	"unaffected"
"240"	"BT_Cry7Ja1"	239	"grey"	"Cry7J"	"Cry7"	"unaffected"
"241"	"BT_Cry7Fa1"	240	"grey"	"Cry7F"	"Cry7"	"unaffected"
"242"	"BT_Cry7Ha1"	241	"#2980b9"	"Cry7H"	"Cry7"	"parent"
"243"	"NOV_Cry7Ca1_86.8_AGM39664.1"	242	"#bdbd00"	"Cry7C"	"Cry7"	"both"
"244"	"BT_Cry32Na1"	243	"grey"	"Cry32N"	"Cry32"	"unaffected"
"245"	"BT_Cry32Ea1"	244	"grey"	"Cry32E"	"Cry32"	"unaffected"
"246"	"BT_Cry32Ea2"	245	"grey"	"Cry32E"	"Cry32"	"unaffected"
"247"	"BT_Cry32Ga1"	246	"grey"	"Cry32G"	"Cry32"	"unaffected"
"248"	"NOV_Cry32Ea2_41.9_AQM56938.1"	247	"grey"	"Cry32E"	"Cry32"	"unaffected"
"249"	"NOV_Cry32Ma1_57.7_AXY11484.1"	248	"#2980b9"	"Cry32M"	"Cry32"	"parent"
"250"	"NOV_Cry41Ba2_43.6_BAD35163.1"	249	"#a60b0b"	"Cry41B"	"Cry41"	"recombinant"
"251"	"NOV_Cry41Ba2_42.3_BAD35166.1"	250	"grey"	"Cry41B"	"Cry41"	"unaffected"
"252"	"NOV_Cry32Wa1_39.0_PEE63029.1"	251	"grey"	"Cry32W"	"Cry32"	"unaffected"
"253"	"NOV_Cry41Ca1_39.9_WP_001075423.1"	252	"grey"	"Cry41C"	"Cry41"	"unaffected"
"254"	"BT_Cry40Ba1"	253	"#2980b9"	"Cry40B"	"Cry40"	"parent"
"255"	"BT_Cry24Ca1"	254	"#a60b0b"	"Cry24C"	"Cry24"	"recombinant"
"256"	"NOV_Cry24Aa1_98.3_WP_086403584.1"	255	"grey"	"Cry24A"	"Cry24"	"unaffected"
"257"	"NOV_Cry58Aa1_29.0_AGS78123.2"	256	"grey"	"Cry58A"	"Cry58"	"unaffected"
"258"	"NOV_Cry58Aa1_27.6_AGS78122.1"	257	"grey"	"Cry58A"	"Cry58"	"unaffected"
"259"	"NOV_Cry21Ca2_37.1_AOM14729.1"	258	"grey"	"Cry21C"	"Cry21"	"unaffected"
"260"	"NOV_Cry21Ca1_38.9_AEH76823.1"	259	"grey"	"Cry21C"	"Cry21"	"unaffected"
"261"	"BT_Cry8Ab1"	260	"#2980b9"	"Cry8A"	"Cry8"	"parent"
"262"	"BT_Cry8Ac1"	261	"grey"	"Cry8A"	"Cry8"	"unaffected"
"263"	"BT_Cry8Qa1"	262	"#2980b9"	"Cry8Q"	"Cry8"	"parent"
