protein_name	source	nucl_accession	start	stop	strand	ipg_prot_id	ipg_prot_name	organism	strain	assembly
--	INSDC	NUFO01000009.1	9974	13504	-	PGK06244.1	pesticidal crystal protein cry1Aa	Bacillus thuringiensis	AFS057829	GCA_002574115.1
--	INSDC	MK391629.1	1	3531	+	QBO24618.1	Cry1Aa protein	Bacillus thuringiensis	MPU B5	
--	INSDC	MK184475.1	1	3531	+	QEU48940.1	insecticidal crystal protein Cry1Aa	Bacillus thuringiensis	ABTS-1857	
--	PAT	N/A				AJN40604.1	Sequence 52 from patent US 8865428	Unknown		
--	PAT	N/A				AJN40611.1	Sequence 59 from patent US 8865428	Unknown		
--	PAT	N/A				ATK48407.1	Sequence 57 from patent US 9567381	Unknown		
--	PAT	N/A				ATK48413.1	Sequence 63 from patent US 9567381	Unknown		
BT_Cry1Aa4	INSDC	X13535.1	1	3531	+	CAA31886.1	unnamed protein product	Bacillus thuringiensis		
--	Swiss-Prot	N/A				P0A366.1	Pesticidal crystal protein Cry1Aa	Bacillus thuringiensis serovar kurstaki		
--	Swiss-Prot	N/A				P0A368.1	Pesticidal crystal protein Cry1Aa	Bacillus thuringiensis serovar entomocidus		
--	PAT	N/A				ACC34443.1	Sequence 8 from patent US 7351881	Unknown		
--	PAT	N/A				ACN04271.1	Sequence 5 from patent US 7482432	Unknown		
--	PAT	N/A				AER78962.1	Sequence 8 from patent US 8044266	Unknown		
--	PAT	N/A				AFD51958.1	Sequence 8 from patent US 8133858	Unknown		
--	PAT	N/A				AHD31174.1	Sequence 5 from patent US 8563808	Unknown		
--	PAT	N/A				AJN40605.1	Sequence 53 from patent US 8865428	Unknown		
--	PAT	N/A				ATK48414.1	Sequence 64 from patent US 9567381	Unknown		
BT_Cry1Aa5	INSDC	D17518.1	81	3611	+	BAA04468.1	insecticidal crystal protein	Bacillus thuringiensis	FU-2-7	
--	PAT	N/A				AJN40606.1	Sequence 54 from patent US 8865428	Unknown		
--	PAT	N/A				ATK48415.1	Sequence 65 from patent US 9567381	Unknown		
BT_Cry1Aa6	INSDC	U43605.1	1	1860	+	AAA86265.1	CryIA(a)	Bacillus thuringiensis serovar kurstaki	NRD-12	
--	INSDC	EU357805.1	1	1860	+	ACB05713.1	truncated Cry1Aa	Bacillus thuringiensis	A-19-31	
--	PAT	N/A				ATK48416.1	Sequence 66 from patent US 9567381	Unknown		
BT_Cry1Aa7	INSDC	AF081790.1	1	3531	+	AAD46139.1	insecticidal crystal protein	Bacillus thuringiensis	C12	
--	PAT	N/A				ATK48417.1	Sequence 67 from patent US 9567381	Unknown		
BT_Cry1Aa9	INSDC	AB026261.1	153	3695	+	BAA77213.1	BtT84A1 crystal protein	Bacillus thuringiensis	T84A1	
--	RefSeq	NC_018487.1	6267	9809	-	WP_000369822.1	hypothetical protein	Bacillus thuringiensis HD-771	HD-771	GCF_000292455.1
--	RefSeq	NZ_PGDV01000394.1	223	3765	-	WP_000369822.1	hypothetical protein	Bacillus thuringiensis serovar sotto	BGSC 4E3	GCF_002911825.1
--	INSDC	AF510713.1	28	3570	+	AAM44305.1	crystal protein Cry1Aa13	Bacillus thuringiensis serovar sotto		
--	INSDC	CP003755.1	6267	9809	-	AFQ19845.1	Pesticidal crystal protein cry1Aa	Bacillus thuringiensis HD-771	HD-771	GCA_000292455.1
--	INSDC	KM924540.1	1	3543	+	AJG01595.1	Cry1Aa	Bacillus thuringiensis	JSc1	
--	INSDC	ACNB01000331.1	181	3723	-	EEM38018.1	Pesticidal crystal protein cry1Ae	Bacillus thuringiensis serovar sotto str. T04001	T04001	GCA_000161535.1
--	INSDC	CM000749.1	5519728	5523270	-	EEM38018.1	Pesticidal crystal protein cry1Ae	Bacillus thuringiensis serovar sotto str. T04001	T04001	GCA_000161535.1
--	PAT	N/A				AJN40608.1	Sequence 56 from patent US 8865428	Unknown		
--	PAT	N/A				AJN40612.1	Sequence 60 from patent US 8865428	Unknown		
--	PAT	N/A				ATK48408.1	Sequence 58 from patent US 9567381	Unknown		
--	PAT	N/A				ATK48418.1	Sequence 68 from patent US 9567381	Unknown		
BT_Cry1Aa14	INSDC	AY197341.1	1	3552	+	AAP40639.1	Cry1Aa	Bacillus thuringiensis		
--	PAT	N/A				AJN40613.1	Sequence 61 from patent US 8865428	Unknown		
--	PAT	N/A				ATK48409.1	Sequence 59 from patent US 9567381	Unknown		
BT_Cry1Aa15	INSDC	DQ062690.1	1	3489	+	AAY66993.1	Cry1Aa	Bacillus thuringiensis	INTA Mo1-12	
--	PAT	N/A				ATK48410.1	Sequence 60 from patent US 9567381	Unknown		
BT_Cry1Aa24	INSDC	KC421096.1	1	2860	+	AGH68331.1	Cry1Aa delta endotoxin	Bacillus thuringiensis serovar kurstaki	NAIMCC-B-00167	
BT_Cry1Ab1	INSDC	M13898.1	142	3609	+	AAA22330.1	entomocidal protoxin	Bacillus thuringiensis		
--	RefSeq	NZ_CM000748.1	5311546	5315013	-	WP_000369819.1	hypothetical protein	Bacillus thuringiensis serovar thuringiensis str. T01001	T01001	GCF_000161515.1
--	RefSeq	NZ_CM000753.1	6163766	6167233	+	WP_000369819.1	hypothetical protein	Bacillus thuringiensis serovar berliner ATCC 10792	ATCC 10792	GCF_000161615.1
--	RefSeq	NZ_CP004873.1	54173	57640	+	WP_000369819.1	hypothetical protein	Bacillus thuringiensis serovar kurstaki str. HD-1	HD-1	GCF_000717535.1
--	RefSeq	NZ_CP010003.1	48395	51862	-	WP_000369819.1	hypothetical protein	Bacillus thuringiensis serovar kurstaki	HD 1i	GCF_000835235.1
--	RefSeq	NZ_CP021065.1	34277	37744	+	WP_000369819.1	hypothetical protein	Bacillus thuringiensis	ATCC 10792	GCF_002119445.1
--	RefSeq	NZ_JMHW01000168.1	479	3946	-	WP_000369819.1	hypothetical protein	Bacillus thuringiensis serovar kurstaki str. HD-1	HD-1	GCF_000710255.1
--	RefSeq	NZ_PGDU01000193.1	253	3720	-	WP_000369819.1	hypothetical protein	Bacillus thuringiensis serovar thuringiensis	BGSC 4A3	GCF_002911755.1
--	RefSeq	NZ_PGEH01000375.1	4684	8151	+	WP_000369819.1	hypothetical protein	Bacillus thuringiensis serovar kurstaki	7.1o	GCF_002912105.1
--	RefSeq	NZ_WJCU01000185.1	3021	6488	+	WP_000369819.1	hypothetical protein	Bacillus thuringiensis	4I5	GCF_009646805.1
--	RefSeq	NZ_WJDR01000087.1	3024	6491	+	WP_000369819.1	hypothetical protein	Bacillus thuringiensis	4A2	GCF_009647255.1
--	RefSeq	NZ_WJDT01000095.1	258	3725	-	WP_000369819.1	hypothetical protein	Bacillus thuringiensis	4A1	GCF_009647315.1
--	Swiss-Prot	N/A				P0A370.1	Pesticidal crystal protein Cry1Ab	Bacillus thuringiensis serovar kurstaki		
--	Swiss-Prot	N/A				P0A371.1	Pesticidal crystal protein Cry1Ab	Bacillus thuringiensis serovar berliner		
--	Swiss-Prot	N/A				P0A372.1	Pesticidal crystal protein Cry1Ab	Bacillus thuringiensis serovar aizawai		
--	PRF	N/A				1304168A	endotoxin delta 2	Bacillus thuringiensis		
--	INSDC	M15271.1	156	3623	+	AAA22561.1	crystal protein precursor	Bacillus thuringiensis		
--	INSDC	AF059670.1	41	3508	+	AAC64003.1	crystal protein	Bacillus thuringiensis serovar kurstaki	S93	
--	INSDC	AF254640.1	639	4106	+	AAN76494.1	insecticidal protein P	Bacillus thuringiensis	Btc005	
--	INSDC	AF358861.1	1485	4952	+	AAO13302.1	crystal endotoxin Cry1Ab	Bacillus thuringiensis	B-Hm-16	
--	INSDC	AY895148.1	1627	5094	-	AAW81956.1	Cry1Ab	Chloroplast transformation vector pCLT327		
--	INSDC	DQ991096.1	5218	8685	+	ABK35130.1	Cry1Ab	Bacillus thuringiensis serovar aizawai	SP-01-41	
--	INSDC	JN135251.1	1	3468	+	AFK79792.1	delta-endotoxin	Bacillus thuringiensis	SSy141-c	
--	INSDC	CP004873.1	54173	57640	+	AIE37011.1	Pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar kurstaki str. HD-1	HD-1	GCA_000717535.1
--	INSDC	CP010003.1	48395	51862	-	AJK38600.1	pesticidal crystal protein cry1Ab	Bacillus thuringiensis serovar kurstaki	HD 1	GCA_000835235.1
--	INSDC	CP021065.1	34277	37744	+	ARP61819.1	pesticidal protein	Bacillus thuringiensis	ATCC 10792	GCA_002119445.1
--	INSDC	D00117.1	163	3630	+	BAA00071.1	delta-endotoxin	Bacillus thuringiensis serovar kurstaki str. HD-1	HD-1	
--	INSDC	X54939.1	73	3540	+	CAA38701.1	unnamed protein product	Bacillus thuringiensis	HD133	
--	INSDC	ACNA01000122.1	181	3648	-	EEM32076.1	Pesticidal crystal protein cry1Ae	Bacillus thuringiensis serovar thuringiensis str. T01001	T01001	GCA_000161515.1
--	INSDC	CM000748.1	5311546	5315013	-	EEM32076.1	Pesticidal crystal protein cry1Ae	Bacillus thuringiensis serovar thuringiensis str. T01001	T01001	GCA_000161515.1
--	INSDC	ACNF01000229.1	515	3982	+	EEM62204.1	Pesticidal crystal protein cry1Ae	Bacillus thuringiensis serovar berliner ATCC 10792	ATCC 10792	GCA_000161615.1
--	INSDC	CM000753.1	6163766	6167233	+	EEM62204.1	Pesticidal crystal protein cry1Ae	Bacillus thuringiensis serovar berliner ATCC 10792	ATCC 10792	GCA_000161615.1
--	INSDC	JMHW01000168.1	479	3946	-	KEH45261.1	hypothetical protein	Bacillus thuringiensis serovar kurstaki str. HD-1	HD-1	GCA_000710255.1
--	INSDC	WJCU01000185.1	3021	6488	+	MRA88025.1	pesticidal protein	Bacillus thuringiensis	4I5	GCA_009646805.1
--	INSDC	WJDR01000087.1	3024	6491	+	MRC94304.1	pesticidal protein	Bacillus thuringiensis	4A2	GCA_009647255.1
--	INSDC	WJDT01000095.1	258	3725	-	MRD16145.1	pesticidal protein	Bacillus thuringiensis	4A1	GCA_009647315.1
--	PAT	N/A				AAA55811.1		Unknown		
--	PAT	N/A				AAB11018.1	Sequence 33 from patent US 5508264	Unknown		
--	PAT	N/A				AAB57611.1	Sequence 9 from patent US 5625136	Unknown		
--	PAT	N/A				AAE02326.1	Sequence 9 from patent US 5859336	Unknown		
--	PAT	N/A				AAE12826.1	Sequence 33 from patent US 5827514	Unknown		
--	PAT	N/A				AAE43502.1	Sequence 9 from patent US 6075185	Unknown		
--	PAT	N/A				AAT27226.1	Sequence 9 from patent US 6720488	Unknown		
--	PAT	N/A				ACN04272.1	Sequence 6 from patent US 7482432	Unknown		
--	PAT	N/A				AHD31175.1	Sequence 6 from patent US 8563808	Unknown		
--	PAT	N/A				AJN40614.1	Sequence 62 from patent US 8865428	Unknown		
--	PAT	N/A				AJN40615.1	Sequence 63 from patent US 8865428	Unknown		
--	PAT	N/A				AJN40617.1	Sequence 65 from patent US 8865428	Unknown		
--	PAT	N/A				AJN40619.1	Sequence 67 from patent US 8865428	Unknown		
--	PAT	N/A				AJN40620.1	Sequence 68 from patent US 8865428	Unknown		
--	PAT	N/A				AJN40621.1	Sequence 69 from patent US 8865428	Unknown		
--	PAT	N/A				AMF81203.1	Sequence 2 from patent US 9090906	Unknown		
--	PAT	N/A				AOI37213.1	Sequence 51 from patent US 9243262	Unknown		
--	PAT	N/A				ATK48419.1	Sequence 69 from patent US 9567381	Unknown		
--	PAT	N/A				ATK48420.1	Sequence 70 from patent US 9567381	Unknown		
--	PAT	N/A				ATK48421.1	Sequence 71 from patent US 9567381	Unknown		
--	PAT	N/A				ATK48423.1	Sequence 73 from patent US 9567381	Unknown		
--	PAT	N/A				ATK48434.1	Sequence 84 from patent US 9567381	Unknown		
--	PAT	N/A				ATK48435.1	Sequence 85 from patent US 9567381	Unknown		
--	PAT	N/A				ATK48440.1	Sequence 90 from patent US 9567381	Unknown		
--	PAT	N/A				ATK49726.1	Sequence 1376 from patent US 9567381	Unknown		
--	PAT	A03793.1	156	3623	+	CAA00303.1	MGE1 protein	Bacillus thuringiensis		
--	PAT	A09398.1	156	3623	+	CAA00840.1	delta-endotoxin	Bacillus thuringiensis		
--	PAT	AX441377.1	1	3468	+	CAD37455.1	unnamed protein product	synthetic construct		
--	PAT	AX453873.1	1	3468	+	CAD38221.1	unnamed protein product	synthetic construct		
--	PAT	N/A				QBD04113.1	Sequence 51 from patent US 10167323	Unknown		
--	PAT	N/A				QBE43531.1	Sequence 51 from patent US 10196633	Unknown		
BT_Cry1Ab2	INSDC	M12661.1	155	3625	+	AAA22613.1	insecticidal endotoxin	Bacillus thuringiensis		
--	PAT	N/A				AJN40625.1	Sequence 73 from patent US 8865428	Unknown		
--	PAT	N/A				ATK48428.1	Sequence 78 from patent US 9567381	Unknown		
BT_Cry1Ab3	INSDC	M15271.1	156	3623	+	AAA22561.1	crystal protein precursor	Bacillus thuringiensis		
--	RefSeq	NZ_CM000748.1	5311546	5315013	-	WP_000369819.1	hypothetical protein	Bacillus thuringiensis serovar thuringiensis str. T01001	T01001	GCF_000161515.1
--	RefSeq	NZ_CM000753.1	6163766	6167233	+	WP_000369819.1	hypothetical protein	Bacillus thuringiensis serovar berliner ATCC 10792	ATCC 10792	GCF_000161615.1
--	RefSeq	NZ_CP004873.1	54173	57640	+	WP_000369819.1	hypothetical protein	Bacillus thuringiensis serovar kurstaki str. HD-1	HD-1	GCF_000717535.1
--	RefSeq	NZ_CP010003.1	48395	51862	-	WP_000369819.1	hypothetical protein	Bacillus thuringiensis serovar kurstaki	HD 1i	GCF_000835235.1
--	RefSeq	NZ_CP021065.1	34277	37744	+	WP_000369819.1	hypothetical protein	Bacillus thuringiensis	ATCC 10792	GCF_002119445.1
--	RefSeq	NZ_JMHW01000168.1	479	3946	-	WP_000369819.1	hypothetical protein	Bacillus thuringiensis serovar kurstaki str. HD-1	HD-1	GCF_000710255.1
--	RefSeq	NZ_PGDU01000193.1	253	3720	-	WP_000369819.1	hypothetical protein	Bacillus thuringiensis serovar thuringiensis	BGSC 4A3	GCF_002911755.1
--	RefSeq	NZ_PGEH01000375.1	4684	8151	+	WP_000369819.1	hypothetical protein	Bacillus thuringiensis serovar kurstaki	7.1o	GCF_002912105.1
--	RefSeq	NZ_WJCU01000185.1	3021	6488	+	WP_000369819.1	hypothetical protein	Bacillus thuringiensis	4I5	GCF_009646805.1
--	RefSeq	NZ_WJDR01000087.1	3024	6491	+	WP_000369819.1	hypothetical protein	Bacillus thuringiensis	4A2	GCF_009647255.1
--	RefSeq	NZ_WJDT01000095.1	258	3725	-	WP_000369819.1	hypothetical protein	Bacillus thuringiensis	4A1	GCF_009647315.1
--	Swiss-Prot	N/A				P0A370.1	Pesticidal crystal protein Cry1Ab	Bacillus thuringiensis serovar kurstaki		
--	Swiss-Prot	N/A				P0A371.1	Pesticidal crystal protein Cry1Ab	Bacillus thuringiensis serovar berliner		
--	Swiss-Prot	N/A				P0A372.1	Pesticidal crystal protein Cry1Ab	Bacillus thuringiensis serovar aizawai		
--	PRF	N/A				1304168A	endotoxin delta 2	Bacillus thuringiensis		
--	INSDC	M13898.1	142	3609	+	AAA22330.1	entomocidal protoxin	Bacillus thuringiensis		
--	INSDC	AF059670.1	41	3508	+	AAC64003.1	crystal protein	Bacillus thuringiensis serovar kurstaki	S93	
--	INSDC	AF254640.1	639	4106	+	AAN76494.1	insecticidal protein P	Bacillus thuringiensis	Btc005	
--	INSDC	AF358861.1	1485	4952	+	AAO13302.1	crystal endotoxin Cry1Ab	Bacillus thuringiensis	B-Hm-16	
--	INSDC	AY895148.1	1627	5094	-	AAW81956.1	Cry1Ab	Chloroplast transformation vector pCLT327		
--	INSDC	DQ991096.1	5218	8685	+	ABK35130.1	Cry1Ab	Bacillus thuringiensis serovar aizawai	SP-01-41	
--	INSDC	JN135251.1	1	3468	+	AFK79792.1	delta-endotoxin	Bacillus thuringiensis	SSy141-c	
--	INSDC	CP004873.1	54173	57640	+	AIE37011.1	Pesticidal crystal protein cry1Aa	Bacillus thuringiensis serovar kurstaki str. HD-1	HD-1	GCA_000717535.1
--	INSDC	CP010003.1	48395	51862	-	AJK38600.1	pesticidal crystal protein cry1Ab	Bacillus thuringiensis serovar kurstaki	HD 1	GCA_000835235.1
--	INSDC	CP021065.1	34277	37744	+	ARP61819.1	pesticidal protein	Bacillus thuringiensis	ATCC 10792	GCA_002119445.1
--	INSDC	D00117.1	163	3630	+	BAA00071.1	delta-endotoxin	Bacillus thuringiensis serovar kurstaki str. HD-1	HD-1	
--	INSDC	X54939.1	73	3540	+	CAA38701.1	unnamed protein product	Bacillus thuringiensis	HD133	
--	INSDC	ACNA01000122.1	181	3648	-	EEM32076.1	Pesticidal crystal protein cry1Ae	Bacillus thuringiensis serovar thuringiensis str. T01001	T01001	GCA_000161515.1
--	INSDC	CM000748.1	5311546	5315013	-	EEM32076.1	Pesticidal crystal protein cry1Ae	Bacillus thuringiensis serovar thuringiensis str. T01001	T01001	GCA_000161515.1
--	INSDC	ACNF01000229.1	515	3982	+	EEM62204.1	Pesticidal crystal protein cry1Ae	Bacillus thuringiensis serovar berliner ATCC 10792	ATCC 10792	GCA_000161615.1
--	INSDC	CM000753.1	6163766	6167233	+	EEM62204.1	Pesticidal crystal protein cry1Ae	Bacillus thuringiensis serovar berliner ATCC 10792	ATCC 10792	GCA_000161615.1
--	INSDC	JMHW01000168.1	479	3946	-	KEH45261.1	hypothetical protein	Bacillus thuringiensis serovar kurstaki str. HD-1	HD-1	GCA_000710255.1
--	INSDC	WJCU01000185.1	3021	6488	+	MRA88025.1	pesticidal protein	Bacillus thuringiensis	4I5	GCA_009646805.1
--	INSDC	WJDR01000087.1	3024	6491	+	MRC94304.1	pesticidal protein	Bacillus thuringiensis	4A2	GCA_009647255.1
--	INSDC	WJDT01000095.1	258	3725	-	MRD16145.1	pesticidal protein	Bacillus thuringiensis	4A1	GCA_009647315.1
--	PAT	N/A				AAA55811.1		Unknown		
--	PAT	N/A				AAB11018.1	Sequence 33 from patent US 5508264	Unknown		
--	PAT	N/A				AAB57611.1	Sequence 9 from patent US 5625136	Unknown		
--	PAT	N/A				AAE02326.1	Sequence 9 from patent US 5859336	Unknown		
--	PAT	N/A				AAE12826.1	Sequence 33 from patent US 5827514	Unknown		
--	PAT	N/A				AAE43502.1	Sequence 9 from patent US 6075185	Unknown		
--	PAT	N/A				AAT27226.1	Sequence 9 from patent US 6720488	Unknown		
--	PAT	N/A				ACN04272.1	Sequence 6 from patent US 7482432	Unknown		
--	PAT	N/A				AHD31175.1	Sequence 6 from patent US 8563808	Unknown		
--	PAT	N/A				AJN40614.1	Sequence 62 from patent US 8865428	Unknown		
--	PAT	N/A				AJN40615.1	Sequence 63 from patent US 8865428	Unknown		
--	PAT	N/A				AJN40617.1	Sequence 65 from patent US 8865428	Unknown		
--	PAT	N/A				AJN40619.1	Sequence 67 from patent US 8865428	Unknown		
--	PAT	N/A				AJN40620.1	Sequence 68 from patent US 8865428	Unknown		
--	PAT	N/A				AJN40621.1	Sequence 69 from patent US 8865428	Unknown		
--	PAT	N/A				AMF81203.1	Sequence 2 from patent US 9090906	Unknown		
--	PAT	N/A				AOI37213.1	Sequence 51 from patent US 9243262	Unknown		
--	PAT	N/A				ATK48419.1	Sequence 69 from patent US 9567381	Unknown		
--	PAT	N/A				ATK48420.1	Sequence 70 from patent US 9567381	Unknown		
--	PAT	N/A				ATK48421.1	Sequence 71 from patent US 9567381	Unknown		
--	PAT	N/A				ATK48423.1	Sequence 73 from patent US 9567381	Unknown		
--	PAT	N/A				ATK48434.1	Sequence 84 from patent US 9567381	Unknown		
--	PAT	N/A				ATK48435.1	Sequence 85 from patent US 9567381	Unknown		
--	PAT	N/A				ATK48440.1	Sequence 90 from patent US 9567381	Unknown		
--	PAT	N/A				ATK49726.1	Sequence 1376 from patent US 9567381	Unknown		
--	PAT	A03793.1	156	3623	+	CAA00303.1	MGE1 protein	Bacillus thuringiensis		
--	PAT	A09398.1	156	3623	+	CAA00840.1	delta-endotoxin	Bacillus thuringiensis		
--	PAT	AX441377.1	1	3468	+	CAD37455.1	unnamed protein product	synthetic construct		
--	PAT	AX453873.1	1	3468	+	CAD38221.1	unnamed protein product	synthetic construct		
--	PAT	N/A				QBD04113.1	Sequence 51 from patent US 10167323	Unknown		
--	PAT	N/A				QBE43531.1	Sequence 51 from patent US 10196633	Unknown		
BT_Cry1Ab4	INSDC	D00117.1	163	3630	+	BAA00071.1	delta-endotoxin	Bacillus thuringiensis serovar kurstaki str. HD-1	HD-1	
--	RefSeq	NZ_CM000748.1	5311546	5315013	-	WP_000369819.1	hypothetical protein	Bacillus thuringiensis serovar thuringiensis str. T01001	T01001	GCF_000161515.1
--	RefSeq	NZ_CM000753.1	6163766	6167233	+	WP_000369819.1	hypothetical protein	Bacillus thuringiensis serovar berliner ATCC 10792	ATCC 10792	GCF_000161615.1
--	RefSeq	NZ_CP004873.1	54173	57640	+	WP_000369819.1	hypothetical protein	Bacillus thuringiensis serovar kurstaki str. HD-1	HD-1	GCF_000717535.1
--	RefSeq	NZ_CP010003.1	48395	51862	-	WP_000369819.1	hypothetical protein	Bacillus thuringiensis serovar kurstaki	HD 1i	GCF_000835235.1
--	RefSeq	NZ_CP021065.1	34277	37744	+	WP_000369819.1	hypothetical protein	Bacillus thuringiensis	ATCC 10792	GCF_002119445.1
--	RefSeq	NZ_JMHW01000168.1	479	3946	-	WP_000369819.1	hypothetical protein	Bacillus thuringiensis serovar kurstaki str. HD-1	HD-1	GCF_000710255.1
--	RefSeq	NZ_PGDU01000193.1	253	3720	-	WP_000369819.1	hypothetical protein	Bacillus thuringiensis serovar thuringiensis	BGSC 4A3	GCF_002911755.1
