Cry	id	dom_id	type_id	Cry_len	len	dom_len	type_len
BT_Cry1Ia26	55.608077893596	domain1	all	BT_Cry1Ia26	603	domain1	all
BT_Cry1Ia28	55.8365289635635	domain1	all	BT_Cry1Ia28	603	domain1	all
BT_Cry1Ia29	55.7761658745075	domain1	all	BT_Cry1Ia29	603	domain1	all
BT_Cry1Ia3	55.7985137709005	domain1	all	BT_Cry1Ia3	603	domain1	all
BT_Cry1Ia30	55.6985828674002	domain1	all	BT_Cry1Ia30	603	domain1	all
BT_Cry1Ia31	55.6334791006573	domain1	all	BT_Cry1Ia31	603	domain1	all
BT_Cry1Ia32	55.6019342780562	domain1	all	BT_Cry1Ia32	603	domain1	all
BT_Cry1Ia33	55.6441453932862	domain1	all	BT_Cry1Ia33	603	domain1	all
BT_Cry1Ia4	55.7995487950537	domain1	all	BT_Cry1Ia4	603	domain1	all
BT_Cry1Ia6	55.7995487950537	domain1	all	BT_Cry1Ia6	603	domain1	all
BT_Cry1Ia7	55.6574870125368	domain1	all	BT_Cry1Ia7	603	domain1	all
BT_Cry1Ia8	55.7995487950537	domain1	all	BT_Cry1Ia8	603	domain1	all
BT_Cry1Ib1	55.7107795744855	domain1	all	BT_Cry1Ib1	603	domain1	all
BT_Cry1Ib2	55.7191189890284	domain1	all	BT_Cry1Ib2	603	domain1	all
BT_Cry1Ib4	55.4382664587143	domain1	all	BT_Cry1Ib4	603	domain1	all
BT_Cry1Ib7	55.5688420004607	domain1	all	BT_Cry1Ib7	603	domain1	all
BT_Cry1Ib8	55.5531573877329	domain1	all	BT_Cry1Ib8	603	domain1	all
BT_Cry1Ic1	55.1525219853112	domain1	all	BT_Cry1Ic1	597	domain1	all
BT_Cry1Id1	54.7424574497255	domain1	all	BT_Cry1Id1	603	domain1	all
BT_Cry1Ie1	54.9988143298509	domain1	all	BT_Cry1Ie1	603	domain1	all
BT_Cry1Ie3	54.9988143298509	domain1	all	BT_Cry1Ie3	603	domain1	all
BT_Cry1Ie4	54.8611897470349	domain1	all	BT_Cry1Ie4	603	domain1	all
BT_Cry1Ie5	54.4322845652441	domain1	all	BT_Cry1Ie5	603	domain1	all
BT_Cry1Ig1	55.067516226108	domain1	all	BT_Cry1Ig1	603	domain1	all
BT_Cry1Ja1	53.9794786069345	domain1	all	BT_Cry1Ja1	603	domain1	all
BT_Cry1Ja3	53.9794786069345	domain1	all	BT_Cry1Ja3	603	domain1	all
BT_Cry1Jb1	53.6663663438474	domain1	all	BT_Cry1Jb1	603	domain1	all
BT_Cry1Jd1	53.3313998872011	domain1	all	BT_Cry1Jd1	603	domain1	all
BT_Cry1Ka1	53.7049395044402	domain1	all	BT_Cry1Ka1	606	domain1	all
BT_Cry1Ka2	53.8147951231736	domain1	all	BT_Cry1Ka2	603	domain1	all
BT_Cry1La1	53.0561131015055	domain1	all	BT_Cry1La1	579	domain1	all
BT_Cry1La2	53.1367347422023	domain1	all	BT_Cry1La2	579	domain1	all
BT_Cry1Ma1	54.5757939279789	domain1	all	BT_Cry1Ma1	603	domain1	all
BT_Cry1Na1	53.070305908754	domain1	all	BT_Cry1Na1	600	domain1	all
BT_Cry1Nb1	52.7393612224374	domain1	all	BT_Cry1Nb1	600	domain1	all
BT_Cry20Aa1	51.5079185299624	domain1	all	BT_Cry20Aa1	600	domain1	all
BT_Cry20Ba2	51.5824571411909	domain1	all	BT_Cry20Ba2	591	domain1	all
BT_Cry21Aa1	49.2813624618588	domain1	all	BT_Cry21Aa1	696	domain1	all
BT_Cry21Ba1	49.2578901381855	domain1	all	BT_Cry21Ba1	687	domain1	all
BT_Cry21Ca1	49.450035048001	domain1	all	BT_Cry21Ca1	711	domain1	all
BT_Cry21Da1	48.7801711849525	domain1	all	BT_Cry21Da1	729	domain1	all
BT_Cry21Fa1	49.4071255232636	domain1	all	BT_Cry21Fa1	690	domain1	all
BT_Cry21Ga1	49.8091567780832	domain1	all	BT_Cry21Ga1	648	domain1	all
BT_Cry21Ha1	49.9422982835866	domain1	all	BT_Cry21Ha1	666	domain1	all
BT_Cry24Ca1	51.4144010601773	domain1	all	BT_Cry24Ca1	633	domain1	all
BT_Cry24Da1	51.9649099869722	domain1	all	BT_Cry24Da1	633	domain1	all
BT_Cry26Aa1	51.8564907142356	domain1	all	BT_Cry26Aa1	606	domain1	all
BT_Cry27Aa1	50.9450501564349	domain1	all	BT_Cry27Aa1	597	domain1	all
BT_Cry28Aa1	51.1850076666643	domain1	all	BT_Cry28Aa1	615	domain1	all
BT_Cry28Aa2	51.1850076666643	domain1	all	BT_Cry28Aa2	615	domain1	all
BT_Cry29Aa1	50.7409275187266	domain1	all	BT_Cry29Aa1	606	domain1	all
BT_Cry2Aa10	54.4249551337119	domain1	all	BT_Cry2Aa10	579	domain1	all
BT_Cry2Aa13	55.2746642029002	domain1	all	BT_Cry2Aa13	579	domain1	all
BT_Cry2Aa14	54.4091983353032	domain1	all	BT_Cry2Aa14	579	domain1	all
BT_Cry2Aa15	54.4350008372712	domain1	all	BT_Cry2Aa15	579	domain1	all
BT_Cry2Aa16	54.3637070478745	domain1	all	BT_Cry2Aa16	579	domain1	all
BT_Cry2Aa17	55.2746642029002	domain1	all	BT_Cry2Aa17	579	domain1	all
BT_Cry2Aa3	54.262415468076	domain1	all	BT_Cry2Aa3	579	domain1	all
BT_Cry2Aa5	54.3774131228292	domain1	all	BT_Cry2Aa5	579	domain1	all
BT_Cry2Aa6	54.3847955191656	domain1	all	BT_Cry2Aa6	579	domain1	all
BT_Cry2Aa8	54.4249551337119	domain1	all	BT_Cry2Aa8	579	domain1	all
BT_Cry2Ab11	55.2432228034208	domain1	all	BT_Cry2Ab11	579	domain1	all
BT_Cry2Ab12	55.2446244647809	domain1	all	BT_Cry2Ab12	579	domain1	all
BT_Cry2Ab13	55.2746642029002	domain1	all	BT_Cry2Ab13	579	domain1	all
BT_Cry2Ab14	55.2689558726368	domain1	all	BT_Cry2Ab14	579	domain1	all
BT_Cry2Ab15	55.2746642029002	domain1	all	BT_Cry2Ab15	579	domain1	all
BT_Cry2Ab19	55.1197390417858	domain1	all	BT_Cry2Ab19	579	domain1	all
BT_Cry2Ab20	55.1720338444481	domain1	all	BT_Cry2Ab20	579	domain1	all
BT_Cry2Ab21	55.2746642029002	domain1	all	BT_Cry2Ab21	579	domain1	all
BT_Cry2Ab22	55.2746642029002	domain1	all	BT_Cry2Ab22	579	domain1	all
BT_Cry2Ab23	55.2746642029002	domain1	all	BT_Cry2Ab23	579	domain1	all
BT_Cry2Ab25	55.1668002645799	domain1	all	BT_Cry2Ab25	579	domain1	all
BT_Cry2Ab26	55.174467588369	domain1	all	BT_Cry2Ab26	579	domain1	all
BT_Cry2Ab28	55.2746642029002	domain1	all	BT_Cry2Ab28	579	domain1	all
BT_Cry2Ab29	55.2746642029002	domain1	all	BT_Cry2Ab29	579	domain1	all
BT_Cry2Ab30	55.2746642029002	domain1	all	BT_Cry2Ab30	579	domain1	all
BT_Cry2Ab4	55.2432228034208	domain1	all	BT_Cry2Ab4	579	domain1	all
BT_Cry2Ab5	55.2709377635705	domain1	all	BT_Cry2Ab5	579	domain1	all
BT_Cry2Ab6	55.2746642029002	domain1	all	BT_Cry2Ab6	579	domain1	all
BT_Cry2Ab7	55.2432228034208	domain1	all	BT_Cry2Ab7	579	domain1	all
BT_Cry2Ab8	55.2746642029002	domain1	all	BT_Cry2Ab8	579	domain1	all
BT_Cry2Ab9	55.1338793483748	domain1	all	BT_Cry2Ab9	579	domain1	all
BT_Cry2Ac1	53.9627123872754	domain1	all	BT_Cry2Ac1	579	domain1	all
BT_Cry2Ac10	54.4213669323423	domain1	all	BT_Cry2Ac10	579	domain1	all
BT_Cry2Ac11	54.3872682409154	domain1	all	BT_Cry2Ac11	579	domain1	all
BT_Cry2Ac12	54.3710463106998	domain1	all	BT_Cry2Ac12	579	domain1	all
BT_Cry2Ac2	54.4213669323423	domain1	all	BT_Cry2Ac2	579	domain1	all
BT_Cry2Ac4	54.3844184150895	domain1	all	BT_Cry2Ac4	579	domain1	all
BT_Cry2Ac5	54.4014902672701	domain1	all	BT_Cry2Ac5	579	domain1	all
BT_Cry2Ac6	54.4213669323423	domain1	all	BT_Cry2Ac6	579	domain1	all
BT_Cry2Ac7	54.3362462481734	domain1	all	BT_Cry2Ac7	579	domain1	all
BT_Cry2Ac8	54.3529475680767	domain1	all	BT_Cry2Ac8	579	domain1	all
BT_Cry2Ad3	54.9216841356925	domain1	all	BT_Cry2Ad3	576	domain1	all
BT_Cry2Ad4	54.9425786115229	domain1	all	BT_Cry2Ad4	576	domain1	all
BT_Cry2Ad5	55.1473570044474	domain1	all	BT_Cry2Ad5	579	domain1	all
BT_Cry2Af1	54.9381381407761	domain1	all	BT_Cry2Af1	579	domain1	all
BT_Cry2Ag1	54.6111490000661	domain1	all	BT_Cry2Ag1	582	domain1	all
BT_Cry2Ah1	54.678948865372	domain1	all	BT_Cry2Ah1	573	domain1	all
BT_Cry2Ah2	55.2746642029002	domain1	all	BT_Cry2Ah2	579	domain1	all
BT_Cry2Ah3	54.973171245498	domain1	all	BT_Cry2Ah3	579	domain1	all
BT_Cry2Ah5	54.8846971811334	domain1	all	BT_Cry2Ah5	579	domain1	all
BT_Cry2Ai1	54.2684711022215	domain1	all	BT_Cry2Ai1	579	domain1	all
BT_Cry2Ak1	54.5078229960521	domain1	all	BT_Cry2Ak1	579	domain1	all
BT_Cry2Al1	54.1983579748676	domain1	all	BT_Cry2Al1	579	domain1	all
BT_Cry2Ba2	52.6995669937194	domain1	all	BT_Cry2Ba2	576	domain1	all
BT_Cry30Aa1	50.8932169512295	domain1	all	BT_Cry30Aa1	630	domain1	all
BT_Cry30Ca1	50.6303864276623	domain1	all	BT_Cry30Ca1	633	domain1	all
BT_Cry30Da1	51.1376596685263	domain1	all	BT_Cry30Da1	633	domain1	all
BT_Cry30Db1	51.2198922326029	domain1	all	BT_Cry30Db1	633	domain1	all
BT_Cry30Ea1	50.6451306354033	domain1	all	BT_Cry30Ea1	627	domain1	all
BT_Cry30Ea4	50.6755281118132	domain1	all	BT_Cry30Ea4	627	domain1	all
BT_Cry30Fa1	50.487613009021	domain1	all	BT_Cry30Fa1	633	domain1	all
BT_Cry30Ga1	50.7149048657071	domain1	all	BT_Cry30Ga1	633	domain1	all
BT_Cry30Ga2	50.8755607233978	domain1	all	BT_Cry30Ga2	633	domain1	all
BT_Cry31Aa1	50.3026816934757	domain1	all	BT_Cry31Aa1	684	domain1	all
BT_Cry31Aa4	50.3026816934757	domain1	all	BT_Cry31Aa4	684	domain1	all
BT_Cry31Aa5	50.2893890932598	domain1	all	BT_Cry31Aa5	684	domain1	all
BT_Cry31Aa6	50.1902305927116	domain1	all	BT_Cry31Aa6	687	domain1	all
BT_Cry31Ab1	50.2105037145904	domain1	all	BT_Cry31Ab1	687	domain1	all
BT_Cry31Ac1	50.2011372865942	domain1	all	BT_Cry31Ac1	681	domain1	all
BT_Cry31Ac2	50.2055256956854	domain1	all	BT_Cry31Ac2	681	domain1	all
BT_Cry31Ad1	50.3441773614392	domain1	all	BT_Cry31Ad1	684	domain1	all
BT_Cry32Aa1	51.9172308124686	domain1	all	BT_Cry32Aa1	603	domain1	all
BT_Cry32Ab1	51.9264774174474	domain1	all	BT_Cry32Ab1	603	domain1	all
BT_Cry32Ba1	50.5666266031009	domain1	all	BT_Cry32Ba1	642	domain1	all
BT_Cry32Ca1	50.4397857725273	domain1	all	BT_Cry32Ca1	705	domain1	all
BT_Cry32Cb1	50.1822821699827	domain1	all	BT_Cry32Cb1	705	domain1	all
BT_Cry32Da1	50.6983233374163	domain1	all	BT_Cry32Da1	672	domain1	all
BT_Cry32Ea1	50.6353935446908	domain1	all	BT_Cry32Ea1	639	domain1	all
BT_Cry32Ea2	50.5618355801336	domain1	all	BT_Cry32Ea2	639	domain1	all
BT_Cry32Fa1	51.5541292039048	domain1	all	BT_Cry32Fa1	630	domain1	all
BT_Cry32Ga1	51.5361003463715	domain1	all	BT_Cry32Ga1	633	domain1	all
BT_Cry32Ha1	50.657530260379	domain1	all	BT_Cry32Ha1	639	domain1	all
BT_Cry32Hb1	50.657530260379	domain1	all	BT_Cry32Hb1	639	domain1	all
BT_Cry32Ia1	51.373210372998	domain1	all	BT_Cry32Ia1	648	domain1	all
BT_Cry32Ja1	50.754331566693	domain1	all	BT_Cry32Ja1	639	domain1	all
BT_Cry32Ka1	50.8075846156337	domain1	all	BT_Cry32Ka1	675	domain1	all
BT_Cry32La1	50.1539119556545	domain1	all	BT_Cry32La1	630	domain1	all
BT_Cry32Ma1	51.0270787899026	domain1	all	BT_Cry32Ma1	684	domain1	all
BT_Cry32Mb1	51.025207184204	domain1	all	BT_Cry32Mb1	684	domain1	all
BT_Cry32Na1	50.9023286171336	domain1	all	BT_Cry32Na1	636	domain1	all
BT_Cry32Oa1	50.9571181698309	domain1	all	BT_Cry32Oa1	639	domain1	all
BT_Cry32Pa1	49.523205004966	domain1	all	BT_Cry32Pa1	693	domain1	all
BT_Cry32Qa1	50.8258105911879	domain1	all	BT_Cry32Qa1	663	domain1	all
BT_Cry32Ra1	51.1282410682927	domain1	all	BT_Cry32Ra1	627	domain1	all
BT_Cry32Sa1	51.2108188403392	domain1	all	BT_Cry32Sa1	681	domain1	all
BT_Cry32Ta1	50.8359710988362	domain1	all	BT_Cry32Ta1	654	domain1	all
BT_Cry32Ua1	50.3741715927684	domain1	all	BT_Cry32Ua1	672	domain1	all
BT_Cry32Va1	50.7178587776639	domain1	all	BT_Cry32Va1	639	domain1	all
BT_Cry32Wa1	51.1024579042064	domain1	all	BT_Cry32Wa1	684	domain1	all
BT_Cry39Aa1	51.7502329662319	domain1	all	BT_Cry39Aa1	615	domain1	all
BT_Cry3Aa1	52.7350515140451	domain1	all	BT_Cry3Aa1	603	domain1	all
BT_Cry3Aa10	52.8393665550711	domain1	all	BT_Cry3Aa10	603	domain1	all
BT_Cry3Aa11	52.6354297492422	domain1	all	BT_Cry3Aa11	603	domain1	all
BT_Cry3Aa4	52.7350515140451	domain1	all	BT_Cry3Aa4	603	domain1	all
BT_Cry3Aa8	52.6653749657411	domain1	all	BT_Cry3Aa8	603	domain1	all
BT_Cry3Ba1	52.8983752760006	domain1	all	BT_Cry3Ba1	612	domain1	all
BT_Cry3Bb1	52.8122442657916	domain1	all	BT_Cry3Bb1	612	domain1	all
BT_Cry3Ca1	52.1870438956369	domain1	all	BT_Cry3Ca1	600	domain1	all
BT_Cry40Aa1	50.3871299888583	domain1	all	BT_Cry40Aa1	678	domain1	all
BT_Cry40Ba1	50.9989321355702	domain1	all	BT_Cry40Ba1	645	domain1	all
BT_Cry40Ca1	50.6918157938328	domain1	all	BT_Cry40Ca1	642	domain1	all
BT_Cry40Da1	50.8037070007773	domain1	all	BT_Cry40Da1	642	domain1	all
BT_Cry41Ba1	48.2422135279108	domain1	all	BT_Cry41Ba1	831	domain1	all
BT_Cry41Ba2	49.62279658362	domain1	all	BT_Cry41Ba2	564	domain1	all
BT_Cry43Aa1	52.6922059973188	domain1	all	BT_Cry43Aa1	597	domain1	all
BT_Cry43Ba1	52.238077159243	domain1	all	BT_Cry43Ba1	576	domain1	all
BT_Cry43Ca1	53.665855233586	domain1	all	BT_Cry43Ca1	600	domain1	all
BT_Cry43Cb1	53.3628195359935	domain1	all	BT_Cry43Cb1	600	domain1	all
BT_Cry43Cc1	53.8415093944647	domain1	all	BT_Cry43Cc1	600	domain1	all
BT_Cry44Aa1	51.5959388421248	domain1	all	BT_Cry44Aa1	621	domain1	all
BT_Cry47Aa1	54.1251922472074	domain1	all	BT_Cry47Aa1	594	domain1	all
BT_Cry48Aa1	50.6744917599185	domain1	all	BT_Cry48Aa1	666	domain1	all
BT_Cry48Ab1	50.6811870412608	domain1	all	BT_Cry48Ab1	666	domain1	all
BT_Cry4Aa1	50.8708950663852	domain1	all	BT_Cry4Aa1	648	domain1	all
BT_Cry4Aa2	50.8771240693648	domain1	all	BT_Cry4Aa2	648	domain1	all
BT_Cry4Ba1	52.3455601896427	domain1	all	BT_Cry4Ba1	612	domain1	all
BT_Cry4Ba2	52.3433012445875	domain1	all	BT_Cry4Ba2	612	domain1	all
BT_Cry4Ba3	52.3740783510418	domain1	all	BT_Cry4Ba3	609	domain1	all
BT_Cry4Ba4	52.3295078861823	domain1	all	BT_Cry4Ba4	609	domain1	all
