Accession	Dataset	Tox_type	Total_tox_num
SY27.1	Strains	par_all	5
SY27.1	Strains	par_strict	5
SY27.1	Strains	par_all	5
SY27.1	Strains	par_strict	5
SY27.1	Strains	par_all	5
40000000	Strains	par_all	1
AFS099341	Strains	ref_no_rec	1
Bt9	Strains	ref_no_rec	1
DS415	Strains	par_strict	1
DS415	Strains	par_all	1
kenyae	Strains	par_all	1
HS18-1	Strains	ref_no_rec	10
HS18-1	Strains	rec	10
HS18-1	Strains	ref_no_rec	10
HS18-1	Strains	par_all	10
HS18-1	Strains	par_strict	10
HS18-1	Strains	par_all	10
HS18-1	Strains	ref_no_rec	10
HS18-1	Strains	par_strict	10
HS18-1	Strains	par_all	10
HS18-1	Strains	par_strict	10
HS18-1	Strains	par_all	10
HS18-1	Strains	par_strict	10
HS18-1	Strains	par_all	10
HS18-1	Strains	par_strict	10
HS18-1	Strains	par_all	10
HS18-1	Strains	both	10
A-19-31	Strains	par_all	3
A-19-31	Strains	par_strict	3
A-19-31	Strains	par_all	3
A-19-31	Strains	par_strict	3
A-19-31	Strains	par_all	3
S2160-1	Strains	ref_no_rec	7
S2160-1	Strains	ref_no_rec	7
S2160-1	Strains	ref_no_rec	7
S2160-1	Strains	par_strict	7
S2160-1	Strains	par_all	7
S2160-1	Strains	par_strict	7
S2160-1	Strains	par_all	7
S2160-1	Strains	par_strict	7
S2160-1	Strains	par_all	7
S2160-1	Strains	par_strict	7
S2160-1	Strains	par_all	7
S2160-1	Strains	both	7
FU-2-7	Strains	par_strict	1
FU-2-7	Strains	par_all	1
G25-42	Strains	ref_no_rec	1
XL6	Strains	par_strict	7
XL6	Strains	par_all	7
XL6	Strains	both	7
XL6	Strains	ref_no_rec	7
XL6	Strains	ref_no_rec	7
XL6	Strains	ref_no_rec	7
XL6	Strains	par_all	7
XL6	Strains	both	7
XL6	Strains	rec	7
XL6	Strains	ref_no_rec	7
BGSC 4AT1	Strains	ref_no_rec	4
BGSC 4AT1	Strains	ref_no_rec	4
BGSC 4AT1	Strains	par_all	4
BGSC 4AT1	Strains	par_strict	4
BGSC 4AT1	Strains	par_all	4
BGSC 4AR1	Strains	ref_no_rec	4
BGSC 4AR1	Strains	ref_no_rec	4
BGSC 4AR1	Strains	par_all	4
BGSC 4AR1	Strains	par_strict	4
BGSC 4AR1	Strains	par_all	4
PS46L	Strains	ref_no_rec	1
QZL144-1	Strains	par_strict	1
QZL144-1	Strains	par_all	1
G25-3	Strains	ref_no_rec	2
G25-3	Strains	ref_no_rec	2
BGSC 4B2	Strains	ref_no_rec	2
BGSC 4B2	Strains	ref_no_rec	2
4B1	Strains	ref_no_rec	2
4B1	Strains	ref_no_rec	2
IBL00971	Strains	ref_no_rec	2
IBL00971	Strains	ref_no_rec	2
BGSC 4BR1	Strains	par_all	2
BGSC 4BR1	Strains	ref_no_rec	2
YBT-020	Strains	ref_no_rec	2
YBT-020	Strains	ref_no_rec	2
HD12	Strains	par_strict	11
HD12	Strains	par_all	11
HD12	Strains	ref_no_rec	11
HD12	Strains	par_strict	11
HD12	Strains	par_all	11
HD12	Strains	ref_no_rec	11
HD12	Strains	par_strict	11
HD12	Strains	par_all	11
HD12	Strains	par_strict	11
HD12	Strains	par_all	11
HD12	Strains	par_strict	11
HD12	Strains	par_all	11
HD12	Strains	par_strict	11
HD12	Strains	par_all	11
HD12	Strains	par_all	11
HD12	Strains	ref_no_rec	11
HD12	Strains	par_all	11
WBT-2	Strains	par_strict	10
WBT-2	Strains	par_all	10
WBT-2	Strains	par_strict	10
WBT-2	Strains	par_all	10
WBT-2	Strains	par_strict	10
WBT-2	Strains	par_all	10
WBT-2	Strains	par_strict	10
WBT-2	Strains	par_all	10
WBT-2	Strains	ref_no_rec	10
WBT-2	Strains	par_strict	10
WBT-2	Strains	par_all	10
WBT-2	Strains	par_strict	10
WBT-2	Strains	par_all	10
WBT-2	Strains	par_all	10
WBT-2	Strains	ref_no_rec	10
WBT-2	Strains	par_all	10
btsu4	Strains	par_all	3
btsu4	Strains	par_all	3
btsu4	Strains	ref_no_rec	3
BGSC 4J4	Strains	par_strict	4
BGSC 4J4	Strains	par_all	4
BGSC 4J4	Strains	par_strict	4
BGSC 4J4	Strains	par_all	4
BGSC 4J4	Strains	par_all	4
BGSC 4J4	Strains	par_strict	4
BGSC 4J4	Strains	par_all	4
G03	Strains	par_all	5
G03	Strains	par_strict	5
G03	Strains	par_all	5
G03	Strains	par_strict	5
G03	Strains	par_all	5
G03	Strains	par_strict	5
G03	Strains	par_all	5
G03	Strains	par_strict	5
G03	Strains	par_all	5
CVUAS2492	Strains	par_all	5
CVUAS2492	Strains	par_strict	5
CVUAS2492	Strains	par_all	5
CVUAS2492	Strains	par_strict	5
CVUAS2492	Strains	par_all	5
CVUAS2492	Strains	par_strict	5
CVUAS2492	Strains	par_all	5
CVUAS2492	Strains	par_strict	5
CVUAS2492	Strains	par_all	5
CH_65	Strains	par_all	5
CH_65	Strains	par_strict	5
CH_65	Strains	par_all	5
CH_65	Strains	par_strict	5
CH_65	Strains	par_all	5
CH_65	Strains	par_strict	5
CH_65	Strains	par_all	5
CH_65	Strains	par_strict	5
CH_65	Strains	par_all	5
14-2	Strains	par_strict	3
14-2	Strains	par_all	3
14-2	Strains	par_all	3
14-2	Strains	par_strict	3
14-2	Strains	par_all	3
Leapi01	Strains	par_strict	4
Leapi01	Strains	par_all	4
Leapi01	Strains	par_all	4
Leapi01	Strains	par_strict	4
Leapi01	Strains	par_all	4
Leapi01	Strains	par_strict	4
Leapi01	Strains	par_all	4
AGES_2_27_S	Strains	par_all	5
AGES_2_27_S	Strains	par_strict	5
AGES_2_27_S	Strains	par_all	5
AGES_2_27_S	Strains	par_strict	5
AGES_2_27_S	Strains	par_all	5
AGES_2_27_S	Strains	par_strict	5
AGES_2_27_S	Strains	par_all	5
AGES_2_27_S	Strains	par_strict	5
AGES_2_27_S	Strains	par_all	5
25-6	Strains	par_strict	3
25-6	Strains	par_all	3
25-6	Strains	par_all	3
25-6	Strains	par_strict	3
25-6	Strains	par_all	3
2122	Strains	par_all	4
2122	Strains	par_strict	4
2122	Strains	par_all	4
2122	Strains	par_strict	4
2122	Strains	par_all	4
2122	Strains	par_strict	4
2122	Strains	par_all	4
AGES_6_27_S	Strains	par_all	6
AGES_6_27_S	Strains	par_strict	6
AGES_6_27_S	Strains	par_all	6
AGES_6_27_S	Strains	par_strict	6
AGES_6_27_S	Strains	par_all	6
AGES_6_27_S	Strains	par_strict	6
AGES_6_27_S	Strains	par_all	6
AGES_6_27_S	Strains	par_strict	6
AGES_6_27_S	Strains	par_all	6
AGES_6_27_S	Strains	par_strict	6
AGES_6_27_S	Strains	par_all	6
CH_748	Strains	par_all	5
CH_748	Strains	par_strict	5
CH_748	Strains	par_all	5
CH_748	Strains	par_strict	5
CH_748	Strains	par_all	5
CH_748	Strains	par_strict	5
CH_748	Strains	par_all	5
CH_748	Strains	par_strict	5
CH_748	Strains	par_all	5
P01_3	Strains	par_all	5
P01_3	Strains	par_strict	5
P01_3	Strains	par_all	5
P01_3	Strains	par_strict	5
P01_3	Strains	par_all	5
P01_3	Strains	par_strict	5
P01_3	Strains	par_all	5
P01_3	Strains	par_strict	5
P01_3	Strains	par_all	5
Bt-GS57	Strains	par_all	5
Bt-GS57	Strains	par_strict	5
Bt-GS57	Strains	par_all	5
Bt-GS57	Strains	par_strict	5
Bt-GS57	Strains	par_all	5
Bt-GS57	Strains	par_strict	5
Bt-GS57	Strains	par_all	5
Bt-GS57	Strains	par_strict	5
Bt-GS57	Strains	par_all	5
CH_733	Strains	par_all	5
CH_733	Strains	par_strict	5
CH_733	Strains	par_all	5
CH_733	Strains	par_strict	5
CH_733	Strains	par_all	5
CH_733	Strains	par_strict	5
CH_733	Strains	par_all	5
CH_733	Strains	par_strict	5
CH_733	Strains	par_all	5
Staal1-1	Strains	par_all	5
Staal1-1	Strains	par_strict	5
Staal1-1	Strains	par_all	5
Staal1-1	Strains	par_strict	5
Staal1-1	Strains	par_all	5
Staal1-1	Strains	par_strict	5
Staal1-1	Strains	par_all	5
Staal1-1	Strains	par_strict	5
Staal1-1	Strains	par_all	5
B401	Strains	par_all	6
B401	Strains	par_strict	6
B401	Strains	par_all	6
B401	Strains	par_strict	6
B401	Strains	par_all	6
B401	Strains	par_strict	6
B401	Strains	par_all	6
B401	Strains	par_strict	6
B401	Strains	par_all	6
B401	Strains	par_strict	6
B401	Strains	par_all	6
CH_72	Strains	par_all	6
CH_72	Strains	par_strict	6
CH_72	Strains	par_all	6
CH_72	Strains	par_strict	6
CH_72	Strains	par_all	6
CH_72	Strains	par_strict	6
CH_72	Strains	par_all	6
CH_72	Strains	par_strict	6
CH_72	Strains	par_all	6
CH_72	Strains	par_strict	6
CH_72	Strains	par_all	6
T07153	Strains	par_all	6
T07153	Strains	par_strict	6
T07153	Strains	par_all	6
T07153	Strains	par_strict	6
T07153	Strains	par_all	6
T07153	Strains	par_strict	6
T07153	Strains	par_all	6
T07153	Strains	par_strict	6
T07153	Strains	par_all	6
T07153	Strains	par_strict	6
T07153	Strains	par_all	6
26-1	Strains	par_strict	3
26-1	Strains	par_all	3
26-1	Strains	par_all	3
26-1	Strains	par_strict	3
26-1	Strains	par_all	3
LTS-7	Strains	par_all	2
LTS-7	Strains	par_strict	2
LTS-7	Strains	par_all	2
BR37	Strains	par_all	5
BR37	Strains	par_strict	5
BR37	Strains	par_all	5
BR37	Strains	par_strict	5
BR37	Strains	par_all	5
BR37	Strains	par_strict	5
BR37	Strains	par_all	5
BR37	Strains	par_all	5
BR37	Strains	both	5
6/27/S	Strains	par_all	6
6/27/S	Strains	par_strict	6
6/27/S	Strains	par_all	6
6/27/S	Strains	par_strict	6
6/27/S	Strains	par_all	6
6/27/S	Strains	par_strict	6
6/27/S	Strains	par_all	6
6/27/S	Strains	par_strict	6
6/27/S	Strains	par_all	6
6/27/S	Strains	par_strict	6
6/27/S	Strains	par_all	6
CVUAS9659	Strains	par_all	5
CVUAS9659	Strains	par_strict	5
CVUAS9659	Strains	par_all	5
CVUAS9659	Strains	par_strict	5
CVUAS9659	Strains	par_all	5
CVUAS9659	Strains	par_strict	5
CVUAS9659	Strains	par_all	5
CVUAS9659	Strains	par_strict	5
CVUAS9659	Strains	par_all	5
20-1	Strains	par_strict	3
20-1	Strains	par_all	3
20-1	Strains	par_all	3
20-1	Strains	par_strict	3
20-1	Strains	par_all	3
ABTS-1857	Strains	par_all	7
ABTS-1857	Strains	par_strict	7
ABTS-1857	Strains	par_all	7
ABTS-1857	Strains	par_strict	7
ABTS-1857	Strains	par_all	7
ABTS-1857	Strains	par_strict	7
ABTS-1857	Strains	par_all	7
ABTS-1857	Strains	par_strict	7
ABTS-1857	Strains	par_all	7
ABTS-1857	Strains	par_strict	7
ABTS-1857	Strains	par_all	7
ABTS-1857	Strains	par_strict	7
ABTS-1857	Strains	par_all	7
CH_696	Strains	par_all	5
CH_696	Strains	par_strict	5
CH_696	Strains	par_all	5
CH_696	Strains	par_strict	5
CH_696	Strains	par_all	5
CH_696	Strains	par_strict	5
CH_696	Strains	par_all	5
CH_696	Strains	par_strict	5
CH_696	Strains	par_all	5
777001-1	Strains	par_all	5
777001-1	Strains	par_strict	5
777001-1	Strains	par_all	5
777001-1	Strains	par_strict	5
777001-1	Strains	par_all	5
777001-1	Strains	par_strict	5
777001-1	Strains	par_all	5
777001-1	Strains	par_strict	5
777001-1	Strains	par_all	5
M100	Strains	par_strict	3
M100	Strains	par_all	3
M100	Strains	par_all	3
M100	Strains	par_strict	3
M100	Strains	par_all	3
Hu4-2	Strains	par_all	6
Hu4-2	Strains	par_strict	6
Hu4-2	Strains	par_all	6
Hu4-2	Strains	par_strict	6
Hu4-2	Strains	par_all	6
Hu4-2	Strains	par_strict	6
Hu4-2	Strains	par_all	6
Hu4-2	Strains	par_strict	6
Hu4-2	Strains	par_all	6
Hu4-2	Strains	par_all	6
Hu4-2	Strains	both	6
T07183	Strains	par_all	6
T07183	Strains	par_strict	6
T07183	Strains	par_all	6
T07183	Strains	par_strict	6
T07183	Strains	par_all	6
T07183	Strains	par_strict	6
T07183	Strains	par_all	6
T07183	Strains	par_strict	6
T07183	Strains	par_all	6
T07183	Strains	par_strict	6
T07183	Strains	par_all	6
21-1	Strains	par_strict	3
21-1	Strains	par_all	3
21-1	Strains	par_all	3
21-1	Strains	par_strict	3
21-1	Strains	par_all	3
CH_746	Strains	par_all	5
CH_746	Strains	par_strict	5
CH_746	Strains	par_all	5
CH_746	Strains	par_strict	5
CH_746	Strains	par_all	5
CH_746	Strains	par_strict	5
CH_746	Strains	par_all	5
CH_746	Strains	par_strict	5
CH_746	Strains	par_all	5
CH_692	Strains	par_all	5
CH_692	Strains	par_strict	5
CH_692	Strains	par_all	5
CH_692	Strains	par_strict	5
CH_692	Strains	par_all	5
CH_692	Strains	par_strict	5
CH_692	Strains	par_all	5
CH_692	Strains	par_strict	5
CH_692	Strains	par_all	5
I13	Strains	par_all	6
I13	Strains	par_strict	6
I13	Strains	par_all	6
I13	Strains	par_strict	6
I13	Strains	par_all	6
I13	Strains	par_strict	6
I13	Strains	par_all	6
I13	Strains	par_strict	6
I13	Strains	par_all	6
I13	Strains	par_strict	6
I13	Strains	par_all	6
kn11	Strains	par_all	5
kn11	Strains	par_strict	5
kn11	Strains	par_all	5
kn11	Strains	par_strict	5
kn11	Strains	par_all	5
kn11	Strains	par_strict	5
kn11	Strains	par_all	5
kn11	Strains	par_strict	5
kn11	Strains	par_all	5
CVUAS9660	Strains	par_all	5
CVUAS9660	Strains	par_strict	5
CVUAS9660	Strains	par_all	5
CVUAS9660	Strains	par_strict	5
CVUAS9660	Strains	par_all	5
CVUAS9660	Strains	par_strict	5
CVUAS9660	Strains	par_all	5
CVUAS9660	Strains	par_strict	5
CVUAS9660	Strains	par_all	5
30-1	Strains	par_strict	3
30-1	Strains	par_all	3
30-1	Strains	par_all	3
30-1	Strains	par_strict	3
30-1	Strains	par_all	3
27-3	Strains	par_all	5
27-3	Strains	par_strict	5
27-3	Strains	par_all	5
27-3	Strains	par_strict	5
27-3	Strains	par_all	5
27-3	Strains	par_strict	5
27-3	Strains	par_all	5
27-3	Strains	par_strict	5
27-3	Strains	par_all	5
B4158	Strains	par_strict	2
B4158	Strains	par_all	2
B4158	Strains	par_all	2
MS12	Strains	par_all	7
MS12	Strains	par_strict	7
MS12	Strains	par_all	7
MS12	Strains	par_strict	7
MS12	Strains	par_all	7
MS12	Strains	par_strict	7
MS12	Strains	par_all	7
MS12	Strains	par_strict	7
MS12	Strains	par_all	7
MS12	Strains	par_strict	7
MS12	Strains	par_all	7
MS12	Strains	par_strict	7
MS12	Strains	par_all	7
P01_1	Strains	par_all	5
P01_1	Strains	par_strict	5
P01_1	Strains	par_all	5
P01_1	Strains	par_strict	5
P01_1	Strains	par_all	5
P01_1	Strains	par_strict	5
P01_1	Strains	par_all	5
P01_1	Strains	par_strict	5
P01_1	Strains	par_all	5
B-Hm-16	Strains	par_all	2
B-Hm-16	Strains	par_strict	2
B-Hm-16	Strains	par_all	2
HD133	Strains	par_all	6
HD133	Strains	par_strict	6
HD133	Strains	par_all	6
HD133	Strains	par_strict	6
HD133	Strains	par_all	6
HD133	Strains	par_strict	6
HD133	Strains	par_all	6
HD133	Strains	par_strict	6
HD133	Strains	par_all	6
HD133	Strains	par_strict	6
HD133	Strains	par_all	6
1126_1	Strains	par_all	5
1126_1	Strains	par_strict	5
1126_1	Strains	par_all	5
1126_1	Strains	par_strict	5
1126_1	Strains	par_all	5
1126_1	Strains	par_strict	5
1126_1	Strains	par_all	5
1126_1	Strains	par_strict	5
1126_1	Strains	par_all	5
PT18	Strains	par_all	5
PT18	Strains	par_strict	5
PT18	Strains	par_all	5
PT18	Strains	par_strict	5
PT18	Strains	par_all	5
PT18	Strains	par_strict	5
PT18	Strains	par_all	5
PT18	Strains	par_strict	5
PT18	Strains	par_all	5
777001F-1	Strains	par_all	5
777001F-1	Strains	par_strict	5
777001F-1	Strains	par_all	5
777001F-1	Strains	par_strict	5
777001F-1	Strains	par_all	5
777001F-1	Strains	par_strict	5
777001F-1	Strains	par_all	5
777001F-1	Strains	par_strict	5
777001F-1	Strains	par_all	5
007983-6	Strains	par_all	5
007983-6	Strains	par_strict	5
007983-6	Strains	par_all	5
007983-6	Strains	par_strict	5
007983-6	Strains	par_all	5
007983-6	Strains	par_strict	5
007983-6	Strains	par_all	5
007983-6	Strains	par_strict	5
007983-6	Strains	par_all	5
T07005	Strains	par_all	6
T07005	Strains	par_strict	6
T07005	Strains	par_all	6
T07005	Strains	par_strict	6
T07005	Strains	par_all	6
T07005	Strains	par_strict	6
T07005	Strains	par_all	6
T07005	Strains	par_strict	6
T07005	Strains	par_all	6
T07005	Strains	par_strict	6
T07005	Strains	par_all	6
RIVM BC 934	Strains	par_all	6
RIVM BC 934	Strains	par_strict	6
RIVM BC 934	Strains	par_all	6
RIVM BC 934	Strains	par_strict	6
RIVM BC 934	Strains	par_all	6
RIVM BC 934	Strains	par_strict	6
RIVM BC 934	Strains	par_all	6
RIVM BC 934	Strains	par_strict	6
RIVM BC 934	Strains	par_all	6
RIVM BC 934	Strains	par_strict	6
RIVM BC 934	Strains	par_all	6
CH_709	Strains	par_all	5
CH_709	Strains	par_strict	5
CH_709	Strains	par_all	5
CH_709	Strains	par_strict	5
CH_709	Strains	par_all	5
CH_709	Strains	par_strict	5
CH_709	Strains	par_all	5
CH_709	Strains	par_strict	5
CH_709	Strains	par_all	5
007986-5	Strains	par_all	6
007986-5	Strains	par_strict	6
007986-5	Strains	par_all	6
007986-5	Strains	par_strict	6
007986-5	Strains	par_all	6
007986-5	Strains	par_strict	6
007986-5	Strains	par_all	6
007986-5	Strains	par_strict	6
007986-5	Strains	par_all	6
007986-5	Strains	par_strict	6
007986-5	Strains	par_all	6
SSK-10	Strains	par_all	1
777002-3	Strains	par_all	5
777002-3	Strains	par_strict	5
777002-3	Strains	par_all	5
777002-3	Strains	par_strict	5
777002-3	Strains	par_all	5
777002-3	Strains	par_strict	5
777002-3	Strains	par_all	5
777002-3	Strains	par_strict	5
777002-3	Strains	par_all	5
007989-3	Strains	par_all	6
007989-3	Strains	par_strict	6
007989-3	Strains	par_all	6
007989-3	Strains	par_strict	6
007989-3	Strains	par_all	6
007989-3	Strains	par_strict	6
007989-3	Strains	par_all	6
007989-3	Strains	par_strict	6
007989-3	Strains	par_all	6
007989-3	Strains	par_strict	6
007989-3	Strains	par_all	6
T07148	Strains	par_all	7
T07148	Strains	par_strict	7
T07148	Strains	par_all	7
T07148	Strains	par_strict	7
T07148	Strains	par_all	7
T07148	Strains	par_strict	7
T07148	Strains	par_all	7
T07148	Strains	par_strict	7
T07148	Strains	par_all	7
T07148	Strains	par_strict	7
T07148	Strains	par_all	7
T07148	Strains	par_strict	7
T07148	Strains	par_all	7
30-4	Strains	par_strict	3
30-4	Strains	par_all	3
30-4	Strains	par_all	3
30-4	Strains	par_strict	3
30-4	Strains	par_all	3
T07128	Strains	par_strict	4
T07128	Strains	par_all	4
T07128	Strains	par_all	4
T07128	Strains	par_strict	4
T07128	Strains	par_all	4
T07128	Strains	par_strict	4
T07128	Strains	par_all	4
wu2G-12	Strains	par_strict	1
wu2G-12	Strains	par_all	1
BtMC28	Strains	par_strict	7
BtMC28	Strains	par_all	7
BtMC28	Strains	par_strict	7
BtMC28	Strains	par_all	7
BtMC28	Strains	ref_no_rec	7
BtMC28	Strains	ref_no_rec	7
BtMC28	Strains	ref_no_rec	7
BtMC28	Strains	par_strict	7
BtMC28	Strains	par_all	7
BtMC28	Strains	ref_no_rec	7
C2Ab148	Strains	par_strict	1
C2Ab148	Strains	par_all	1
BRI-258	Strains	par_strict	1
BRI-258	Strains	par_all	1
BtS2491Ab	Strains	par_strict	1
BtS2491Ab	Strains	par_all	1
AFS082247	Strains	ref_no_rec	1
LBIT 1189	Strains	par_all	1
GR007	Strains	ref_no_rec	10
GR007	Strains	par_strict	10
GR007	Strains	par_all	10
GR007	Strains	par_strict	10
GR007	Strains	par_all	10
GR007	Strains	par_strict	10
GR007	Strains	par_all	10
GR007	Strains	ref_no_rec	10
GR007	Strains	par_strict	10
GR007	Strains	par_all	10
GR007	Strains	par_strict	10
GR007	Strains	par_all	10
GR007	Strains	par_strict	10
GR007	Strains	par_all	10
GR007	Strains	par_all	10
GR007	Strains	par_all	10
G25-97	Strains	par_strict	11
G25-97	Strains	par_all	11
G25-97	Strains	ref_no_rec	11
G25-97	Strains	par_strict	11
G25-97	Strains	par_all	11
G25-97	Strains	ref_no_rec	11
G25-97	Strains	par_strict	11
G25-97	Strains	par_all	11
G25-97	Strains	par_strict	11
G25-97	Strains	par_all	11
G25-97	Strains	par_strict	11
G25-97	Strains	par_all	11
G25-97	Strains	par_strict	11
G25-97	Strains	par_all	11
G25-97	Strains	par_all	11
G25-97	Strains	ref_no_rec	11
G25-97	Strains	par_all	11
G25-93	Strains	ref_no_rec	10
G25-93	Strains	par_strict	10
G25-93	Strains	par_all	10
G25-93	Strains	par_strict	10
G25-93	Strains	par_all	10
G25-93	Strains	par_strict	10
G25-93	Strains	par_all	10
G25-93	Strains	ref_no_rec	10
G25-93	Strains	par_strict	10
G25-93	Strains	par_all	10
G25-93	Strains	par_strict	10
G25-93	Strains	par_all	10
G25-93	Strains	par_all	10
G25-93	Strains	ref_no_rec	10
G25-93	Strains	par_all	10
BGSC 4O1	Strains	par_strict	7
BGSC 4O1	Strains	par_all	7
BGSC 4O1	Strains	ref_no_rec	7
BGSC 4O1	Strains	par_strict	7
BGSC 4O1	Strains	par_all	7
BGSC 4O1	Strains	par_strict	7
BGSC 4O1	Strains	par_all	7
BGSC 4O1	Strains	par_strict	7
BGSC 4O1	Strains	par_all	7
BGSC 4O1	Strains	ref_no_rec	7
BGSC 4O1	Strains	ref_no_rec	7
L-7601	Strains	par_strict	3
L-7601	Strains	par_all	3
L-7601	Strains	par_all	3
